year,month,rank_ME,rank_Resid11_6,nstocks,ret_vw
1969,4,3,1,240,1.8171
1969,4,3,2,330,2.1070
1969,4,3,3,378,2.3722
1969,4,3,4,340,1.7734
1969,4,3,5,249,2.6187
1969,5,1,1,314,-0.6780
1969,5,1,2,384,0.7950
1969,5,1,3,357,0.7389
1969,5,1,4,367,1.2206
1969,5,1,5,299,2.4056
1969,5,2,1,171,-0.6418
1969,5,2,2,212,-0.4155
1969,5,2,3,219,0.6633
1969,5,2,4,214,-0.1344
1969,5,2,5,184,1.6985
1969,5,3,1,230,-0.0628
1969,5,3,2,334,-0.0451
1969,5,3,3,370,1.1570
1969,5,3,4,345,0.8171
1969,5,3,5,246,0.5215
1969,6,1,1,336,-13.8941
1969,6,1,2,395,-13.2338
1969,6,1,3,366,-12.8525
1969,6,1,4,373,-13.0047
1969,6,1,5,302,-13.9239
1969,6,2,1,161,-12.1548
1969,6,2,2,223,-10.1866
1969,6,2,3,223,-10.1152
1969,6,2,4,217,-10.2565
1969,6,2,5,188,-11.9902
1969,6,3,1,231,-4.0383
1969,6,3,2,328,-5.6113
1969,6,3,3,361,-5.3785
1969,6,3,4,336,-6.9779
1969,6,3,5,249,-7.6891
1969,7,1,1,336,-12.2586
1969,7,1,2,390,-10.5713
1969,7,1,3,385,-10.2816
1969,7,1,4,390,-10.8094
1969,7,1,5,290,-10.9922
1969,7,2,1,160,-11.3530
1969,7,2,2,226,-9.0594
1969,7,2,3,222,-8.2355
1969,7,2,4,220,-8.7877
1969,7,2,5,183,-8.1841
1969,7,3,1,223,-6.0809
1969,7,3,2,338,-6.2285
1969,7,3,3,356,-5.3557
1969,7,3,4,337,-6.1041
1969,7,3,5,240,-6.1870
1969,8,1,1,347,4.3359
1969,8,1,2,394,3.5077
1969,8,1,3,392,3.9593
1969,8,1,4,398,4.8357
1969,8,1,5,291,4.2522
1969,8,2,1,163,6.1380
1969,8,2,2,226,5.8980
1969,8,2,3,223,5.4347
1969,8,2,4,227,5.9805
1969,8,2,5,175,7.6188
1969,8,3,1,220,5.2632
1969,8,3,2,326,4.2854
1969,8,3,3,361,4.3288
1969,8,3,4,341,4.6038
1969,8,3,5,247,5.5236
1969,9,1,1,352,-2.9098
1969,9,1,2,407,-3.4622
1969,9,1,3,420,-2.4840
1969,9,1,4,406,-3.0394
1969,9,1,5,299,-2.9180
1969,9,2,1,159,-0.4445
1969,9,2,2,233,-0.4697
1969,9,2,3,226,-0.6759
1969,9,2,4,211,-0.7712
1969,9,2,5,175,-0.6613
1969,9,3,1,225,-1.3926
1969,9,3,2,321,-3.3124
1969,9,3,3,355,-3.0675
1969,9,3,4,344,-2.9372
1969,9,3,5,248,-3.1396
1969,10,1,1,343,10.7682
1969,10,1,2,418,9.7129
1969,10,1,3,412,8.5278
1969,10,1,4,411,10.2078
1969,10,1,5,311,10.7448
1969,10,2,1,169,7.3747
1969,10,2,2,237,7.1116
1969,10,2,3,221,7.8909
1969,10,2,4,215,8.0291
1969,10,2,5,174,6.4471
1969,10,3,1,233,5.0926
1969,10,3,2,318,5.8029
1969,10,3,3,359,4.8225
1969,10,3,4,348,4.3435
1969,10,3,5,242,5.0325
1969,11,1,1,348,-7.3512
1969,11,1,2,411,-6.9015
1969,11,1,3,435,-6.5986
1969,11,1,4,410,-7.0781
1969,11,1,5,314,-6.2391
1969,11,2,1,169,-5.0911
1969,11,2,2,232,-4.6449
1969,11,2,3,231,-4.7707
1969,11,2,4,214,-5.8527
1969,11,2,5,172,-3.8721
1969,11,3,1,239,-2.9675
1969,11,3,2,328,-3.6495
1969,11,3,3,358,-3.3793
1969,11,3,4,353,-2.1152
1969,11,3,5,252,-3.0399
1969,12,1,1,347,-9.0780
1969,12,1,2,396,-8.4766
1969,12,1,3,443,-7.6206
1969,12,1,4,425,-8.1182
1969,12,1,5,317,-7.8342
1969,12,2,1,173,-6.6965
1969,12,2,2,230,-4.7143
1969,12,2,3,234,-4.3150
1969,12,2,4,219,-6.8218
1969,12,2,5,175,-4.5002
1969,12,3,1,236,-0.6405
1969,12,3,2,338,-0.6706
1969,12,3,3,354,-1.7611
1969,12,3,4,341,-2.3120
1969,12,3,5,256,-1.5875
1970,1,1,1,346,-2.5301
1970,1,1,2,406,-2.3764
1970,1,1,3,449,-1.6324
1970,1,1,4,441,-1.4805
1970,1,1,5,326,-3.7611
1970,1,2,1,183,-5.4850
1970,1,2,2,227,-6.4061
1970,1,2,3,236,-5.2683
1970,1,2,4,222,-5.1211
1970,1,2,5,178,-7.6530
1970,1,3,1,242,-8.8727
1970,1,3,2,344,-7.4632
1970,1,3,3,364,-7.9617
1970,1,3,4,336,-7.1087
1970,1,3,5,262,-7.2115
1970,2,1,1,347,2.2420
1970,2,1,2,424,3.9934
1970,2,1,3,458,3.3441
1970,2,1,4,445,3.1110
1970,2,1,5,326,2.0617
1970,2,2,1,185,3.6836
1970,2,2,2,227,3.8034
1970,2,2,3,235,3.0208
1970,2,2,4,222,3.7700
1970,2,2,5,185,5.2350
1970,2,3,1,240,4.3005
1970,2,3,2,345,4.9762
1970,2,3,3,367,6.1371
1970,2,3,4,335,7.2171
1970,2,3,5,265,6.6149
1970,3,1,1,349,-0.4491
1970,3,1,2,421,-2.5057
1970,3,1,3,450,-2.7469
1970,3,1,4,447,-2.9376
1970,3,1,5,323,-4.3939
1970,3,2,1,189,-0.8854
1970,3,2,2,217,-0.5788
1970,3,2,3,227,-1.6531
1970,3,2,4,225,-2.2893
1970,3,2,5,176,-2.1654
1970,3,3,1,231,0.2691
1970,3,3,2,334,-0.0359
1970,3,3,3,361,-0.0417
1970,3,3,4,329,0.6477
1970,3,3,5,262,-1.0493
1970,4,1,1,340,-15.6488
1970,4,1,2,432,-16.4720
1970,4,1,3,442,-17.1662
1970,4,1,4,435,-18.4589
1970,4,1,5,313,-19.8127
1970,4,2,1,183,-14.3282
1970,4,2,2,219,-15.0084
1970,4,2,3,225,-13.7195
1970,4,2,4,216,-14.3224
1970,4,2,5,180,-16.5600
1970,4,3,1,226,-9.2156
1970,4,3,2,332,-9.4523
1970,4,3,3,352,-8.9712
1970,4,3,4,342,-9.5357
1970,4,3,5,258,-9.7931
1970,5,1,1,341,-8.2951
1970,5,1,2,441,-8.4649
1970,5,1,3,449,-9.2050
1970,5,1,4,423,-9.7534
1970,5,1,5,301,-10.1594
1970,5,2,1,190,-10.3792
1970,5,2,2,221,-10.1007
1970,5,2,3,230,-9.9076
1970,5,2,4,211,-8.4421
1970,5,2,5,180,-9.0863
1970,5,3,1,218,-2.8243
1970,5,3,2,324,-6.0401
1970,5,3,3,363,-6.4957
1970,5,3,4,354,-6.5923
1970,5,3,5,269,-6.9354
1970,6,1,1,378,-9.4232
1970,6,1,2,459,-8.8569
1970,6,1,3,443,-8.7613
1970,6,1,4,405,-8.6520
1970,6,1,5,289,-10.4157
1970,6,2,1,197,-7.1127
1970,6,2,2,225,-6.9550
1970,6,2,3,232,-8.0779
1970,6,2,4,214,-6.6233
1970,6,2,5,182,-6.4824
1970,6,3,1,227,-5.6177
1970,6,3,2,327,-5.3891
1970,6,3,3,370,-4.2719
1970,6,3,4,364,-4.8537
1970,6,3,5,268,-4.0045
1970,7,1,1,375,2.6840
1970,7,1,2,462,4.4896
1970,7,1,3,426,4.8582
1970,7,1,4,390,4.2504
1970,7,1,5,261,4.9269
1970,7,2,1,199,7.9895
1970,7,2,2,223,7.6092
1970,7,2,3,226,8.0899
1970,7,2,4,214,8.4074
1970,7,2,5,182,6.2615
1970,7,3,1,225,8.8683
1970,7,3,2,321,7.4222
1970,7,3,3,367,6.3347
1970,7,3,4,360,7.3958
1970,7,3,5,278,6.9121
1970,8,1,1,369,5.7125
1970,8,1,2,458,6.7032
1970,8,1,3,425,6.4016
1970,8,1,4,390,5.9945
1970,8,1,5,250,5.8453
1970,8,2,1,193,9.5055
1970,8,2,2,224,7.5942
1970,8,2,3,235,6.1356
1970,8,2,4,203,5.2492
1970,8,2,5,180,5.9195
1970,8,3,1,227,6.4580
1970,8,3,2,319,5.1927
1970,8,3,3,352,4.6012
1970,8,3,4,358,4.7558
1970,8,3,5,277,3.2944
1970,9,1,1,376,15.9921
1970,9,1,2,459,14.3303
1970,9,1,3,428,13.7452
1970,9,1,4,390,13.6873
1970,9,1,5,243,13.4926
1970,9,2,1,189,15.0361
1970,9,2,2,229,11.4240
1970,9,2,3,223,9.8912
1970,9,2,4,211,9.2687
1970,9,2,5,169,8.9288
1970,9,3,1,221,4.9220
1970,9,3,2,308,3.8820
1970,9,3,3,352,3.4824
1970,9,3,4,342,2.1086
1970,9,3,5,272,3.3203
1970,10,1,1,357,-10.0457
1970,10,1,2,451,-8.1423
1970,10,1,3,438,-7.6870
1970,10,1,4,396,-5.5665
1970,10,1,5,261,-5.6019
1970,10,2,1,186,-7.9626
1970,10,2,2,227,-5.4765
1970,10,2,3,220,-4.4260
1970,10,2,4,221,-3.6406
1970,10,2,5,172,-3.1859
1970,10,3,1,217,0.3624
1970,10,3,2,318,-1.6272
1970,10,3,3,358,-1.7849
1970,10,3,4,334,-1.3578
1970,10,3,5,273,-1.1629
1970,11,1,1,377,-0.8063
1970,11,1,2,456,-1.5053
1970,11,1,3,450,-1.8218
1970,11,1,4,398,-0.2577
1970,11,1,5,287,-1.9767
1970,11,2,1,189,3.3383
1970,11,2,2,231,3.9176
1970,11,2,3,241,4.0660
1970,11,2,4,228,2.9640
1970,11,2,5,196,2.7870
1970,11,3,1,239,5.1247
1970,11,3,2,343,5.4725
1970,11,3,3,364,5.1049
1970,11,3,4,354,5.5958
1970,11,3,5,285,5.7592
1970,12,1,1,381,9.5574
1970,12,1,2,440,9.9200
1970,12,1,3,453,8.7565
1970,12,1,4,412,8.9318
1970,12,1,5,291,9.3364
1970,12,2,1,192,9.7950
1970,12,2,2,221,8.9873
1970,12,2,3,245,7.5536
1970,12,2,4,228,8.5430
1970,12,2,5,194,7.8200
1970,12,3,1,240,5.4137
1970,12,3,2,356,6.4084
1970,12,3,3,371,6.0062
1970,12,3,4,359,6.5227
1970,12,3,5,274,5.5791
1971,1,1,1,366,16.4711
1971,1,1,2,438,15.4913
1971,1,1,3,459,15.7584
1971,1,1,4,415,15.5818
1971,1,1,5,308,14.4721
1971,1,2,1,185,8.9405
1971,1,2,2,217,11.2167
1971,1,2,3,250,9.8201
1971,1,2,4,219,10.8776
1971,1,2,5,197,10.2940
1971,1,3,1,244,4.2867
1971,1,3,2,345,5.4595
1971,1,3,3,366,4.6633
1971,1,3,4,364,4.2245
1971,1,3,5,266,3.9900
1971,2,1,1,374,5.9111
1971,2,1,2,442,5.1375
1971,2,1,3,462,4.3981
1971,2,1,4,412,4.1673
1971,2,1,5,312,5.0253
1971,2,2,1,188,2.3743
1971,2,2,2,219,2.5376
1971,2,2,3,243,2.4172
1971,2,2,4,223,2.3354
1971,2,2,5,184,3.1811
1971,2,3,1,247,0.6061
1971,2,3,2,345,0.4668
1971,2,3,3,368,1.9187
1971,2,3,4,346,2.0113
1971,2,3,5,254,2.5214
1971,3,1,1,372,4.1770
1971,3,1,2,438,5.5278
1971,3,1,3,458,5.8073
1971,3,1,4,427,6.5908
1971,3,1,5,318,6.6075
1971,3,2,1,189,6.1721
1971,3,2,2,211,4.7317
1971,3,2,3,238,5.6787
1971,3,2,4,210,4.9556
1971,3,2,5,180,6.4393
1971,3,3,1,262,4.2481
1971,3,3,2,351,4.1687
1971,3,3,3,366,3.7643
1971,3,3,4,347,3.7206
1971,3,3,5,244,3.5761
1971,4,1,1,354,1.2817
1971,4,1,2,430,1.4529
1971,4,1,3,474,0.9089
1971,4,1,4,422,3.0782
1971,4,1,5,317,2.5769
1971,4,2,1,177,2.4004
1971,4,2,2,204,4.5631
1971,4,2,3,236,3.6416
1971,4,2,4,208,4.7988
1971,4,2,5,175,3.3940
1971,4,3,1,259,3.0488
1971,4,3,2,349,2.6257
1971,4,3,3,358,4.0339
1971,4,3,4,342,4.6186
1971,4,3,5,236,4.8851
1971,5,1,1,349,-7.4992
1971,5,1,2,427,-6.8859
1971,5,1,3,460,-6.9338
1971,5,1,4,444,-6.6126
1971,5,1,5,326,-6.0128
1971,5,2,1,179,-5.1888
1971,5,2,2,208,-3.8710
1971,5,2,3,236,-3.7391
1971,5,2,4,209,-3.6629
1971,5,2,5,176,-4.5852
1971,5,3,1,252,-3.5446
1971,5,3,2,342,-3.5165
1971,5,3,3,365,-3.1331
1971,5,3,4,336,-3.2992
1971,5,3,5,231,-4.1145
1971,6,1,1,348,-3.7968
1971,6,1,2,438,-3.2741
1971,6,1,3,449,-2.3110
1971,6,1,4,455,-2.7440
1971,6,1,5,321,-2.2619
1971,6,2,1,166,-2.7982
1971,6,2,2,214,-1.6901
1971,6,2,3,231,0.0618
1971,6,2,4,217,-0.4763
1971,6,2,5,166,0.3973
1971,6,3,1,252,-0.0359
1971,6,3,2,326,0.7272
1971,6,3,3,362,0.8374
1971,6,3,4,332,0.8764
1971,6,3,5,219,0.4522
1971,7,1,1,342,-6.4278
1971,7,1,2,422,-5.3992
1971,7,1,3,449,-6.2023
1971,7,1,4,446,-6.0174
1971,7,1,5,303,-6.6113
1971,7,2,1,156,-6.2653
1971,7,2,2,216,-4.4406
1971,7,2,3,226,-3.6271
1971,7,2,4,222,-3.1779
1971,7,2,5,167,-4.8381
1971,7,3,1,256,-4.3921
1971,7,3,2,330,-4.8805
1971,7,3,3,350,-3.8926
1971,7,3,4,326,-3.4688
1971,7,3,5,226,-3.7460
1971,8,1,1,323,3.5033
1971,8,1,2,418,4.3622
1971,8,1,3,470,4.2600
1971,8,1,4,440,5.3515
1971,8,1,5,304,4.6156
1971,8,2,1,156,5.5444
1971,8,2,2,215,4.8022
1971,8,2,3,227,4.0108
1971,8,2,4,220,5.0214
1971,8,2,5,172,5.8161
1971,8,3,1,252,3.0062
1971,8,3,2,343,4.5858
1971,8,3,3,337,4.2712
1971,8,3,4,328,4.2508
1971,8,3,5,233,3.6945
1971,9,1,1,312,-1.5304
1971,9,1,2,419,-2.1562
1971,9,1,3,479,-1.0573
1971,9,1,4,447,-0.8327
1971,9,1,5,312,1.6647
1971,9,2,1,156,-0.9992
1971,9,2,2,214,-1.2552
