year,month,rank_ME,rank_R11_6,nstocks,ret_vw
1968,5,3,3,309,1.1207
1968,5,3,4,246,3.5744
1968,5,3,5,169,5.4112
1968,6,1,1,224,-0.3864
1968,6,1,2,278,2.6378
1968,6,1,3,398,2.4015
1968,6,1,4,444,1.1069
1968,6,1,5,529,-0.1516
1968,6,2,1,144,-0.9995
1968,6,2,2,189,1.1430
1968,6,2,3,214,1.3402
1968,6,2,4,220,1.0905
1968,6,2,5,237,-0.5391
1968,6,3,1,271,2.5413
1968,6,3,2,332,1.4508
1968,6,3,3,297,0.6932
1968,6,3,4,253,-0.1033
1968,6,3,5,169,-0.5689
1968,7,1,1,234,-4.8402
1968,7,1,2,272,-1.6885
1968,7,1,3,378,-2.5521
1968,7,1,4,433,-2.7798
1968,7,1,5,535,-3.8187
1968,7,2,1,143,-3.9185
1968,7,2,2,191,-2.5829
1968,7,2,3,221,-3.2434
1968,7,2,4,218,-3.2815
1968,7,2,5,239,-4.3741
1968,7,3,1,266,-2.0367
1968,7,3,2,319,-1.6197
1968,7,3,3,297,-0.4140
1968,7,3,4,258,-3.3279
1968,7,3,5,170,-5.4918
1968,8,1,1,233,3.2227
1968,8,1,2,263,2.7728
1968,8,1,3,364,4.0000
1968,8,1,4,425,4.4315
1968,8,1,5,534,6.0134
1968,8,2,1,141,0.5696
1968,8,2,2,187,3.0027
1968,8,2,3,213,4.2788
1968,8,2,4,214,4.3344
1968,8,2,5,232,4.2647
1968,8,3,1,261,1.5293
1968,8,3,2,325,1.0872
1968,8,3,3,319,1.7530
1968,8,3,4,247,1.0014
1968,8,3,5,168,2.4756
1968,9,1,1,251,6.1168
1968,9,1,2,265,5.9889
1968,9,1,3,371,6.1626
1968,9,1,4,420,6.8441
1968,9,1,5,527,7.6095
1968,9,2,1,143,6.9384
1968,9,2,2,188,6.1196
1968,9,2,3,206,5.9563
1968,9,2,4,210,6.3206
1968,9,2,5,229,7.1679
1968,9,3,1,255,5.1049
1968,9,3,2,325,4.0761
1968,9,3,3,332,3.5979
1968,9,3,4,250,2.6808
1968,9,3,5,166,5.5054
1968,10,1,1,266,0.6302
1968,10,1,2,283,1.3007
1968,10,1,3,371,1.1881
1968,10,1,4,424,0.5184
1968,10,1,5,524,-0.4205
1968,10,2,1,148,0.4917
1968,10,2,2,187,2.2648
1968,10,2,3,214,2.1626
1968,10,2,4,224,0.6030
1968,10,2,5,230,0.2777
1968,10,3,1,250,2.0287
1968,10,3,2,330,2.4236
1968,10,3,3,342,1.4451
1968,10,3,4,261,-2.1060
1968,10,3,5,174,-0.0775
1968,11,1,1,276,6.9407
1968,11,1,2,276,5.9274
1968,11,1,3,354,6.4435
1968,11,1,4,419,6.0580
1968,11,1,5,519,8.6065
1968,11,2,1,148,8.4792
1968,11,2,2,184,7.0505
1968,11,2,3,218,7.7300
1968,11,2,4,219,8.3129
1968,11,2,5,224,8.5289
1968,11,3,1,259,6.7908
1968,11,3,2,332,4.3443
1968,11,3,3,341,5.3880
1968,11,3,4,278,5.8963
1968,11,3,5,169,7.7958
1968,12,1,1,273,0.6151
1968,12,1,2,284,2.7998
1968,12,1,3,342,3.3593
1968,12,1,4,402,3.2040
1968,12,1,5,520,2.5473
1968,12,2,1,146,-1.6674
1968,12,2,2,182,-0.2600
1968,12,2,3,221,-0.3797
1968,12,2,4,227,-1.2296
1968,12,2,5,234,-1.6536
1968,12,3,1,252,-4.0807
1968,12,3,2,345,-3.5604
1968,12,3,3,354,-3.4988
1968,12,3,4,280,-4.3550
1968,12,3,5,156,-3.9534
1969,1,1,1,311,-0.6211
1969,1,1,2,302,-0.9768
1969,1,1,3,339,-1.0385
1969,1,1,4,403,-0.9960
1969,1,1,5,504,-0.2940
1969,1,2,1,142,-1.3942
1969,1,2,2,185,-0.7415
1969,1,2,3,220,-0.0447
1969,1,2,4,230,-0.5005
1969,1,2,5,235,-1.7264
1969,1,3,1,243,-0.8889
1969,1,3,2,343,0.0196
1969,1,3,3,347,-0.4744
1969,1,3,4,283,-1.8058
1969,1,3,5,164,-1.6470
1969,2,1,1,337,-11.4417
1969,2,1,2,302,-8.5796
1969,2,1,3,326,-8.2333
1969,2,1,4,404,-9.3838
1969,2,1,5,488,-10.8700
