year,month,rank_ME,rank_Abr_12,nstocks,ret_vw
1974,7,2,4,357,-2.4490
1974,7,2,5,370,-3.0824
1974,7,3,1,363,-8.4269
1974,7,3,2,481,-9.3279
1974,7,3,3,506,-7.7841
1974,7,3,4,484,-7.5238
1974,7,3,5,409,-5.7308
1974,8,1,1,749,-8.3122
1974,8,1,2,600,-8.2892
1974,8,1,3,594,-6.1961
1974,8,1,4,592,-6.6408
1974,8,1,5,735,-6.5636
1974,8,2,1,338,-8.5187
1974,8,2,2,326,-6.9625
1974,8,2,3,353,-7.6519
1974,8,2,4,373,-8.6911
1974,8,2,5,388,-6.9978
1974,8,3,1,391,-9.3565
1974,8,3,2,514,-9.2428
1974,8,3,3,532,-7.9474
1974,8,3,4,521,-8.0893
1974,8,3,5,451,-9.3889
1974,9,1,1,756,-9.1822
1974,9,1,2,636,-8.0733
1974,9,1,3,609,-7.9641
1974,9,1,4,597,-7.5779
1974,9,1,5,752,-7.9847
1974,9,2,1,341,-10.7172
1974,9,2,2,340,-8.3344
1974,9,2,3,368,-8.4778
1974,9,2,4,393,-8.5030
1974,9,2,5,389,-9.3639
1974,9,3,1,409,-12.3240
1974,9,3,2,529,-11.9341
1974,9,3,3,556,-12.2361
1974,9,3,4,538,-11.6414
1974,9,3,5,463,-11.3232
1974,10,1,1,721,7.0991
1974,10,1,2,603,7.3055
1974,10,1,3,589,8.4925
1974,10,1,4,571,8.9536
1974,10,1,5,733,10.0661
1974,10,2,1,331,9.9657
1974,10,2,2,325,8.5568
1974,10,2,3,355,8.7090
1974,10,2,4,361,9.1288
1974,10,2,5,378,11.3335
1974,10,3,1,382,16.9815
1974,10,3,2,489,17.0548
1974,10,3,3,516,15.2996
1974,10,3,4,499,18.7408
1974,10,3,5,431,17.1219
1974,11,1,1,720,-6.7315
1974,11,1,2,622,-6.1514
1974,11,1,3,615,-4.6438
1974,11,1,4,594,-5.4944
1974,11,1,5,722,-6.1190
1974,11,2,1,352,-4.8050
1974,11,2,2,349,-4.4241
1974,11,2,3,382,-4.7167
1974,11,2,4,372,-4.0154
1974,11,2,5,395,-4.9382
1974,11,3,1,416,-3.7403
1974,11,3,2,518,-3.9707
1974,11,3,3,546,-5.1517
1974,11,3,4,526,-4.2226
1974,11,3,5,467,-2.9971
1974,12,1,1,740,-8.8238
1974,12,1,2,634,-9.2794
1974,12,1,3,637,-7.9436
1974,12,1,4,609,-7.9076
1974,12,1,5,725,-8.6069
1974,12,2,1,363,-6.7156
1974,12,2,2,366,-5.6878
1974,12,2,3,394,-5.8062
1974,12,2,4,379,-5.6728
1974,12,2,5,405,-6.9812
1974,12,3,1,419,-3.3596
1974,12,3,2,524,-1.6158
1974,12,3,3,558,-2.0306
1974,12,3,4,533,-2.9045
1974,12,3,5,480,-2.7575
1975,1,1,1,746,35.3850
1975,1,1,2,629,34.1683
1975,1,1,3,628,30.5678
1975,1,1,4,606,30.2124
1975,1,1,5,731,30.5212
1975,1,2,1,354,30.9624
1975,1,2,2,362,26.9073
1975,1,2,3,383,26.0363
1975,1,2,4,367,25.6408
1975,1,2,5,392,24.9076
1975,1,3,1,408,15.4137
1975,1,3,2,515,12.1313
1975,1,3,3,553,13.1489
1975,1,3,4,518,11.9491
1975,1,3,5,460,14.0176
1975,2,1,1,729,4.3026
1975,2,1,2,607,3.0957
1975,2,1,3,611,3.7706
1975,2,1,4,592,4.7079
1975,2,1,5,721,5.1843
1975,2,2,1,344,5.6236
1975,2,2,2,366,4.1159
1975,2,2,3,377,4.5454
1975,2,2,4,371,3.0060
