year,month,rank_ME,rank_NEI_1,nstocks,ret_vw
1971,12,1,4,76,14.8212
1971,12,1,5,16,14.2812
1971,12,2,1,131,14.0761
1971,12,2,2,78,11.8921
1971,12,2,3,90,11.1052
1971,12,2,4,49,15.4747
1971,12,2,5,23,12.1061
1971,12,3,1,166,9.8830
1971,12,3,2,100,8.6290
1971,12,3,3,141,7.7261
1971,12,3,4,85,9.3128
1971,12,3,5,98,9.1863
1972,1,1,1,207,13.9021
1972,1,1,2,90,13.8108
1972,1,1,3,166,16.0486
1972,1,1,4,69,11.3502
1972,1,1,5,21,7.3807
1972,1,2,1,96,7.7091
1972,1,2,2,53,11.5135
1972,1,2,3,81,7.4835
1972,1,2,4,41,7.4366
1972,1,2,5,26,4.2165
1972,1,3,1,128,2.9645
1972,1,3,2,66,3.8146
1972,1,3,3,140,1.3742
1972,1,3,4,62,0.6096
1972,1,3,5,95,3.4654
1972,2,1,1,212,3.6150
1972,2,1,2,99,4.3742
1972,2,1,3,159,5.8766
1972,2,1,4,77,5.4243
1972,2,1,5,21,5.8359
1972,2,2,1,86,1.3815
1972,2,2,2,49,3.8828
1972,2,2,3,90,4.8683
1972,2,2,4,51,2.6755
1972,2,2,5,26,2.1736
1972,2,3,1,135,3.3851
1972,2,3,2,62,4.6660
1972,2,3,3,132,3.5524
1972,2,3,4,78,3.0345
1972,2,3,5,94,4.5084
1972,3,1,1,226,-2.0430
1972,3,1,2,94,0.0962
1972,3,1,3,152,-1.1666
1972,3,1,4,103,0.1845
1972,3,1,5,21,-0.5078
1972,3,2,1,82,-1.3683
1972,3,2,2,48,-0.1993
1972,3,2,3,70,2.3515
1972,3,2,4,72,-0.0576
1972,3,2,5,34,0.0490
1972,3,3,1,129,-1.4276
1972,3,3,2,65,-0.2722
1972,3,3,3,115,1.8196
1972,3,3,4,103,0.2234
1972,3,3,5,98,2.4340
1972,4,1,1,219,-1.7829
1972,4,1,2,108,2.6409
1972,4,1,3,142,0.5818
1972,4,1,4,114,1.1996
1972,4,1,5,23,0.6799
1972,4,2,1,85,0.1158
1972,4,2,2,45,0.4123
1972,4,2,3,78,1.8356
1972,4,2,4,69,2.2439
1972,4,2,5,37,2.9377
1972,4,3,1,120,0.8262
1972,4,3,2,67,0.9772
1972,4,3,3,119,1.4962
1972,4,3,4,111,-0.2202
1972,4,3,5,96,0.8900
1972,5,1,1,195,-3.6867
1972,5,1,2,121,1.2901
1972,5,1,3,133,-1.7401
1972,5,1,4,126,-3.5815
1972,5,1,5,34,-0.8494
1972,5,2,1,83,-4.1130
