year,month,rank_ME,rank_RE_6,nstocks,ret_vw
1976,12,2,2,93,9.3892
1976,12,2,3,76,8.0693
1976,12,2,4,67,10.1791
1976,12,2,5,88,7.6096
1976,12,3,1,158,6.9791
1976,12,3,2,226,4.4828
1976,12,3,3,253,3.6345
1976,12,3,4,243,5.2737
1976,12,3,5,142,6.7769
1977,1,1,1,42,4.1508
1977,1,1,2,39,2.5188
1977,1,1,3,28,0.9993
1977,1,1,4,16,1.5231
1977,1,1,5,37,3.7237
1977,1,2,1,81,-0.7797
1977,1,2,2,90,-0.4612
1977,1,2,3,82,-1.9569
1977,1,2,4,79,-0.2685
1977,1,2,5,90,-0.2905
1977,1,3,1,159,-1.3454
1977,1,3,2,239,-6.5307
1977,1,3,3,261,-6.2059
1977,1,3,4,247,-3.9654
1977,1,3,5,151,-3.7941
1977,2,1,1,45,-3.3478
1977,2,1,2,42,-1.7196
1977,2,1,3,30,-4.0673
1977,2,1,4,20,-1.3268
1977,2,1,5,39,-3.4180
1977,2,2,1,83,-0.9489
1977,2,2,2,98,-0.7728
1977,2,2,3,96,-2.5261
1977,2,2,4,92,-1.5036
1977,2,2,5,98,-1.7364
1977,2,3,1,169,-2.3956
1977,2,3,2,253,-1.2354
1977,2,3,3,273,-1.2413
1977,2,3,4,257,-1.8048
1977,2,3,5,155,-1.7609
1977,3,1,1,49,3.6344
1977,3,1,2,38,2.4453
1977,3,1,3,29,0.8862
1977,3,1,4,19,-1.6904
1977,3,1,5,39,1.5092
1977,3,2,1,79,-0.5853
1977,3,2,2,95,0.1053
1977,3,2,3,91,0.1124
1977,3,2,4,93,0.8081
1977,3,2,5,101,-0.3402
1977,3,3,1,163,-1.4536
1977,3,3,2,247,-1.9947
1977,3,3,3,264,-1.3541
1977,3,3,4,245,-0.1577
1977,3,3,5,158,-1.8950
1977,4,1,1,48,0.5336
1977,4,1,2,36,-0.8140
1977,4,1,3,34,4.3851
1977,4,1,4,22,0.5891
1977,4,1,5,39,1.0386
1977,4,2,1,84,-0.1340
1977,4,2,2,95,0.2333
1977,4,2,3,95,0.1607
1977,4,2,4,89,0.5240
1977,4,2,5,101,2.6363
1977,4,3,1,161,0.8655
1977,4,3,2,254,-1.1239
1977,4,3,3,267,-2.0909
1977,4,3,4,250,0.2906
1977,4,3,5,162,2.7774
1977,5,1,1,49,-1.6652
1977,5,1,2,30,0.8820
1977,5,1,3,38,1.4093
1977,5,1,4,22,2.5962
1977,5,1,5,38,1.0469
1977,5,2,1,88,-1.2095
1977,5,2,2,85,0.1101
1977,5,2,3,89,-0.8150
1977,5,2,4,89,-0.7083
1977,5,2,5,101,0.0532
1977,5,3,1,155,-2.5065
1977,5,3,2,254,-1.9887
1977,5,3,3,271,-1.3707
1977,5,3,4,257,-1.2889
1977,5,3,5,172,0.2288
1977,6,1,1,47,5.5362
1977,6,1,2,25,6.2977
1977,6,1,3,40,10.1842
1977,6,1,4,22,5.4620
1977,6,1,5,39,7.4946
1977,6,2,1,85,5.5810
1977,6,2,2,87,7.1966
1977,6,2,3,89,7.8670
1977,6,2,4,88,7.4083
1977,6,2,5,100,9.0431
1977,6,3,1,141,2.7301
1977,6,3,2,243,4.1831
1977,6,3,3,251,6.6520
1977,6,3,4,250,5.9989
1977,6,3,5,169,3.3896
1977,7,1,1,49,0.8585
1977,7,1,2,23,1.6699
1977,7,1,3,37,0.5767
1977,7,1,4,19,2.3309
1977,7,1,5,39,0.1776
1977,7,2,1,81,-2.1924
1977,7,2,2,93,-0.9815
1977,7,2,3,88,-0.3463
1977,7,2,4,84,-1.4563
1977,7,2,5,108,-0.0471
1977,7,3,1,146,-3.2803
1977,7,3,2,236,-2.3538
1977,7,3,3,252,-1.4625
1977,7,3,4,268,-0.5117
1977,7,3,5,178,-2.1699
1977,8,1,1,50,0.9135
1977,8,1,2,22,3.9516
1977,8,1,3,33,-1.6122
1977,8,1,4,19,-1.3550
1977,8,1,5,40,-0.4172
1977,8,2,1,83,-0.0077
1977,8,2,2,97,0.6926
1977,8,2,3,94,-1.0078
1977,8,2,4,86,-0.0551
1977,8,2,5,108,1.9414
1977,8,3,1,146,-3.1613
1977,8,3,2,239,-1.8831
1977,8,3,3,266,0.9662
1977,8,3,4,276,-0.8240
1977,8,3,5,180,-2.2354
1977,9,1,1,51,-0.9012
1977,9,1,2,26,-2.2645
1977,9,1,3,37,-1.4707
1977,9,1,4,18,2.2865
1977,9,1,5,38,0.9458
1977,9,2,1,87,-0.1871
1977,9,2,2,95,1.1339
1977,9,2,3,94,1.0343
1977,9,2,4,86,6.5159
1977,9,2,5,103,3.3069
1977,9,3,1,151,-1.7228
1977,9,3,2,229,-0.2273
1977,9,3,3,266,-1.0292
1977,9,3,4,262,0.1389
1977,9,3,5,188,1.7717
1977,10,1,1,47,-4.0386
1977,10,1,2,27,-1.1564
1977,10,1,3,34,0.7539
1977,10,1,4,17,-1.1113
1977,10,1,5,40,-0.0782
1977,10,2,1,95,-3.4423
1977,10,2,2,93,-1.1361
1977,10,2,3,93,-2.3125
1977,10,2,4,85,-1.6556
1977,10,2,5,107,-3.6809
1977,10,3,1,146,-4.4690
1977,10,3,2,221,-4.3167
1977,10,3,3,254,-3.6637
1977,10,3,4,252,-3.5742
1977,10,3,5,183,-4.6298
1977,11,1,1,46,10.7973
1977,11,1,2,27,8.0008
1977,11,1,3,39,11.3226
1977,11,1,4,20,10.4971
1977,11,1,5,39,10.0094
1977,11,2,1,94,8.0796
1977,11,2,2,92,9.6276
1977,11,2,3,98,9.1278
1977,11,2,4,89,7.9855
1977,11,2,5,112,8.3805
1977,11,3,1,146,3.7280
1977,11,3,2,226,2.7753
1977,11,3,3,262,4.4766
1977,11,3,4,250,3.7471
1977,11,3,5,182,3.7381
1977,12,1,1,45,1.9579
1977,12,1,2,27,5.4892
1977,12,1,3,41,0.5195
1977,12,1,4,19,3.7847
1977,12,1,5,38,2.6508
1977,12,2,1,99,-0.3269
1977,12,2,2,91,0.4404
1977,12,2,3,93,2.5747
1977,12,2,4,87,2.6094
1977,12,2,5,111,2.8308
1977,12,3,1,148,0.1625
1977,12,3,2,224,0.4984
1977,12,3,3,269,0.7861
1977,12,3,4,251,-0.0869
1977,12,3,5,175,1.1981
1978,1,1,1,48,-3.5068
1978,1,1,2,29,-6.8829
1978,1,1,3,42,-2.5553
1978,1,1,4,23,-6.0848
1978,1,1,5,50,-5.2145
1978,1,2,1,105,-2.5778
1978,1,2,2,94,-4.3688
1978,1,2,3,93,-6.0009
1978,1,2,4,93,-6.3887
1978,1,2,5,114,-6.8414
1978,1,3,1,151,-4.9017
1978,1,3,2,240,-6.0962
1978,1,3,3,283,-4.9383
1978,1,3,4,257,-6.7277
1978,1,3,5,173,-5.9446
1978,2,1,1,49,3.0120
1978,2,1,2,33,3.2780
1978,2,1,3,52,1.2058
1978,2,1,4,24,3.7064
1978,2,1,5,50,4.2911
1978,2,2,1,103,0.2341
1978,2,2,2,94,0.5170
1978,2,2,3,96,2.0598
1978,2,2,4,92,2.7891
1978,2,2,5,116,2.1735
1978,2,3,1,147,-4.0133
1978,2,3,2,243,-2.4140
1978,2,3,3,281,-2.8642
1978,2,3,4,255,-1.4260
1978,2,3,5,175,1.8014
1978,3,1,1,49,6.2380
1978,3,1,2,36,9.7061
1978,3,1,3,60,7.8164
1978,3,1,4,20,11.1656
1978,3,1,5,53,8.2488
1978,3,2,1,100,6.4577
1978,3,2,2,93,6.4747
1978,3,2,3,95,5.4738
1978,3,2,4,92,6.8158
1978,3,2,5,110,8.4823
1978,3,3,1,141,4.2924
1978,3,3,2,237,2.9878
1978,3,3,3,278,1.3722
1978,3,3,4,261,2.8386
1978,3,3,5,176,2.9547
1978,4,1,1,54,6.7692
1978,4,1,2,36,8.6033
1978,4,1,3,65,8.3530
1978,4,1,4,22,9.5558
1978,4,1,5,54,10.3759
1978,4,2,1,102,7.5112
1978,4,2,2,96,7.9114
1978,4,2,3,100,7.9279
1978,4,2,4,96,10.1293
1978,4,2,5,112,11.4211
1978,4,3,1,150,7.1978
1978,4,3,2,245,8.1202
1978,4,3,3,274,9.2645
1978,4,3,4,266,9.8909
1978,4,3,5,185,7.4071
1978,5,1,1,54,8.8255
1978,5,1,2,38,6.0551
1978,5,1,3,67,13.1531
1978,5,1,4,20,10.8459
1978,5,1,5,53,9.7009
1978,5,2,1,99,7.4566
1978,5,2,2,93,7.6175
1978,5,2,3,101,7.2546
1978,5,2,4,93,7.4593
1978,5,2,5,120,7.1034
1978,5,3,1,146,1.7527
1978,5,3,2,221,1.8207
1978,5,3,3,255,2.6775
1978,5,3,4,249,1.2650
1978,5,3,5,180,1.1865
1978,6,1,1,61,-3.2760
1978,6,1,2,40,-0.5779
1978,6,1,3,66,2.3786
1978,6,1,4,24,-1.7018
1978,6,1,5,60,-1.9441
1978,6,2,1,114,-0.2008
1978,6,2,2,102,-1.9437
1978,6,2,3,117,0.0362
1978,6,2,4,96,1.0542
1978,6,2,5,128,0.7811
1978,6,3,1,154,-2.8690
1978,6,3,2,239,-2.7935
1978,6,3,3,264,-0.5173
1978,6,3,4,266,-0.3859
1978,6,3,5,177,-1.1424
1978,7,1,1,62,5.6547
1978,7,1,2,39,3.6523
1978,7,1,3,66,7.1424
1978,7,1,4,29,9.6208
1978,7,1,5,61,9.6006
1978,7,2,1,124,3.4502
1978,7,2,2,114,5.3369
1978,7,2,3,122,6.0956
1978,7,2,4,106,9.0367
1978,7,2,5,142,8.5688
1978,7,3,1,166,6.0957
1978,7,3,2,250,5.4580
1978,7,3,3,280,5.8021
1978,7,3,4,277,6.8554
1978,7,3,5,181,4.7943
1978,8,1,1,72,8.9111
1978,8,1,2,45,6.7914
1978,8,1,3,77,10.0564
1978,8,1,4,38,8.2211
1978,8,1,5,65,12.1986
1978,8,2,1,125,7.4994
1978,8,2,2,126,6.4474
1978,8,2,3,134,8.2811
1978,8,2,4,129,9.5274
1978,8,2,5,158,8.9438
1978,8,3,1,172,2.4827
1978,8,3,2,263,4.2500
1978,8,3,3,290,2.7352
1978,8,3,4,281,3.5276
1978,8,3,5,187,3.5769
1978,9,1,1,77,1.4055
1978,9,1,2,48,-0.4043
1978,9,1,3,77,-3.0879
1978,9,1,4,41,-2.8118
1978,9,1,5,65,-2.3729
1978,9,2,1,123,-1.5101
1978,9,2,2,133,-1.2601
1978,9,2,3,140,-1.5625
1978,9,2,4,146,-1.9567
1978,9,2,5,159,-3.0067
1978,9,3,1,173,0.9752
1978,9,3,2,256,0.7091
1978,9,3,3,287,-1.9576
1978,9,3,4,265,-2.8447
1978,9,3,5,178,-0.9486
1978,10,1,1,81,-25.2779
1978,10,1,2,53,-28.0742
1978,10,1,3,77,-23.6394
1978,10,1,4,42,-22.5034
1978,10,1,5,72,-25.9820
1978,10,2,1,131,-21.2382
1978,10,2,2,131,-20.2349
1978,10,2,3,142,-19.5231
1978,10,2,4,151,-19.1883
1978,10,2,5,167,-20.3783
1978,10,3,1,182,-11.6348
1978,10,3,2,280,-9.2827
1978,10,3,3,305,-9.0911
1978,10,3,4,279,-9.0740
1978,10,3,5,177,-9.6237
1978,11,1,1,85,6.2170
1978,11,1,2,47,13.2293
1978,11,1,3,70,6.9033
1978,11,1,4,44,9.7037
1978,11,1,5,70,15.2660
1978,11,2,1,133,8.6169
1978,11,2,2,131,6.1630
1978,11,2,3,133,6.7316
1978,11,2,4,156,6.5244
1978,11,2,5,167,6.7819
1978,11,3,1,163,3.9294
1978,11,3,2,280,2.8944
1978,11,3,3,308,2.0709
1978,11,3,4,279,2.7767
1978,11,3,5,172,3.9595
1978,12,1,1,110,-0.9701
1978,12,1,2,130,2.5673
1978,12,1,3,74,2.2194
1978,12,1,4,52,-0.0182
1978,12,1,5,88,3.4544
1978,12,2,1,157,0.4898
1978,12,2,2,181,1.6915
1978,12,2,3,138,0.6845
1978,12,2,4,171,2.4176
1978,12,2,5,183,3.5191
1978,12,3,1,165,-0.5070
1978,12,3,2,288,1.9855
1978,12,3,3,295,2.1602
1978,12,3,4,291,1.6433
1978,12,3,5,176,0.5108
1979,1,1,1,147,11.5277
1979,1,1,2,152,10.8605
1979,1,1,3,66,10.9508
1979,1,1,4,64,11.7550
1979,1,1,5,103,10.2469
1979,1,2,1,168,10.0873
1979,1,2,2,199,7.3564
1979,1,2,3,143,8.6668
1979,1,2,4,184,6.8835
1979,1,2,5,191,7.6113
1979,1,3,1,158,6.6642
1979,1,3,2,292,4.3576
1979,1,3,3,294,3.3100
1979,1,3,4,299,4.8211
1979,1,3,5,183,4.6784
1979,2,1,1,163,-3.2929
1979,2,1,2,163,-4.8723
1979,2,1,3,105,-4.3791
1979,2,1,4,75,-4.2794
1979,2,1,5,116,-3.1591
1979,2,2,1,183,-3.2352
1979,2,2,2,217,-2.5619
1979,2,2,3,158,-3.0424
1979,2,2,4,198,-3.2713
1979,2,2,5,193,-4.0413
1979,2,3,1,154,-1.3776
1979,2,3,2,294,-2.3057
1979,2,3,3,311,-3.8552
1979,2,3,4,304,-4.1960
1979,2,3,5,183,-2.6938
1979,3,1,1,171,9.8635
1979,3,1,2,171,9.8230
1979,3,1,3,125,8.1157
1979,3,1,4,78,9.8962
1979,3,1,5,121,9.8266
1979,3,2,1,185,9.4980
1979,3,2,2,226,9.0341
1979,3,2,3,166,9.4568
1979,3,2,4,202,10.1131
1979,3,2,5,192,10.7337
1979,3,3,1,147,7.8794
1979,3,3,2,290,5.5949
1979,3,3,3,302,4.9056
1979,3,3,4,311,6.1814
1979,3,3,5,176,5.1890
1979,4,1,1,182,1.4726
1979,4,1,2,175,2.5892
1979,4,1,3,125,2.5692
1979,4,1,4,89,3.1454
1979,4,1,5,127,2.6715
1979,4,2,1,187,1.7721
1979,4,2,2,229,1.4455
1979,4,2,3,178,2.4493
1979,4,2,4,203,3.3666
1979,4,2,5,186,3.0091
1979,4,3,1,139,0.1820
1979,4,3,2,289,0.4558
1979,4,3,3,297,1.0441
1979,4,3,4,305,-0.0788
1979,4,3,5,181,-1.1298
1979,5,1,1,193,-1.3105
1979,5,1,2,181,-1.9543
1979,5,1,3,124,-2.8575
1979,5,1,4,94,-3.0897
1979,5,1,5,125,-0.2917
1979,5,2,1,186,-0.7187
1979,5,2,2,235,-2.0467
1979,5,2,3,179,-2.7235
1979,5,2,4,197,-2.1858
1979,5,2,5,187,-1.3658
1979,5,3,1,125,-0.6807
1979,5,3,2,282,-1.7472
1979,5,3,3,294,-1.3939
1979,5,3,4,315,-2.2670
1979,5,3,5,183,-1.0612
1979,6,1,1,208,4.8707
1979,6,1,2,185,4.8082
1979,6,1,3,128,5.8737
1979,6,1,4,105,5.8448
1979,6,1,5,125,3.5907
1979,6,2,1,181,4.9543
1979,6,2,2,245,3.8063
1979,6,2,3,194,4.0128
1979,6,2,4,211,3.4048
1979,6,2,5,171,3.6155
1979,6,3,1,118,6.4200
1979,6,3,2,287,5.1771
1979,6,3,3,305,3.1475
1979,6,3,4,307,2.9785
1979,6,3,5,181,2.9814
1979,7,1,1,213,2.2571
1979,7,1,2,159,0.2765
1979,7,1,3,141,2.3409
1979,7,1,4,112,3.1463
1979,7,1,5,137,3.9478
1979,7,2,1,175,3.8216
1979,7,2,2,232,3.3283
1979,7,2,3,199,2.6567
1979,7,2,4,209,3.8493
1979,7,2,5,166,3.0357
1979,7,3,1,120,2.2476
1979,7,3,2,290,2.1291
1979,7,3,3,314,0.4194
1979,7,3,4,304,0.7298
1979,7,3,5,181,1.4722
1979,8,1,1,229,7.2599
1979,8,1,2,180,9.4804
1979,8,1,3,139,10.1072
1979,8,1,4,122,9.4212
1979,8,1,5,129,10.2033
1979,8,2,1,183,6.8318
1979,8,2,2,236,7.6771
1979,8,2,3,217,9.0695
1979,8,2,4,215,8.0819
1979,8,2,5,168,9.8550
1979,8,3,1,122,5.6354
1979,8,3,2,292,5.6605
1979,8,3,3,322,5.7513
1979,8,3,4,306,6.9073
1979,8,3,5,173,6.9518
1979,9,1,1,240,-2.8024
1979,9,1,2,187,-1.0776
1979,9,1,3,132,-0.3179
1979,9,1,4,129,-1.4485
1979,9,1,5,133,-0.1776
1979,9,2,1,190,-1.4648
1979,9,2,2,251,0.1550
1979,9,2,3,218,0.4077
1979,9,2,4,224,1.4901
1979,9,2,5,166,-0.8097
1979,9,3,1,128,-1.9502
1979,9,3,2,299,-1.3668
1979,9,3,3,327,-1.2952
1979,9,3,4,297,0.9139
1979,9,3,5,172,2.0297
1979,10,1,1,238,-12.7569
1979,10,1,2,193,-11.0277
1979,10,1,3,123,-10.9593
1979,10,1,4,138,-9.9484
1979,10,1,5,126,-12.0901
1979,10,2,1,188,-11.0404
1979,10,2,2,242,-9.9393
1979,10,2,3,220,-8.6853
1979,10,2,4,229,-8.9121
1979,10,2,5,167,-11.5098
1979,10,3,1,131,-8.2002
1979,10,3,2,289,-6.8536
1979,10,3,3,322,-5.7663
1979,10,3,4,285,-6.0067
1979,10,3,5,165,-8.1266
1979,11,1,1,234,8.5570
1979,11,1,2,204,6.7610
1979,11,1,3,93,5.7958
1979,11,1,4,139,10.0815
1979,11,1,5,132,9.7413
1979,11,2,1,185,8.0469
1979,11,2,2,243,8.9054
1979,11,2,3,211,7.8805
1979,11,2,4,229,8.0449
1979,11,2,5,163,8.6067
1979,11,3,1,132,6.7716
1979,11,3,2,278,5.7065
1979,11,3,3,323,5.7037
1979,11,3,4,273,5.8390
1979,11,3,5,160,4.5681
1979,12,1,1,233,5.1993
1979,12,1,2,192,5.9018
1979,12,1,3,114,4.5597
1979,12,1,4,137,7.4940
1979,12,1,5,137,8.2175
1979,12,2,1,181,6.3287
1979,12,2,2,237,4.7016
1979,12,2,3,217,5.3088
1979,12,2,4,218,3.9712
1979,12,2,5,167,9.2223
1979,12,3,1,123,1.6543
1979,12,3,2,284,0.3638
1979,12,3,3,322,2.1361
1979,12,3,4,275,3.4017
1979,12,3,5,161,3.7290
1980,1,1,1,233,7.5363
1980,1,1,2,197,9.9799
1980,1,1,3,118,10.3669
1980,1,1,4,137,10.2772
1980,1,1,5,129,12.1125
1980,1,2,1,182,6.5140
1980,1,2,2,240,4.9384
1980,1,2,3,213,5.1575
1980,1,2,4,222,6.1017
1980,1,2,5,165,9.1702
1980,1,3,1,124,5.8565
1980,1,3,2,279,2.3283
1980,1,3,3,325,2.8084
1980,1,3,4,275,7.6426
1980,1,3,5,171,12.2968
1980,2,1,1,236,-3.0801
1980,2,1,2,185,-3.6454
1980,2,1,3,124,-2.8134
1980,2,1,4,137,-0.8665
1980,2,1,5,125,-2.6111
1980,2,2,1,173,-3.1458
1980,2,2,2,237,-3.2341
1980,2,2,3,195,-4.5801
1980,2,2,4,211,-3.3568
1980,2,2,5,170,-2.3131
1980,2,3,1,123,-5.1294
1980,2,3,2,269,-2.6584
1980,2,3,3,338,-3.9162
1980,2,3,4,272,-2.7290
1980,2,3,5,164,5.3129
1980,3,1,1,231,-19.3360
1980,3,1,2,175,-17.2264
1980,3,1,3,129,-16.5267
1980,3,1,4,125,-17.9793
1980,3,1,5,129,-17.2476
1980,3,2,1,173,-16.7249
1980,3,2,2,233,-15.0772
1980,3,2,3,206,-13.7191
1980,3,2,4,203,-13.7246
1980,3,2,5,163,-18.1435
1980,3,3,1,121,-11.2685
1980,3,3,2,270,-6.3598
1980,3,3,3,336,-6.7467
1980,3,3,4,289,-11.0872
1980,3,3,5,169,-15.6055
1980,4,1,1,241,4.5674
1980,4,1,2,172,4.4854
1980,4,1,3,132,4.5821
1980,4,1,4,119,7.0338
1980,4,1,5,133,7.8849
1980,4,2,1,176,5.5798
1980,4,2,2,234,6.3142
1980,4,2,3,207,6.1841
1980,4,2,4,208,5.8023
1980,4,2,5,170,5.2726
1980,4,3,1,118,1.4317
1980,4,3,2,268,6.6984
1980,4,3,3,337,4.6000
1980,4,3,4,294,3.8649
1980,4,3,5,171,5.5211
1980,5,1,1,234,7.4893
1980,5,1,2,155,7.0816
1980,5,1,3,140,6.8409
1980,5,1,4,117,6.8975
1980,5,1,5,129,7.4839
1980,5,2,1,180,10.2582
1980,5,2,2,224,8.3433
1980,5,2,3,204,9.1951
1980,5,2,4,206,8.5141
1980,5,2,5,162,7.8133
1980,5,3,1,114,4.2930
1980,5,3,2,262,4.9129
1980,5,3,3,333,6.3561
1980,5,3,4,293,6.5209
1980,5,3,5,174,4.8859
1980,6,1,1,226,3.4029
1980,6,1,2,156,3.4673
1980,6,1,3,137,3.6000
1980,6,1,4,118,3.4528
1980,6,1,5,124,2.7846
1980,6,2,1,179,2.3911
1980,6,2,2,237,3.9977
1980,6,2,3,215,4.2944
1980,6,2,4,206,4.4572
1980,6,2,5,173,3.4449
1980,6,3,1,115,2.7451
1980,6,3,2,268,3.2137
1980,6,3,3,340,1.5307
1980,6,3,4,309,2.8846
1980,6,3,5,175,3.7473
1980,7,1,1,222,10.9356
1980,7,1,2,162,11.2324
1980,7,1,3,134,11.7076
1980,7,1,4,110,14.2870
1980,7,1,5,122,12.6452
1980,7,2,1,179,10.3738
1980,7,2,2,242,10.6637
1980,7,2,3,234,9.6064
1980,7,2,4,206,12.7283
1980,7,2,5,187,11.4835
1980,7,3,1,119,10.8457
1980,7,3,2,279,7.3311
1980,7,3,3,352,8.3595
1980,7,3,4,320,8.4553
1980,7,3,5,181,5.2391
1980,8,1,1,222,6.9047
1980,8,1,2,163,9.0422
1980,8,1,3,149,8.8106
1980,8,1,4,108,6.1224
1980,8,1,5,125,8.7412
1980,8,2,1,170,5.4667
1980,8,2,2,231,3.3614
1980,8,2,3,244,6.2486
1980,8,2,4,228,4.7723
1980,8,2,5,198,6.0455
1980,8,3,1,125,1.0895
1980,8,3,2,273,0.4554
1980,8,3,3,350,0.6412
1980,8,3,4,323,2.8494
1980,8,3,5,181,2.2211
1980,9,1,1,227,2.7278
1980,9,1,2,161,2.7435
1980,9,1,3,155,2.4804
1980,9,1,4,105,3.0631
1980,9,1,5,120,1.0442
1980,9,2,1,162,2.8093
1980,9,2,2,230,1.6637
1980,9,2,3,255,4.4988
1980,9,2,4,231,4.3083
1980,9,2,5,200,4.3029
1980,9,3,1,124,-0.0243
1980,9,3,2,255,0.0097
1980,9,3,3,340,1.5826
1980,9,3,4,328,3.0690
1980,9,3,5,181,5.6421
1980,10,1,1,230,2.6181
1980,10,1,2,168,3.2643
1980,10,1,3,153,5.0222
1980,10,1,4,114,5.8895
1980,10,1,5,132,5.2901
1980,10,2,1,157,-0.1636
1980,10,2,2,231,0.7000
1980,10,2,3,254,2.9103
1980,10,2,4,235,3.7426
1980,10,2,5,209,4.8812
1980,10,3,1,116,-2.5898
1980,10,3,2,240,0.3182
1980,10,3,3,342,-0.3720
1980,10,3,4,337,0.7281
1980,10,3,5,190,6.0221
1980,11,1,1,228,3.1111
1980,11,1,2,158,2.9384
1980,11,1,3,150,5.3550
1980,11,1,4,116,8.0695
1980,11,1,5,136,4.7097
1980,11,2,1,154,4.6488
1980,11,2,2,221,2.9297
1980,11,2,3,239,6.0846
1980,11,2,4,231,7.7897
1980,11,2,5,204,9.4452
1980,11,3,1,111,0.4603
1980,11,3,2,231,4.0690
1980,11,3,3,328,6.6201
1980,11,3,4,317,11.2074
1980,11,3,5,191,19.1418
1980,12,1,1,219,-2.9845
1980,12,1,2,153,-3.9413
1980,12,1,3,139,-4.3580
1980,12,1,4,116,-3.4628
1980,12,1,5,130,-5.2492
1980,12,2,1,153,-3.9143
1980,12,2,2,221,-2.4634
1980,12,2,3,243,-1.1432
1980,12,2,4,222,-3.0654
1980,12,2,5,204,-2.4758
1980,12,3,1,100,-2.8728
1980,12,3,2,217,-0.7433
1980,12,3,3,311,0.6331
1980,12,3,4,320,-1.4046
1980,12,3,5,186,-7.4096
1981,1,1,1,220,3.7316
1981,1,1,2,163,3.1505
1981,1,1,3,155,2.1431
1981,1,1,4,109,-0.3109
1981,1,1,5,135,2.9001
1981,1,2,1,162,2.3722
1981,1,2,2,230,-0.1460
1981,1,2,3,255,-0.4438
1981,1,2,4,227,-1.3287
1981,1,2,5,196,-0.7300
1981,1,3,1,100,-1.0801
1981,1,3,2,213,-0.5200
1981,1,3,3,324,-1.9895
1981,1,3,4,317,-4.4019
1981,1,3,5,204,-8.5350
1981,2,1,1,225,1.0611
1981,2,1,2,169,-0.0042
1981,2,1,3,153,0.9097
1981,2,1,4,113,0.1639
1981,2,1,5,139,2.4711
1981,2,2,1,169,1.8311
1981,2,2,2,245,1.3484
1981,2,2,3,252,2.0218
1981,2,2,4,218,2.0065
1981,2,2,5,195,1.6805
1981,2,3,1,97,4.1239
1981,2,3,2,214,3.8136
1981,2,3,3,324,2.2910
1981,2,3,4,336,2.6407
1981,2,3,5,207,-0.4305
1981,3,1,1,221,8.3599
1981,3,1,2,178,8.8146
1981,3,1,3,139,9.4555
1981,3,1,4,112,9.4425
1981,3,1,5,144,7.8536
1981,3,2,1,165,8.5518
1981,3,2,2,255,6.6078
1981,3,2,3,250,6.1539
1981,3,2,4,218,9.6529
1981,3,2,5,203,9.6400
1981,3,3,1,97,10.4354
1981,3,3,2,228,6.3410
