year,month,rank_ME,rank_dEF_12,nstocks,ret_vw
1978,5,3,1,304,2.2017
1978,5,3,2,387,2.0086
1978,5,3,3,387,1.0142
1978,5,3,4,417,1.2297
1978,5,3,5,348,3.4133
1978,6,1,1,118,-0.1713
1978,6,1,2,30,0.1334
1978,6,1,3,15,1.7166
1978,6,1,4,27,0.2313
1978,6,1,5,110,-1.7108
1978,6,2,1,207,0.5870
1978,6,2,2,158,-1.8219
1978,6,2,3,89,0.6349
1978,6,2,4,129,1.0001
1978,6,2,5,230,0.8999
1978,6,3,1,307,-2.8550
1978,6,3,2,394,-2.1873
1978,6,3,3,401,-1.3055
1978,6,3,4,424,-1.0630
1978,6,3,5,346,-0.6214
1978,7,1,1,117,5.2318
1978,7,1,2,35,6.1165
1978,7,1,3,19,5.6507
1978,7,1,4,25,5.6017
1978,7,1,5,106,8.1332
1978,7,2,1,212,5.1281
1978,7,2,2,163,6.0381
1978,7,2,3,89,8.7982
1978,7,2,4,130,7.5843
1978,7,2,5,232,9.5975
1978,7,3,1,300,5.9209
1978,7,3,2,398,6.0619
1978,7,3,3,400,6.1602
1978,7,3,4,423,5.2897
1978,7,3,5,340,7.7784
1978,8,1,1,136,7.7438
1978,8,1,2,44,8.1765
1978,8,1,3,29,9.9489
1978,8,1,4,33,6.7656
1978,8,1,5,116,9.6371
1978,8,2,1,236,7.3364
1978,8,2,2,185,9.3664
1978,8,2,3,99,6.9954
1978,8,2,4,154,7.8652
1978,8,2,5,274,9.2846
1978,8,3,1,310,3.0680
1978,8,3,2,406,3.7380
1978,8,3,3,426,3.2644
1978,8,3,4,434,3.1721
1978,8,3,5,352,4.0578
1978,9,1,1,151,-0.2031
1978,9,1,2,47,0.4627
1978,9,1,3,34,-3.9110
1978,9,1,4,44,0.1059
1978,9,1,5,120,-1.4486
1978,9,2,1,241,-2.6642
1978,9,2,2,195,-1.7175
1978,9,2,3,110,-1.6040
1978,9,2,4,168,-1.9560
1978,9,2,5,290,-2.8090
