year,month,rank_ME,rank_ILR_12,nstocks,ret_vw
1968,8,2,2,482,2.9869
1968,8,2,3,487,3.4880
1968,8,2,4,488,3.5593
1968,8,2,5,349,4.2402
1968,8,3,1,472,1.0481
1968,8,3,2,610,1.9798
1968,8,3,3,601,2.8113
1968,8,3,4,612,1.3432
1968,8,3,5,411,1.6113
1968,9,1,1,670,7.6322
1968,9,1,2,877,6.3915
1968,9,1,3,916,7.5274
1968,9,1,4,921,7.2789
1968,9,1,5,602,8.1023
1968,9,2,1,398,6.7635
1968,9,2,2,491,6.4927
1968,9,2,3,486,7.1362
1968,9,2,4,484,6.2215
1968,9,2,5,332,7.6327
1968,9,3,1,480,6.8430
1968,9,3,2,608,5.1553
1968,9,3,3,604,5.7303
1968,9,3,4,612,5.1012
1968,9,3,5,406,6.3186
1968,10,1,1,674,-0.2771
1968,10,1,2,900,0.2659
1968,10,1,3,887,-0.3846
1968,10,1,4,923,0.1550
1968,10,1,5,640,-0.2062
1968,10,2,1,400,0.4171
1968,10,2,2,509,0.6240
1968,10,2,3,485,0.5368
1968,10,2,4,480,0.8736
1968,10,2,5,354,-0.0568
1968,10,3,1,510,0.1252
1968,10,3,2,617,0.0663
1968,10,3,3,607,0.5953
1968,10,3,4,612,0.7003
1968,10,3,5,433,0.6068
1968,11,1,1,684,5.7625
1968,11,1,2,905,6.7881
1968,11,1,3,888,6.5506
1968,11,1,4,914,6.1986
1968,11,1,5,672,6.5852
1968,11,2,1,389,8.1913
1968,11,2,2,510,7.7506
1968,11,2,3,485,8.1647
1968,11,2,4,475,7.4285
1968,11,2,5,366,7.6740
1968,11,3,1,488,6.8544
1968,11,3,2,610,6.7650
1968,11,3,3,609,5.3771
1968,11,3,4,610,6.1963
1968,11,3,5,465,6.1739
1968,12,1,1,735,4.5058
1968,12,1,2,917,1.8860
1968,12,1,3,884,3.2629
1968,12,1,4,927,2.9663
1968,12,1,5,670,3.3416
1968,12,2,1,420,-0.8078
1968,12,2,2,505,-0.2476
1968,12,2,3,491,-0.9531
