year,month,rank_ME,rank_P52W_6,nstocks,ret_vw
1969,4,2,1,199,-0.7075
1969,4,2,2,250,0.7340
1969,4,2,3,245,0.9039
1969,4,2,4,258,0.8054
1969,4,2,5,260,1.0673
1969,4,3,1,160,1.2901
1969,4,3,2,306,3.1997
1969,4,3,3,390,2.8268
1969,4,3,4,386,1.7873
1969,4,3,5,403,1.4585
1969,5,1,1,592,0.5187
1969,5,1,2,541,1.0071
1969,5,1,3,406,1.0115
1969,5,1,4,328,0.3665
1969,5,1,5,344,0.9035
1969,5,2,1,200,-1.1492
1969,5,2,2,245,0.1097
1969,5,2,3,244,0.2255
1969,5,2,4,257,1.4060
1969,5,2,5,262,0.5526
1969,5,3,1,159,-2.0719
1969,5,3,2,283,0.0406
1969,5,3,3,370,0.9793
1969,5,3,4,381,0.6040
1969,5,3,5,394,0.8171
1969,6,1,1,592,-14.7136
1969,6,1,2,521,-13.3659
1969,6,1,3,405,-11.8170
1969,6,1,4,321,-11.7398
1969,6,1,5,296,-11.5520
1969,6,2,1,199,-13.4253
1969,6,2,2,248,-11.8549
1969,6,2,3,249,-10.8503
1969,6,2,4,248,-9.5682
1969,6,2,5,231,-9.9178
1969,6,3,1,156,-8.7329
1969,6,3,2,268,-5.8573
1969,6,3,3,359,-4.9385
1969,6,3,4,379,-5.6159
1969,6,3,5,357,-6.8269
1969,7,1,1,600,-12.6617
1969,7,1,2,511,-11.4155
1969,7,1,3,394,-10.6405
1969,7,1,4,284,-9.5805
1969,7,1,5,226,-9.1588
1969,7,2,1,198,-12.4364
1969,7,2,2,252,-9.3548
1969,7,2,3,246,-9.0372
1969,7,2,4,249,-8.2679
1969,7,2,5,207,-6.6554
1969,7,3,1,137,-10.3677
1969,7,3,2,245,-7.5053
1969,7,3,3,348,-5.5403
1969,7,3,4,377,-5.3153
1969,7,3,5,357,-5.5444
1969,8,1,1,610,3.9877
1969,8,1,2,522,3.7270
1969,8,1,3,369,3.7275
1969,8,1,4,242,5.8911
1969,8,1,5,177,7.0589
1969,8,2,1,199,6.8843
1969,8,2,2,250,6.0007
1969,8,2,3,245,5.9156
1969,8,2,4,228,5.2268
1969,8,2,5,184,6.2331
1969,8,3,1,120,6.3487
1969,8,3,2,229,4.4675
1969,8,3,3,330,5.2030
1969,8,3,4,381,3.8915
1969,8,3,5,336,5.0172
1969,9,1,1,606,-4.2365
1969,9,1,2,511,-3.3178
1969,9,1,3,357,-2.4098
1969,9,1,4,233,-1.6233
1969,9,1,5,168,-0.2041
1969,9,2,1,187,-1.2709
1969,9,2,2,244,-1.1597
1969,9,2,3,234,-0.8545
1969,9,2,4,219,-0.1626
1969,9,2,5,174,0.9148
1969,9,3,1,110,-4.3092
1969,9,3,2,205,-2.9011
1969,9,3,3,317,-3.3333
1969,9,3,4,358,-2.4993
1969,9,3,5,331,-2.5146
1969,10,1,1,633,13.2840
1969,10,1,2,494,9.4921
1969,10,1,3,333,7.5262
1969,10,1,4,219,7.1981
1969,10,1,5,149,8.8905
1969,10,2,1,181,11.3312
1969,10,2,2,237,7.4208
1969,10,2,3,236,6.8377
1969,10,2,4,216,5.9860
1969,10,2,5,168,6.9173
1969,10,3,1,105,9.0141
1969,10,3,2,191,6.3511
1969,10,3,3,304,4.4127
1969,10,3,4,355,4.6734
1969,10,3,5,328,4.8296
1969,11,1,1,627,-8.7848
1969,11,1,2,504,-7.0137
1969,11,1,3,334,-4.7520
1969,11,1,4,221,-4.5810
1969,11,1,5,126,-4.1394
1969,11,2,1,189,-7.0693
1969,11,2,2,237,-4.5563
1969,11,2,3,240,-4.8686
1969,11,2,4,206,-3.9516
1969,11,2,5,157,-2.1366
1969,11,3,1,104,-6.2668
1969,11,3,2,198,-4.5928
1969,11,3,3,304,-3.9287
1969,11,3,4,345,-3.9928
1969,11,3,5,330,-1.4831
1969,12,1,1,621,-10.6544
1969,12,1,2,485,-8.7402
1969,12,1,3,316,-6.8527
1969,12,1,4,199,-4.3133
1969,12,1,5,114,-0.6774
1969,12,2,1,179,-7.5995
1969,12,2,2,244,-6.4161
1969,12,2,3,240,-5.0674
1969,12,2,4,202,-3.4018
1969,12,2,5,149,-2.5048
1969,12,3,1,98,-5.4561
1969,12,3,2,188,-5.1947
1969,12,3,3,294,-2.6834
1969,12,3,4,341,-2.2653
1969,12,3,5,320,0.0587
1970,1,1,1,634,-1.8410
1970,1,1,2,478,-2.7060
1970,1,1,3,305,-2.5938
1970,1,1,4,193,-3.6901
1970,1,1,5,116,-4.0928
1970,1,2,1,184,-8.5411
1970,1,2,2,242,-5.6130
1970,1,2,3,241,-5.7386
1970,1,2,4,197,-6.2033
1970,1,2,5,153,-4.7593
1970,1,3,1,87,-9.9170
1970,1,3,2,193,-11.1185
1970,1,3,3,282,-9.1085
1970,1,3,4,343,-7.2961
1970,1,3,5,323,-6.6403
1970,2,1,1,646,2.9666
1970,2,1,2,486,2.7085
1970,2,1,3,306,2.6726
1970,2,1,4,197,2.6372
1970,2,1,5,114,2.6233
1970,2,2,1,190,3.3792
1970,2,2,2,239,2.7207
1970,2,2,3,239,3.6020
1970,2,2,4,205,4.6779
1970,2,2,5,160,4.8931
1970,2,3,1,95,5.4370
1970,2,3,2,205,6.3663
1970,2,3,3,280,6.6540
1970,2,3,4,331,6.9892
1970,2,3,5,313,4.6734
1970,3,1,1,650,-3.6097
1970,3,1,2,491,-2.4608
1970,3,1,3,312,-2.6584
1970,3,1,4,206,-3.8799
1970,3,1,5,118,-5.1668
1970,3,2,1,188,-2.9982
1970,3,2,2,248,-1.6185
1970,3,2,3,236,-0.9365
1970,3,2,4,204,-0.1427
1970,3,2,5,160,-4.1535
1970,3,3,1,98,-2.6648
1970,3,3,2,207,-0.6604
1970,3,3,3,283,1.6279
1970,3,3,4,354,2.3066
1970,3,3,5,317,-1.4388
1970,4,1,1,651,-19.3006
1970,4,1,2,497,-17.4931
1970,4,1,3,316,-14.3265
1970,4,1,4,201,-15.3769
1970,4,1,5,123,-19.4263
1970,4,2,1,183,-19.6167
1970,4,2,2,244,-15.0341
1970,4,2,3,239,-12.7970
1970,4,2,4,200,-13.1563
1970,4,2,5,159,-17.4342
1970,4,3,1,96,-13.5410
1970,4,3,2,197,-8.9246
1970,4,3,3,291,-9.8088
1970,4,3,4,352,-8.7252
1970,4,3,5,324,-9.7333
1970,5,1,1,679,-8.0852
1970,5,1,2,511,-10.1238
1970,5,1,3,305,-10.4030
1970,5,1,4,201,-10.4698
1970,5,1,5,108,-10.6674
1970,5,2,1,193,-11.3040
1970,5,2,2,259,-9.8837
1970,5,2,3,253,-9.7553
1970,5,2,4,214,-8.6165
1970,5,2,5,164,-9.6990
1970,5,3,1,99,-5.1438
1970,5,3,2,198,-1.0210
1970,5,3,3,310,-4.4443
1970,5,3,4,370,-6.7067
1970,5,3,5,336,-7.2803
1970,6,1,1,707,-11.5838
1970,6,1,2,502,-8.3362
1970,6,1,3,313,-6.5245
1970,6,1,4,188,-4.8137
1970,6,1,5,105,-3.9146
1970,6,2,1,202,-9.6508
1970,6,2,2,254,-9.7558
1970,6,2,3,259,-6.6781
1970,6,2,4,211,-4.8922
1970,6,2,5,160,-3.7306
1970,6,3,1,97,-9.8159
1970,6,3,2,210,-4.8687
1970,6,3,3,323,-5.4548
1970,6,3,4,378,-5.4445
1970,6,3,5,358,-4.1231
1970,7,1,1,687,3.7392
1970,7,1,2,530,4.2956
1970,7,1,3,329,4.9081
1970,7,1,4,194,4.9689
1970,7,1,5,95,5.0105
1970,7,2,1,209,8.6552
1970,7,2,2,254,8.3609
1970,7,2,3,253,7.4465
1970,7,2,4,207,6.7537
1970,7,2,5,148,6.0280
1970,7,3,1,99,12.3942
1970,7,3,2,215,10.7338
1970,7,3,3,323,8.5683
1970,7,3,4,402,6.5326
1970,7,3,5,343,6.3146
1970,8,1,1,703,7.3168
1970,8,1,2,544,5.6957
1970,8,1,3,334,4.4959
1970,8,1,4,186,3.3477
1970,8,1,5,87,3.7594
1970,8,2,1,217,11.9352
1970,8,2,2,254,8.0109
1970,8,2,3,254,5.4260
1970,8,2,4,205,3.1658
1970,8,2,5,141,2.5863
1970,8,3,1,98,10.2935
1970,8,3,2,214,8.0542
1970,8,3,3,316,6.6539
1970,8,3,4,397,5.1160
1970,8,3,5,340,3.1504
1970,9,1,1,712,19.9710
1970,9,1,2,523,13.1195
1970,9,1,3,315,8.6001
1970,9,1,4,177,8.2662
1970,9,1,5,76,8.7546
1970,9,2,1,214,20.2254
1970,9,2,2,248,11.9648
1970,9,2,3,254,8.2002
1970,9,2,4,194,6.2911
1970,9,2,5,126,4.6067
1970,9,3,1,92,11.0902
1970,9,3,2,211,6.3306
1970,9,3,3,315,4.8404
1970,9,3,4,379,4.4415
1970,9,3,5,323,1.8928
1970,10,1,1,703,-12.0860
1970,10,1,2,518,-5.8697
1970,10,1,3,307,-1.9161
1970,10,1,4,184,-0.2110
1970,10,1,5,85,0.1274
1970,10,2,1,215,-10.8564
1970,10,2,2,247,-4.9721
1970,10,2,3,241,-2.3951
1970,10,2,4,185,-2.1288
1970,10,2,5,116,0.4624
1970,10,3,1,93,-8.0406
1970,10,3,2,200,-4.4888
1970,10,3,3,304,-0.8445
1970,10,3,4,375,-0.4397
1970,10,3,5,318,-0.5622
1970,11,1,1,690,-3.0972
1970,11,1,2,505,-1.1634
1970,11,1,3,288,-0.4263
1970,11,1,4,181,1.1286
1970,11,1,5,101,0.8547
1970,11,2,1,214,0.7797
1970,11,2,2,232,2.3460
1970,11,2,3,230,3.8580
1970,11,2,4,182,4.1139
1970,11,2,5,120,4.4504
1970,11,3,1,90,4.4571
1970,11,3,2,185,4.8553
1970,11,3,3,301,4.8109
1970,11,3,4,365,5.0813
1970,11,3,5,317,6.1480
1970,12,1,1,678,8.3164
1970,12,1,2,507,8.7664
1970,12,1,3,291,10.6757
1970,12,1,4,194,10.1002
1970,12,1,5,101,11.4655
1970,12,2,1,201,7.3975
1970,12,2,2,231,9.7757
1970,12,2,3,224,9.1582
1970,12,2,4,182,8.3439
1970,12,2,5,142,7.2337
1970,12,3,1,80,5.7314
1970,12,3,2,184,7.5235
1970,12,3,3,288,6.5566
1970,12,3,4,361,6.8415
1970,12,3,5,323,4.6502
1971,1,1,1,690,19.6290
1971,1,1,2,483,14.4222
1971,1,1,3,299,11.1400
1971,1,1,4,189,11.6837
1971,1,1,5,117,9.4874
1971,1,2,1,195,14.1406
1971,1,2,2,226,10.2669
1971,1,2,3,227,9.0793
1971,1,2,4,186,7.4637
1971,1,2,5,155,7.6747
1971,1,3,1,79,12.4665
1971,1,3,2,183,9.4049
1971,1,3,3,289,4.2571
1971,1,3,4,361,4.6924
1971,1,3,5,335,3.1915
1971,2,1,1,699,6.7261
1971,2,1,2,505,4.5443
1971,2,1,3,317,4.3428
1971,2,1,4,206,4.9197
1971,2,1,5,190,6.7304
1971,2,2,1,202,2.9820
1971,2,2,2,236,2.3847
1971,2,2,3,231,3.3234
1971,2,2,4,203,3.0576
1971,2,2,5,198,2.8016
1971,2,3,1,91,0.6448
1971,2,3,2,195,1.2532
1971,2,3,3,318,2.0740
1971,2,3,4,392,0.5722
1971,2,3,5,387,1.8025
1971,3,1,1,697,5.5895
1971,3,1,2,544,5.6045
1971,3,1,3,351,6.8106
1971,3,1,4,245,7.6105
1971,3,1,5,223,6.7861
1971,3,2,1,193,7.9895
1971,3,2,2,253,6.1731
1971,3,2,3,243,5.0814
1971,3,2,4,211,4.6279
1971,3,2,5,230,5.9767
1971,3,3,1,106,8.7869
1971,3,3,2,213,5.6827
1971,3,3,3,338,4.8752
1971,3,3,4,409,2.5599
1971,3,3,5,412,3.6654
1971,4,1,1,708,1.7913
1971,4,1,2,589,3.6285
