year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1968,7,3,1,432,-2.9361
1968,7,3,2,484,-1.7292
1968,7,3,3,300,-2.1395
1968,7,3,4,369,-2.5952
1968,7,3,5,343,-2.7773
1968,8,1,1,585,3.0928
1968,8,1,2,548,3.7127
1968,8,1,3,615,4.7542
1968,8,1,4,661,5.7009
1968,8,1,5,357,5.8916
1968,8,2,1,304,2.3216
1968,8,2,2,298,2.6938
1968,8,2,3,319,3.8821
1968,8,2,4,296,4.9276
1968,8,2,5,209,4.5126
1968,8,3,1,439,0.9848
1968,8,3,2,426,1.7573
1968,8,3,3,397,2.3388
1968,8,3,4,347,1.7487
1968,8,3,5,362,1.2979
1968,9,1,1,464,6.2559
1968,9,1,2,503,6.3215
1968,9,1,3,591,6.9030
1968,9,1,4,703,6.4404
1968,9,1,5,364,9.1028
1968,9,2,1,269,5.9079
1968,9,2,2,279,6.1103
1968,9,2,3,324,6.6500
1968,9,2,4,296,7.3694
1968,9,2,5,200,6.5853
1968,9,3,1,408,3.4452
1968,9,3,2,395,4.2334
1968,9,3,3,396,4.7740
1968,9,3,4,351,5.3512
1968,9,3,5,343,3.4063
1968,10,1,1,520,-0.9106
1968,10,1,2,526,-1.1293
1968,10,1,3,571,0.9768
1968,10,1,4,671,1.5900
1968,10,1,5,362,-1.0674
1968,10,2,1,286,0.7186
1968,10,2,2,284,0.8683
1968,10,2,3,310,0.3919
1968,10,2,4,309,1.5409
1968,10,2,5,208,0.6939
1968,10,3,1,413,-0.2858
1968,10,3,2,399,1.6882
1968,10,3,3,373,1.7775
1968,10,3,4,380,1.4384
1968,10,3,5,356,0.8890
1968,11,1,1,552,7.2224
1968,11,1,2,519,6.8321
1968,11,1,3,565,6.7398
1968,11,1,4,663,7.9526
1968,11,1,5,414,6.9983
1968,11,2,1,290,7.8973
1968,11,2,2,256,9.5639
1968,11,2,3,315,7.2751
1968,11,2,4,342,7.8138
1968,11,2,5,234,7.6486
1968,11,3,1,426,6.4791
1968,11,3,2,325,5.0368
1968,11,3,3,374,5.7700
1968,11,3,4,442,4.6646
1968,11,3,5,376,5.9381
1968,12,1,1,578,2.6765
1968,12,1,2,539,2.6834
1968,12,1,3,656,1.7424
1968,12,1,4,644,1.8782
1968,12,1,5,452,3.7468
1968,12,2,1,304,-1.0768
1968,12,2,2,245,-0.8617
1968,12,2,3,354,-1.6535
1968,12,2,4,332,-1.6762
1968,12,2,5,242,-0.7658
1968,12,3,1,451,-3.7423
1968,12,3,2,255,-3.2901
1968,12,3,3,474,-4.3494
1968,12,3,4,434,-4.0686
1968,12,3,5,387,-3.5977
1969,1,1,1,546,-1.0150
1969,1,1,2,556,-0.4886
1969,1,1,3,678,-0.0666
1969,1,1,4,655,-0.5213
1969,1,1,5,409,-0.7323
1969,1,2,1,277,-1.8161
1969,1,2,2,268,-1.1652
1969,1,2,3,354,-0.2786
1969,1,2,4,337,-1.0455
1969,1,2,5,232,-1.3192
1969,1,3,1,432,-1.9035
1969,1,3,2,299,-0.5266
1969,1,3,3,444,0.4637
1969,1,3,4,439,-0.5128
1969,1,3,5,382,-1.5855
1969,2,1,1,515,-10.9241
1969,2,1,2,557,-9.5112
1969,2,1,3,669,-9.9909
1969,2,1,4,651,-9.6942
1969,2,1,5,450,-10.8475
1969,2,2,1,269,-8.2481
1969,2,2,2,272,-8.9448
1969,2,2,3,343,-8.0139
1969,2,2,4,358,-7.9576
1969,2,2,5,230,-10.0945
1969,2,3,1,409,-4.2407
1969,2,3,2,315,-5.5051
1969,2,3,3,413,-5.0958
1969,2,3,4,464,-4.7061
1969,2,3,5,337,-4.9047
1969,3,1,1,628,1.9396
1969,3,1,2,531,1.8554
1969,3,1,3,644,2.6823
1969,3,1,4,661,1.6764
1969,3,1,5,544,2.1179
1969,3,2,1,299,2.3590
1969,3,2,2,281,2.3738
1969,3,2,3,334,2.1813
1969,3,2,4,367,1.4876
1969,3,2,5,255,3.1388
1969,3,3,1,453,3.5283
1969,3,3,2,322,3.7511
1969,3,3,3,415,1.7218
1969,3,3,4,482,3.1416
1969,3,3,5,361,4.2922
1969,4,1,1,577,-0.5164
1969,4,1,2,690,-0.8626
1969,4,1,3,667,-0.6423
1969,4,1,4,621,-0.5998
1969,4,1,5,558,-0.9382
1969,4,2,1,260,0.4800
1969,4,2,2,357,0.7043
1969,4,2,3,336,0.4597
1969,4,2,4,342,0.0322
1969,4,2,5,269,1.6968
1969,4,3,1,356,2.1364
1969,4,3,2,457,2.1296
1969,4,3,3,453,3.1990
1969,4,3,4,450,1.1313
1969,4,3,5,364,2.4699
1969,5,1,1,598,-0.5042
1969,5,1,2,691,0.5508
1969,5,1,3,626,1.5360
1969,5,1,4,658,0.6713
1969,5,1,5,577,2.2033
1969,5,2,1,273,-0.6828
1969,5,2,2,365,-0.1972
1969,5,2,3,329,0.6742
1969,5,2,4,353,-0.2846
1969,5,2,5,274,1.1739
1969,5,3,1,366,0.8383
1969,5,3,2,468,0.0886
1969,5,3,3,445,0.0922
1969,5,3,4,464,0.6185
1969,5,3,5,356,-0.6649
1969,6,1,1,595,-12.9695
1969,6,1,2,693,-12.8534
1969,6,1,3,592,-13.3957
1969,6,1,4,620,-12.8920
1969,6,1,5,578,-13.6959
1969,6,2,1,273,-11.9511
1969,6,2,2,371,-11.2172
1969,6,2,3,352,-11.7187
1969,6,2,4,336,-10.5634
1969,6,2,5,279,-11.8659
1969,6,3,1,363,-6.0273
1969,6,3,2,477,-5.7308
1969,6,3,3,456,-6.9671
1969,6,3,4,417,-6.3057
1969,6,3,5,360,-5.7037
1969,7,1,1,591,-11.6963
1969,7,1,2,630,-11.4739
1969,7,1,3,649,-11.5551
1969,7,1,4,623,-10.8126
1969,7,1,5,509,-11.3298
1969,7,2,1,265,-9.5889
1969,7,2,2,348,-10.3047
1969,7,2,3,376,-9.0900
1969,7,2,4,339,-8.5931
1969,7,2,5,282,-9.1392
1969,7,3,1,347,-6.5193
1969,7,3,2,442,-5.8836
1969,7,3,3,471,-6.7832
1969,7,3,4,437,-5.3482
1969,7,3,5,409,-5.3639
1969,8,1,1,580,4.5408
1969,8,1,2,694,5.0920
1969,8,1,3,688,4.5146
1969,8,1,4,634,4.3300
1969,8,1,5,444,4.0880
1969,8,2,1,259,6.0829
1969,8,2,2,382,6.6241
1969,8,2,3,388,6.5799
1969,8,2,4,352,6.2979
1969,8,2,5,231,6.3238
1969,8,3,1,341,5.4622
1969,8,3,2,454,5.2512
1969,8,3,3,498,4.5080
1969,8,3,4,439,3.1039
1969,8,3,5,342,5.4617
1969,9,1,1,510,-3.7839
1969,9,1,2,637,-3.1502
1969,9,1,3,682,-3.3748
1969,9,1,4,693,-2.4915
1969,9,1,5,452,-2.9870
1969,9,2,1,263,-1.1774
1969,9,2,2,348,-0.3775
1969,9,2,3,376,-0.9451
1969,9,2,4,371,0.3691
1969,9,2,5,241,-0.8650
1969,9,3,1,392,-2.6274
1969,9,3,2,415,-3.4574
1969,9,3,3,498,-2.8064
1969,9,3,4,497,-1.9434
1969,9,3,5,365,-1.3320
1969,10,1,1,516,9.5892
1969,10,1,2,646,9.9876
1969,10,1,3,747,10.1750
1969,10,1,4,740,10.3990
1969,10,1,5,451,12.2968
1969,10,2,1,274,6.9482
1969,10,2,2,310,7.1622
1969,10,2,3,400,7.8648
1969,10,2,4,385,8.4412
1969,10,2,5,245,8.4847
1969,10,3,1,386,4.9759
1969,10,3,2,344,4.5511
1969,10,3,3,496,4.8493
1969,10,3,4,525,5.2277
1969,10,3,5,372,6.0962
1969,11,1,1,502,-7.5953
1969,11,1,2,686,-6.7865
1969,11,1,3,724,-6.8093
1969,11,1,4,739,-6.7707
1969,11,1,5,449,-6.9427
1969,11,2,1,277,-5.2921
1969,11,2,2,334,-4.3718
1969,11,2,3,389,-5.0615
1969,11,2,4,388,-4.1731
1969,11,2,5,234,-3.6581
1969,11,3,1,389,-3.9903
1969,11,3,2,388,-3.1250
1969,11,3,3,459,-3.5746
1969,11,3,4,514,-2.2787
1969,11,3,5,365,-1.7803
1969,12,1,1,470,-9.1814
1969,12,1,2,729,-8.8952
1969,12,1,3,704,-7.8662
1969,12,1,4,667,-7.9580
1969,12,1,5,402,-7.0524
1969,12,2,1,269,-6.7238
1969,12,2,2,377,-4.9570
1969,12,2,3,374,-5.5240
1969,12,2,4,349,-4.9103
1969,12,2,5,204,-4.3495
1969,12,3,1,342,-2.7568
1969,12,3,2,475,-2.7269
1969,12,3,3,431,-1.8503
1969,12,3,4,462,-1.5829
1969,12,3,5,339,0.2376
1970,1,1,1,460,-1.6644
1970,1,1,2,690,-3.0821
1970,1,1,3,684,-2.6864
1970,1,1,4,644,-2.7100
1970,1,1,5,378,-4.0661
1970,1,2,1,274,-6.3389
1970,1,2,2,352,-6.1605
1970,1,2,3,353,-6.0658
1970,1,2,4,338,-6.0525
1970,1,2,5,206,-7.1474
1970,1,3,1,338,-10.2489
1970,1,3,2,407,-6.8064
1970,1,3,3,416,-6.5279
1970,1,3,4,451,-7.3637
1970,1,3,5,352,-7.5765
1970,2,1,1,518,2.8171
1970,2,1,2,704,1.9520
1970,2,1,3,710,2.9152
1970,2,1,4,657,2.8489
1970,2,1,5,427,2.9773
1970,2,2,1,290,3.2050
1970,2,2,2,345,3.5711
1970,2,2,3,380,3.8067
1970,2,2,4,344,4.0203
1970,2,2,5,207,3.2793
1970,2,3,1,406,5.7759
1970,2,3,2,413,6.2768
1970,2,3,3,465,6.3465
1970,2,3,4,462,8.2650
1970,2,3,5,302,3.4479
1970,3,1,1,489,-4.3199
1970,3,1,2,727,-3.1984
1970,3,1,3,670,-3.8048
1970,3,1,4,598,-3.1237
1970,3,1,5,442,-4.0566
1970,3,2,1,263,-3.6281
1970,3,2,2,380,-2.5177
1970,3,2,3,357,-1.6111
1970,3,2,4,299,-0.3306
1970,3,2,5,201,-3.2056
1970,3,3,1,348,-0.4704
1970,3,3,2,451,-0.4771
1970,3,3,3,422,0.8056
1970,3,3,4,374,0.7712
1970,3,3,5,282,-0.8234
1970,4,1,1,469,-19.5822
1970,4,1,2,753,-18.1542
1970,4,1,3,729,-17.7055
1970,4,1,4,557,-16.4774
1970,4,1,5,486,-18.1981
1970,4,2,1,253,-18.1420
1970,4,2,2,398,-15.9521
1970,4,2,3,347,-15.9382
1970,4,2,4,275,-13.4969
1970,4,2,5,219,-16.6874
1970,4,3,1,337,-9.6419
1970,4,3,2,462,-9.8674
1970,4,3,3,384,-9.8494
1970,4,3,4,348,-9.2062
1970,4,3,5,305,-9.8198
1970,5,1,1,487,-9.7757
1970,5,1,2,679,-10.3198
1970,5,1,3,699,-9.5741
1970,5,1,4,572,-8.5331
1970,5,1,5,438,-8.2525
1970,5,2,1,250,-11.9586
1970,5,2,2,359,-11.0048
1970,5,2,3,328,-9.8810
1970,5,2,4,293,-8.6715
1970,5,2,5,225,-10.1287
1970,5,3,1,313,-5.4280
1970,5,3,2,433,-5.3097
1970,5,3,3,374,-5.7103
1970,5,3,4,398,-6.2924
1970,5,3,5,312,-6.5417
1970,6,1,1,423,-10.6553
