year,month,rank_ME,rank_SM_1,nstocks,ret_vw
1978,12,1,3,105,1.7766
1978,12,1,4,148,1.0239
1978,12,1,5,148,2.0309
1978,12,2,1,57,1.6158
1978,12,2,2,51,0.2173
1978,12,2,3,47,2.9535
1978,12,2,4,43,2.8264
1978,12,2,5,58,2.2236
1978,12,3,1,67,0.4609
1978,12,3,2,77,1.4048
1978,12,3,3,79,1.9880
1978,12,3,4,83,2.5122
1978,12,3,5,71,4.5599
1979,1,1,1,127,11.9107
1979,1,1,2,129,10.4506
1979,1,1,3,101,14.3041
1979,1,1,4,100,12.6787
1979,1,1,5,156,11.0395
1979,1,2,1,60,8.7171
1979,1,2,2,46,10.6633
1979,1,2,3,56,8.7501
1979,1,2,4,36,8.7419
1979,1,2,5,56,8.9096
1979,1,3,1,67,6.0900
1979,1,3,2,75,3.6984
1979,1,3,3,75,4.0547
1979,1,3,4,86,4.0882
1979,1,3,5,77,5.2136
1979,2,1,1,128,-4.1003
1979,2,1,2,104,-2.5882
1979,2,1,3,126,-0.1663
1979,2,1,4,128,-1.7762
1979,2,1,5,124,-2.8097
1979,2,2,1,41,-5.2100
1979,2,2,2,40,-2.7257
1979,2,2,3,57,-1.7993
1979,2,2,4,64,-2.0031
1979,2,2,5,54,-0.8458
1979,2,3,1,84,-2.5205
1979,2,3,2,78,-3.6690
1979,2,3,3,81,-2.7775
1979,2,3,4,71,-2.7415
1979,2,3,5,62,-3.2761
1979,3,1,1,175,10.9035
1979,3,1,2,127,9.3766
1979,3,1,3,130,8.8061
1979,3,1,4,67,9.6395
1979,3,1,5,114,12.9171
1979,3,2,1,42,11.2899
1979,3,2,2,58,9.9671
1979,3,2,3,52,9.8205
1979,3,2,4,42,12.1024
1979,3,2,5,59,11.0504
1979,3,3,1,61,6.2762
1979,3,3,2,68,4.2608
1979,3,3,3,77,6.3663
1979,3,3,4,83,7.7171
1979,3,3,5,83,9.2640
1979,4,1,1,145,2.8062
1979,4,1,2,121,1.3405
1979,4,1,3,114,1.9514
1979,4,1,4,96,3.7730
1979,4,1,5,132,4.1331
1979,4,2,1,43,2.5508
