year,month,rank_ME,rank_IM_6,nstocks,ret_vw
1968,8,2,5,174,5.7162
1968,8,3,1,288,1.6562
1968,8,3,2,433,1.1400
1968,8,3,3,414,2.1382
1968,8,3,4,238,2.2248
1968,8,3,5,156,2.3240
1968,9,1,1,347,8.6284
1968,9,1,2,517,7.5126
1968,9,1,3,674,6.7767
1968,9,1,4,475,7.5233
1968,9,1,5,353,7.7747
1968,9,2,1,211,6.1165
1968,9,2,2,303,5.6688
1968,9,2,3,342,6.5787
1968,9,2,4,228,7.1135
1968,9,2,5,161,8.1294
1968,9,3,1,294,5.4495
1968,9,3,2,436,5.3841
1968,9,3,3,478,5.4450
1968,9,3,4,240,6.7914
1968,9,3,5,154,6.1943
1968,10,1,1,304,-2.2328
1968,10,1,2,482,-0.4498
1968,10,1,3,549,-0.0799
1968,10,1,4,503,0.2583
1968,10,1,5,340,0.8408
1968,10,2,1,182,-0.5128
1968,10,2,2,292,0.8323
1968,10,2,3,290,1.7198
1968,10,2,4,252,0.2336
1968,10,2,5,155,0.0174
1968,10,3,1,249,0.1890
1968,10,3,2,428,0.2735
1968,10,3,3,403,0.0390
1968,10,3,4,264,-0.0825
1968,10,3,5,134,0.8952
1968,11,1,1,284,4.4721
1968,11,1,2,513,5.7101
1968,11,1,3,568,6.3767
1968,11,1,4,589,6.5143
1968,11,1,5,341,7.0256
1968,11,2,1,168,7.6913
1968,11,2,2,314,7.8842
1968,11,2,3,316,8.2999
1968,11,2,4,293,7.9687
1968,11,2,5,152,8.0114
1968,11,3,1,233,7.4735
1968,11,3,2,441,5.9603
1968,11,3,3,446,5.7509
1968,11,3,4,322,5.9328
1968,11,3,5,132,5.6275
1968,12,1,1,275,3.4461
1968,12,1,2,510,2.3702
1968,12,1,3,614,2.9367
1968,12,1,4,706,2.9898
1968,12,1,5,329,3.3006
1968,12,2,1,138,-1.1207
1968,12,2,2,303,-0.3544
1968,12,2,3,341,-0.2341
1968,12,2,4,383,-1.4830
1968,12,2,5,165,0.9602
1968,12,3,1,164,-0.9686
1968,12,3,2,402,-2.7214
1968,12,3,3,457,-3.9740
1968,12,3,4,484,-3.5352
1968,12,3,5,175,-2.4259
1969,1,1,1,278,-1.2171
1969,1,1,2,597,-1.4137
1969,1,1,3,623,-1.0439
1969,1,1,4,666,0.5542
1969,1,1,5,240,0.3170
1969,1,2,1,125,-0.0731
1969,1,2,2,335,-0.8313
1969,1,2,3,345,-1.1250
1969,1,2,4,363,-1.0905
1969,1,2,5,128,-2.6334
1969,1,3,1,138,-3.8105
1969,1,3,2,433,-0.6085
1969,1,3,3,462,-0.7779
1969,1,3,4,448,-0.9724
1969,1,3,5,142,-1.6919
1969,2,1,1,276,-10.1541
1969,2,1,2,563,-9.5047
1969,2,1,3,642,-10.0359
1969,2,1,4,569,-10.0776
1969,2,1,5,323,-10.6625
1969,2,2,1,134,-7.9546
