year,month,rank_ME,rank_PTA,nstocks,ret_vw
1968,4,3,5,77,12.1305
1968,5,1,1,102,9.4868
1968,5,1,2,49,6.7563
1968,5,1,3,68,14.3152
1968,5,1,4,64,10.9559
1968,5,1,5,102,13.2193
1968,5,2,1,50,9.3724
1968,5,2,2,45,4.9437
1968,5,2,3,37,8.2353
1968,5,2,4,45,7.6470
1968,5,2,5,42,8.3825
1968,5,3,1,75,1.0421
1968,5,3,2,84,0.3379
1968,5,3,3,91,1.9474
1968,5,3,4,93,1.7788
1968,5,3,5,77,3.3748
1968,6,1,1,102,0.3830
1968,6,1,2,49,0.3578
1968,6,1,3,68,0.9297
1968,6,1,4,64,0.3908
1968,6,1,5,102,0.0393
1968,6,2,1,50,-0.3765
1968,6,2,2,45,0.7159
1968,6,2,3,37,0.6955
1968,6,2,4,45,-1.1508
1968,6,2,5,42,0.3217
1968,6,3,1,75,1.0809
1968,6,3,2,84,0.7408
1968,6,3,3,91,1.4722
1968,6,3,4,93,-0.2763
1968,6,3,5,77,-1.1454
1968,7,1,1,159,-0.3140
1968,7,1,2,84,-3.0971
1968,7,1,3,75,-5.5042
1968,7,1,4,89,-3.8157
1968,7,1,5,133,-5.3933
1968,7,2,1,71,-2.0847
1968,7,2,2,41,-2.2173
1968,7,2,3,42,-3.3092
1968,7,2,4,47,-4.9738
1968,7,2,5,51,-6.9814
1968,7,3,1,52,-0.2589
1968,7,3,2,98,-1.1860
1968,7,3,3,94,-1.4100
1968,7,3,4,92,-3.7949
1968,7,3,5,97,-5.1322
1968,8,1,1,158,6.7300
1968,8,1,2,84,4.9469
1968,8,1,3,75,4.2025
1968,8,1,4,89,3.2161
1968,8,1,5,133,3.9904
1968,8,2,1,71,4.1675
1968,8,2,2,40,6.0642
1968,8,2,3,42,6.0568
1968,8,2,4,47,3.6581
1968,8,2,5,51,2.6673
1968,8,3,1,52,2.6530
1968,8,3,2,98,1.6997
1968,8,3,3,94,0.9104
1968,8,3,4,92,2.5343
1968,8,3,5,96,1.1511
1968,9,1,1,158,7.6946
1968,9,1,2,84,7.3284
1968,9,1,3,75,8.2957
1968,9,1,4,89,7.0596
1968,9,1,5,133,6.4881
1968,9,2,1,71,6.4554
1968,9,2,2,39,8.7918
1968,9,2,3,42,7.4143
1968,9,2,4,47,7.1434
1968,9,2,5,51,6.9219
1968,9,3,1,52,5.4867
1968,9,3,2,98,4.0870
1968,9,3,3,94,3.5976
1968,9,3,4,92,4.2561
1968,9,3,5,96,5.2892
1968,10,1,1,158,-0.8476
1968,10,1,2,84,2.4552
1968,10,1,3,75,-0.8207
1968,10,1,4,89,1.1173
1968,10,1,5,132,1.0864
1968,10,2,1,71,0.3619
1968,10,2,2,39,0.9577
1968,10,2,3,42,2.3843
1968,10,2,4,47,1.2152
1968,10,2,5,51,-0.5425
1968,10,3,1,52,1.1542
1968,10,3,2,98,2.7003
1968,10,3,3,94,-0.7121
1968,10,3,4,92,0.7507
1968,10,3,5,96,0.6758
1968,11,1,1,158,5.2807
1968,11,1,2,84,7.1838
1968,11,1,3,75,10.2722
1968,11,1,4,89,8.7031
1968,11,1,5,132,6.3827
1968,11,2,1,71,7.4483
1968,11,2,2,40,6.6498
1968,11,2,3,42,7.0960
1968,11,2,4,47,10.1010
1968,11,2,5,51,10.1527
1968,11,3,1,52,3.1768
1968,11,3,2,98,4.0786
1968,11,3,3,94,5.5122
1968,11,3,4,92,7.7433
1968,11,3,5,96,5.1238
1968,12,1,1,158,5.2643
1968,12,1,2,84,-0.3671
1968,12,1,3,75,1.5221
1968,12,1,4,89,0.5463
1968,12,1,5,133,1.7882
1968,12,2,1,71,-1.5542
1968,12,2,2,40,-0.5085
1968,12,2,3,42,-0.7324
1968,12,2,4,47,-0.8179
1968,12,2,5,51,-1.7414
1968,12,3,1,52,-3.5236
1968,12,3,2,98,-4.2042
1968,12,3,3,94,-4.6332
1968,12,3,4,92,-3.1260
1968,12,3,5,96,-3.8592
1969,1,1,1,158,-1.3766
1969,1,1,2,84,-0.9736
1969,1,1,3,75,-1.3472
1969,1,1,4,89,-1.5071
1969,1,1,5,133,-0.8581
1969,1,2,1,71,-1.8104
1969,1,2,2,40,-1.5347
1969,1,2,3,42,-2.5048
1969,1,2,4,47,-1.5935
1969,1,2,5,51,-1.1523
1969,1,3,1,52,-1.5791
1969,1,3,2,97,0.2569
1969,1,3,3,94,-1.7649
1969,1,3,4,92,-1.5837
1969,1,3,5,96,-1.8653
1969,2,1,1,157,-11.3428
1969,2,1,2,84,-8.8844
1969,2,1,3,75,-10.4631
1969,2,1,4,89,-8.6005
1969,2,1,5,133,-11.2924
1969,2,2,1,71,-7.7983
1969,2,2,2,40,-7.7336
1969,2,2,3,42,-7.9098
1969,2,2,4,47,-8.7278
1969,2,2,5,51,-10.4173
1969,2,3,1,52,-5.8758
