year,month,rank_ME,rank_DAC,nstocks,ret_vw
1968,9,1,4,70,6.5233
1968,9,1,5,99,6.9861
1968,9,2,1,54,6.8575
1968,9,2,2,33,9.5725
1968,9,2,3,35,6.7534
1968,9,2,4,51,6.2096
1968,9,2,5,52,7.6990
1968,9,3,1,68,3.2669
1968,9,3,2,88,5.3330
1968,9,3,3,94,3.2830
1968,9,3,4,75,5.7238
1968,9,3,5,81,4.6000
1968,10,1,1,128,0.0221
1968,10,1,2,86,-0.4101
1968,10,1,3,60,-0.6370
1968,10,1,4,70,-0.4937
1968,10,1,5,99,0.7255
1968,10,2,1,54,1.3198
1968,10,2,2,33,0.7849
1968,10,2,3,35,1.7415
1968,10,2,4,51,1.5968
1968,10,2,5,52,0.1831
1968,10,3,1,68,-0.5089
1968,10,3,2,88,2.4328
1968,10,3,3,94,1.9657
1968,10,3,4,75,0.1526
1968,10,3,5,81,0.2531
1968,11,1,1,128,8.8816
1968,11,1,2,86,7.0728
1968,11,1,3,60,6.2154
1968,11,1,4,70,6.2608
1968,11,1,5,99,6.8234
1968,11,2,1,55,6.8694
1968,11,2,2,33,8.1904
1968,11,2,3,35,7.2105
1968,11,2,4,51,10.6110
1968,11,2,5,52,8.2804
1968,11,3,1,68,4.3665
1968,11,3,2,88,5.8641
1968,11,3,3,94,5.4594
1968,11,3,4,75,4.9411
1968,11,3,5,81,7.9111
1968,12,1,1,128,2.9625
1968,12,1,2,86,2.7775
1968,12,1,3,60,0.6484
1968,12,1,4,70,1.8894
1968,12,1,5,99,0.9782
1968,12,2,1,55,-1.2086
1968,12,2,2,33,0.0001
1968,12,2,3,35,-1.2491
1968,12,2,4,51,-0.1545
1968,12,2,5,52,-2.8091
1968,12,3,1,68,-5.1845
1968,12,3,2,88,-3.5508
1968,12,3,3,94,-3.4903
1968,12,3,4,75,-4.6503
1968,12,3,5,81,-2.7089
1969,1,1,1,128,-1.2606
1969,1,1,2,86,-3.1229
1969,1,1,3,60,-1.9399
1969,1,1,4,70,0.0908
1969,1,1,5,99,-0.2232
1969,1,2,1,55,-1.9992
1969,1,2,2,33,-4.4065
1969,1,2,3,35,-1.2865
1969,1,2,4,51,0.4737
1969,1,2,5,52,-1.5334
1969,1,3,1,68,-2.6084
1969,1,3,2,88,-0.9591
1969,1,3,3,94,0.1393
1969,1,3,4,75,-0.5154
1969,1,3,5,81,-2.2794
1969,2,1,1,127,-10.2415
1969,2,1,2,86,-8.7889
1969,2,1,3,60,-10.2663
1969,2,1,4,70,-11.6754
1969,2,1,5,99,-10.0037
1969,2,2,1,55,-6.9993
