year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1968,11,3,4,93,6.0397
1968,11,3,5,104,6.8963
1968,12,1,1,226,3.1505
1968,12,1,2,101,0.0270
1968,12,1,3,80,0.1206
1968,12,1,4,88,4.1576
1968,12,1,5,90,0.4555
1968,12,2,1,58,0.0913
1968,12,2,2,54,0.0107
1968,12,2,3,45,-1.3686
1968,12,2,4,61,-2.6054
1968,12,2,5,58,-2.3901
1968,12,3,1,46,-0.5124
1968,12,3,2,95,-3.1441
1968,12,3,3,106,-4.6506
1968,12,3,4,93,-4.2057
1968,12,3,5,104,-4.8652
1969,1,1,1,226,-0.5357
1969,1,1,2,101,-1.6780
1969,1,1,3,80,-2.2970
1969,1,1,4,88,-1.5629
1969,1,1,5,90,-0.8695
1969,1,2,1,58,-1.4705
1969,1,2,2,54,-2.2272
1969,1,2,3,45,-0.5458
1969,1,2,4,61,-2.2139
1969,1,2,5,58,-0.9719
1969,1,3,1,46,-0.1433
1969,1,3,2,95,-0.7048
1969,1,3,3,105,-0.4423
1969,1,3,4,93,-2.5345
1969,1,3,5,104,-1.6989
1969,2,1,1,225,-10.7888
1969,2,1,2,100,-9.3739
1969,2,1,3,79,-9.1130
1969,2,1,4,88,-10.4507
1969,2,1,5,90,-10.2236
1969,2,2,1,58,-8.9600
1969,2,2,2,54,-7.7201
1969,2,2,3,45,-7.0046
1969,2,2,4,61,-7.9538
1969,2,2,5,58,-10.1118
1969,2,3,1,46,-6.8612
1969,2,3,2,95,-3.7952
1969,2,3,3,105,-4.1922
1969,2,3,4,93,-3.9948
1969,2,3,5,104,-5.5008
1969,3,1,1,225,2.8079
1969,3,1,2,100,4.0686
1969,3,1,3,79,0.0060
1969,3,1,4,88,3.9988
1969,3,1,5,90,1.8544
1969,3,2,1,58,3.9543
1969,3,2,2,54,3.1389
1969,3,2,3,45,2.0660
1969,3,2,4,61,2.8518
1969,3,2,5,57,2.9810
1969,3,3,1,46,2.0012
1969,3,3,2,95,4.8826
1969,3,3,3,105,3.4996
1969,3,3,4,93,5.0868
1969,3,3,5,104,1.4705
1969,4,1,1,224,0.3380
1969,4,1,2,100,-2.5435
1969,4,1,3,79,-1.0298
1969,4,1,4,87,0.4383
1969,4,1,5,90,-2.1013
1969,4,2,1,58,4.9105
1969,4,2,2,53,0.2967
1969,4,2,3,45,2.1834
1969,4,2,4,61,0.5690
1969,4,2,5,57,0.5255
1969,4,3,1,46,2.5649
1969,4,3,2,95,1.7013
1969,4,3,3,104,2.6057
1969,4,3,4,93,1.6718
1969,4,3,5,103,3.2226
1969,5,1,1,224,1.0357
1969,5,1,2,101,3.5945
1969,5,1,3,79,-2.1354
1969,5,1,4,87,2.6292
1969,5,1,5,90,0.0293
1969,5,2,1,58,1.4456
1969,5,2,2,53,0.0841
1969,5,2,3,45,0.8912
1969,5,2,4,61,0.3053
1969,5,2,5,58,-1.1886
1969,5,3,1,46,-1.1151
1969,5,3,2,95,0.8827
1969,5,3,3,103,1.5046
1969,5,3,4,93,-0.3898
1969,5,3,5,103,-0.9925
1969,6,1,1,224,-14.3869
1969,6,1,2,101,-12.6460
1969,6,1,3,79,-12.0981
1969,6,1,4,88,-14.3543
1969,6,1,5,90,-13.9475
1969,6,2,1,58,-11.5064
1969,6,2,2,54,-10.4388
1969,6,2,3,45,-10.6866
1969,6,2,4,61,-10.5132
1969,6,2,5,58,-11.8262
1969,6,3,1,45,-9.8523
1969,6,3,2,95,-6.0731
1969,6,3,3,103,-6.7142
1969,6,3,4,93,-3.1090
1969,6,3,5,104,-5.0433
1969,7,1,1,196,-10.2415
1969,7,1,2,110,-10.7864
1969,7,1,3,91,-11.5783
1969,7,1,4,99,-11.7428
1969,7,1,5,145,-13.2638
1969,7,2,1,57,-8.2272
1969,7,2,2,58,-7.5707
1969,7,2,3,38,-8.5597
1969,7,2,4,61,-9.7720
1969,7,2,5,87,-12.1361
1969,7,3,1,73,-7.0734
1969,7,3,2,97,-5.7047
1969,7,3,3,115,-6.2615
1969,7,3,4,92,-5.3454
1969,7,3,5,86,-7.8080
1969,8,1,1,195,3.1401
1969,8,1,2,110,4.6314
1969,8,1,3,91,3.7659
1969,8,1,4,99,3.6685
1969,8,1,5,145,4.5194
1969,8,2,1,57,6.8978
1969,8,2,2,58,5.8041
1969,8,2,3,38,5.6769
1969,8,2,4,61,4.0989
1969,8,2,5,87,9.1304
1969,8,3,1,73,5.5615
1969,8,3,2,97,6.2309
1969,8,3,3,115,3.8733
1969,8,3,4,92,4.9749
1969,8,3,5,86,7.9472
1969,9,1,1,195,-1.9003
1969,9,1,2,111,-3.1787
1969,9,1,3,91,-3.6910
1969,9,1,4,99,-2.7810
1969,9,1,5,145,-4.1628
1969,9,2,1,56,2.9295
1969,9,2,2,57,-0.0160
1969,9,2,3,37,-0.4967
1969,9,2,4,61,-1.6754
1969,9,2,5,87,-0.9598
1969,9,3,1,73,-0.4007
1969,9,3,2,97,-1.7094
1969,9,3,3,114,-3.8743
1969,9,3,4,92,-1.9809
1969,9,3,5,86,-2.7254
1969,10,1,1,195,8.6623
1969,10,1,2,111,9.6781
1969,10,1,3,91,11.8282
1969,10,1,4,99,9.2951
1969,10,1,5,144,13.2800
1969,10,2,1,56,8.2513
1969,10,2,2,56,8.1763
1969,10,2,3,37,8.8213
1969,10,2,4,61,6.6248
1969,10,2,5,87,9.2842
1969,10,3,1,73,5.3913
1969,10,3,2,97,4.2284
1969,10,3,3,114,4.2525
1969,10,3,4,92,5.0403
1969,10,3,5,86,6.2264
1969,11,1,1,195,-6.9607
1969,11,1,2,111,-6.9258
1969,11,1,3,91,-5.3800
1969,11,1,4,99,-3.9274
1969,11,1,5,144,-9.9605
1969,11,2,1,56,-3.1654
1969,11,2,2,56,-2.9723
1969,11,2,3,38,-5.5989
1969,11,2,4,61,-5.0342
1969,11,2,5,86,-6.7174
1969,11,3,1,73,-2.7206
1969,11,3,2,97,-2.6070
1969,11,3,3,115,-2.6233
1969,11,3,4,92,-2.8013
1969,11,3,5,86,-3.0713
1969,12,1,1,195,-9.3377
1969,12,1,2,111,-8.3672
1969,12,1,3,91,-5.8257
1969,12,1,4,99,-5.9461
1969,12,1,5,145,-8.2438
1969,12,2,1,56,-5.1553
1969,12,2,2,56,-2.5345
1969,12,2,3,38,-4.5901
1969,12,2,4,61,-3.8719
1969,12,2,5,86,-6.2675
1969,12,3,1,73,-1.7824
1969,12,3,2,97,0.0123
1969,12,3,3,115,-2.5974
1969,12,3,4,92,-1.1108
1969,12,3,5,86,-2.8297
1970,1,1,1,195,0.2121
1970,1,1,2,111,-2.2400
1970,1,1,3,91,-2.4763
1970,1,1,4,99,-3.8542
1970,1,1,5,145,-7.0694
1970,1,2,1,56,-5.4271
1970,1,2,2,56,-5.5909
1970,1,2,3,38,-1.4739
1970,1,2,4,61,-5.6933
1970,1,2,5,86,-9.3592
1970,1,3,1,73,-6.7490
1970,1,3,2,97,-8.1247
1970,1,3,3,115,-7.2588
1970,1,3,4,91,-9.0179
1970,1,3,5,86,-10.7626
1970,2,1,1,195,2.6278
1970,2,1,2,111,3.8043
1970,2,1,3,91,3.9022
1970,2,1,4,98,2.0493
1970,2,1,5,145,2.7011
1970,2,2,1,56,5.1852
1970,2,2,2,56,5.1427
1970,2,2,3,38,4.9558
1970,2,2,4,60,3.1990
1970,2,2,5,86,4.7251
1970,2,3,1,73,5.7701
1970,2,3,2,97,5.8570
1970,2,3,3,115,4.9816
1970,2,3,4,91,5.5875
1970,2,3,5,86,6.8520
1970,3,1,1,195,-1.9320
1970,3,1,2,110,-1.8418
1970,3,1,3,91,-3.8949
1970,3,1,4,98,-5.5296
1970,3,1,5,145,-3.8047
1970,3,2,1,56,-1.7232
1970,3,2,2,57,0.5535
1970,3,2,3,38,-2.4153
1970,3,2,4,60,-2.5271
1970,3,2,5,87,-4.4233
1970,3,3,1,73,0.8670
1970,3,3,2,97,0.1005
1970,3,3,3,115,0.3490
1970,3,3,4,92,-0.9898
1970,3,3,5,86,-2.4450
1970,4,1,1,194,-18.5594
1970,4,1,2,110,-13.8074
1970,4,1,3,91,-16.3176
1970,4,1,4,98,-18.5102
1970,4,1,5,144,-20.7287
1970,4,2,1,56,-14.1447
1970,4,2,2,57,-12.9789
1970,4,2,3,38,-13.9711
1970,4,2,4,61,-16.3464
1970,4,2,5,86,-19.3830
1970,4,3,1,73,-9.0161
1970,4,3,2,97,-9.3992
1970,4,3,3,115,-7.7913
1970,4,3,4,92,-10.5369
1970,4,3,5,86,-13.2544
