year,month,rank_ME,rank_PDA,nstocks,ret_vw
1968,7,3,2,90,-2.8513
1968,7,3,3,105,0.1380
1968,7,3,4,85,-1.5326
1968,7,3,5,68,-7.1051
1968,8,1,1,146,4.1618
1968,8,1,2,73,5.5521
1968,8,1,3,53,7.9823
1968,8,1,4,59,4.0918
1968,8,1,5,112,2.7792
1968,8,2,1,45,4.7848
1968,8,2,2,43,6.8031
1968,8,2,3,36,5.1470
1968,8,2,4,51,4.4606
1968,8,2,5,51,2.4211
1968,8,3,1,59,0.8783
1968,8,3,2,89,2.2345
1968,8,3,3,105,2.0233
1968,8,3,4,85,1.5468
1968,8,3,5,68,0.8400
1968,9,1,1,146,8.0590
1968,9,1,2,73,6.8516
1968,9,1,3,53,7.3235
1968,9,1,4,59,5.7809
1968,9,1,5,112,7.4112
1968,9,2,1,44,7.5023
1968,9,2,2,43,6.6065
1968,9,2,3,36,9.2898
1968,9,2,4,51,4.9199
1968,9,2,5,51,8.8414
1968,9,3,1,59,3.1784
1968,9,3,2,89,5.0217
1968,9,3,3,105,3.0049
1968,9,3,4,85,5.8790
1968,9,3,5,68,5.5688
1968,10,1,1,146,-0.2989
1968,10,1,2,73,0.9907
1968,10,1,3,53,-2.1351
1968,10,1,4,59,-0.0039
1968,10,1,5,112,0.3057
1968,10,2,1,44,0.7751
1968,10,2,2,43,1.8085
1968,10,2,3,36,1.4119
1968,10,2,4,51,1.3551
1968,10,2,5,51,0.2431
1968,10,3,1,59,-2.2298
1968,10,3,2,89,3.6516
1968,10,3,3,105,1.3471
1968,10,3,4,85,0.3389
1968,10,3,5,68,1.1270
1968,11,1,1,146,7.9570
1968,11,1,2,73,7.2912
1968,11,1,3,53,8.8474
1968,11,1,4,59,5.0102
1968,11,1,5,112,7.0726
1968,11,2,1,45,6.1998
1968,11,2,2,43,8.0238
1968,11,2,3,36,8.3705
1968,11,2,4,51,9.3181
1968,11,2,5,51,9.1873
1968,11,3,1,59,6.0060
1968,11,3,2,89,3.6809
1968,11,3,3,105,5.1821
1968,11,3,4,85,6.3650
1968,11,3,5,68,6.6893
1968,12,1,1,146,3.5864
1968,12,1,2,73,0.7971
1968,12,1,3,53,2.6039
1968,12,1,4,59,0.8427
1968,12,1,5,112,1.3361
1968,12,2,1,45,-0.7636
1968,12,2,2,43,-1.7401
1968,12,2,3,36,0.0336
1968,12,2,4,51,0.0059
1968,12,2,5,51,-3.0718
1968,12,3,1,59,-5.6690
1968,12,3,2,89,-3.4416
1968,12,3,3,105,-4.0289
1968,12,3,4,85,-3.7631
1968,12,3,5,68,-2.4904
1969,1,1,1,146,-1.7514
1969,1,1,2,73,-2.1189
1969,1,1,3,53,-2.1144
1969,1,1,4,59,-1.2166
1969,1,1,5,112,0.2454
1969,1,2,1,45,-1.6463
1969,1,2,2,43,-2.6593
1969,1,2,3,36,-2.7026
1969,1,2,4,51,-0.0486
1969,1,2,5,51,-1.2289
1969,1,3,1,59,-3.1189
1969,1,3,2,89,-1.1039
1969,1,3,3,105,0.2250
1969,1,3,4,85,-0.7377
1969,1,3,5,68,-2.7667
1969,2,1,1,145,-10.7146
1969,2,1,2,73,-7.9510
1969,2,1,3,53,-9.2147
1969,2,1,4,59,-10.4346
1969,2,1,5,112,-11.0786
1969,2,2,1,45,-8.3229
1969,2,2,2,43,-6.9267
1969,2,2,3,36,-9.2356
1969,2,2,4,51,-7.8413
1969,2,2,5,51,-9.9416
1969,2,3,1,59,-3.1664
1969,2,3,2,89,-4.4142
1969,2,3,3,105,-4.1188
1969,2,3,4,85,-5.3723
1969,2,3,5,68,-7.5453
1969,3,1,1,145,3.1559
1969,3,1,2,73,5.4311
1969,3,1,3,53,2.1481
1969,3,1,4,59,0.3491
1969,3,1,5,112,3.4373
1969,3,2,1,45,4.4926
1969,3,2,2,43,4.0442
1969,3,2,3,36,6.7421
1969,3,2,4,51,0.6500
1969,3,2,5,50,2.2985
1969,3,3,1,59,4.5392
1969,3,3,2,89,4.5147
1969,3,3,3,105,2.4004
1969,3,3,4,85,5.8474
1969,3,3,5,68,0.6691
1969,4,1,1,144,-1.0504
1969,4,1,2,73,-0.7867
1969,4,1,3,53,0.0469
1969,4,1,4,59,1.5567
1969,4,1,5,111,-0.9557
1969,4,2,1,45,2.4093
1969,4,2,2,43,2.3573
1969,4,2,3,35,3.1889
1969,4,2,4,51,2.7560
1969,4,2,5,50,-0.6756
1969,4,3,1,58,3.1673
1969,4,3,2,89,0.8997
1969,4,3,3,105,3.2337
1969,4,3,4,85,2.3934
1969,4,3,5,67,1.6718
1969,5,1,1,144,1.3527
1969,5,1,2,73,1.1728
1969,5,1,3,53,2.3047
1969,5,1,4,59,-1.9706
1969,5,1,5,111,1.6266
1969,5,2,1,45,-0.5233
1969,5,2,2,43,0.4010
1969,5,2,3,35,2.6518
1969,5,2,4,51,0.9787
1969,5,2,5,51,-1.9826
1969,5,3,1,58,-1.6737
1969,5,3,2,88,1.7810
1969,5,3,3,105,1.2055
1969,5,3,4,85,0.8206
1969,5,3,5,67,-1.5915
1969,6,1,1,145,-13.1342
1969,6,1,2,73,-12.4746
1969,6,1,3,53,-12.3294
1969,6,1,4,59,-13.2360
1969,6,1,5,111,-14.9904
