year,month,rank_ME,rank_IAq_1,nstocks,ret_vw
1976,2,3,5,47,-1.2436
1976,3,1,1,82,4.5349
1976,3,1,2,48,0.1840
1976,3,1,3,27,0.6111
1976,3,1,4,15,-2.6879
1976,3,1,5,34,2.7568
1976,3,2,1,29,3.0700
1976,3,2,2,32,2.0646
1976,3,2,3,17,0.8320
1976,3,2,4,24,-1.6366
1976,3,2,5,23,0.7109
1976,3,3,1,15,2.3404
1976,3,3,2,33,1.3702
1976,3,3,3,37,0.8418
1976,3,3,4,37,2.8962
1976,3,3,5,50,1.5426
1976,4,1,1,87,-3.6565
1976,4,1,2,49,0.6830
1976,4,1,3,27,-0.6004
1976,4,1,4,19,-2.2000
1976,4,1,5,34,-0.2698
1976,4,2,1,30,-3.7581
1976,4,2,2,31,-0.6010
1976,4,2,3,19,0.1314
1976,4,2,4,23,0.6672
1976,4,2,5,21,0.5034
1976,4,3,1,13,-2.6706
1976,4,3,2,32,-1.7693
1976,4,3,3,33,0.9979
1976,4,3,4,37,0.5580
1976,4,3,5,52,-1.1822
1976,5,1,1,246,-2.5945
1976,5,1,2,129,-1.6726
1976,5,1,3,97,-1.3684
1976,5,1,4,65,-1.2559
1976,5,1,5,81,-2.2212
1976,5,2,1,91,-2.9060
1976,5,2,2,68,-3.1095
1976,5,2,3,61,0.3025
1976,5,2,4,63,-1.8529
1976,5,2,5,90,1.0536
1976,5,3,1,50,0.5741
1976,5,3,2,100,-1.0130
1976,5,3,3,130,-0.4441
1976,5,3,4,154,0.8060
1976,5,3,5,153,-0.7770
1976,6,1,1,255,4.8713
1976,6,1,2,128,2.5243
1976,6,1,3,106,3.1322
1976,6,1,4,67,2.0669
1976,6,1,5,84,3.5460
1976,6,2,1,90,6.4677
1976,6,2,2,69,3.5705
1976,6,2,3,64,3.7385
1976,6,2,4,67,4.3334
1976,6,2,5,94,2.0138
1976,6,3,1,50,5.5141
1976,6,3,2,100,5.4326
1976,6,3,3,132,2.9900
1976,6,3,4,156,5.4818
1976,6,3,5,157,3.3160
1976,7,1,1,258,0.0047
1976,7,1,2,131,0.3748
1976,7,1,3,104,0.7792
1976,7,1,4,64,0.9608
1976,7,1,5,84,-1.0761
1976,7,2,1,91,-0.0529
1976,7,2,2,78,1.7516
1976,7,2,3,63,1.3437
1976,7,2,4,71,1.7744
1976,7,2,5,97,-0.9810
1976,7,3,1,60,0.3365
1976,7,3,2,93,-1.3887
1976,7,3,3,134,-0.1604
1976,7,3,4,154,-0.9557
1976,7,3,5,152,-1.7054
1976,8,1,1,132,-3.2635
1976,8,1,2,78,-1.7606
1976,8,1,3,62,-1.9709
1976,8,1,4,48,-2.6504
1976,8,1,5,66,-2.7235
1976,8,2,1,66,-3.0802
1976,8,2,2,69,-0.5703
1976,8,2,3,48,-0.6378
1976,8,2,4,48,-3.5632
1976,8,2,5,76,-3.5982
1976,8,3,1,51,-1.0011
1976,8,3,2,66,2.0240
1976,8,3,3,115,1.0458
1976,8,3,4,106,0.0779
1976,8,3,5,113,-0.2488
1976,9,1,1,145,2.3342
1976,9,1,2,90,2.5114
1976,9,1,3,59,1.1208
1976,9,1,4,62,2.6025
1976,9,1,5,76,1.9724
1976,9,2,1,64,2.9681
1976,9,2,2,71,3.1840
1976,9,2,3,54,2.1169
1976,9,2,4,45,1.4181
1976,9,2,5,71,3.8056
1976,9,3,1,53,2.1320
1976,9,3,2,73,2.1186
1976,9,3,3,115,2.0428
1976,9,3,4,113,3.0216
1976,9,3,5,110,4.1793
1976,10,1,1,187,-2.7051
1976,10,1,2,94,-1.6984
1976,10,1,3,74,-1.0993
1976,10,1,4,80,-2.4430
1976,10,1,5,90,-4.4076
1976,10,2,1,70,-2.2623
1976,10,2,2,79,-2.3324
1976,10,2,3,52,-1.0084
1976,10,2,4,44,-1.0576
1976,10,2,5,76,-2.9323
1976,10,3,1,53,-4.0262
1976,10,3,2,79,-2.8200
1976,10,3,3,121,-1.7329
1976,10,3,4,115,-1.6216
1976,10,3,5,116,-1.9023
1976,11,1,1,218,3.0057
1976,11,1,2,112,2.0915
1976,11,1,3,87,2.2081
1976,11,1,4,80,2.1861
1976,11,1,5,107,3.6122
1976,11,2,1,87,4.1642
1976,11,2,2,69,3.7809
1976,11,2,3,63,3.9324
1976,11,2,4,49,4.6248
1976,11,2,5,80,4.1537
1976,11,3,1,52,4.0445
1976,11,3,2,94,0.4238
1976,11,3,3,124,0.9777
1976,11,3,4,130,-1.3932
1976,11,3,5,113,2.5527
1976,12,1,1,215,12.7066
1976,12,1,2,117,9.3725
1976,12,1,3,87,11.4382
1976,12,1,4,89,9.1334
1976,12,1,5,112,10.6176
1976,12,2,1,86,9.8788
1976,12,2,2,64,9.8733
1976,12,2,3,67,10.5552
1976,12,2,4,48,8.0628
1976,12,2,5,85,8.5593
1976,12,3,1,55,7.7090
1976,12,3,2,94,5.5207
1976,12,3,3,123,4.1351
1976,12,3,4,130,6.3284
1976,12,3,5,116,4.4809
1977,1,1,1,200,5.3542
1977,1,1,2,109,6.6594
1977,1,1,3,85,1.9990
1977,1,1,4,88,2.5045
1977,1,1,5,116,2.1576
1977,1,2,1,93,2.4258
1977,1,2,2,65,1.4287
1977,1,2,3,67,1.0687
1977,1,2,4,49,2.1985
1977,1,2,5,84,0.6331
1977,1,3,1,54,-1.8777
1977,1,3,2,95,-2.0657
1977,1,3,3,127,-3.6945
1977,1,3,4,131,-4.8974
1977,1,3,5,118,-4.9714
1977,2,1,1,204,-1.4761
1977,2,1,2,104,-0.5658
1977,2,1,3,89,-0.3677
1977,2,1,4,80,-0.2731
1977,2,1,5,119,-2.5719
1977,2,2,1,81,-0.6080
1977,2,2,2,67,-0.4099
1977,2,2,3,72,-1.0244
1977,2,2,4,57,-0.3111
1977,2,2,5,82,-1.6953
1977,2,3,1,55,-2.5324
1977,2,3,2,106,-2.7889
1977,2,3,3,118,-0.9679
1977,2,3,4,136,-0.9441
1977,2,3,5,117,-3.0334
1977,3,1,1,213,1.5617
1977,3,1,2,97,1.3716
1977,3,1,3,97,2.4334
1977,3,1,4,80,0.3898
1977,3,1,5,122,-0.3971
1977,3,2,1,81,-0.4977
1977,3,2,2,73,-0.1957
1977,3,2,3,73,-0.7712
1977,3,2,4,57,-0.3090
1977,3,2,5,75,-0.6898
1977,3,3,1,59,-0.4891
1977,3,3,2,106,-1.0144
1977,3,3,3,111,-1.3612
1977,3,3,4,144,-1.2288
1977,3,3,5,112,-2.0201
1977,4,1,1,209,0.9695
1977,4,1,2,102,-1.5652
1977,4,1,3,99,0.5226
1977,4,1,4,77,5.0140
1977,4,1,5,118,0.2653
1977,4,2,1,82,2.8873
1977,4,2,2,73,0.8053
1977,4,2,3,75,0.1216
1977,4,2,4,51,3.0686
1977,4,2,5,73,2.4775
1977,4,3,1,60,0.9088
1977,4,3,2,105,1.7997
1977,4,3,3,107,0.3321
1977,4,3,4,145,-1.6419
1977,4,3,5,112,1.8927
1977,5,1,1,301,-0.5157
1977,5,1,2,153,0.3600
1977,5,1,3,141,-0.1861
1977,5,1,4,106,0.7595
1977,5,1,5,170,-0.2520
1977,5,2,1,104,-0.1418
1977,5,2,2,100,0.6660
1977,5,2,3,93,0.0406
1977,5,2,4,65,2.8837
1977,5,2,5,104,-0.7838
1977,5,3,1,61,0.2378
1977,5,3,2,129,-0.1294
1977,5,3,3,151,-1.5172
1977,5,3,4,183,-2.0927
1977,5,3,5,156,-0.5789
1977,6,1,1,322,7.9079
1977,6,1,2,162,6.0205
1977,6,1,3,143,6.1937
1977,6,1,4,107,8.2838
1977,6,1,5,184,9.1418
1977,6,2,1,100,7.8999
1977,6,2,2,97,6.1685
1977,6,2,3,95,5.3284
1977,6,2,4,66,7.2483
1977,6,2,5,120,8.2967
1977,6,3,1,64,4.1554
1977,6,3,2,129,4.6647
1977,6,3,3,150,3.6108
1977,6,3,4,182,4.9886
1977,6,3,5,152,6.3568
1977,7,1,1,323,-0.5620
1977,7,1,2,167,0.2136
1977,7,1,3,143,1.4901
1977,7,1,4,105,0.8005
1977,7,1,5,191,-1.0272
1977,7,2,1,105,-0.8531
1977,7,2,2,103,-0.2839
1977,7,2,3,92,-1.2207
1977,7,2,4,72,0.1004
1977,7,2,5,124,-2.0161
1977,7,3,1,60,-1.8825
