year,month,rank_ME,rank_NXF,nstocks,ret_vw
1973,12,3,4,97,4.5654
1973,12,3,5,82,4.0470
1974,1,1,1,123,14.4691
1974,1,1,2,117,14.8823
1974,1,1,3,153,21.4989
1974,1,1,4,158,17.7375
1974,1,1,5,195,16.7291
1974,1,2,1,58,9.7442
1974,1,2,2,60,11.2094
1974,1,2,3,69,8.7517
1974,1,2,4,71,10.7287
1974,1,2,5,77,10.2647
1974,1,3,1,101,0.0955
1974,1,3,2,103,-2.0618
1974,1,3,3,97,0.1192
1974,1,3,4,97,-0.2802
1974,1,3,5,82,-2.8605
1974,2,1,1,123,0.1990
1974,2,1,2,117,0.1751
1974,2,1,3,151,-0.1060
1974,2,1,4,158,-1.9775
1974,2,1,5,194,-2.4231
1974,2,2,1,58,0.6520
1974,2,2,2,60,2.8005
1974,2,2,3,69,0.5787
1974,2,2,4,71,2.6106
1974,2,2,5,77,-0.0885
1974,2,3,1,101,-0.7342
1974,2,3,2,103,0.3398
1974,2,3,3,97,-1.2282
1974,2,3,4,97,3.0787
1974,2,3,5,82,0.1692
1974,3,1,1,123,1.2264
1974,3,1,2,117,0.0964
1974,3,1,3,150,0.0852
1974,3,1,4,158,1.1817
1974,3,1,5,194,0.1087
1974,3,2,1,58,-0.8353
1974,3,2,2,60,-0.8884
1974,3,2,3,69,-1.1159
1974,3,2,4,71,-2.1209
1974,3,2,5,77,-1.2476
1974,3,3,1,101,-0.6123
1974,3,3,2,103,-1.5767
1974,3,3,3,97,-1.9774
1974,3,3,4,97,-2.6398
1974,3,3,5,82,-3.4357
1974,4,1,1,123,-3.3749
1974,4,1,2,116,-5.6048
1974,4,1,3,151,-4.1832
1974,4,1,4,158,-5.6911
1974,4,1,5,194,-5.5398
1974,4,2,1,58,-3.0418
1974,4,2,2,60,-4.9602
1974,4,2,3,69,-4.7045
1974,4,2,4,71,-4.0798
1974,4,2,5,77,-5.3054
1974,4,3,1,101,-2.8027
1974,4,3,2,103,-2.7463
1974,4,3,3,97,-3.3432
1974,4,3,4,97,-3.0971
1974,4,3,5,82,-5.2180
1974,5,1,1,123,-6.6039
1974,5,1,2,115,-7.7423
1974,5,1,3,151,-7.8272
1974,5,1,4,158,-6.7493
1974,5,1,5,193,-8.0699
1974,5,2,1,58,-4.9784
1974,5,2,2,60,-4.5416
1974,5,2,3,69,-7.3219
1974,5,2,4,71,-8.0282
1974,5,2,5,77,-10.0995
1974,5,3,1,101,-0.3018
1974,5,3,2,103,-2.4994
1974,5,3,3,97,-2.7981
1974,5,3,4,97,-2.1212
1974,5,3,5,82,-7.2953
1974,6,1,1,123,-2.4154
1974,6,1,2,115,-1.8220
1974,6,1,3,151,-2.1892
1974,6,1,4,158,-2.1343
1974,6,1,5,192,-2.8860
1974,6,2,1,58,-0.5978
1974,6,2,2,60,0.3822
1974,6,2,3,69,-1.0956
1974,6,2,4,71,-1.4397
1974,6,2,5,77,-3.9201
1974,6,3,1,101,-1.5398
1974,6,3,2,103,-0.3335
1974,6,3,3,97,-0.4559
1974,6,3,4,96,-1.5669
1974,6,3,5,82,-1.3515
1974,7,1,1,182,-2.4952
1974,7,1,2,191,-4.2999
1974,7,1,3,236,-5.3729
1974,7,1,4,225,-6.1943
1974,7,1,5,276,-5.2032
1974,7,2,1,108,-2.4598
1974,7,2,2,83,-3.8811
1974,7,2,3,96,-3.0220
1974,7,2,4,81,-6.2239
1974,7,2,5,110,-6.1312
1974,7,3,1,125,-11.3943
1974,7,3,2,138,-6.0905
1974,7,3,3,121,-5.9658
1974,7,3,4,136,-9.2141
1974,7,3,5,110,-6.5497
1974,8,1,1,182,-4.7654
1974,8,1,2,191,-7.3376
1974,8,1,3,234,-6.9600
1974,8,1,4,224,-8.2202
1974,8,1,5,276,-8.6698
1974,8,2,1,108,-6.4386
1974,8,2,2,83,-7.4678
1974,8,2,3,96,-8.6952
1974,8,2,4,81,-8.4033
1974,8,2,5,110,-7.2950
1974,8,3,1,125,-8.7404
1974,8,3,2,138,-8.2746
1974,8,3,3,121,-10.1520
1974,8,3,4,136,-6.3843
1974,8,3,5,110,-10.8691
1974,9,1,1,181,-7.5422
1974,9,1,2,189,-6.9469
1974,9,1,3,231,-8.3658
1974,9,1,4,221,-9.3359
1974,9,1,5,275,-10.5936
1974,9,2,1,107,-7.7448
1974,9,2,2,83,-5.6596
1974,9,2,3,97,-7.3102
1974,9,2,4,79,-11.0823
1974,9,2,5,110,-12.0201
1974,9,3,1,125,-14.1136
1974,9,3,2,138,-12.5971
1974,9,3,3,121,-10.9417
1974,9,3,4,136,-9.3155
1974,9,3,5,110,-10.4042
1974,10,1,1,180,7.3599
1974,10,1,2,188,8.7480
1974,10,1,3,232,7.8784
1974,10,1,4,221,9.6814
1974,10,1,5,275,10.1860
1974,10,2,1,107,8.6126
1974,10,2,2,83,9.2703
1974,10,2,3,97,10.0263
1974,10,2,4,79,11.0394
1974,10,2,5,110,11.6229
1974,10,3,1,125,16.0147
1974,10,3,2,138,18.8309
1974,10,3,3,121,17.9474
1974,10,3,4,136,14.7107
1974,10,3,5,110,18.1169
1974,11,1,1,180,-4.9382
1974,11,1,2,190,-4.5279
1974,11,1,3,234,-5.2121
1974,11,1,4,222,-7.5747
1974,11,1,5,274,-8.0142
1974,11,2,1,107,-4.0688
1974,11,2,2,83,-4.1164
1974,11,2,3,97,-4.9304
1974,11,2,4,80,-5.3785
1974,11,2,5,110,-4.1989
1974,11,3,1,125,-4.1203
1974,11,3,2,138,-4.1868
1974,11,3,3,121,-3.2720
1974,11,3,4,136,-5.0003
1974,11,3,5,110,-2.7700
1974,12,1,1,178,-7.4693
1974,12,1,2,190,-7.3596
1974,12,1,3,233,-7.9227
1974,12,1,4,222,-9.6449
1974,12,1,5,273,-9.2735
1974,12,2,1,108,-4.5064
1974,12,2,2,83,-5.8827
1974,12,2,3,97,-5.7933
1974,12,2,4,80,-5.6522
1974,12,2,5,110,-7.3152
1974,12,3,1,125,-3.0260
1974,12,3,2,138,-1.8675
1974,12,3,3,121,-1.9322
1974,12,3,4,136,-1.5043
1974,12,3,5,110,-6.0197
1975,1,1,1,179,29.8537
1975,1,1,2,191,25.8462
1975,1,1,3,232,28.1532
1975,1,1,4,223,33.3261
1975,1,1,5,271,31.3315
1975,1,2,1,108,24.1239
1975,1,2,2,83,28.5767
1975,1,2,3,97,24.1647
1975,1,2,4,80,27.2362
1975,1,2,5,110,27.0478
1975,1,3,1,125,11.3171
1975,1,3,2,138,12.6795
1975,1,3,3,121,10.9292
1975,1,3,4,136,14.4790
1975,1,3,5,110,15.9299
1975,2,1,1,179,5.3932
1975,2,1,2,191,2.5477
1975,2,1,3,232,7.4605
1975,2,1,4,222,4.1000
1975,2,1,5,272,4.7943
1975,2,2,1,107,3.2078
1975,2,2,2,83,2.8798
1975,2,2,3,97,3.4284
1975,2,2,4,80,6.1568
1975,2,2,5,110,5.3516
1975,2,3,1,125,9.5693
1975,2,3,2,138,7.5180
1975,2,3,3,121,5.2186
1975,2,3,4,136,5.5763
1975,2,3,5,110,6.4959
1975,3,1,1,180,7.0691
1975,3,1,2,191,10.2717
1975,3,1,3,233,7.2634
1975,3,1,4,221,10.1519
1975,3,1,5,273,9.7285
1975,3,2,1,107,5.0351
1975,3,2,2,83,8.5431
1975,3,2,3,97,8.5686
1975,3,2,4,80,5.6475
1975,3,2,5,110,8.1165
1975,3,3,1,125,3.0194
1975,3,3,2,138,2.3317
1975,3,3,3,121,4.0754
1975,3,3,4,136,2.6930
1975,3,3,5,110,4.7058
1975,4,1,1,180,4.6490
1975,4,1,2,191,5.0924
1975,4,1,3,233,1.4325
1975,4,1,4,219,2.3660
1975,4,1,5,274,5.2404
1975,4,2,1,107,5.8327
1975,4,2,2,83,6.5205
1975,4,2,3,97,3.7261
1975,4,2,4,80,1.8006
1975,4,2,5,110,5.4402
1975,4,3,1,125,6.2933
1975,4,3,2,138,3.2603
1975,4,3,3,121,6.5313
1975,4,3,4,136,2.7730
1975,4,3,5,110,4.6354
1975,5,1,1,179,4.2342
1975,5,1,2,189,8.8218
1975,5,1,3,232,8.0686
1975,5,1,4,219,9.9899
1975,5,1,5,273,7.7136
1975,5,2,1,107,6.8536
1975,5,2,2,83,4.5171
1975,5,2,3,97,9.1653
1975,5,2,4,80,9.0920
1975,5,2,5,110,10.6109
1975,5,3,1,125,6.1825
1975,5,3,2,138,4.5717
1975,5,3,3,121,4.9459
1975,5,3,4,136,4.9745
1975,5,3,5,110,5.2874
1975,6,1,1,180,9.0195
1975,6,1,2,187,5.5796
