year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1971,2,1,3,36,4.3387
1971,2,1,4,67,4.9740
1971,2,1,5,85,5.4636
1971,2,2,1,35,1.9633
1971,2,2,2,32,0.5726
1971,2,2,3,25,0.5719
1971,2,2,4,29,1.8844
1971,2,2,5,46,3.7589
1971,2,3,1,41,5.2905
1971,2,3,2,63,-2.2798
1971,2,3,3,66,1.2947
1971,2,3,4,59,2.2818
1971,2,3,5,56,2.6080
1971,3,1,1,96,5.0938
1971,3,1,2,56,9.7310
1971,3,1,3,36,7.6809
1971,3,1,4,67,4.3033
1971,3,1,5,84,6.1705
1971,3,2,1,35,5.5665
1971,3,2,2,32,9.0112
1971,3,2,3,25,5.4206
1971,3,2,4,28,8.1891
1971,3,2,5,46,10.6074
1971,3,3,1,41,2.2632
1971,3,3,2,62,3.0275
1971,3,3,3,66,3.1170
1971,3,3,4,58,3.3993
1971,3,3,5,56,4.6620
1971,4,1,1,96,0.3977
1971,4,1,2,56,2.4265
1971,4,1,3,36,1.3019
1971,4,1,4,67,1.9700
1971,4,1,5,83,3.2341
1971,4,2,1,34,5.8251
1971,4,2,2,32,6.5159
1971,4,2,3,25,3.5110
1971,4,2,4,28,7.8706
1971,4,2,5,46,1.0742
1971,4,3,1,41,6.2207
1971,4,3,2,62,3.6712
1971,4,3,3,66,5.4627
1971,4,3,4,58,4.9622
1971,4,3,5,56,4.9673
1971,5,1,1,94,-6.8056
1971,5,1,2,56,-7.5506
1971,5,1,3,36,-6.3534
1971,5,1,4,66,-6.7854
1971,5,1,5,83,-7.2148
1971,5,2,1,34,-3.2789
1971,5,2,2,32,-3.9788
1971,5,2,3,25,-4.8667
1971,5,2,4,29,-5.6149
1971,5,2,5,46,-6.0138
1971,5,3,1,41,-2.9547
1971,5,3,2,62,-3.6589
1971,5,3,3,66,-4.1334
1971,5,3,4,58,-3.2161
1971,5,3,5,56,-2.8848
1971,6,1,1,92,-1.2157
1971,6,1,2,55,-2.1649
1971,6,1,3,36,-0.9468
1971,6,1,4,66,-1.3672
1971,6,1,5,83,-4.5430
1971,6,2,1,34,-0.6926
1971,6,2,2,32,-2.3275
1971,6,2,3,25,-2.2791
1971,6,2,4,29,-0.3946
1971,6,2,5,46,-0.4255
1971,6,3,1,41,-2.3539
1971,6,3,2,61,0.9550
1971,6,3,3,66,-2.0241
1971,6,3,4,58,0.7441
1971,6,3,5,56,3.1376
1971,7,1,1,104,-8.1478
1971,7,1,2,70,-6.7803
1971,7,1,3,54,-6.0794
1971,7,1,4,59,-6.7198
1971,7,1,5,99,-8.4583
1971,7,2,1,39,-4.7143
1971,7,2,2,44,-4.6553
1971,7,2,3,37,-4.3606
1971,7,2,4,33,-7.1835
1971,7,2,5,34,-7.0167
1971,7,3,1,60,-2.6141
1971,7,3,2,52,-3.3705
1971,7,3,3,64,-4.7502
1971,7,3,4,69,-3.8782
1971,7,3,5,61,-7.5642
1971,8,1,1,104,5.1259
1971,8,1,2,70,4.1175
1971,8,1,3,54,7.0572
1971,8,1,4,59,6.5632
1971,8,1,5,99,1.0359
1971,8,2,1,39,6.2725
1971,8,2,2,44,5.5507
1971,8,2,3,37,4.6462
1971,8,2,4,33,4.9487
1971,8,2,5,34,3.8713
1971,8,3,1,58,3.8818
1971,8,3,2,52,4.7002
1971,8,3,3,64,4.8565
1971,8,3,4,69,3.6987
1971,8,3,5,61,9.0305
1971,9,1,1,104,-1.4526
1971,9,1,2,70,-0.0439
1971,9,1,3,54,-0.9505
1971,9,1,4,59,-1.9096
1971,9,1,5,99,-0.4784
1971,9,2,1,39,0.6477
1971,9,2,2,43,-2.1771
