year,month,rank_ME,rank_IVG,nstocks,ret_vw
1969,12,1,1,190,-8.7868
1969,12,1,2,70,-7.6014
1969,12,1,3,93,-7.4265
1969,12,1,4,115,-5.0837
1969,12,1,5,152,-8.4561
1969,12,2,1,59,-4.6176
1969,12,2,2,40,-1.7278
1969,12,2,3,52,-3.6093
1969,12,2,4,56,-5.0305
1969,12,2,5,81,-6.5719
1969,12,3,1,79,-1.8341
1969,12,3,2,102,-0.5031
1969,12,3,3,92,-0.6727
1969,12,3,4,100,-3.3942
1969,12,3,5,82,-3.1951
1970,1,1,1,190,-0.6687
1970,1,1,2,70,-2.4767
1970,1,1,3,93,-2.8420
1970,1,1,4,115,-3.5219
1970,1,1,5,152,-6.3271
1970,1,2,1,59,-5.1259
1970,1,2,2,40,-6.6710
1970,1,2,3,52,-1.9649
1970,1,2,4,56,-7.0651
1970,1,2,5,80,-8.1779
1970,1,3,1,79,-6.8999
1970,1,3,2,102,-8.4085
1970,1,3,3,92,-9.3325
1970,1,3,4,99,-6.2762
1970,1,3,5,82,-9.1139
1970,2,1,1,190,2.6067
1970,2,1,2,70,2.4066
1970,2,1,3,92,4.7568
1970,2,1,4,115,2.7521
1970,2,1,5,152,1.8719
1970,2,2,1,59,6.5282
1970,2,2,2,40,2.9691
1970,2,2,3,52,3.7275
1970,2,2,4,55,3.3419
1970,2,2,5,80,5.1981
1970,2,3,1,79,6.7220
1970,2,3,2,102,4.5070
1970,2,3,3,92,5.6972
1970,2,3,4,99,7.8272
1970,2,3,5,82,4.1793
1970,3,1,1,190,-2.2292
1970,3,1,2,69,-1.0408
1970,3,1,3,92,-3.0960
1970,3,1,4,115,-5.4671
1970,3,1,5,152,-3.7010
1970,3,2,1,60,-1.1579
1970,3,2,2,40,0.8657
1970,3,2,3,52,-0.7741
1970,3,2,4,55,-2.8903
1970,3,2,5,81,-4.4285
1970,3,3,1,79,-0.7409
1970,3,3,2,102,1.0245
1970,3,3,3,92,-2.4350
1970,3,3,4,100,-0.1405
1970,3,3,5,82,-0.7109
1970,4,1,1,188,-18.5893
1970,4,1,2,69,-15.0924
1970,4,1,3,92,-15.4026
1970,4,1,4,115,-17.2619
1970,4,1,5,152,-19.6854
1970,4,2,1,60,-15.1479
1970,4,2,2,40,-11.3313
1970,4,2,3,52,-12.4200
1970,4,2,4,56,-15.6829
1970,4,2,5,80,-19.0038
1970,4,3,1,79,-9.1915
1970,4,3,2,102,-8.9810
1970,4,3,3,92,-8.3343
1970,4,3,4,100,-9.7805
1970,4,3,5,82,-12.2571
1970,5,1,1,188,-9.1663
1970,5,1,2,69,-9.5032
1970,5,1,3,92,-10.3957
1970,5,1,4,114,-8.5365
1970,5,1,5,152,-9.0024
1970,5,2,1,60,-8.2105
1970,5,2,2,40,-10.2858
1970,5,2,3,52,-9.6888
1970,5,2,4,56,-11.1932
1970,5,2,5,79,-12.3323
1970,5,3,1,79,-8.6933
1970,5,3,2,102,-4.3401
1970,5,3,3,92,-5.1287
1970,5,3,4,100,-6.5829
1970,5,3,5,82,-7.0224
1970,6,1,1,186,-6.4697
1970,6,1,2,69,-7.3365
1970,6,1,3,91,-9.7408
1970,6,1,4,113,-9.0855
1970,6,1,5,152,-11.2006
1970,6,2,1,60,-5.8335
1970,6,2,2,39,-5.8771
1970,6,2,3,52,-5.2146
1970,6,2,4,56,-9.4343
1970,6,2,5,78,-8.2793
1970,6,3,1,79,-3.5856
1970,6,3,2,102,-5.1039
1970,6,3,3,92,-2.3302
1970,6,3,4,100,-6.1914
1970,6,3,5,82,-7.7463
1970,7,1,1,219,5.2300
1970,7,1,2,93,7.0049
1970,7,1,3,84,5.6731
1970,7,1,4,113,2.9248
1970,7,1,5,202,3.7930
1970,7,2,1,61,6.7844
1970,7,2,2,55,7.5505
1970,7,2,3,62,8.3870
1970,7,2,4,62,8.7321
1970,7,2,5,74,7.9926
1970,7,3,1,73,8.1134
1970,7,3,2,99,8.0205
1970,7,3,3,99,9.0800
1970,7,3,4,89,4.6798
1970,7,3,5,97,6.5595
1970,8,1,1,219,7.1851
1970,8,1,2,93,4.4166
1970,8,1,3,84,6.7141
1970,8,1,4,112,8.4281
1970,8,1,5,200,5.8032
1970,8,2,1,61,8.2839
1970,8,2,2,55,5.8635
1970,8,2,3,62,7.4836
1970,8,2,4,62,5.4345
1970,8,2,5,73,6.7403
1970,8,3,1,73,4.9808
1970,8,3,2,99,3.9196
1970,8,3,3,99,6.5702
1970,8,3,4,89,4.7653
1970,8,3,5,97,4.3631
1970,9,1,1,218,14.9841
1970,9,1,2,93,11.9715
1970,9,1,3,84,14.2410
1970,9,1,4,111,14.4248
1970,9,1,5,200,17.7573
1970,9,2,1,61,12.1279
1970,9,2,2,55,11.6927
1970,9,2,3,62,9.0665
1970,9,2,4,61,9.8555
1970,9,2,5,73,14.1750
1970,9,3,1,73,3.4677
1970,9,3,2,99,2.9455
1970,9,3,3,99,2.4734
1970,9,3,4,89,6.5284
1970,9,3,5,96,4.8445
1970,10,1,1,216,-5.1979
1970,10,1,2,93,-7.0360
1970,10,1,3,84,-8.6244
1970,10,1,4,112,-9.4665
1970,10,1,5,200,-9.7133
1970,10,2,1,61,-5.3271
1970,10,2,2,55,-6.5466
1970,10,2,3,62,-3.3173
1970,10,2,4,61,-8.1035
