year,month,rank_ME,rank_ACI,nstocks,ret_vw
1968,6,1,3,20,-0.1460
1968,6,1,4,22,4.1209
1968,6,1,5,34,0.2564
1968,6,2,1,39,0.5340
1968,6,2,2,24,-0.4075
1968,6,2,3,34,2.0264
1968,6,2,4,26,-0.8315
1968,6,2,5,26,1.5146
1968,6,3,1,54,0.5301
1968,6,3,2,83,0.7465
1968,6,3,3,83,0.7982
1968,6,3,4,82,0.2882
1968,6,3,5,78,-1.2310
1968,7,1,1,59,-1.7058
1968,7,1,2,29,-3.7593
1968,7,1,3,27,-1.5187
1968,7,1,4,27,-2.8536
1968,7,1,5,44,-2.9651
1968,7,2,1,41,-4.1490
1968,7,2,2,37,-2.1044
1968,7,2,3,25,-2.0106
1968,7,2,4,33,-2.8344
1968,7,2,5,32,-6.0534
1968,7,3,1,50,-2.3785
1968,7,3,2,80,-3.7599
1968,7,3,3,100,-0.9823
1968,7,3,4,87,-1.4487
1968,7,3,5,79,-3.1678
1968,8,1,1,59,3.9586
1968,8,1,2,29,3.2802
1968,8,1,3,27,6.1658
1968,8,1,4,27,4.7573
1968,8,1,5,44,1.8755
1968,8,2,1,40,5.2217
1968,8,2,2,37,4.4643
1968,8,2,3,25,2.6418
1968,8,2,4,33,4.7372
1968,8,2,5,32,5.9569
1968,8,3,1,50,3.0236
1968,8,3,2,80,1.1339
1968,8,3,3,99,1.0586
1968,8,3,4,87,1.9323
1968,8,3,5,79,2.9784
1968,9,1,1,59,6.8824
1968,9,1,2,29,6.1214
1968,9,1,3,27,7.8793
1968,9,1,4,27,6.1617
1968,9,1,5,44,7.5270
1968,9,2,1,40,7.9057
1968,9,2,2,36,8.5847
1968,9,2,3,25,5.5519
1968,9,2,4,33,3.6034
1968,9,2,5,32,6.2928
1968,9,3,1,50,5.2226
1968,9,3,2,80,3.1845
1968,9,3,3,99,4.8634
1968,9,3,4,87,3.0687
1968,9,3,5,79,5.8890
1968,10,1,1,59,2.2372
1968,10,1,2,29,-0.4532
1968,10,1,3,26,3.0124
1968,10,1,4,27,0.4825
1968,10,1,5,44,2.0845
1968,10,2,1,40,2.2842
1968,10,2,2,36,1.3080
1968,10,2,3,25,3.0121
1968,10,2,4,33,-0.0382
1968,10,2,5,32,1.8341
1968,10,3,1,50,0.1513
1968,10,3,2,80,-0.7177
1968,10,3,3,98,1.5833
1968,10,3,4,87,1.4859
1968,10,3,5,79,0.5943
1968,11,1,1,58,8.0382
1968,11,1,2,29,6.1126
1968,11,1,3,26,5.6729
1968,11,1,4,27,4.8458
1968,11,1,5,44,5.2065
1968,11,2,1,40,6.3226
1968,11,2,2,37,6.5573
1968,11,2,3,25,8.9566
1968,11,2,4,33,8.3121
1968,11,2,5,32,6.1943
1968,11,3,1,50,6.1149
1968,11,3,2,80,4.6008
1968,11,3,3,98,5.1762
1968,11,3,4,87,4.9565
1968,11,3,5,79,6.5428
1968,12,1,1,58,0.2657
1968,12,1,2,29,-0.8934
1968,12,1,3,27,1.4185
1968,12,1,4,27,1.4258
1968,12,1,5,44,-0.9609
1968,12,2,1,40,-0.7126
1968,12,2,2,37,-0.7084
1968,12,2,3,25,-2.5699
1968,12,2,4,33,-1.7021
1968,12,2,5,32,-1.4228
1968,12,3,1,50,-2.8932
1968,12,3,2,80,-4.1018
1968,12,3,3,98,-4.7862
1968,12,3,4,87,-3.6153
1968,12,3,5,79,-4.0336
1969,1,1,1,58,-1.6823
1969,1,1,2,29,-0.1989
1969,1,1,3,27,-1.9967
1969,1,1,4,27,0.1512
1969,1,1,5,44,-1.4029
1969,1,2,1,40,-2.0490
1969,1,2,2,37,-1.2378
1969,1,2,3,25,-0.0510
1969,1,2,4,33,-0.8430
1969,1,2,5,32,-2.6801
1969,1,3,1,50,-1.0904
1969,1,3,2,80,-2.4944
1969,1,3,3,98,-0.5513
1969,1,3,4,87,-0.7638
1969,1,3,5,78,-1.0843
1969,2,1,1,58,-8.7590
1969,2,1,2,29,-9.0735
1969,2,1,3,27,-10.3670
1969,2,1,4,26,-8.4395
1969,2,1,5,44,-7.7932
1969,2,2,1,40,-9.7077
1969,2,2,2,37,-6.8309
1969,2,2,3,25,-7.4773
1969,2,2,4,33,-6.5214
1969,2,2,5,32,-6.9551
1969,2,3,1,50,-6.9494
1969,2,3,2,80,-3.0231
1969,2,3,3,98,-3.9602
1969,2,3,4,87,-4.6865
1969,2,3,5,78,-4.9768
1969,3,1,1,58,3.5398
1969,3,1,2,29,0.2738
1969,3,1,3,27,3.0112
1969,3,1,4,26,1.4232
1969,3,1,5,44,1.1546
1969,3,2,1,40,3.6846
1969,3,2,2,37,2.3286
1969,3,2,3,25,3.1057
1969,3,2,4,33,0.8204
1969,3,2,5,32,4.1113
1969,3,3,1,50,2.1197
1969,3,3,2,80,4.6854
1969,3,3,3,98,3.9750
1969,3,3,4,87,2.8879
1969,3,3,5,78,3.5032
1969,4,1,1,57,-1.5982
1969,4,1,2,29,-3.8751
1969,4,1,3,27,-1.2605
1969,4,1,4,26,0.6276
1969,4,1,5,44,0.0901
1969,4,2,1,40,2.0921
1969,4,2,2,37,-0.1292
1969,4,2,3,25,2.3456
1969,4,2,4,32,0.4517
1969,4,2,5,32,-0.9656
1969,4,3,1,50,0.9291
1969,4,3,2,80,2.4787
1969,4,3,3,97,3.2058
1969,4,3,4,87,1.6573
1969,4,3,5,77,1.9022
1969,5,1,1,57,-0.7712
1969,5,1,2,29,0.1414
1969,5,1,3,27,-2.9799
1969,5,1,4,27,0.7014
1969,5,1,5,44,1.1165
1969,5,2,1,40,-1.3517
1969,5,2,2,37,0.8694
1969,5,2,3,25,-0.7880
1969,5,2,4,32,0.4774
1969,5,2,5,32,0.4231
1969,5,3,1,50,0.4488
1969,5,3,2,80,-0.1750
1969,5,3,3,97,1.5628
1969,5,3,4,86,0.5531
1969,5,3,5,77,-1.9638
1969,6,1,1,57,-13.4330
1969,6,1,2,29,-11.4989
1969,6,1,3,27,-11.1314
1969,6,1,4,27,-12.4373
1969,6,1,5,44,-11.9293
1969,6,2,1,40,-12.1934
1969,6,2,2,37,-9.8336
1969,6,2,3,25,-8.5207
1969,6,2,4,33,-10.7433
1969,6,2,5,32,-9.9138
1969,6,3,1,49,-10.5237
1969,6,3,2,80,-1.7493
1969,6,3,3,97,-6.4735
1969,6,3,4,86,-5.5291
1969,6,3,5,78,-7.5227
1969,7,1,1,66,-10.0458
1969,7,1,2,39,-9.2454
1969,7,1,3,32,-14.3077
1969,7,1,4,38,-11.1440
1969,7,1,5,57,-11.0524
1969,7,2,1,38,-7.9723
1969,7,2,2,44,-9.3927
1969,7,2,3,29,-7.1071
1969,7,2,4,27,-9.3558
1969,7,2,5,48,-10.1916
1969,7,3,1,64,-5.0570
1969,7,3,2,74,-6.1425
1969,7,3,3,96,-5.3070
1969,7,3,4,103,-6.8231
1969,7,3,5,70,-7.2538
1969,8,1,1,66,4.3458
1969,8,1,2,39,2.3987
1969,8,1,3,32,3.4429
1969,8,1,4,38,6.6745
1969,8,1,5,57,2.2082
1969,8,2,1,38,8.1239
1969,8,2,2,44,5.4042
1969,8,2,3,29,6.2462
1969,8,2,4,27,6.1265
1969,8,2,5,48,6.4383
1969,8,3,1,64,5.7535
1969,8,3,2,74,5.0626
1969,8,3,3,96,4.9970
1969,8,3,4,103,4.7349
1969,8,3,5,70,5.2021
1969,9,1,1,66,-4.2811
1969,9,1,2,39,-2.0178
1969,9,1,3,32,0.8388
1969,9,1,4,38,-4.0223
1969,9,1,5,57,-3.8871
1969,9,2,1,38,-2.3640
1969,9,2,2,43,-0.4511
1969,9,2,3,29,-2.1556
1969,9,2,4,27,-3.2907
1969,9,2,5,48,3.2667
1969,9,3,1,64,-0.2482
1969,9,3,2,74,-2.0196
1969,9,3,3,95,-3.4250
1969,9,3,4,103,-3.5897
1969,9,3,5,70,-2.1152
1969,10,1,1,66,9.0623
1969,10,1,2,39,6.1114
1969,10,1,3,32,7.3015
1969,10,1,4,38,10.6298
1969,10,1,5,57,8.4922
1969,10,2,1,38,10.2986
1969,10,2,2,43,5.0887
1969,10,2,3,29,6.6927
1969,10,2,4,27,7.4415
1969,10,2,5,48,8.8389
1969,10,3,1,64,5.8286
1969,10,3,2,74,4.1381
1969,10,3,3,95,3.4994
1969,10,3,4,103,5.9621
1969,10,3,5,70,3.6413
1969,11,1,1,66,-7.5989
1969,11,1,2,39,-6.4390
1969,11,1,3,32,-5.1709
1969,11,1,4,38,-5.5312
1969,11,1,5,57,-6.9954
1969,11,2,1,38,-5.8867
1969,11,2,2,44,-3.7289
1969,11,2,3,29,-4.5473
1969,11,2,4,27,-4.4298
1969,11,2,5,48,-6.8131
1969,11,3,1,64,-1.4677
1969,11,3,2,74,-3.4403
1969,11,3,3,96,-1.4723
1969,11,3,4,103,-3.3869
1969,11,3,5,70,-4.3797
1969,12,1,1,66,-8.6884
1969,12,1,2,39,-6.8704
1969,12,1,3,32,-4.9865
1969,12,1,4,38,-5.4656
1969,12,1,5,57,-6.6179
1969,12,2,1,38,-6.8104
1969,12,2,2,44,-2.9440
1969,12,2,3,29,-3.0442
1969,12,2,4,27,-3.7643
1969,12,2,5,48,-6.5985
1969,12,3,1,64,-0.1145
1969,12,3,2,74,-1.9708
1969,12,3,3,96,-3.5781
1969,12,3,4,103,0.6140
1969,12,3,5,70,-2.8875
1970,1,1,1,66,-0.2656
1970,1,1,2,39,-4.6910
1970,1,1,3,32,-2.2906
1970,1,1,4,38,-4.0909
1970,1,1,5,57,-4.5945
1970,1,2,1,38,-6.3251
1970,1,2,2,44,-5.1148
1970,1,2,3,29,-6.2093
1970,1,2,4,27,-4.7103
1970,1,2,5,48,-4.8318
1970,1,3,1,64,-7.2278
1970,1,3,2,74,-8.6927
1970,1,3,3,95,-7.7679
1970,1,3,4,103,-9.0227
1970,1,3,5,70,-7.0840
1970,2,1,1,66,4.7670
1970,2,1,2,38,3.0673
1970,2,1,3,32,4.3137
1970,2,1,4,38,3.0260
1970,2,1,5,57,3.3994
1970,2,2,1,38,6.0172
1970,2,2,2,44,2.1688
1970,2,2,3,29,6.1636
1970,2,2,4,27,4.7885
1970,2,2,5,48,6.1295
1970,2,3,1,64,2.6226
1970,2,3,2,74,7.0602
1970,2,3,3,95,6.6051
1970,2,3,4,103,6.8486
1970,2,3,5,70,4.2812
1970,3,1,1,65,-0.6404
1970,3,1,2,38,1.4170
1970,3,1,3,32,-2.1766
1970,3,1,4,38,-2.0219
1970,3,1,5,57,-2.4998
1970,3,2,1,38,1.5275
1970,3,2,2,44,-1.0230
1970,3,2,3,29,-0.9099
1970,3,2,4,27,2.1336
1970,3,2,5,48,-3.3897
1970,3,3,1,64,-0.4658
1970,3,3,2,74,1.9444
1970,3,3,3,96,-0.4578
1970,3,3,4,103,-1.3861
1970,3,3,5,70,0.7771
1970,4,1,1,65,-12.3377
1970,4,1,2,38,-12.3525
1970,4,1,3,32,-13.5699
1970,4,1,4,38,-15.5555
1970,4,1,5,57,-15.4954
1970,4,2,1,38,-13.8236
1970,4,2,2,44,-10.4293
1970,4,2,3,29,-12.4937
1970,4,2,4,27,-13.0161
1970,4,2,5,48,-14.5344
1970,4,3,1,64,-10.8146
1970,4,3,2,74,-7.8290
1970,4,3,3,96,-8.3519
1970,4,3,4,103,-9.7688
1970,4,3,5,70,-9.3585
1970,5,1,1,65,-10.2982
1970,5,1,2,38,-9.2849
1970,5,1,3,32,-8.4333
1970,5,1,4,37,-7.2332
1970,5,1,5,57,-11.7280
1970,5,2,1,38,-8.8814
1970,5,2,2,44,-10.1854
1970,5,2,3,29,-9.7171
1970,5,2,4,27,-8.9134
1970,5,2,5,48,-11.6639
1970,5,3,1,64,-6.7402
1970,5,3,2,74,-5.4116
1970,5,3,3,96,-5.2596
1970,5,3,4,103,-6.5950
1970,5,3,5,70,-2.9153
1970,6,1,1,64,-5.6748
1970,6,1,2,38,-9.0649
1970,6,1,3,31,-7.0888
1970,6,1,4,36,-6.9293
1970,6,1,5,57,-9.3679
1970,6,2,1,37,-6.5430
1970,6,2,2,44,-7.4660
1970,6,2,3,29,-0.8551
1970,6,2,4,27,-6.9500
1970,6,2,5,48,-7.5472
1970,6,3,1,64,-7.6023
1970,6,3,2,74,-4.5321
1970,6,3,3,96,-4.7933
1970,6,3,4,103,-3.5091
1970,6,3,5,70,-4.3158
1970,7,1,1,97,4.5120
1970,7,1,2,60,4.5656
1970,7,1,3,44,4.9389
1970,7,1,4,36,4.8235
1970,7,1,5,78,6.8936
1970,7,2,1,51,7.8244
1970,7,2,2,40,6.8006
1970,7,2,3,28,8.8715
1970,7,2,4,40,11.7203
1970,7,2,5,62,7.8602
1970,7,3,1,61,7.9343
1970,7,3,2,87,5.9067
1970,7,3,3,107,7.3740
1970,7,3,4,101,9.0354
1970,7,3,5,60,6.6134
1970,8,1,1,96,6.9524
1970,8,1,2,60,6.5011
1970,8,1,3,44,9.0222
1970,8,1,4,36,6.2914
1970,8,1,5,78,6.3645
1970,8,2,1,51,11.0472
1970,8,2,2,40,7.4615
1970,8,2,3,28,4.2982
1970,8,2,4,40,5.9720
1970,8,2,5,62,7.6740
1970,8,3,1,61,3.2670
1970,8,3,2,87,5.1598
1970,8,3,3,107,4.3639
1970,8,3,4,101,4.6023
