year,month,rank_ME,rank_TA,nstocks,ret_vw
1968,7,3,5,105,-6.5625
1968,8,1,1,173,5.7285
1968,8,1,2,93,5.9605
1968,8,1,3,88,4.8564
1968,8,1,4,83,2.5821
1968,8,1,5,103,4.1440
1968,8,2,1,68,4.8490
1968,8,2,2,45,4.0929
1968,8,2,3,42,4.4509
1968,8,2,4,42,4.9675
1968,8,2,5,54,3.5901
1968,8,3,1,51,2.5344
1968,8,3,2,84,2.0089
1968,8,3,3,92,1.6471
1968,8,3,4,100,0.9323
1968,8,3,5,105,1.6158
1968,9,1,1,173,7.8415
1968,9,1,2,93,9.4014
1968,9,1,3,88,5.9107
1968,9,1,4,83,5.9656
1968,9,1,5,103,6.8581
1968,9,2,1,68,6.4610
1968,9,2,2,45,6.9744
1968,9,2,3,41,7.5699
1968,9,2,4,42,8.7462
1968,9,2,5,54,6.8045
1968,9,3,1,51,5.6984
1968,9,3,2,84,4.4184
1968,9,3,3,92,5.9636
1968,9,3,4,100,2.8057
1968,9,3,5,105,3.6267
1968,10,1,1,173,-0.4117
1968,10,1,2,92,1.8931
1968,10,1,3,88,1.1486
1968,10,1,4,83,0.3541
1968,10,1,5,103,0.3639
1968,10,2,1,68,-0.2024
1968,10,2,2,45,1.6096
1968,10,2,3,41,1.6033
1968,10,2,4,42,1.0282
1968,10,2,5,54,0.4684
1968,10,3,1,51,0.9017
1968,10,3,2,84,2.9100
1968,10,3,3,92,1.7765
1968,10,3,4,100,-0.5388
1968,10,3,5,105,-0.8796
1968,11,1,1,173,4.7496
1968,11,1,2,92,9.4619
1968,11,1,3,88,6.6116
1968,11,1,4,83,10.1991
1968,11,1,5,103,7.0124
1968,11,2,1,68,7.5117
1968,11,2,2,45,7.7885
1968,11,2,3,42,6.4555
1968,11,2,4,42,10.0728
1968,11,2,5,54,9.6456
1968,11,3,1,51,3.4828
1968,11,3,2,84,4.5255
1968,11,3,3,92,3.7232
1968,11,3,4,100,6.2222
1968,11,3,5,105,7.4654
1968,12,1,1,173,3.8558
1968,12,1,2,93,2.3309
1968,12,1,3,88,-0.6231
1968,12,1,4,83,1.2223
1968,12,1,5,103,1.8496
1968,12,2,1,68,-1.7839
1968,12,2,2,45,-1.0059
1968,12,2,3,42,-1.2126
1968,12,2,4,42,1.3398
1968,12,2,5,54,-2.6312
1968,12,3,1,51,-3.9279
1968,12,3,2,84,-4.5605
1968,12,3,3,92,-3.4758
1968,12,3,4,100,-3.9329
1968,12,3,5,105,-4.3592
1969,1,1,1,173,-0.5527
1969,1,1,2,93,-2.3177
1969,1,1,3,88,-1.1359
1969,1,1,4,83,-0.2612
1969,1,1,5,103,-1.9059
1969,1,2,1,68,-2.0194
1969,1,2,2,45,-0.2383
1969,1,2,3,42,-0.6375
1969,1,2,4,42,-2.5884
1969,1,2,5,54,-2.6994
1969,1,3,1,51,-1.4561
1969,1,3,2,83,0.8013
1969,1,3,3,92,-0.9471
1969,1,3,4,100,-2.3934
1969,1,3,5,105,-1.8850
1969,2,1,1,172,-10.7675
1969,2,1,2,93,-10.9393
1969,2,1,3,88,-10.2383
1969,2,1,4,83,-9.5728
1969,2,1,5,103,-9.7767
1969,2,2,1,68,-8.0920
1969,2,2,2,45,-8.0197
1969,2,2,3,42,-6.8374
1969,2,2,4,42,-9.0442
1969,2,2,5,54,-10.4356
1969,2,3,1,51,-6.0534
1969,2,3,2,83,-3.9192
1969,2,3,3,92,-4.5152
1969,2,3,4,100,-3.2289
1969,2,3,5,105,-6.5252
1969,3,1,1,172,3.4993
1969,3,1,2,93,1.6973
1969,3,1,3,88,2.9367
1969,3,1,4,83,0.7810
1969,3,1,5,103,3.3603
1969,3,2,1,68,2.5253
1969,3,2,2,45,4.1679
1969,3,2,3,42,4.0879
1969,3,2,4,42,3.7625
1969,3,2,5,53,1.7106
1969,3,3,1,51,4.5554
1969,3,3,2,83,2.7782
1969,3,3,3,92,4.8300
1969,3,3,4,100,4.9174
1969,3,3,5,105,0.8129
1969,4,1,1,172,-1.4771
1969,4,1,2,91,-0.6965
1969,4,1,3,88,2.7170
1969,4,1,4,83,-0.6238
1969,4,1,5,103,-1.0961
1969,4,2,1,68,2.6213
1969,4,2,2,44,1.0871
1969,4,2,3,42,2.1457
1969,4,2,4,42,1.5736
1969,4,2,5,53,0.8016
1969,4,3,1,51,0.5631
1969,4,3,2,83,4.0125
1969,4,3,3,92,0.6150
1969,4,3,4,99,2.3055
1969,4,3,5,104,3.0436
1969,5,1,1,172,2.0807
1969,5,1,2,91,0.7136
1969,5,1,3,88,0.9666
1969,5,1,4,83,-1.2620
1969,5,1,5,103,1.9892
1969,5,2,1,68,-1.4337
1969,5,2,2,44,-0.6138
1969,5,2,3,42,3.7883
1969,5,2,4,42,2.0460
1969,5,2,5,54,-1.1374
1969,5,3,1,51,0.3153
1969,5,3,2,83,0.9286
1969,5,3,3,92,1.5269
1969,5,3,4,98,-0.3131
1969,5,3,5,104,-0.8998
1969,6,1,1,172,-14.3979
1969,6,1,2,92,-14.5656
1969,6,1,3,88,-12.1045
1969,6,1,4,83,-13.9965
1969,6,1,5,103,-13.4523
1969,6,2,1,68,-11.6470
1969,6,2,2,45,-11.7403
1969,6,2,3,42,-10.2327
1969,6,2,4,42,-8.4443
1969,6,2,5,54,-11.1810
1969,6,3,1,51,-8.7137
1969,6,3,2,83,-5.9102
1969,6,3,3,92,-6.6110
1969,6,3,4,98,-4.1379
1969,6,3,5,105,-5.1370
1969,7,1,1,159,-11.7222
1969,7,1,2,89,-10.4665
1969,7,1,3,91,-11.6486
1969,7,1,4,99,-9.4673
1969,7,1,5,146,-12.3018
1969,7,2,1,55,-8.9310
1969,7,2,2,49,-8.5310
1969,7,2,3,42,-8.5508
1969,7,2,4,48,-9.8919
1969,7,2,5,79,-11.2676
1969,7,3,1,70,-5.2540
1969,7,3,2,91,-7.7018
1969,7,3,3,100,-5.3099
1969,7,3,4,96,-5.8237
1969,7,3,5,94,-5.8255
1969,8,1,1,159,3.4182
1969,8,1,2,89,4.7285
1969,8,1,3,91,3.8806
1969,8,1,4,99,2.6662
1969,8,1,5,146,4.5417
1969,8,2,1,55,5.5206
1969,8,2,2,49,6.5365
1969,8,2,3,42,5.4377
1969,8,2,4,48,5.3449
1969,8,2,5,79,9.1107
1969,8,3,1,70,5.5365
1969,8,3,2,91,4.0699
1969,8,3,3,100,4.5271
1969,8,3,4,96,6.3095
1969,8,3,5,94,6.5571
1969,9,1,1,159,-2.9448
1969,9,1,2,90,-3.2996
1969,9,1,3,91,-1.0751
1969,9,1,4,99,-5.8736
1969,9,1,5,146,-3.5591
1969,9,2,1,55,0.7798
1969,9,2,2,48,0.1497
1969,9,2,3,42,-0.4851
1969,9,2,4,48,0.5329
1969,9,2,5,79,-0.7847
1969,9,3,1,70,-3.8185
1969,9,3,2,91,-3.2344
1969,9,3,3,99,-3.3833
1969,9,3,4,96,-1.3682
1969,9,3,5,94,-0.6921
1969,10,1,1,159,10.4650
1969,10,1,2,90,12.8867
1969,10,1,3,91,7.0358
1969,10,1,4,99,10.9824
1969,10,1,5,145,12.9123
1969,10,2,1,54,10.1033
1969,10,2,2,48,5.7117
1969,10,2,3,42,6.8873
1969,10,2,4,48,7.5917
1969,10,2,5,79,10.2868
1969,10,3,1,70,5.7779
1969,10,3,2,91,2.4040
1969,10,3,3,99,4.9945
1969,10,3,4,96,6.0295
1969,10,3,5,94,5.1105
1969,11,1,1,159,-7.7837
1969,11,1,2,90,-7.6773
1969,11,1,3,91,-4.8003
1969,11,1,4,99,-5.3051
1969,11,1,5,145,-8.7090
1969,11,2,1,54,-5.1389
1969,11,2,2,48,-5.1779
1969,11,2,3,42,-4.1564
1969,11,2,4,48,-4.8731
1969,11,2,5,78,-4.6288
1969,11,3,1,70,-3.6243
1969,11,3,2,91,-4.0172
1969,11,3,3,100,-1.8608
1969,11,3,4,96,-2.9062
1969,11,3,5,94,-1.4084
1969,12,1,1,159,-10.3247
1969,12,1,2,90,-7.9570
1969,12,1,3,91,-4.3002
1969,12,1,4,99,-6.1308
1969,12,1,5,146,-8.6186
1969,12,2,1,54,-5.2252
1969,12,2,2,48,-3.4157
1969,12,2,3,42,-2.2824
1969,12,2,4,48,-6.1604
1969,12,2,5,78,-4.3153
1969,12,3,1,70,-3.3336
1969,12,3,2,91,-1.9486
1969,12,3,3,100,-1.7409
1969,12,3,4,96,-1.0133
1969,12,3,5,94,-0.3196
1970,1,1,1,159,-0.1314
1970,1,1,2,90,-5.5126
1970,1,1,3,91,-3.2983
1970,1,1,4,99,-3.3552
1970,1,1,5,146,-5.0773
1970,1,2,1,54,-7.1511
1970,1,2,2,48,-4.2736
1970,1,2,3,42,-5.3325
1970,1,2,4,48,-4.3403
1970,1,2,5,78,-7.3252
1970,1,3,1,70,-7.1586
1970,1,3,2,91,-8.6088
1970,1,3,3,100,-6.5738
1970,1,3,4,96,-8.7469
1970,1,3,5,93,-9.2174
1970,2,1,1,159,2.4890
1970,2,1,2,90,2.7858
1970,2,1,3,91,3.0147
1970,2,1,4,99,4.3766
1970,2,1,5,146,3.4764
1970,2,2,1,53,3.9864
1970,2,2,2,48,6.2303
1970,2,2,3,42,2.7699
1970,2,2,4,48,5.4547
1970,2,2,5,78,5.0544
1970,2,3,1,70,7.8328
1970,2,3,2,91,5.7445
1970,2,3,3,100,6.7638
1970,2,3,4,96,5.9138
1970,2,3,5,93,2.8373
1970,3,1,1,159,-2.4854
1970,3,1,2,90,0.5445
1970,3,1,3,91,-4.4074
1970,3,1,4,99,-3.7252
1970,3,1,5,146,-5.1228
1970,3,2,1,54,-0.8258
1970,3,2,2,48,-3.4983
1970,3,2,3,42,0.8198
1970,3,2,4,48,0.4412
1970,3,2,5,79,-5.5099
1970,3,3,1,70,0.6055
1970,3,3,2,91,1.4304
1970,3,3,3,100,-0.1010
1970,3,3,4,96,-1.2192
1970,3,3,5,94,-1.4091
1970,4,1,1,158,-17.2369
1970,4,1,2,90,-16.7620
1970,4,1,3,91,-15.5087
1970,4,1,4,99,-17.1682
1970,4,1,5,145,-20.0857
1970,4,2,1,55,-15.9072
1970,4,2,2,48,-16.3105
1970,4,2,3,42,-11.9873
1970,4,2,4,48,-13.8159
1970,4,2,5,79,-18.9307
1970,4,3,1,70,-8.5973
1970,4,3,2,91,-7.7800
1970,4,3,3,100,-8.4057
1970,4,3,4,96,-9.8879
1970,4,3,5,94,-12.2940
1970,5,1,1,158,-10.7276
1970,5,1,2,90,-8.3744
1970,5,1,3,90,-8.2449
1970,5,1,4,99,-8.3885
1970,5,1,5,145,-9.8778
1970,5,2,1,55,-9.4992
1970,5,2,2,48,-8.8417
1970,5,2,3,42,-9.9863
1970,5,2,4,48,-10.8919
1970,5,2,5,78,-12.4609
1970,5,3,1,70,-4.1642
1970,5,3,2,91,-2.5647
1970,5,3,3,100,-6.4729
1970,5,3,4,96,-6.6467
1970,5,3,5,94,-8.0866
1970,6,1,1,156,-8.6066
1970,6,1,2,90,-8.2866
1970,6,1,3,90,-9.1450
