year,month,rank_ME,rank_NSI,nstocks,ret_vw
1968,4,2,5,60,16.5326
1968,4,3,1,95,9.5418
1968,4,3,2,69,5.5255
1968,4,3,3,125,7.9383
1968,4,3,4,118,8.6232
1968,4,3,5,112,10.2446
1968,5,1,1,86,10.7004
1968,5,1,2,146,12.1191
1968,5,1,3,46,10.0332
1968,5,1,4,54,11.4661
1968,5,1,5,81,10.4261
1968,5,2,1,50,5.7811
1968,5,2,2,52,7.4332
1968,5,2,3,47,7.9819
1968,5,2,4,53,7.3315
1968,5,2,5,60,7.8832
1968,5,3,1,95,0.6212
1968,5,3,2,69,1.3867
1968,5,3,3,125,1.2040
1968,5,3,4,117,1.7235
1968,5,3,5,112,3.0252
1968,6,1,1,86,0.3239
1968,6,1,2,146,0.1381
1968,6,1,3,46,3.8471
1968,6,1,4,54,-0.4258
1968,6,1,5,81,-0.1108
1968,6,2,1,50,0.7722
1968,6,2,2,52,0.2729
1968,6,2,3,47,0.2610
1968,6,2,4,53,1.3432
1968,6,2,5,60,-0.2930
1968,6,3,1,95,1.6441
1968,6,3,2,69,4.7220
1968,6,3,3,125,0.3627
1968,6,3,4,117,1.0464
1968,6,3,5,112,0.6075
1968,7,1,1,89,-1.6809
1968,7,1,2,202,-1.6870
1968,7,1,3,76,-3.8728
1968,7,1,4,115,-4.2593
1968,7,1,5,118,-5.1149
1968,7,2,1,29,-2.2953
1968,7,2,2,65,-0.6644
1968,7,2,3,67,-1.6532
1968,7,2,4,70,-5.3778
1968,7,2,5,75,-7.1479
1968,7,3,1,61,1.3426
1968,7,3,2,66,-0.3371
1968,7,3,3,132,-1.5277
1968,7,3,4,121,-3.9710
1968,7,3,5,138,-4.4157
1968,8,1,1,89,4.6254
1968,8,1,2,201,5.6428
1968,8,1,3,76,3.5874
1968,8,1,4,115,5.4318
1968,8,1,5,118,2.6665
1968,8,2,1,28,4.7575
1968,8,2,2,65,4.0466
1968,8,2,3,67,2.4536
1968,8,2,4,70,4.5390
1968,8,2,5,75,3.6822
1968,8,3,1,61,2.0411
1968,8,3,2,66,0.6888
1968,8,3,3,132,1.8051
1968,8,3,4,120,0.6684
1968,8,3,5,138,0.9756
1968,9,1,1,89,5.7035
1968,9,1,2,201,8.2453
1968,9,1,3,76,6.8121
1968,9,1,4,115,8.3713
1968,9,1,5,118,6.7719
1968,9,2,1,28,5.4399
1968,9,2,2,65,5.2464
1968,9,2,3,67,6.1707
1968,9,2,4,69,7.4620
1968,9,2,5,75,7.8749
1968,9,3,1,61,3.7557
1968,9,3,2,66,2.6244
1968,9,3,3,132,4.5126
1968,9,3,4,120,2.9164
1968,9,3,5,138,4.3486
1968,10,1,1,89,2.6006
1968,10,1,2,199,0.9140
1968,10,1,3,76,-1.1245
1968,10,1,4,115,-0.4716
1968,10,1,5,118,0.1208
1968,10,2,1,28,-0.1440
1968,10,2,2,65,1.3650
1968,10,2,3,67,2.6351
1968,10,2,4,69,0.5856
1968,10,2,5,75,0.1503
1968,10,3,1,61,1.7874
1968,10,3,2,66,2.5134
1968,10,3,3,132,1.9965
1968,10,3,4,119,-2.2066
1968,10,3,5,138,-0.0736
1968,11,1,1,88,8.3322
1968,11,1,2,199,6.3942
1968,11,1,3,76,5.4310
1968,11,1,4,115,8.4158
1968,11,1,5,118,6.5745
1968,11,2,1,28,8.4900
1968,11,2,2,65,7.1620
1968,11,2,3,67,7.7015
1968,11,2,4,70,7.4970
1968,11,2,5,75,10.0286
1968,11,3,1,61,5.3833
1968,11,3,2,66,6.3567
1968,11,3,3,132,4.1118
1968,11,3,4,119,6.7457
1968,11,3,5,138,7.0262
1968,12,1,1,88,0.5730
1968,12,1,2,201,2.9218
1968,12,1,3,76,3.4883
1968,12,1,4,115,1.6360
1968,12,1,5,118,0.9034
1968,12,2,1,28,0.5981
1968,12,2,2,65,-0.4238
1968,12,2,3,67,-1.6944
1968,12,2,4,70,-3.0946
1968,12,2,5,75,-1.2911
1968,12,3,1,61,-4.4665
1968,12,3,2,66,-3.0228
1968,12,3,3,132,-4.7347
1968,12,3,4,119,-3.8755
1968,12,3,5,138,-2.7185
1969,1,1,1,88,-1.9753
1969,1,1,2,201,-0.5281
1969,1,1,3,76,0.0276
1969,1,1,4,115,-2.0355
1969,1,1,5,118,-1.2977
1969,1,2,1,28,-2.4398
1969,1,2,2,65,-0.7211
1969,1,2,3,67,0.1209
1969,1,2,4,70,-1.8590
1969,1,2,5,75,-1.8385
1969,1,3,1,60,-0.7064
1969,1,3,2,66,1.3909
1969,1,3,3,132,0.3826
1969,1,3,4,119,-2.3438
1969,1,3,5,138,-2.4976
1969,2,1,1,88,-10.4771
1969,2,1,2,201,-9.8843
1969,2,1,3,75,-10.4231
1969,2,1,4,113,-9.6108
1969,2,1,5,118,-10.3195
1969,2,2,1,28,-6.6394
1969,2,2,2,65,-6.5582
1969,2,2,3,67,-7.8171
1969,2,2,4,70,-7.2685
1969,2,2,5,75,-10.0782
1969,2,3,1,60,-4.0083
1969,2,3,2,66,-4.0073
1969,2,3,3,132,-3.7841
1969,2,3,4,119,-4.1598
1969,2,3,5,138,-7.3354
1969,3,1,1,88,3.9335
1969,3,1,2,201,3.6569
1969,3,1,3,75,2.1041
1969,3,1,4,113,1.1910
1969,3,1,5,118,1.8892
1969,3,2,1,28,0.4937
1969,3,2,2,65,3.2132
1969,3,2,3,67,2.2770
1969,3,2,4,70,3.2444
1969,3,2,5,74,2.2886
1969,3,3,1,60,4.5035
1969,3,3,2,66,1.2135
1969,3,3,3,132,3.3583
1969,3,3,4,119,4.1916
1969,3,3,5,138,1.9628
1969,4,1,1,87,-1.7305
1969,4,1,2,200,-0.1550
1969,4,1,3,75,-0.6441
1969,4,1,4,113,-0.6710
1969,4,1,5,118,-0.7884
1969,4,2,1,28,0.6454
1969,4,2,2,65,1.7107
1969,4,2,3,66,1.7139
1969,4,2,4,70,3.0460
1969,4,2,5,74,0.3988
1969,4,3,1,60,3.0104
1969,4,3,2,66,0.5525
1969,4,3,3,132,2.5496
1969,4,3,4,117,2.1755
1969,4,3,5,138,1.6088
1969,5,1,1,87,4.1171
1969,5,1,2,200,1.4221
1969,5,1,3,75,2.2360
1969,5,1,4,114,0.4013
1969,5,1,5,118,-1.2021
1969,5,2,1,28,0.3234
1969,5,2,2,65,2.0852
1969,5,2,3,66,-0.8746
1969,5,2,4,70,1.2898
1969,5,2,5,75,-1.1233
1969,5,3,1,60,0.8465
1969,5,3,2,66,0.4250
1969,5,3,3,131,0.5856
1969,5,3,4,117,-0.7248
1969,5,3,5,138,0.5864
1969,6,1,1,87,-13.8366
1969,6,1,2,201,-11.8653
1969,6,1,3,75,-14.1705
1969,6,1,4,114,-14.4773
1969,6,1,5,118,-14.8376
1969,6,2,1,28,-8.8535
1969,6,2,2,65,-9.7449
1969,6,2,3,67,-10.1234
1969,6,2,4,70,-11.2233
1969,6,2,5,75,-11.3907
1969,6,3,1,60,-6.1332
1969,6,3,2,65,-5.9102
1969,6,3,3,130,-5.7883
1969,6,3,4,118,-3.0272
1969,6,3,5,138,-7.7243
1969,7,1,1,50,-11.5020
1969,7,1,2,156,-10.8127
1969,7,1,3,111,-10.4183
1969,7,1,4,152,-12.1203
1969,7,1,5,181,-11.8277
1969,7,2,1,32,-5.5808
1969,7,2,2,47,-8.5928
1969,7,2,3,64,-9.3739
1969,7,2,4,73,-8.0233
1969,7,2,5,113,-10.3928
1969,7,3,1,61,-6.4634
1969,7,3,2,65,-5.1141
1969,7,3,3,151,-5.6451
1969,7,3,4,133,-5.0694
1969,7,3,5,125,-8.0752
1969,8,1,1,50,3.7639
1969,8,1,2,155,3.4851
