year,month,rank_ME,rank_IG2,nstocks,ret_vw
1968,7,2,4,38,-5.8795
1968,7,2,5,37,-4.9593
1968,7,3,1,57,-1.8129
1968,7,3,2,77,-0.8666
1968,7,3,3,100,-2.7792
1968,7,3,4,93,-0.8855
1968,7,3,5,88,-5.7015
1968,8,1,1,77,5.2386
1968,8,1,2,53,4.0650
1968,8,1,3,33,6.2803
1968,8,1,4,44,3.9084
1968,8,1,5,61,2.3883
1968,8,2,1,45,5.2405
1968,8,2,2,46,3.6100
1968,8,2,3,38,2.5191
1968,8,2,4,38,5.3254
1968,8,2,5,37,5.6354
1968,8,3,1,57,1.8924
1968,8,3,2,77,2.0849
1968,8,3,3,99,1.1641
1968,8,3,4,93,1.9408
1968,8,3,5,88,1.2730
1968,9,1,1,77,5.4325
1968,9,1,2,53,6.4044
1968,9,1,3,33,9.3531
1968,9,1,4,44,6.8893
1968,9,1,5,61,7.4759
1968,9,2,1,45,6.7346
1968,9,2,2,45,7.7677
1968,9,2,3,38,6.1390
1968,9,2,4,38,6.4025
1968,9,2,5,37,6.7937
1968,9,3,1,57,5.6497
1968,9,3,2,77,4.9408
1968,9,3,3,99,3.2120
1968,9,3,4,93,3.7349
1968,9,3,5,88,5.2790
1968,10,1,1,77,-0.3166
1968,10,1,2,52,2.7228
1968,10,1,3,33,0.4887
1968,10,1,4,44,1.1112
1968,10,1,5,61,1.4371
1968,10,2,1,45,0.7859
1968,10,2,2,45,2.9524
1968,10,2,3,38,-0.7248
1968,10,2,4,38,1.4789
1968,10,2,5,37,1.3200
1968,10,3,1,57,2.8276
1968,10,3,2,77,3.0279
1968,10,3,3,98,-0.7914
1968,10,3,4,93,1.3499
1968,10,3,5,88,-1.4243
1968,11,1,1,76,8.8088
1968,11,1,2,52,5.6489
1968,11,1,3,33,6.2639
1968,11,1,4,44,6.9858
1968,11,1,5,61,4.9231
1968,11,2,1,45,7.3454
1968,11,2,2,46,7.2568
1968,11,2,3,38,8.3366
1968,11,2,4,38,8.2262
1968,11,2,5,37,7.3067
1968,11,3,1,57,1.4151
1968,11,3,2,77,4.6769
1968,11,3,3,98,5.4530
1968,11,3,4,93,6.3642
1968,11,3,5,88,7.3357
