year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1968,8,3,2,94,1.1504
1968,8,3,3,109,1.1974
1968,8,3,4,127,0.8163
1968,8,3,5,111,2.8763
1968,9,1,1,230,6.9863
1968,9,1,2,119,5.9117
1968,9,1,3,51,6.5094
1968,9,1,4,63,8.2346
1968,9,1,5,85,8.9561
1968,9,2,1,65,8.2145
1968,9,2,2,53,6.6311
1968,9,2,3,54,4.6725
1968,9,2,4,41,5.6944
1968,9,2,5,63,7.0481
1968,9,3,1,61,5.8180
1968,9,3,2,94,6.3461
1968,9,3,3,109,3.0039
1968,9,3,4,127,2.7798
1968,9,3,5,111,4.2213
1968,10,1,1,230,-0.1215
1968,10,1,2,118,1.1835
1968,10,1,3,51,1.2820
1968,10,1,4,63,1.4904
1968,10,1,5,85,0.2225
1968,10,2,1,65,-0.1952
1968,10,2,2,53,1.0907
1968,10,2,3,54,1.1426
1968,10,2,4,41,3.1250
1968,10,2,5,63,0.6358
1968,10,3,1,61,1.0226
1968,10,3,2,94,1.5649
1968,10,3,3,109,2.6234
1968,10,3,4,127,-1.0741
1968,10,3,5,111,-0.0467
1968,11,1,1,230,6.6972
1968,11,1,2,118,8.5524
1968,11,1,3,51,7.1234
1968,11,1,4,63,8.0254
1968,11,1,5,85,6.1403
1968,11,2,1,65,7.3466
1968,11,2,2,53,9.2507
1968,11,2,3,55,6.5637
1968,11,2,4,41,8.6020
1968,11,2,5,63,9.6144
1968,11,3,1,61,5.3860
1968,11,3,2,94,2.3024
1968,11,3,3,109,6.0142
1968,11,3,4,127,6.4622
1968,11,3,5,111,6.4608
1968,12,1,1,230,2.4429
1968,12,1,2,119,1.9490
1968,12,1,3,51,2.0929
1968,12,1,4,63,1.9233
1968,12,1,5,85,0.9967
1968,12,2,1,65,1.0414
1968,12,2,2,53,0.1488
1968,12,2,3,55,-3.0124
1968,12,2,4,41,-2.5400
1968,12,2,5,63,-2.8017
1968,12,3,1,61,-0.9537
1968,12,3,2,94,-3.1357
1968,12,3,3,109,-4.8417
1968,12,3,4,127,-4.3379
1968,12,3,5,111,-4.2377
1969,1,1,1,230,-0.2470
1969,1,1,2,119,-0.9270
1969,1,1,3,51,-1.6331
1969,1,1,4,63,-2.4290
1969,1,1,5,85,-2.5059
1969,1,2,1,65,-1.0066
1969,1,2,2,53,-2.8012
1969,1,2,3,55,-0.8191
1969,1,2,4,41,0.5259
1969,1,2,5,63,-1.9985
1969,1,3,1,60,-0.7723
1969,1,3,2,94,0.1153
1969,1,3,3,109,-0.3355
1969,1,3,4,127,-1.9778
1969,1,3,5,111,-0.7874
1969,2,1,1,229,-11.2618
1969,2,1,2,119,-9.0659
1969,2,1,3,51,-9.0758
1969,2,1,4,63,-9.3429
1969,2,1,5,85,-10.4350
1969,2,2,1,65,-8.6406
1969,2,2,2,53,-6.6640
1969,2,2,3,55,-7.1337
1969,2,2,4,41,-7.4727
1969,2,2,5,63,-9.7635
1969,2,3,1,60,-5.9469
1969,2,3,2,94,-3.8258
1969,2,3,3,109,-4.1578
1969,2,3,4,127,-4.2141
1969,2,3,5,111,-5.9020
1969,3,1,1,229,3.0782
1969,3,1,2,119,1.9227
1969,3,1,3,51,3.8847
1969,3,1,4,63,0.8947
1969,3,1,5,85,2.6092
1969,3,2,1,65,3.6395
1969,3,2,2,53,1.1400
1969,3,2,3,55,3.0814
1969,3,2,4,41,2.2086
1969,3,2,5,62,3.0283
1969,3,3,1,60,2.9708
1969,3,3,2,94,3.6468
1969,3,3,3,109,3.6100
1969,3,3,4,127,3.9784
1969,3,3,5,111,1.5296
1969,4,1,1,228,-0.2367
1969,4,1,2,119,0.8940
1969,4,1,3,51,-0.4132
1969,4,1,4,62,-1.2478
1969,4,1,5,85,-2.2614
1969,4,2,1,65,2.2938
1969,4,2,2,52,0.5908
1969,4,2,3,55,3.6829
1969,4,2,4,41,2.4797
1969,4,2,5,62,-0.4822
1969,4,3,1,60,0.3406
1969,4,3,2,93,2.2481
1969,4,3,3,109,2.8268
1969,4,3,4,127,1.5291
1969,4,3,5,110,3.0966
1969,5,1,1,228,2.1085
1969,5,1,2,119,-0.9764
1969,5,1,3,51,0.1833
1969,5,1,4,62,0.4764
1969,5,1,5,85,2.3051
1969,5,2,1,65,0.5804
1969,5,2,2,52,-0.5320
1969,5,2,3,55,2.1184
1969,5,2,4,41,0.7191
1969,5,2,5,63,-1.0113
1969,5,3,1,60,-0.0235
1969,5,3,2,93,0.8362
1969,5,3,3,108,1.0125
1969,5,3,4,127,0.0282
1969,5,3,5,110,-0.7101
1969,6,1,1,228,-14.1294
1969,6,1,2,119,-13.1992
1969,6,1,3,51,-12.3414
1969,6,1,4,63,-12.7853
1969,6,1,5,85,-14.7580
1969,6,2,1,65,-10.3401
1969,6,2,2,53,-9.1647
1969,6,2,3,55,-9.6853
1969,6,2,4,41,-10.5479
1969,6,2,5,63,-10.9959
1969,6,3,1,60,-9.3311
1969,6,3,2,93,-4.9353
1969,6,3,3,108,-6.9575
1969,6,3,4,127,-2.9816
1969,6,3,5,111,-6.7083
1969,7,1,1,215,-11.2339
1969,7,1,2,102,-10.8322
1969,7,1,3,78,-10.0977
1969,7,1,4,76,-12.4752
1969,7,1,5,121,-11.3577
1969,7,2,1,58,-7.7876
1969,7,2,2,57,-7.2316
1969,7,2,3,60,-8.4024
1969,7,2,4,47,-8.8756
1969,7,2,5,78,-11.5920
1969,7,3,1,75,-5.2092
1969,7,3,2,105,-5.3971
1969,7,3,3,109,-6.9542
1969,7,3,4,125,-5.4146
1969,7,3,5,108,-6.8704
1969,8,1,1,215,3.4521
1969,8,1,2,102,3.8568
1969,8,1,3,78,3.8264
1969,8,1,4,76,3.4634
1969,8,1,5,121,4.3059
1969,8,2,1,58,7.5936
1969,8,2,2,57,4.8347
1969,8,2,3,60,2.9711
1969,8,2,4,47,4.0416
1969,8,2,5,78,9.0838
1969,8,3,1,75,5.4038
1969,8,3,2,105,5.5912
1969,8,3,3,109,4.9299
1969,8,3,4,125,3.4103
1969,8,3,5,108,5.6503
1969,9,1,1,215,-2.8241
1969,9,1,2,102,-2.8355
1969,9,1,3,78,-4.5263
1969,9,1,4,76,-2.2305
1969,9,1,5,122,-4.5333
1969,9,2,1,58,0.7137
1969,9,2,2,56,0.2972
1969,9,2,3,60,-0.9341
1969,9,2,4,47,-0.4023
1969,9,2,5,78,-1.2525
1969,9,3,1,75,-1.2421
1969,9,3,2,104,-1.3906
1969,9,3,3,109,-2.7518
1969,9,3,4,125,-3.4726
1969,9,3,5,108,-3.2972
1969,10,1,1,215,9.8229
1969,10,1,2,102,10.2690
1969,10,1,3,78,9.2139
1969,10,1,4,75,12.3045
1969,10,1,5,122,13.2502
1969,10,2,1,58,7.3613
1969,10,2,2,56,6.6511
1969,10,2,3,60,7.6596
1969,10,2,4,46,7.9396
1969,10,2,5,78,9.4412
1969,10,3,1,75,4.8777
1969,10,3,2,104,4.9565
1969,10,3,3,109,4.8996
1969,10,3,4,125,4.4253
1969,10,3,5,108,6.1652
1969,11,1,1,215,-7.1760
1969,11,1,2,102,-7.6241
1969,11,1,3,78,-4.1921
1969,11,1,4,75,-7.2409
1969,11,1,5,122,-8.0905
1969,11,2,1,58,-3.9509
1969,11,2,2,56,-4.3771
1969,11,2,3,60,-3.2676
1969,11,2,4,46,-3.9941
1969,11,2,5,77,-7.2694
1969,11,3,1,75,-2.2955
1969,11,3,2,105,-2.3693
1969,11,3,3,109,-3.5253
1969,11,3,4,125,-3.1372
1969,11,3,5,108,-3.1132
1969,12,1,1,215,-9.6883
1969,12,1,2,102,-7.3421
1969,12,1,3,78,-5.2701
1969,12,1,4,76,-6.2687
1969,12,1,5,122,-7.9203
1969,12,2,1,58,-3.7170
1969,12,2,2,56,-4.7731
1969,12,2,3,60,-1.6388
1969,12,2,4,46,-3.0029
1969,12,2,5,77,-6.8461
1969,12,3,1,75,-0.2073
1969,12,3,2,105,-1.6765
1969,12,3,3,109,-1.9160
1969,12,3,4,125,-1.2612
1969,12,3,5,108,-2.1102
1970,1,1,1,215,-0.6445
1970,1,1,2,102,-4.1196
1970,1,1,3,78,-1.3129
1970,1,1,4,76,-5.2319
1970,1,1,5,122,-6.0323
1970,1,2,1,58,-5.6408
1970,1,2,2,56,-4.6292
1970,1,2,3,60,-4.2848
1970,1,2,4,45,-2.7366
1970,1,2,5,78,-8.6832
1970,1,3,1,75,-7.3833
1970,1,3,2,104,-7.7308
1970,1,3,3,109,-8.5988
