year,month,rank_ME,rank_CEI,nstocks,ret_vw
1969,8,1,5,71,3.4820
1969,8,2,1,61,3.6568
1969,8,2,2,49,4.0674
1969,8,2,3,39,5.6858
1969,8,2,4,77,6.0133
1969,8,2,5,56,8.9741
1969,8,3,1,90,2.1528
1969,8,3,2,107,4.0535
1969,8,3,3,124,4.2773
1969,8,3,4,98,6.5658
1969,8,3,5,105,7.0745
1969,9,1,1,87,-2.1231
1969,9,1,2,90,-1.9323
1969,9,1,3,108,-2.1675
1969,9,1,4,209,-4.2730
1969,9,1,5,70,-3.5925
1969,9,2,1,60,-0.5062
1969,9,2,2,49,-0.7980
1969,9,2,3,35,-0.6258
1969,9,2,4,76,-0.8266
1969,9,2,5,56,-2.1057
1969,9,3,1,89,-2.1701
1969,9,3,2,107,-6.1332
1969,9,3,3,123,-2.4014
1969,9,3,4,98,-0.0613
1969,9,3,5,105,-3.6110
1969,10,1,1,85,5.4940
1969,10,1,2,90,7.9599
1969,10,1,3,108,9.2694
1969,10,1,4,208,12.2964
1969,10,1,5,70,11.9199
1969,10,2,1,59,5.2609
1969,10,2,2,49,5.4470
1969,10,2,3,35,5.9120
1969,10,2,4,76,7.5552
1969,10,2,5,56,10.1187
1969,10,3,1,89,3.3181
1969,10,3,2,107,3.9622
1969,10,3,3,123,5.4696
1969,10,3,4,97,5.6606
1969,10,3,5,105,5.0527
1969,11,1,1,85,-5.1119
1969,11,1,2,90,-4.7859
1969,11,1,3,108,-6.1821
1969,11,1,4,208,-7.9888
1969,11,1,5,70,-8.9608
1969,11,2,1,60,-2.8888
1969,11,2,2,49,-4.2589
1969,11,2,3,35,-3.3810
1969,11,2,4,76,-6.3515
1969,11,2,5,56,-6.2123
1969,11,3,1,89,-4.2746
1969,11,3,2,107,-3.6472
1969,11,3,3,124,-2.4387
1969,11,3,4,97,-1.8844
1969,11,3,5,105,-3.4065
1969,12,1,1,86,-5.8592
1969,12,1,2,89,-7.1547
1969,12,1,3,107,-7.0438
1969,12,1,4,207,-8.7696
1969,12,1,5,69,-9.4967
1969,12,2,1,60,-5.7793
1969,12,2,2,49,-5.5223
1969,12,2,3,34,-3.3534
1969,12,2,4,76,-5.9649
1969,12,2,5,56,-6.7740
1969,12,3,1,89,-2.3624
1969,12,3,2,107,-1.7332
1969,12,3,3,124,-1.1630
1969,12,3,4,97,-0.6211
1969,12,3,5,105,-2.8127
1970,1,1,1,86,-1.3245
1970,1,1,2,89,-0.5819
1970,1,1,3,105,-2.5674
1970,1,1,4,207,-3.9096
1970,1,1,5,69,-3.1198
1970,1,2,1,58,-3.5015
1970,1,2,2,48,-2.3356
1970,1,2,3,33,-5.9395
1970,1,2,4,75,-5.3808
1970,1,2,5,56,-8.0623
1970,1,3,1,89,-6.4841
1970,1,3,2,107,-8.5676
1970,1,3,3,124,-5.9200
1970,1,3,4,97,-8.7064
1970,1,3,5,104,-10.7327
1970,2,1,1,86,3.4342
1970,2,1,2,89,3.1905
1970,2,1,3,105,2.3067
1970,2,1,4,207,2.4210
1970,2,1,5,69,2.5388
1970,2,2,1,58,6.4698
1970,2,2,2,48,3.4032
1970,2,2,3,33,2.7265
1970,2,2,4,74,5.2062
1970,2,2,5,56,4.8840
1970,2,3,1,89,6.0881
1970,2,3,2,107,7.3554
1970,2,3,3,124,6.8595
1970,2,3,4,97,2.9588
1970,2,3,5,104,6.3952
1970,3,1,1,86,-0.3590
1970,3,1,2,89,-1.0562
1970,3,1,3,105,-3.0482
1970,3,1,4,206,-3.7403
1970,3,1,5,69,-3.7540
1970,3,2,1,58,1.4284
1970,3,2,2,48,1.3861
1970,3,2,3,33,2.1334
1970,3,2,4,75,-2.1872
1970,3,2,5,56,-4.6651
1970,3,3,1,89,3.5189
1970,3,3,2,106,0.9948
1970,3,3,3,124,0.1759
1970,3,3,4,97,-1.2563
1970,3,3,5,105,-3.9111
1970,4,1,1,86,-9.3835
1970,4,1,2,89,-14.0427
1970,4,1,3,105,-17.5449
1970,4,1,4,206,-23.3205
1970,4,1,5,69,-18.9666
1970,4,2,1,58,-9.8693
1970,4,2,2,48,-10.2968
1970,4,2,3,34,-12.7321
1970,4,2,4,76,-15.9881
1970,4,2,5,56,-19.9969
1970,4,3,1,87,-5.8601
1970,4,3,2,106,-8.1353
1970,4,3,3,124,-8.3685
1970,4,3,4,97,-11.8317
1970,4,3,5,105,-14.1015
1970,5,1,1,86,-8.1495
1970,5,1,2,89,-8.0808
1970,5,1,3,105,-11.5724
1970,5,1,4,205,-8.9088
1970,5,1,5,69,-9.8831
1970,5,2,1,58,-6.4820
1970,5,2,2,48,-9.5911
1970,5,2,3,34,-7.6095
1970,5,2,4,76,-10.4187
1970,5,2,5,55,-12.0638
1970,5,3,1,87,-2.2565
1970,5,3,2,106,-2.5911
1970,5,3,3,124,-6.2139
1970,5,3,4,97,-8.2718
1970,5,3,5,105,-9.1706
1970,6,1,1,86,-4.5060
1970,6,1,2,88,-5.4300
1970,6,1,3,105,-8.8790
1970,6,1,4,202,-11.9910
1970,6,1,5,69,-11.9309
1970,6,2,1,58,-3.7127
1970,6,2,2,48,-5.6905
1970,6,2,3,34,-4.0354
1970,6,2,4,75,-7.9522
1970,6,2,5,54,-9.8359
1970,6,3,1,87,-4.2411
1970,6,3,2,106,-3.0822
1970,6,3,3,124,-3.6194
1970,6,3,4,97,-8.7646
1970,6,3,5,105,-6.0413
1970,7,1,1,78,2.6603
1970,7,1,2,89,6.7796
1970,7,1,3,120,6.8194
1970,7,1,4,227,5.1147
1970,7,1,5,80,2.9004
1970,7,2,1,49,6.0233
1970,7,2,2,56,9.2454
1970,7,2,3,46,9.9274
1970,7,2,4,72,8.1007
1970,7,2,5,73,6.5517
1970,7,3,1,114,8.6860
1970,7,3,2,111,10.5945
1970,7,3,3,122,5.9603
1970,7,3,4,95,4.3781
1970,7,3,5,87,6.6457
1970,8,1,1,77,4.4564
1970,8,1,2,89,5.6834
1970,8,1,3,120,8.3743
1970,8,1,4,223,5.9862
1970,8,1,5,80,7.8948
1970,8,2,1,49,5.0170
1970,8,2,2,56,5.2977
1970,8,2,3,46,6.7644
1970,8,2,4,72,8.6103
1970,8,2,5,72,9.2532
1970,8,3,1,114,6.0912
1970,8,3,2,111,4.1260
1970,8,3,3,122,3.7087
1970,8,3,4,95,6.3646
1970,8,3,5,86,5.3605
1970,9,1,1,77,7.0252
1970,9,1,2,89,12.0788
1970,9,1,3,120,12.4636
1970,9,1,4,221,17.1787
1970,9,1,5,80,18.8976
1970,9,2,1,49,4.6709
1970,9,2,2,56,6.8345
