year,month,rank_ME,rank_IVC,nstocks,ret_vw
1969,10,2,4,61,4.7516
1969,10,2,5,83,10.1577
1969,10,3,1,79,7.4677
1969,10,3,2,116,2.7983
1969,10,3,3,102,5.0598
1969,10,3,4,91,7.3425
1969,10,3,5,67,7.3069
1969,11,1,1,190,-6.3567
1969,11,1,2,59,-8.7416
1969,11,1,3,83,-6.0051
1969,11,1,4,114,-6.1129
1969,11,1,5,178,-7.6619
1969,11,2,1,59,-3.7512
1969,11,2,2,39,-3.9556
1969,11,2,3,46,-5.4058
1969,11,2,4,62,-5.2785
1969,11,2,5,82,-5.7401
1969,11,3,1,79,-2.5106
1969,11,3,2,116,-2.8007
1969,11,3,3,102,-2.5675
1969,11,3,4,91,-2.5911
1969,11,3,5,68,-3.0467
1969,12,1,1,190,-8.7868
1969,12,1,2,59,-7.5033
1969,12,1,3,83,-8.0419
1969,12,1,4,115,-6.0635
1969,12,1,5,178,-7.4049
1969,12,2,1,59,-4.6176
1969,12,2,2,39,-2.1522
1969,12,2,3,46,-3.8243
1969,12,2,4,62,-5.5298
1969,12,2,5,82,-5.6760
1969,12,3,1,79,-1.8341
1969,12,3,2,116,-1.3918
1969,12,3,3,102,-0.9253
1969,12,3,4,91,-2.1655
1969,12,3,5,68,-2.6083
1970,1,1,1,190,-0.6687
1970,1,1,2,59,-2.8463
1970,1,1,3,83,-3.8037
1970,1,1,4,115,-3.2957
1970,1,1,5,178,-5.6475
1970,1,2,1,59,-5.1259
1970,1,2,2,39,-6.3997
1970,1,2,3,46,-4.5440
1970,1,2,4,62,-3.1168
1970,1,2,5,82,-9.3990
1970,1,3,1,79,-6.8999
1970,1,3,2,116,-8.2552
1970,1,3,3,102,-7.2664
1970,1,3,4,91,-8.3550
1970,1,3,5,67,-10.5613
1970,2,1,1,190,2.6067
1970,2,1,2,59,3.0915
1970,2,1,3,82,1.4773
1970,2,1,4,115,5.4126
1970,2,1,5,178,2.0936
1970,2,2,1,59,6.5282
1970,2,2,2,39,4.0467
1970,2,2,3,45,4.0334
1970,2,2,4,62,4.2972
1970,2,2,5,82,3.6604
1970,2,3,1,79,6.7220
1970,2,3,2,116,5.0728
1970,2,3,3,102,5.1368
1970,2,3,4,91,7.3212
1970,2,3,5,67,5.2434
1970,3,1,1,190,-2.2292
1970,3,1,2,59,-1.2500
1970,3,1,3,81,-2.3180
1970,3,1,4,115,-4.1523
1970,3,1,5,178,-4.7675
1970,3,2,1,60,-1.1579
1970,3,2,2,39,0.0633
1970,3,2,3,45,-1.2833
1970,3,2,4,62,-1.1190
1970,3,2,5,83,-4.8992
1970,3,3,1,79,-0.7409
1970,3,3,2,116,0.2430
1970,3,3,3,102,0.2398
1970,3,3,4,91,-0.9353
1970,3,3,5,68,-1.8833
1970,4,1,1,188,-18.5893
1970,4,1,2,59,-15.7490
1970,4,1,3,81,-15.1067
1970,4,1,4,115,-16.0564
1970,4,1,5,178,-20.4169
1970,4,2,1,60,-15.1479
1970,4,2,2,39,-11.7111
1970,4,2,3,46,-13.1426
1970,4,2,4,61,-13.9496
1970,4,2,5,83,-19.4273
1970,4,3,1,79,-9.1915
1970,4,3,2,116,-9.0435
1970,4,3,3,102,-8.1517
1970,4,3,4,91,-10.8921
1970,4,3,5,68,-13.7524
1970,5,1,1,188,-9.1663
1970,5,1,2,59,-10.5948
1970,5,1,3,81,-9.9737
1970,5,1,4,114,-8.5244
1970,5,1,5,178,-8.8445
1970,5,2,1,60,-8.2105
1970,5,2,2,39,-10.6665
1970,5,2,3,46,-8.4715
1970,5,2,4,60,-12.1069
1970,5,2,5,83,-12.1670
1970,5,3,1,79,-8.6933
1970,5,3,2,116,-3.7703
1970,5,3,3,102,-5.8468
1970,5,3,4,91,-7.8961
1970,5,3,5,68,-9.7867
1970,6,1,1,186,-6.4697
1970,6,1,2,59,-10.3732
1970,6,1,3,81,-6.0775
1970,6,1,4,112,-10.0123
1970,6,1,5,178,-10.7712
1970,6,2,1,60,-5.8335
1970,6,2,2,39,-7.6558
1970,6,2,3,45,-4.5906
1970,6,2,4,60,-5.6309
1970,6,2,5,82,-10.4901
1970,6,3,1,79,-3.5856
1970,6,3,2,116,-5.2749
1970,6,3,3,102,-4.3260
1970,6,3,4,91,-4.7909
1970,6,3,5,68,-7.5252
1970,7,1,1,201,5.4738
1970,7,1,2,95,5.2282
1970,7,1,3,99,8.3100
1970,7,1,4,114,2.1647
1970,7,1,5,205,3.8741
1970,7,2,1,60,6.9419
1970,7,2,2,58,7.4796
1970,7,2,3,61,9.9801
1970,7,2,4,68,9.5579
1970,7,2,5,71,6.1126
1970,7,3,1,79,8.1468
1970,7,3,2,106,7.6368
1970,7,3,3,105,8.2583
1970,7,3,4,80,7.6063
1970,7,3,5,88,2.7454
1970,8,1,1,201,7.0294
1970,8,1,2,95,6.0721
1970,8,1,3,99,5.7679
1970,8,1,4,112,7.4167
1970,8,1,5,204,6.1627
1970,8,2,1,60,9.2788
1970,8,2,2,58,6.3164
1970,8,2,3,61,5.0956
1970,8,2,4,68,5.9319
1970,8,2,5,70,7.9177
1970,8,3,1,79,5.2846
1970,8,3,2,106,4.5334
1970,8,3,3,105,4.8564
1970,8,3,4,80,3.9471
1970,8,3,5,88,7.2417
1970,9,1,1,200,15.1418
1970,9,1,2,95,11.8441
1970,9,1,3,99,14.4173
1970,9,1,4,111,14.8815
1970,9,1,5,204,17.5065
1970,9,2,1,60,12.9642
1970,9,2,2,58,9.0399
1970,9,2,3,61,11.4813
1970,9,2,4,68,9.4154
1970,9,2,5,69,14.6345
1970,9,3,1,79,3.5394
1970,9,3,2,106,2.9512
1970,9,3,3,105,3.0592
1970,9,3,4,80,5.5902
1970,9,3,5,87,8.8792
1970,10,1,1,198,-4.8856
1970,10,1,2,95,-6.8189
1970,10,1,3,99,-5.9733
1970,10,1,4,112,-8.1842
1970,10,1,5,204,-11.7340
1970,10,2,1,60,-4.9373
1970,10,2,2,58,-5.3553
1970,10,2,3,61,-5.7612
1970,10,2,4,68,-6.3280
1970,10,2,5,69,-5.8940
1970,10,3,1,79,1.0979
1970,10,3,2,106,-1.0249
1970,10,3,3,105,-1.4793
1970,10,3,4,80,-1.4310
1970,10,3,5,87,-2.6202
1970,11,1,1,198,-0.1636
1970,11,1,2,94,-1.3611
1970,11,1,3,97,-2.4330
1970,11,1,4,112,-1.6319
1970,11,1,5,204,-2.2034
1970,11,2,1,60,3.6785
1970,11,2,2,58,4.0470
1970,11,2,3,60,2.9792
1970,11,2,4,68,2.9315
1970,11,2,5,69,0.3875
1970,11,3,1,79,5.2117
1970,11,3,2,106,5.4065
1970,11,3,3,105,5.3511
1970,11,3,4,80,4.1563
1970,11,3,5,87,4.5224
1970,12,1,1,197,6.6357
1970,12,1,2,93,9.2208
1970,12,1,3,97,9.7746
1970,12,1,4,112,12.4694
1970,12,1,5,204,11.2177
1970,12,2,1,60,7.7432
1970,12,2,2,58,8.9971
1970,12,2,3,60,8.7212
1970,12,2,4,68,11.0576
1970,12,2,5,69,7.9204
1970,12,3,1,79,3.8296
1970,12,3,2,106,5.9362
1970,12,3,3,105,6.4051
1970,12,3,4,79,6.4017
1970,12,3,5,87,5.9381
1971,1,1,1,196,16.4562
1971,1,1,2,93,13.0970
1971,1,1,3,97,13.1424
1971,1,1,4,111,11.6544
1971,1,1,5,204,17.1079
1971,1,2,1,59,13.2298
1971,1,2,2,58,11.6056
1971,1,2,3,60,9.5452
1971,1,2,4,68,8.5316
1971,1,2,5,68,11.8032
1971,1,3,1,79,1.7354
1971,1,3,2,106,4.4183
1971,1,3,3,105,4.2103
1971,1,3,4,79,5.4782
1971,1,3,5,87,7.7683
1971,2,1,1,196,4.0139
1971,2,1,2,93,5.7014
1971,2,1,3,95,2.4266
1971,2,1,4,110,5.7436
1971,2,1,5,203,5.8586
1971,2,2,1,59,2.3961
1971,2,2,2,57,2.8510
1971,2,2,3,60,3.5587
1971,2,2,4,68,3.7509
1971,2,2,5,68,1.5419
1971,2,3,1,79,5.2663
1971,2,3,2,106,0.3588
1971,2,3,3,105,1.4047
1971,2,3,4,79,2.9979
1971,2,3,5,86,1.9649
1971,3,1,1,196,7.8615
1971,3,1,2,93,5.0177
1971,3,1,3,95,5.5210
1971,3,1,4,109,7.8141
