year,month,rank_ME,rank_IG,nstocks,ret_vw
1968,12,1,5,113,0.6296
1968,12,2,1,50,-1.6862
1968,12,2,2,50,-2.2169
1968,12,2,3,45,-0.1066
1968,12,2,4,43,-1.7777
1968,12,2,5,54,-1.4398
1968,12,3,1,59,-2.9165
1968,12,3,2,93,-4.3535
1968,12,3,3,102,-3.6383
1968,12,3,4,104,-5.0544
1968,12,3,5,76,-2.1292
1969,1,1,1,128,-1.5689
1969,1,1,2,45,-2.2835
1969,1,1,3,55,-2.0536
1969,1,1,4,49,0.2634
1969,1,1,5,113,-1.5402
1969,1,2,1,50,0.4567
1969,1,2,2,50,-1.9696
1969,1,2,3,45,-1.2960
1969,1,2,4,43,-1.2444
1969,1,2,5,54,-2.0604
1969,1,3,1,59,-1.9569
1969,1,3,2,93,-1.8398
1969,1,3,3,102,-0.5826
1969,1,3,4,103,-0.5240
1969,1,3,5,76,-3.0272
1969,2,1,1,126,-10.6279
1969,2,1,2,44,-8.6833
1969,2,1,3,55,-8.3725
1969,2,1,4,49,-8.9052
1969,2,1,5,113,-9.3502
1969,2,2,1,50,-9.9331
1969,2,2,2,50,-7.4503
1969,2,2,3,45,-6.9504
1969,2,2,4,43,-7.4616
1969,2,2,5,54,-8.1481
1969,2,3,1,59,-6.2313
1969,2,3,2,93,-3.5539
1969,2,3,3,102,-4.6965
1969,2,3,4,103,-3.9337
1969,2,3,5,76,-6.1691
1969,3,1,1,126,3.5272
1969,3,1,2,44,1.7524
1969,3,1,3,55,3.0509
1969,3,1,4,49,0.5322
1969,3,1,5,113,2.1555
1969,3,2,1,50,3.2308
1969,3,2,2,50,1.8904
1969,3,2,3,45,3.8717
1969,3,2,4,43,2.5427
1969,3,2,5,53,2.5179
1969,3,3,1,59,3.1210
1969,3,3,2,93,4.2213
1969,3,3,3,102,4.1603
1969,3,3,4,103,3.7847
1969,3,3,5,76,-0.5163
1969,4,1,1,125,-0.9797
1969,4,1,2,44,-1.1017
1969,4,1,3,55,-2.0371
1969,4,1,4,49,1.1902
1969,4,1,5,113,-1.2333
1969,4,2,1,50,2.4829
1969,4,2,2,50,1.7399
1969,4,2,3,45,0.7526
1969,4,2,4,42,0.1186
1969,4,2,5,53,-0.9463
1969,4,3,1,59,1.1970
1969,4,3,2,93,1.5424
1969,4,3,3,101,3.8556
1969,4,3,4,103,1.5103
1969,4,3,5,75,2.3189
1969,5,1,1,125,0.6767
1969,5,1,2,45,3.5851
1969,5,1,3,55,0.0897
1969,5,1,4,49,-1.5965
1969,5,1,5,113,0.3411
1969,5,2,1,50,-0.1650
1969,5,2,2,50,-0.5558
1969,5,2,3,45,0.1795
1969,5,2,4,42,-0.2572
1969,5,2,5,54,-0.6152
1969,5,3,1,59,1.4741
1969,5,3,2,92,-0.2682
1969,5,3,3,101,0.7255
1969,5,3,4,103,1.1928
1969,5,3,5,75,-2.9738
1969,6,1,1,125,-14.3418
1969,6,1,2,45,-13.6545
1969,6,1,3,55,-12.2741
1969,6,1,4,49,-14.0818
1969,6,1,5,113,-12.0013
1969,6,2,1,50,-12.2580
1969,6,2,2,50,-10.2926
1969,6,2,3,45,-11.4093
1969,6,2,4,43,-9.5724
1969,6,2,5,54,-10.2652
1969,6,3,1,58,-9.8251
1969,6,3,2,92,-3.6042
1969,6,3,3,101,-5.5960
1969,6,3,4,103,-5.8634
1969,6,3,5,76,-8.1866
1969,7,1,1,148,-10.9434
1969,7,1,2,69,-11.1033
1969,7,1,3,68,-11.9630
1969,7,1,4,74,-9.2342
1969,7,1,5,142,-11.4398
1969,7,2,1,54,-7.9495
1969,7,2,2,49,-9.6379
1969,7,2,3,40,-8.1533
1969,7,2,4,59,-11.0810
1969,7,2,5,73,-9.8155
1969,7,3,1,68,-7.7530
1969,7,3,2,103,-5.5365
1969,7,3,3,122,-5.7404
1969,7,3,4,97,-7.1463
1969,7,3,5,64,-7.0814
1969,8,1,1,148,3.9515
1969,8,1,2,69,3.8168
1969,8,1,3,68,4.4522
1969,8,1,4,74,5.0398
1969,8,1,5,142,3.3349
1969,8,2,1,54,5.3415
1969,8,2,2,49,4.9982
1969,8,2,3,40,6.1200
1969,8,2,4,59,5.9969
1969,8,2,5,73,8.4398
1969,8,3,1,68,6.8036
1969,8,3,2,103,4.5128
1969,8,3,3,122,5.2027
1969,8,3,4,97,5.7881
1969,8,3,5,64,6.4214
1969,9,1,1,148,-3.7859
1969,9,1,2,69,-3.8494
1969,9,1,3,68,0.3126
1969,9,1,4,74,-3.3387
1969,9,1,5,142,-3.9955
1969,9,2,1,52,-0.9266
1969,9,2,2,49,-0.4625
1969,9,2,3,40,-1.0221
1969,9,2,4,59,-0.3402
1969,9,2,5,73,0.4050
1969,9,3,1,67,0.2225
1969,9,3,2,103,-0.7003
1969,9,3,3,122,-4.0979
1969,9,3,4,97,-3.4050
1969,9,3,5,64,-1.9895
1969,10,1,1,147,10.2789
1969,10,1,2,69,10.3056
1969,10,1,3,68,8.4270
1969,10,1,4,74,8.9804
1969,10,1,5,142,11.1170
1969,10,2,1,51,8.5064
1969,10,2,2,49,8.1373
1969,10,2,3,40,4.4924
1969,10,2,4,59,7.3859
1969,10,2,5,73,9.8879
1969,10,3,1,67,7.4818
1969,10,3,2,103,4.2500
1969,10,3,3,122,3.8582
1969,10,3,4,97,6.4524
1969,10,3,5,64,4.4227
1969,11,1,1,147,-5.8725
1969,11,1,2,69,-6.7960
1969,11,1,3,68,-6.6426
1969,11,1,4,74,-5.2161
1969,11,1,5,142,-8.4679
1969,11,2,1,52,-4.5765
1969,11,2,2,49,-5.4719
1969,11,2,3,40,-5.1438
1969,11,2,4,59,-5.8104
1969,11,2,5,73,-5.5672
1969,11,3,1,68,-3.1993
1969,11,3,2,103,-2.3398
1969,11,3,3,122,-2.7351
1969,11,3,4,97,-3.4831
1969,11,3,5,64,-2.1891
1969,12,1,1,148,-7.7937
1969,12,1,2,69,-7.6478
1969,12,1,3,68,-10.5604
1969,12,1,4,74,-4.5103
1969,12,1,5,142,-8.0073
1969,12,2,1,52,-6.1402
1969,12,2,2,49,-3.7799
1969,12,2,3,40,-5.8811
1969,12,2,4,59,-4.3854
1969,12,2,5,73,-3.9884
1969,12,3,1,68,-1.0893
1969,12,3,2,103,-0.2546
1969,12,3,3,122,-2.2180
1969,12,3,4,97,-2.3068
1969,12,3,5,64,-2.9881
1970,1,1,1,148,-2.0032
1970,1,1,2,69,-2.2863
1970,1,1,3,68,-1.4452
1970,1,1,4,74,-4.2032
1970,1,1,5,142,-6.5649
1970,1,2,1,52,-7.0649
1970,1,2,2,49,-3.9784
1970,1,2,3,40,-3.9188
1970,1,2,4,59,-6.1467
1970,1,2,5,72,-7.1659
1970,1,3,1,68,-6.9249
1970,1,3,2,103,-7.9343
1970,1,3,3,122,-7.8892
1970,1,3,4,96,-9.2555
1970,1,3,5,64,-8.8880
1970,2,1,1,148,3.3262
1970,2,1,2,68,1.9215
1970,2,1,3,68,1.4639
