year,month,rank_ME,rank_POA,nstocks,ret_vw
1968,7,1,3,74,-3.2934
1968,7,1,4,65,-2.7924
1968,7,1,5,113,-5.9760
1968,7,2,1,47,-1.0884
1968,7,2,2,37,-2.1931
1968,7,2,3,49,-1.9248
1968,7,2,4,46,-3.1314
1968,7,2,5,58,-8.4373
1968,7,3,1,67,-2.1000
1968,7,3,2,102,1.4195
1968,7,3,3,89,-3.2064
1968,7,3,4,85,-5.5451
1968,7,3,5,78,-7.7785
1968,8,1,1,147,5.4536
1968,8,1,2,69,5.8182
1968,8,1,3,74,3.9252
1968,8,1,4,65,3.5865
1968,8,1,5,113,4.0971
1968,8,2,1,47,4.3031
1968,8,2,2,37,6.0860
1968,8,2,3,49,5.6159
1968,8,2,4,46,5.2585
1968,8,2,5,58,2.0822
1968,8,3,1,66,0.6102
1968,8,3,2,102,2.1938
1968,8,3,3,89,2.1203
1968,8,3,4,85,1.6797
1968,8,3,5,78,0.6202
1968,9,1,1,147,8.6242
1968,9,1,2,69,9.0081
1968,9,1,3,74,6.7425
1968,9,1,4,65,3.9244
1968,9,1,5,113,6.7866
1968,9,2,1,47,8.3608
1968,9,2,2,36,6.5788
1968,9,2,3,49,7.1404
1968,9,2,4,46,6.1971
1968,9,2,5,58,8.3322
1968,9,3,1,66,3.3495
1968,9,3,2,102,5.3588
1968,9,3,3,89,3.1337
1968,9,3,4,85,4.3212
1968,9,3,5,78,4.4650
1968,10,1,1,147,0.1898
1968,10,1,2,69,1.5892
1968,10,1,3,74,-0.7212
1968,10,1,4,65,1.4286
1968,10,1,5,113,-0.8184
1968,10,2,1,47,-0.1701
1968,10,2,2,36,2.7290
1968,10,2,3,49,1.4131
1968,10,2,4,46,0.2356
1968,10,2,5,58,0.5519
1968,10,3,1,66,-1.1512
1968,10,3,2,102,2.9759
1968,10,3,3,89,1.6977
1968,10,3,4,85,-0.7773
1968,10,3,5,78,-0.0828
1968,11,1,1,147,7.6300
1968,11,1,2,69,6.6210
1968,11,1,3,74,6.6955
1968,11,1,4,65,8.7065
1968,11,1,5,113,6.5646
1968,11,2,1,47,8.0707
1968,11,2,2,37,7.1140
1968,11,2,3,49,7.5798
1968,11,2,4,46,9.3509
1968,11,2,5,58,8.8972
1968,11,3,1,66,6.5452
1968,11,3,2,102,3.9886
1968,11,3,3,89,6.1166
1968,11,3,4,85,4.2243
1968,11,3,5,78,8.3345
1968,12,1,1,147,2.3807
1968,12,1,2,69,5.5455
1968,12,1,3,74,2.9109
1968,12,1,4,65,-1.4193
1968,12,1,5,113,0.9684
1968,12,2,1,47,-1.1213
1968,12,2,2,37,-0.3360
1968,12,2,3,49,-0.3953
1968,12,2,4,46,-0.2539
1968,12,2,5,58,-2.3129
1968,12,3,1,66,-5.2740
1968,12,3,2,102,-3.5304
1968,12,3,3,89,-3.8330
1968,12,3,4,85,-3.9050
1968,12,3,5,78,-3.6346
1969,1,1,1,147,-1.4559
1969,1,1,2,69,-2.1826
1969,1,1,3,74,-2.3569
1969,1,1,4,65,-1.9492
1969,1,1,5,113,-0.3316
1969,1,2,1,47,-2.2343
1969,1,2,2,37,0.2301
1969,1,2,3,49,-2.0685
1969,1,2,4,46,-1.2955
1969,1,2,5,58,-1.6953
1969,1,3,1,66,-0.7553
1969,1,3,2,102,-0.8865
1969,1,3,3,89,-1.7389
1969,1,3,4,85,-0.5316
1969,1,3,5,78,-3.7381
1969,2,1,1,146,-11.9376
1969,2,1,2,69,-8.9740
1969,2,1,3,74,-8.7237
1969,2,1,4,65,-7.4687
1969,2,1,5,113,-11.0604
1969,2,2,1,47,-7.7257
1969,2,2,2,37,-8.9003
1969,2,2,3,49,-7.2984
1969,2,2,4,46,-8.0482
1969,2,2,5,58,-10.4899
1969,2,3,1,66,-3.7589
1969,2,3,2,102,-4.5567
1969,2,3,3,89,-3.9892
1969,2,3,4,85,-4.4195
1969,2,3,5,78,-8.0347
1969,3,1,1,146,4.1265
1969,3,1,2,69,2.1663
1969,3,1,3,74,2.7290
1969,3,1,4,65,0.8810
1969,3,1,5,113,3.0058
1969,3,2,1,47,3.6067
1969,3,2,2,36,5.2881
1969,3,2,3,49,5.7620
1969,3,2,4,46,0.5498
1969,3,2,5,58,2.3406
1969,3,3,1,66,3.0857
1969,3,3,2,102,5.7602
1969,3,3,3,89,3.4993
1969,3,3,4,85,2.1249
1969,3,3,5,78,2.3071
1969,4,1,1,145,-0.3928
1969,4,1,2,69,-2.0229
1969,4,1,3,74,-0.3367
1969,4,1,4,64,0.3868
1969,4,1,5,113,-0.2623
1969,4,2,1,47,1.7146
1969,4,2,2,36,1.9872
1969,4,2,3,48,3.6458
1969,4,2,4,46,0.2871
1969,4,2,5,58,1.2211
1969,4,3,1,65,4.2918
1969,4,3,2,102,0.9471
1969,4,3,3,89,1.0621
1969,4,3,4,85,4.1227
1969,4,3,5,77,2.3381
1969,5,1,1,145,1.3285
1969,5,1,2,69,4.4487
1969,5,1,3,74,-1.4597
1969,5,1,4,64,1.1794
1969,5,1,5,113,0.9844
1969,5,2,1,47,-1.0993
1969,5,2,2,37,0.5292
1969,5,2,3,48,3.6245
1969,5,2,4,46,0.0152
1969,5,2,5,58,-1.7897
1969,5,3,1,64,-0.0150
1969,5,3,2,102,1.4320
1969,5,3,3,89,1.3707
1969,5,3,4,85,-0.6444
1969,5,3,5,77,-1.9380
1969,6,1,1,146,-14.2189
1969,6,1,2,69,-14.5248
1969,6,1,3,74,-12.0803
1969,6,1,4,64,-11.7522
1969,6,1,5,113,-13.9236
1969,6,2,1,47,-11.8050
1969,6,2,2,37,-11.2981
1969,6,2,3,49,-7.6235
1969,6,2,4,46,-10.2092
1969,6,2,5,58,-12.5113
1969,6,3,1,64,-2.5679
1969,6,3,2,102,-7.3223
1969,6,3,3,89,-7.0022
1969,6,3,4,85,-4.4175
1969,6,3,5,78,-7.4616
1969,7,1,1,131,-10.4728
1969,7,1,2,75,-9.3137
1969,7,1,3,62,-8.6787
1969,7,1,4,90,-11.0280
1969,7,1,5,159,-13.5853
1969,7,2,1,38,-9.6245
1969,7,2,2,42,-9.9797
1969,7,2,3,49,-7.5176
1969,7,2,4,61,-9.3738
1969,7,2,5,73,-11.0346
1969,7,3,1,84,-5.6674
1969,7,3,2,105,-6.9917
1969,7,3,3,104,-5.4747
1969,7,3,4,87,-6.2788
1969,7,3,5,64,-8.7830
1969,8,1,1,131,3.4740
1969,8,1,2,75,4.1254
1969,8,1,3,62,1.6005
1969,8,1,4,90,6.0790
1969,8,1,5,159,3.5454
1969,8,2,1,38,5.3225
1969,8,2,2,42,8.5152
1969,8,2,3,49,4.7359
1969,8,2,4,61,6.2101
1969,8,2,5,73,7.8894
1969,8,3,1,84,4.0268
1969,8,3,2,105,5.8836
1969,8,3,3,104,5.5491
1969,8,3,4,87,4.7304
1969,8,3,5,64,9.5026
1969,9,1,1,132,-2.5018
1969,9,1,2,75,-1.9922
1969,9,1,3,62,-4.1454
1969,9,1,4,90,-4.2553
1969,9,1,5,159,-4.1047
1969,9,2,1,38,-0.1883
1969,9,2,2,42,0.3971
1969,9,2,3,49,2.8388
1969,9,2,4,61,-1.4734
1969,9,2,5,73,-1.1216
1969,9,3,1,84,-2.6065
1969,9,3,2,105,-4.4988
1969,9,3,3,104,-1.2880
1969,9,3,4,87,-1.0243
1969,9,3,5,63,-0.8332
1969,10,1,1,132,13.2346
1969,10,1,2,75,9.4584
1969,10,1,3,61,7.9314
1969,10,1,4,90,8.9119
1969,10,1,5,159,12.0335
1969,10,2,1,38,7.3666
1969,10,2,2,41,6.8723
1969,10,2,3,49,9.5016
1969,10,2,4,61,6.3956
1969,10,2,5,73,10.0344
1969,10,3,1,84,3.4522
1969,10,3,2,105,3.2782
1969,10,3,3,104,6.0580
1969,10,3,4,87,6.5332
1969,10,3,5,63,7.3541
1969,11,1,1,132,-8.9667
1969,11,1,2,75,-6.4005
1969,11,1,3,61,-5.7391
