year,month,rank_ME,rank_dBE,nstocks,ret_vw
1969,2,3,5,110,-4.4588
1969,3,1,1,110,4.4738
1969,3,1,2,64,0.5129
1969,3,1,3,75,1.1764
1969,3,1,4,88,2.9506
1969,3,1,5,73,2.9963
1969,3,2,1,49,1.6598
1969,3,2,2,37,1.6990
1969,3,2,3,45,3.2948
1969,3,2,4,47,4.9833
1969,3,2,5,55,1.9267
1969,3,3,1,65,1.3262
1969,3,3,2,95,0.5939
1969,3,3,3,93,5.8001
1969,3,3,4,100,3.9123
1969,3,3,5,110,3.1191
1969,4,1,1,109,-2.1518
1969,4,1,2,63,-1.3146
1969,4,1,3,75,1.7699
1969,4,1,4,88,0.9060
1969,4,1,5,73,-1.4666
1969,4,2,1,49,2.6359
1969,4,2,2,36,0.0425
1969,4,2,3,45,0.5983
1969,4,2,4,47,4.0217
1969,4,2,5,55,1.3213
1969,4,3,1,65,0.6510
1969,4,3,2,94,3.6256
1969,4,3,3,93,1.5135
1969,4,3,4,100,1.3132
1969,4,3,5,109,3.1374
1969,5,1,1,109,2.5041
1969,5,1,2,63,-0.2288
1969,5,1,3,75,1.9880
1969,5,1,4,88,-0.2678
1969,5,1,5,73,1.3297
1969,5,2,1,49,-0.3548
1969,5,2,2,36,-0.5324
1969,5,2,3,45,0.1770
1969,5,2,4,47,1.1731
1969,5,2,5,56,0.0892
1969,5,3,1,65,-1.2328
1969,5,3,2,93,-0.0025
1969,5,3,3,93,1.6985
1969,5,3,4,100,0.8877
1969,5,3,5,109,-1.0980
1969,6,1,1,110,-13.5435
1969,6,1,2,63,-14.6301
1969,6,1,3,75,-12.2186
1969,6,1,4,88,-14.2453
1969,6,1,5,73,-13.1082
1969,6,2,1,49,-10.1400
1969,6,2,2,37,-8.7797
1969,6,2,3,45,-10.4424
1969,6,2,4,47,-9.8122
1969,6,2,5,56,-11.8546
1969,6,3,1,65,-8.3792
1969,6,3,2,93,-5.6176
1969,6,3,3,93,-6.2020
1969,6,3,4,100,-7.4439
1969,6,3,5,110,-2.2838
1969,7,1,1,107,-10.3773
1969,7,1,2,87,-8.6201
1969,7,1,3,69,-11.7294
1969,7,1,4,108,-11.8281
1969,7,1,5,148,-11.8879
1969,7,2,1,51,-8.0686
1969,7,2,2,38,-6.5736
1969,7,2,3,54,-8.7625
1969,7,2,4,61,-9.2886
1969,7,2,5,82,-10.5900
1969,7,3,1,83,-4.2857
1969,7,3,2,112,-6.0223
1969,7,3,3,105,-6.8329
1969,7,3,4,103,-5.1922
1969,7,3,5,111,-6.0269
1969,8,1,1,107,3.0458
1969,8,1,2,87,2.6697
1969,8,1,3,69,2.7443
1969,8,1,4,108,4.0639
1969,8,1,5,148,5.1197
1969,8,2,1,51,3.3255
1969,8,2,2,38,4.5747
1969,8,2,3,54,3.5331
1969,8,2,4,61,6.7769
1969,8,2,5,82,9.0218
1969,8,3,1,83,0.2615
1969,8,3,2,112,2.5238
1969,8,3,3,105,4.9482
1969,8,3,4,103,6.0948
1969,8,3,5,111,7.2988
1969,9,1,1,108,-2.5400
1969,9,1,2,87,-4.3006
1969,9,1,3,69,-2.9058
1969,9,1,4,108,-4.8772
1969,9,1,5,148,-2.8766
1969,9,2,1,51,-0.6298
1969,9,2,2,38,-2.2393
1969,9,2,3,54,-1.3079
1969,9,2,4,61,1.1832
1969,9,2,5,82,-0.0179
1969,9,3,1,83,-4.4153
1969,9,3,2,112,-3.8072
1969,9,3,3,104,-2.9980
1969,9,3,4,103,-2.1352
1969,9,3,5,111,-0.7652
1969,10,1,1,108,10.2844
1969,10,1,2,86,7.8286
1969,10,1,3,69,8.4911
1969,10,1,4,108,13.9230
1969,10,1,5,148,11.5194
1969,10,2,1,50,6.6901
1969,10,2,2,38,6.1297
1969,10,2,3,54,6.5286
1969,10,2,4,61,5.7939
1969,10,2,5,82,11.2472
1969,10,3,1,83,7.5180
1969,10,3,2,112,3.4203
1969,10,3,3,104,3.7396
1969,10,3,4,103,7.6794
1969,10,3,5,111,4.5788
1969,11,1,1,108,-8.8297
1969,11,1,2,86,-5.2411
1969,11,1,3,69,-6.2086
1969,11,1,4,108,-5.1926
1969,11,1,5,148,-8.1846
1969,11,2,1,50,-6.0950
1969,11,2,2,38,-5.0827
1969,11,2,3,54,-4.9150
1969,11,2,4,61,-4.3239
1969,11,2,5,82,-3.6232
1969,11,3,1,83,-4.9109
1969,11,3,2,112,-2.9978
1969,11,3,3,105,-3.6398
1969,11,3,4,103,-2.8369
1969,11,3,5,111,-1.4514
1969,12,1,1,108,-9.7869
1969,12,1,2,87,-4.2104
1969,12,1,3,69,-6.6562
1969,12,1,4,108,-6.5030
1969,12,1,5,148,-8.6823
1969,12,2,1,50,-4.3067
1969,12,2,2,38,-5.3979
1969,12,2,3,54,-2.8528
1969,12,2,4,61,-4.5691
1969,12,2,5,82,-3.8033
1969,12,3,1,83,-3.2820
1969,12,3,2,112,-3.2096
1969,12,3,3,105,-1.8896
1969,12,3,4,103,0.7432
1969,12,3,5,111,-0.4109
1970,1,1,1,108,-0.3266
1970,1,1,2,87,-2.4491
1970,1,1,3,69,-2.1044
1970,1,1,4,108,-2.5669
1970,1,1,5,148,-6.7329
1970,1,2,1,50,-1.2659
1970,1,2,2,38,-4.7998
1970,1,2,3,54,-3.7155
1970,1,2,4,61,-7.1605
1970,1,2,5,82,-7.6228
1970,1,3,1,83,-5.0506
1970,1,3,2,112,-5.6863
1970,1,3,3,105,-9.7135
1970,1,3,4,103,-7.6800
1970,1,3,5,110,-9.3230
1970,2,1,1,108,2.9347
1970,2,1,2,87,5.1514
1970,2,1,3,69,2.8035
1970,2,1,4,108,3.9596
1970,2,1,5,148,2.3205
1970,2,2,1,50,5.1197
1970,2,2,2,38,6.8547
1970,2,2,3,54,3.1883
1970,2,2,4,61,3.8050
1970,2,2,5,82,5.5324
1970,2,3,1,83,8.4385
1970,2,3,2,112,6.0560
1970,2,3,3,105,7.9518
1970,2,3,4,103,5.8174
1970,2,3,5,110,3.1343
1970,3,1,1,108,-1.2804
1970,3,1,2,87,-0.7542
1970,3,1,3,69,-3.7244
1970,3,1,4,108,-3.8993
1970,3,1,5,148,-4.5570
1970,3,2,1,51,1.2685
1970,3,2,2,38,0.3556
1970,3,2,3,54,0.9884
1970,3,2,4,61,-1.3842
1970,3,2,5,82,-5.3883
1970,3,3,1,83,1.6147
1970,3,3,2,112,2.1189
1970,3,3,3,105,2.1647
1970,3,3,4,103,-2.7945
1970,3,3,5,111,-1.7295
1970,4,1,1,107,-16.4816
1970,4,1,2,87,-11.7573
1970,4,1,3,69,-16.2054
1970,4,1,4,108,-17.7527
1970,4,1,5,148,-20.7623
1970,4,2,1,51,-12.0873
1970,4,2,2,38,-10.9815
1970,4,2,3,54,-11.5952
1970,4,2,4,61,-14.4518
1970,4,2,5,82,-19.9543
1970,4,3,1,83,-8.2028
1970,4,3,2,112,-8.1320
1970,4,3,3,105,-8.1380
1970,4,3,4,103,-9.1603
1970,4,3,5,111,-12.1093
1970,5,1,1,107,-10.9992
1970,5,1,2,87,-8.3662
1970,5,1,3,69,-9.5502
1970,5,1,4,108,-8.6812
1970,5,1,5,148,-9.4409
1970,5,2,1,51,-8.7722
1970,5,2,2,38,-8.0092
1970,5,2,3,54,-9.4432
1970,5,2,4,61,-10.1265
1970,5,2,5,81,-11.6304
1970,5,3,1,83,-4.4066
1970,5,3,2,112,-4.0519
1970,5,3,3,105,-3.5672
1970,5,3,4,103,-7.4061
1970,5,3,5,111,-8.1041
1970,6,1,1,107,-8.4662
1970,6,1,2,86,-7.9487
1970,6,1,3,69,-8.0622
1970,6,1,4,108,-7.7989
1970,6,1,5,148,-9.8520
1970,6,2,1,51,-5.5298
1970,6,2,2,38,-5.9960
1970,6,2,3,54,-5.5935
1970,6,2,4,61,-6.7410
1970,6,2,5,81,-8.2747
1970,6,3,1,83,-6.3446
1970,6,3,2,112,-4.7996
1970,6,3,3,105,-2.5464
1970,6,3,4,103,-4.5649
1970,6,3,5,111,-7.5224
1970,7,1,1,157,3.3856
1970,7,1,2,66,2.7070
1970,7,1,3,97,6.6055
1970,7,1,4,109,6.5082
1970,7,1,5,188,4.9139
1970,7,2,1,54,7.0309
1970,7,2,2,60,6.9949
1970,7,2,3,50,7.3626
1970,7,2,4,61,9.1408
1970,7,2,5,86,9.1537
1970,7,3,1,83,10.4423
1970,7,3,2,108,9.7878
1970,7,3,3,114,8.6857
1970,7,3,4,109,5.6297
1970,7,3,5,115,3.9800
1970,8,1,1,157,6.2087
1970,8,1,2,65,5.5537
1970,8,1,3,97,6.9458
1970,8,1,4,109,5.3914
1970,8,1,5,188,7.4504
1970,8,2,1,54,8.1247
1970,8,2,2,60,5.3121
1970,8,2,3,50,6.4604
1970,8,2,4,61,6.9836
1970,8,2,5,86,8.4136
1970,8,3,1,83,6.0888
1970,8,3,2,108,3.7555
1970,8,3,3,114,5.9725
1970,8,3,4,109,3.2461
1970,8,3,5,115,5.5631
1970,9,1,1,157,12.1420
1970,9,1,2,65,12.0306
1970,9,1,3,97,11.2606
1970,9,1,4,109,17.0405
1970,9,1,5,188,18.7939
1970,9,2,1,54,9.7379
1970,9,2,2,60,7.4378
1970,9,2,3,50,10.2868
1970,9,2,4,61,11.5489
1970,9,2,5,86,15.2761
1970,9,3,1,83,2.2817
1970,9,3,2,108,0.7902
1970,9,3,3,114,1.8256
1970,9,3,4,108,4.5913
1970,9,3,5,115,8.4428
1970,10,1,1,157,-6.4635
1970,10,1,2,66,-7.3840
1970,10,1,3,97,-6.1864
1970,10,1,4,109,-7.3572
1970,10,1,5,188,-10.2133
1970,10,2,1,54,-5.5852
1970,10,2,2,60,-4.2980
1970,10,2,3,50,-5.5960
1970,10,2,4,61,-3.7654
1970,10,2,5,86,-5.3023
1970,10,3,1,83,-0.8184
1970,10,3,2,108,-3.2482
1970,10,3,3,114,-0.4277
1970,10,3,4,108,-0.2887
1970,10,3,5,115,-0.4899
1970,11,1,1,156,-2.7096
1970,11,1,2,66,-0.6418
1970,11,1,3,97,-0.8863
1970,11,1,4,109,-1.2828
1970,11,1,5,188,-1.4057
1970,11,2,1,54,2.4338
1970,11,2,2,60,4.6033
1970,11,2,3,50,2.7629
1970,11,2,4,61,3.5323
1970,11,2,5,86,1.3768
1970,11,3,1,83,6.4686
1970,11,3,2,108,5.5946
1970,11,3,3,114,6.5870
1970,11,3,4,108,5.0364
1970,11,3,5,115,4.1189
1970,12,1,1,156,9.0138
1970,12,1,2,66,9.9978
1970,12,1,3,97,10.1881
1970,12,1,4,109,12.9082
1970,12,1,5,188,8.6285
1970,12,2,1,54,8.4445
1970,12,2,2,60,8.3808
1970,12,2,3,50,11.0697
