year,month,rank_ME,rank_NXF,nstocks,ret_vw
1973,12,3,3,97,-1.6665
1973,12,3,4,97,4.5746
1973,12,3,5,82,4.0606
1974,1,1,1,123,14.4752
1974,1,1,2,117,14.8885
1974,1,1,3,153,21.5063
1974,1,1,4,158,17.7388
1974,1,1,5,196,16.7684
1974,1,2,1,58,9.7447
1974,1,2,2,60,11.2181
1974,1,2,3,69,8.7593
1974,1,2,4,71,10.7252
1974,1,2,5,77,10.2657
1974,1,3,1,101,0.0969
1974,1,3,2,103,-2.0643
1974,1,3,3,97,0.1205
1974,1,3,4,97,-0.2809
1974,1,3,5,82,-2.8584
1974,2,1,1,123,0.2020
1974,2,1,2,117,0.1820
1974,2,1,3,153,-0.3808
1974,2,1,4,158,-1.9743
1974,2,1,5,194,-2.4196
1974,2,2,1,58,0.6721
1974,2,2,2,60,2.8243
1974,2,2,3,69,0.6086
1974,2,2,4,71,2.6132
1974,2,2,5,77,-0.0817
1974,2,3,1,101,-0.7213
1974,2,3,2,103,0.3618
1974,2,3,3,97,-1.2181
1974,2,3,4,97,3.0967
1974,2,3,5,82,0.1712
1974,3,1,1,123,1.2181
1974,3,1,2,117,0.0937
1974,3,1,3,150,0.0836
1974,3,1,4,158,1.1771
1974,3,1,5,194,0.0970
1974,3,2,1,58,-0.8414
1974,3,2,2,60,-0.8995
1974,3,2,3,69,-1.1180
1974,3,2,4,71,-2.1279
1974,3,2,5,77,-1.2571
1974,3,3,1,101,-0.6158
1974,3,3,2,103,-1.5795
1974,3,3,3,97,-1.9786
1974,3,3,4,97,-2.6485
1974,3,3,5,82,-3.4512
1974,4,1,1,123,-3.3831
1974,4,1,2,117,-5.6130
1974,4,1,3,151,-4.1861
1974,4,1,4,158,-5.6946
1974,4,1,5,194,-5.5496
1974,4,2,1,58,-3.0437
1974,4,2,2,60,-4.9655
1974,4,2,3,69,-4.7100
1974,4,2,4,71,-4.0840
1974,4,2,5,77,-5.3131
1974,4,3,1,101,-2.8023
1974,4,3,2,103,-2.7470
1974,4,3,3,97,-3.3427
1974,4,3,4,97,-3.0964
1974,4,3,5,82,-5.2169
1974,5,1,1,123,-6.6234
1974,5,1,2,116,-7.7845
1974,5,1,3,151,-7.8385
1974,5,1,4,158,-6.7570
1974,5,1,5,194,-8.0682
1974,5,2,1,58,-5.0042
1974,5,2,2,60,-4.5603
1974,5,2,3,69,-7.3517
1974,5,2,4,71,-8.0365
1974,5,2,5,77,-10.1069
1974,5,3,1,101,-0.3013
1974,5,3,2,103,-2.5364
1974,5,3,3,97,-2.8244
1974,5,3,4,97,-2.1332
1974,5,3,5,82,-7.3067
1974,6,1,1,123,-2.4339
1974,6,1,2,115,-1.8301
1974,6,1,3,151,-2.1974
1974,6,1,4,158,-2.1451
1974,6,1,5,193,-2.9145
1974,6,2,1,58,-0.6220
1974,6,2,2,60,0.3635
1974,6,2,3,69,-1.1038
1974,6,2,4,71,-1.4508
1974,6,2,5,77,-3.9250
1974,6,3,1,101,-1.5482
1974,6,3,2,103,-0.3358
1974,6,3,3,97,-0.4570
1974,6,3,4,97,-1.5731
1974,6,3,5,82,-1.3666
1974,7,1,1,182,-2.4993
1974,7,1,2,191,-4.3005
1974,7,1,3,237,-5.4223
1974,7,1,4,225,-6.1952
1974,7,1,5,277,-5.2497
1974,7,2,1,108,-2.4686
1974,7,2,2,83,-3.8819
1974,7,2,3,97,-3.1323
1974,7,2,4,81,-6.2310
1974,7,2,5,110,-6.1336
1974,7,3,1,125,-11.3974
1974,7,3,2,138,-6.0989
1974,7,3,3,121,-5.9719
1974,7,3,4,136,-9.2164
1974,7,3,5,110,-6.5597
1974,8,1,1,182,-4.7875
1974,8,1,2,191,-7.3667
1974,8,1,3,236,-6.9117
1974,8,1,4,225,-8.2425
1974,8,1,5,277,-8.6718
1974,8,2,1,108,-6.4724
1974,8,2,2,83,-7.5210
1974,8,2,3,96,-8.7377
1974,8,2,4,81,-8.4338
1974,8,2,5,110,-7.3247
1974,8,3,1,125,-8.7921
1974,8,3,2,138,-8.3168
1974,8,3,3,121,-10.2083
1974,8,3,4,136,-6.4248
1974,8,3,5,110,-10.9132
1974,9,1,1,182,-8.0404
1974,9,1,2,191,-6.9305
1974,9,1,3,234,-7.8666
1974,9,1,4,224,-9.2748
1974,9,1,5,277,-10.6275
1974,9,2,1,108,-7.8690
1974,9,2,2,83,-5.6728
1974,9,2,3,97,-7.3275
1974,9,2,4,81,-11.0880
1974,9,2,5,110,-12.0290
1974,9,3,1,125,-14.1249
1974,9,3,2,138,-12.6160
1974,9,3,3,121,-10.9535
1974,9,3,4,136,-9.3254
1974,9,3,5,110,-10.4206
1974,10,1,1,181,7.3482
1974,10,1,2,189,8.6733
1974,10,1,3,233,7.8630
1974,10,1,4,221,9.6869
1974,10,1,5,276,10.1655
1974,10,2,1,107,8.6148
1974,10,2,2,83,9.2865
1974,10,2,3,97,10.0390
1974,10,2,4,79,11.0360
1974,10,2,5,110,11.7986
1974,10,3,1,125,16.0215
1974,10,3,2,138,18.8531
1974,10,3,3,121,17.9495
1974,10,3,4,136,14.7185
1974,10,3,5,110,18.1283
1974,11,1,1,180,-4.9546
1974,11,1,2,190,-4.5428
1974,11,1,3,235,-5.2094
1974,11,1,4,224,-7.5555
1974,11,1,5,277,-8.0192
1974,11,2,1,107,-4.0800
1974,11,2,2,83,-4.1473
1974,11,2,3,97,-4.9512
1974,11,2,4,80,-5.4030
1974,11,2,5,110,-4.2332
1974,11,3,1,125,-4.1663
1974,11,3,2,138,-4.2143
1974,11,3,3,121,-3.2852
1974,11,3,4,136,-5.0016
1974,11,3,5,110,-2.7838
1974,12,1,1,180,-7.5584
1974,12,1,2,191,-7.3870
1974,12,1,3,234,-6.7761
1974,12,1,4,223,-9.6909
1974,12,1,5,275,-9.2981
1974,12,2,1,108,-4.5057
1974,12,2,2,83,-5.8843
1974,12,2,3,97,-5.7914
1974,12,2,4,80,-5.6593
1974,12,2,5,110,-7.3107
1974,12,3,1,125,-3.0246
1974,12,3,2,138,-1.8654
1974,12,3,3,121,-1.9272
1974,12,3,4,136,-1.5081
1974,12,3,5,110,-6.0367
1975,1,1,1,179,29.8849
