year,month,rank_ME,rank_NDF,nstocks,ret_vw
1973,12,2,4,54,-3.0014
1973,12,2,5,74,0.5907
1973,12,3,1,79,3.2634
1973,12,3,2,98,0.9311
1973,12,3,3,112,2.0884
1973,12,3,4,112,-0.8091
1973,12,3,5,89,4.8028
1974,1,1,1,215,16.4301
1974,1,1,2,127,15.6319
1974,1,1,3,125,18.8449
1974,1,1,4,102,17.3577
1974,1,1,5,177,17.4339
1974,1,2,1,75,9.5319
1974,1,2,2,64,11.4446
1974,1,2,3,64,9.6897
1974,1,2,4,54,12.9062
1974,1,2,5,74,9.5450
1974,1,3,1,79,0.1415
1974,1,3,2,98,-1.0398
1974,1,3,3,112,-2.7173
1974,1,3,4,112,0.5253
1974,1,3,5,89,-0.9824
1974,2,1,1,215,-0.4176
1974,2,1,2,127,1.2981
1974,2,1,3,125,-1.1955
1974,2,1,4,102,-2.0761
1974,2,1,5,175,-2.0502
1974,2,2,1,75,2.0679
1974,2,2,2,64,1.4752
1974,2,2,3,64,1.5534
1974,2,2,4,54,2.1197
1974,2,2,5,74,0.4806
1974,2,3,1,79,1.8159
1974,2,3,2,98,1.8939
1974,2,3,3,112,-1.0746
1974,2,3,4,112,-0.9486
1974,2,3,5,89,2.4865
1974,3,1,1,213,0.7860
1974,3,1,2,126,0.5864
1974,3,1,3,125,0.2834
1974,3,1,4,102,0.5719
1974,3,1,5,175,0.3170
1974,3,2,1,75,-2.1326
1974,3,2,2,64,-0.2071
1974,3,2,3,64,-1.8674
1974,3,2,4,54,-1.5024
1974,3,2,5,74,-1.2758
1974,3,3,1,79,-1.9407
1974,3,3,2,98,-1.6234
1974,3,3,3,112,-1.6701
1974,3,3,4,112,-1.1844
1974,3,3,5,89,-3.5313
1974,4,1,1,213,-4.5235
1974,4,1,2,127,-4.5012
1974,4,1,3,125,-3.9528
1974,4,1,4,102,-6.1476
1974,4,1,5,175,-5.9652
1974,4,2,1,75,-3.9249
1974,4,2,2,64,-4.1507
1974,4,2,3,64,-5.7473
1974,4,2,4,54,-4.2478
1974,4,2,5,74,-4.3825
1974,4,3,1,79,-3.1330
1974,4,3,2,98,-3.6186
1974,4,3,3,112,-3.0352
1974,4,3,4,112,-3.2132
1974,4,3,5,89,-3.2946
1974,5,1,1,213,-7.9446
1974,5,1,2,126,-7.1430
1974,5,1,3,125,-8.4829
1974,5,1,4,102,-5.8424
1974,5,1,5,175,-7.3746
1974,5,2,1,75,-6.1804
1974,5,2,2,64,-7.0214
1974,5,2,3,64,-6.3611
1974,5,2,4,54,-8.0114
1974,5,2,5,74,-9.9189
1974,5,3,1,79,-3.6007
1974,5,3,2,98,-2.3958
1974,5,3,3,112,-2.0205
1974,5,3,4,112,-1.2703
1974,5,3,5,89,-4.4422
1974,6,1,1,211,-2.6439
1974,6,1,2,127,-1.2695
1974,6,1,3,125,-1.6897
1974,6,1,4,102,-2.4625
1974,6,1,5,174,-3.4093
1974,6,2,1,75,0.1326
1974,6,2,2,64,-2.9608
1974,6,2,3,64,-2.1268
1974,6,2,4,54,0.5051
1974,6,2,5,74,-2.6429
1974,6,3,1,79,-1.5872
1974,6,3,2,98,-2.5652
1974,6,3,3,112,-0.9847
1974,6,3,4,112,-0.8498
