year,month,rank_ME,rank_dNCA,nstocks,ret_vw
1968,10,2,2,68,0.8026
1968,10,2,3,54,2.0302
1968,10,2,4,44,3.3470
1968,10,2,5,68,0.5428
1968,10,3,1,61,0.8377
1968,10,3,2,93,1.7459
1968,10,3,3,113,3.3302
1968,10,3,4,128,-2.2894
1968,10,3,5,119,0.3961
1968,11,1,1,249,6.7854
1968,11,1,2,126,8.8158
1968,11,1,3,61,7.6739
1968,11,1,4,64,5.2097
1968,11,1,5,97,6.1312
1968,11,2,1,68,8.3734
1968,11,2,2,68,8.5045
1968,11,2,3,55,6.1447
1968,11,2,4,44,8.6075
1968,11,2,5,68,9.0655
1968,11,3,1,61,6.1763
1968,11,3,2,93,1.8666
1968,11,3,3,113,5.0405
1968,11,3,4,128,7.9553
1968,11,3,5,119,5.9650
1968,12,1,1,249,2.5327
1968,12,1,2,127,2.6098
1968,12,1,3,61,-0.2717
1968,12,1,4,64,3.0744
1968,12,1,5,97,0.5709
1968,12,2,1,68,0.3419
1968,12,2,2,68,-1.0909
1968,12,2,3,55,-1.0963
1968,12,2,4,44,-3.2912
1968,12,2,5,68,-2.7285
1968,12,3,1,61,-0.5362
1968,12,3,2,93,-3.3850
1968,12,3,3,113,-4.5033
1968,12,3,4,128,-4.4045
1968,12,3,5,119,-4.5429
1969,1,1,1,249,-0.4479
1969,1,1,2,127,-1.3275
1969,1,1,3,61,-2.0194
1969,1,1,4,64,-0.4237
1969,1,1,5,97,-2.3859
1969,1,2,1,68,-1.3130
1969,1,2,2,68,-1.7501
1969,1,2,3,55,-1.7737
1969,1,2,4,44,1.5306
1969,1,2,5,68,-1.8489
1969,1,3,1,60,-0.6715
1969,1,3,2,93,-0.5536
1969,1,3,3,113,-0.0762
1969,1,3,4,128,-1.9097
1969,1,3,5,119,-0.8653
1969,2,1,1,248,-10.8578
1969,2,1,2,126,-9.7546
1969,2,1,3,61,-8.1257
1969,2,1,4,64,-9.4247
1969,2,1,5,97,-10.0810
1969,2,2,1,68,-9.2787
1969,2,2,2,68,-7.0446
1969,2,2,3,55,-5.7820
