year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1968,4,3,2,103,6.9818
1968,4,3,3,110,8.2861
1968,4,3,4,123,7.3373
1968,4,3,5,106,11.4384
1968,5,1,1,159,10.1101
1968,5,1,2,60,10.1338
1968,5,1,3,55,12.6848
1968,5,1,4,47,10.5195
1968,5,1,5,73,12.1942
1968,5,2,1,64,6.3829
1968,5,2,2,42,6.8769
1968,5,2,3,50,7.8366
1968,5,2,4,32,8.2266
1968,5,2,5,49,8.0538
1968,5,3,1,56,2.5558
1968,5,3,2,103,0.7948
1968,5,3,3,110,0.0554
1968,5,3,4,123,1.4805
1968,5,3,5,106,3.2215
1968,6,1,1,159,1.0902
1968,6,1,2,60,-1.4743
1968,6,1,3,55,0.8884
1968,6,1,4,47,-0.6850
1968,6,1,5,73,0.9478
1968,6,2,1,64,0.0324
1968,6,2,2,42,0.3410
1968,6,2,3,49,1.9694
1968,6,2,4,32,-1.2413
1968,6,2,5,49,0.9072
1968,6,3,1,56,-0.0553
1968,6,3,2,103,1.8029
1968,6,3,3,110,1.7619
1968,6,3,4,123,1.3595
1968,6,3,5,106,0.0865
1968,7,1,1,231,-2.2044
1968,7,1,2,119,-3.2912
1968,7,1,3,51,-3.7471
1968,7,1,4,63,-5.0868
1968,7,1,5,85,-4.8456
1968,7,2,1,66,-2.2960
1968,7,2,2,53,-1.5804
1968,7,2,3,55,-2.9072
1968,7,2,4,41,-3.2144
1968,7,2,5,63,-6.4001
1968,7,3,1,62,-2.1492
1968,7,3,2,94,-4.2781
1968,7,3,3,109,1.3470
1968,7,3,4,127,-2.4454
1968,7,3,5,111,-4.7330
1968,8,1,1,231,6.2339
1968,8,1,2,119,4.2684
1968,8,1,3,51,4.7919
1968,8,1,4,63,3.2522
1968,8,1,5,85,2.7293
1968,8,2,1,65,4.8990
1968,8,2,2,53,3.1620
1968,8,2,3,55,3.2208
1968,8,2,4,41,1.7727
1968,8,2,5,63,4.8171
1968,8,3,1,61,1.3016
1968,8,3,2,94,1.1554
1968,8,3,3,109,1.2071
1968,8,3,4,127,0.8223
1968,8,3,5,111,2.8788
1968,9,1,1,230,6.9899
1968,9,1,2,119,5.9145
1968,9,1,3,51,6.5132
1968,9,1,4,63,8.2365
1968,9,1,5,85,8.9615
1968,9,2,1,65,8.2222
1968,9,2,2,53,6.6425
1968,9,2,3,55,4.6790
1968,9,2,4,41,5.6950
1968,9,2,5,63,7.0496
1968,9,3,1,61,5.8213
1968,9,3,2,94,6.3478
1968,9,3,3,109,3.0037
1968,9,3,4,127,2.7818
1968,9,3,5,111,4.2236
1968,10,1,1,230,-0.1214
1968,10,1,2,119,1.7429
1968,10,1,3,51,1.2816
1968,10,1,4,63,1.4926
