year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1971,2,1,1,238,4.1672
1971,2,1,2,104,5.6750
1971,2,1,3,89,2.9009
1971,2,1,4,94,5.1417
1971,2,1,5,173,5.6414
1971,2,2,1,61,3.4446
1971,2,2,2,65,1.5817
1971,2,2,3,59,3.9401
1971,2,2,4,53,2.3102
1971,2,2,5,79,2.6924
1971,2,3,1,64,0.5378
1971,2,3,2,77,2.2606
1971,2,3,3,95,3.3542
1971,2,3,4,116,0.6583
1971,2,3,5,93,2.3258
1971,3,1,1,238,8.6165
1971,3,1,2,104,5.4754
1971,3,1,3,89,6.4987
1971,3,1,4,94,4.2911
1971,3,1,5,172,6.2562
1971,3,2,1,61,6.3804
1971,3,2,2,65,7.5763
1971,3,2,3,59,3.9905
1971,3,2,4,53,10.3095
1971,3,2,5,79,6.3080
1971,3,3,1,63,5.7983
1971,3,3,2,77,3.7814
1971,3,3,3,95,2.9778
1971,3,3,4,115,3.4794
1971,3,3,5,93,5.8297
1971,4,1,1,238,2.4330
1971,4,1,2,103,4.3402
1971,4,1,3,89,2.6246
1971,4,1,4,93,-0.3360
1971,4,1,5,172,2.3903
1971,4,2,1,60,2.9741
1971,4,2,2,65,6.5389
1971,4,2,3,58,5.6979
1971,4,2,4,53,4.6609
1971,4,2,5,78,2.7588
1971,4,3,1,63,4.5955
1971,4,3,2,77,4.5955
1971,4,3,3,95,4.4040
1971,4,3,4,115,4.7672
1971,4,3,5,93,2.5429
1971,5,1,1,235,-5.5650
1971,5,1,2,102,-5.0079
1971,5,1,3,88,-6.7237
1971,5,1,4,93,-6.6684
1971,5,1,5,172,-8.2103
1971,5,2,1,60,-4.9019
1971,5,2,2,65,-3.2343
1971,5,2,3,58,-5.1391
1971,5,2,4,53,-5.3331
1971,5,2,5,78,-4.2885
1971,5,3,1,63,-2.1828
1971,5,3,2,77,-2.6985
1971,5,3,3,95,-4.4382
1971,5,3,4,115,-2.9822
1971,5,3,5,93,-4.9524
1971,6,1,1,232,-2.5903
1971,6,1,2,102,-1.6280
1971,6,1,3,88,-1.4903
1971,6,1,4,93,-2.0880
1971,6,1,5,169,-3.1955
1971,6,2,1,60,-2.1240
1971,6,2,2,65,-1.2745
1971,6,2,3,58,-1.4324
1971,6,2,4,53,-0.3909
1971,6,2,5,77,-0.0440
1971,6,3,1,62,-0.6089
1971,6,3,2,77,0.9556
1971,6,3,3,95,0.0131
1971,6,3,4,115,0.3404
1971,6,3,5,93,-0.4781
1971,7,1,1,281,-6.4155
1971,7,1,2,140,-7.6812
1971,7,1,3,124,-6.6854
1971,7,1,4,100,-5.3157
1971,7,1,5,123,-7.7375
1971,7,2,1,68,-5.1976
1971,7,2,2,85,-5.1066
1971,7,2,3,56,-4.5181
1971,7,2,4,48,-5.2901
1971,7,2,5,76,-4.9593
1971,7,3,1,44,-3.5889
1971,7,3,2,85,-5.9675
1971,7,3,3,101,-2.9892
1971,7,3,4,122,-3.3578
1971,7,3,5,127,-4.6653
1971,8,1,1,280,4.7508
1971,8,1,2,140,5.3626
1971,8,1,3,124,5.2211
1971,8,1,4,100,3.3053
1971,8,1,5,123,2.0928
1971,8,2,1,68,5.9833
1971,8,2,2,85,5.9735
1971,8,2,3,56,5.0671
1971,8,2,4,48,4.4456
1971,8,2,5,76,3.3202
1971,8,3,1,44,7.5022
1971,8,3,2,85,4.8626
1971,8,3,3,101,6.5791
1971,8,3,4,121,2.1767
1971,8,3,5,126,4.8514
1971,9,1,1,280,-1.7141
1971,9,1,2,140,-0.8829
1971,9,1,3,124,0.3938
1971,9,1,4,100,1.3842
1971,9,1,5,123,-0.4019
1971,9,2,1,67,0.3148
1971,9,2,2,85,-1.2134
