year,month,rank_ME,rank_dWC,nstocks,ret_vw
1968,9,3,2,101,2.3716
1968,9,3,3,96,6.3391
1968,9,3,4,85,4.7216
1968,9,3,5,94,3.4257
1968,10,1,1,216,1.0905
1968,10,1,2,74,-0.2839
1968,10,1,3,78,1.1788
1968,10,1,4,107,-0.2701
1968,10,1,5,116,0.2574
1968,10,2,1,62,0.5535
1968,10,2,2,44,0.7276
1968,10,2,3,50,0.7433
1968,10,2,4,57,1.4913
1968,10,2,5,63,0.8576
1968,10,3,1,68,1.4515
1968,10,3,2,101,0.5950
1968,10,3,3,96,1.7240
1968,10,3,4,85,1.0489
1968,10,3,5,94,-1.2399
1968,11,1,1,215,7.8301
1968,11,1,2,74,5.6241
1968,11,1,3,77,7.2992
1968,11,1,4,107,7.5597
1968,11,1,5,116,5.8812
1968,11,2,1,63,7.3660
1968,11,2,2,44,6.5040
1968,11,2,3,50,9.0807
1968,11,2,4,57,9.6753
1968,11,2,5,63,7.9312
1968,11,3,1,68,3.9012
1968,11,3,2,101,6.3769
1968,11,3,3,96,3.1774
1968,11,3,4,85,6.4967
1968,11,3,5,94,6.5502
1968,12,1,1,215,3.1729
1968,12,1,2,74,3.4067
1968,12,1,3,78,1.1629
1968,12,1,4,107,-0.1554
1968,12,1,5,116,1.5428
1968,12,2,1,63,-1.2689
1968,12,2,2,44,-0.8613
1968,12,2,3,50,0.1449
1968,12,2,4,57,-1.7599
1968,12,2,5,63,-2.4223
1968,12,3,1,68,-2.7154
1968,12,3,2,101,-5.4064
1968,12,3,3,96,-2.7768
1968,12,3,4,85,-3.3078
1968,12,3,5,94,-4.4099
1969,1,1,1,215,-1.4439
1969,1,1,2,74,-0.7036
1969,1,1,3,78,-1.7461
1969,1,1,4,107,-1.5148
1969,1,1,5,116,-0.2223
1969,1,2,1,63,-1.5417
1969,1,2,2,44,-0.0100
1969,1,2,3,50,-2.9617
1969,1,2,4,57,-1.5870
1969,1,2,5,63,-1.3545
1969,1,3,1,68,-0.1479
1969,1,3,2,100,-1.1707
1969,1,3,3,96,-1.0352
1969,1,3,4,85,-1.1523
1969,1,3,5,94,-2.4579
1969,2,1,1,214,-10.2279
1969,2,1,2,74,-9.4524
1969,2,1,3,78,-9.5812
1969,2,1,4,106,-10.1875
1969,2,1,5,116,-10.7395
1969,2,2,1,63,-8.1927
1969,2,2,2,44,-7.2289
1969,2,2,3,50,-7.6071
1969,2,2,4,57,-9.0065
1969,2,2,5,63,-9.5962
1969,2,3,1,68,-5.3524
1969,2,3,2,100,-3.4832
1969,2,3,3,96,-4.0619
1969,2,3,4,85,-5.5442
1969,2,3,5,94,-6.4903
1969,3,1,1,213,3.4208
1969,3,1,2,74,2.8426
1969,3,1,3,78,1.8748
1969,3,1,4,106,1.7141
1969,3,1,5,116,2.5190
1969,3,2,1,63,4.3666
1969,3,2,2,44,3.1665
1969,3,2,3,50,3.1071
1969,3,2,4,57,2.3140
1969,3,2,5,63,1.8867
