year,month,rank_ME,rank_IVG,nstocks,ret_vw
1968,6,3,4,107,-0.3649
1968,6,3,5,88,-0.1314
1968,7,1,1,186,-2.1184
1968,7,1,2,113,-2.5454
1968,7,1,3,83,-4.7119
1968,7,1,4,78,-1.9124
1968,7,1,5,110,-5.7212
1968,7,2,1,53,-3.3156
1968,7,2,2,53,-3.1898
1968,7,2,3,49,-2.6719
1968,7,2,4,55,-5.6378
1968,7,2,5,62,-6.4930
1968,7,3,1,63,-0.3534
1968,7,3,2,86,-1.6362
1968,7,3,3,97,-2.3047
1968,7,3,4,100,-1.2811
1968,7,3,5,95,-6.1076
1968,8,1,1,186,5.7399
1968,8,1,2,113,4.8695
1968,8,1,3,83,4.9474
1968,8,1,4,78,4.3866
1968,8,1,5,110,2.5930
1968,8,2,1,53,5.7935
1968,8,2,2,52,6.9141
1968,8,2,3,49,3.0998
1968,8,2,4,55,3.2621
1968,8,2,5,62,2.7697
1968,8,3,1,62,2.8001
1968,8,3,2,86,1.3667
1968,8,3,3,97,1.0582
1968,8,3,4,100,1.7314
1968,8,3,5,95,1.6313
1968,9,1,1,186,9.7501
1968,9,1,2,112,5.6100
1968,9,1,3,83,6.5072
1968,9,1,4,78,5.9593
1968,9,1,5,110,7.3998
1968,9,2,1,53,6.5298
1968,9,2,2,52,7.3457
1968,9,2,3,49,6.9497
1968,9,2,4,55,7.6003
1968,9,2,5,62,7.3197
1968,9,3,1,62,5.0221
1968,9,3,2,86,5.3631
1968,9,3,3,97,2.6173
1968,9,3,4,100,5.2230
1968,9,3,5,95,3.2448
1968,10,1,1,186,0.3305
1968,10,1,2,112,2.0580
1968,10,1,3,83,-0.7068
1968,10,1,4,78,2.0273
1968,10,1,5,110,-1.0405
1968,10,2,1,52,1.5992
1968,10,2,2,52,1.4433
1968,10,2,3,49,-0.3007
1968,10,2,4,55,1.3128
1968,10,2,5,62,0.6364
1968,10,3,1,61,2.4581
1968,10,3,2,86,2.9653
1968,10,3,3,97,-1.2649
1968,10,3,4,100,1.5605
1968,10,3,5,95,-1.0490
1968,11,1,1,184,7.2277
1968,11,1,2,112,6.7949
1968,11,1,3,83,5.8720
1968,11,1,4,78,8.9140
