year,month,rank_ME,rank_IVC,nstocks,ret_vw
1968,7,2,3,49,-4.5301
1968,7,2,4,49,-3.7885
1968,7,2,5,70,-7.1448
1968,7,3,1,59,-1.7097
1968,7,3,2,99,-0.4297
1968,7,3,3,98,-2.5846
1968,7,3,4,103,-3.7964
1968,7,3,5,82,-6.4215
1968,8,1,1,189,5.8215
1968,8,1,2,90,3.8080
1968,8,1,3,68,5.8778
1968,8,1,4,87,4.3411
1968,8,1,5,138,2.9615
1968,8,2,1,56,5.6641
1968,8,2,2,48,6.6112
1968,8,2,3,48,3.0655
1968,8,2,4,49,3.6241
1968,8,2,5,70,3.0709
1968,8,3,1,58,2.7218
1968,8,3,2,99,1.0257
1968,8,3,3,98,1.6303
1968,8,3,4,103,1.9612
1968,8,3,5,82,2.1488
1968,9,1,1,189,9.5903
1968,9,1,2,89,6.2243
1968,9,1,3,68,6.8169
1968,9,1,4,87,6.1070
1968,9,1,5,138,7.0820
1968,9,2,1,56,6.4296
1968,9,2,2,48,9.0202
1968,9,2,3,48,6.2534
1968,9,2,4,49,7.9942
1968,9,2,5,70,6.4072
1968,9,3,1,58,5.5604
1968,9,3,2,99,3.8081
1968,9,3,3,98,3.8067
1968,9,3,4,103,5.4311
1968,9,3,5,82,3.7219
1968,10,1,1,189,0.7502
1968,10,1,2,89,1.6235
1968,10,1,3,68,2.1853
1968,10,1,4,87,-0.2273
1968,10,1,5,138,-1.4177
1968,10,2,1,55,1.6582
1968,10,2,2,48,1.6041
1968,10,2,3,48,-0.0745
1968,10,2,4,49,0.1090
1968,10,2,5,70,1.2048
1968,10,3,1,57,3.1295
1968,10,3,2,99,0.5268
1968,10,3,3,98,1.2416
1968,10,3,4,103,0.9736
1968,10,3,5,82,-1.5008
1968,11,1,1,187,7.4890
1968,11,1,2,89,7.2025
1968,11,1,3,68,5.1434
1968,11,1,4,87,7.3642
1968,11,1,5,138,7.1591
1968,11,2,1,56,8.2505
1968,11,2,2,48,8.6822
1968,11,2,3,48,7.6996
1968,11,2,4,49,7.7615
1968,11,2,5,70,8.2494
1968,11,3,1,57,4.5392
1968,11,3,2,99,4.7599
1968,11,3,3,98,5.5246
1968,11,3,4,103,5.2906
1968,11,3,5,82,6.9608
1968,12,1,1,189,2.8576
1968,12,1,2,89,1.7026
1968,12,1,3,67,2.9462
1968,12,1,4,87,-1.3253
1968,12,1,5,138,2.2445
