year,month,rank_ME,rank_dBE,nstocks,ret_vw
1969,1,2,3,45,-0.7177
1969,1,2,4,47,-2.3810
1969,1,2,5,56,-1.5247
1969,1,3,1,65,1.0373
1969,1,3,2,95,1.0104
1969,1,3,3,93,-0.4088
1969,1,3,4,100,-1.2373
1969,1,3,5,110,-2.7656
1969,2,1,1,110,-10.4966
1969,2,1,2,64,-10.3549
1969,2,1,3,75,-9.1930
1969,2,1,4,88,-10.2914
1969,2,1,5,73,-10.6540
1969,2,2,1,49,-7.2739
1969,2,2,2,37,-6.7458
1969,2,2,3,45,-7.8068
1969,2,2,4,47,-7.4289
1969,2,2,5,56,-10.7568
1969,2,3,1,65,-5.3248
1969,2,3,2,95,-4.9685
1969,2,3,3,93,-3.6471
1969,2,3,4,100,-4.9787
1969,2,3,5,110,-4.4629
1969,3,1,1,110,4.4740
1969,3,1,2,64,0.5214
1969,3,1,3,75,1.1788
1969,3,1,4,88,2.9531
1969,3,1,5,73,2.9988
1969,3,2,1,49,1.6581
1969,3,2,2,37,1.7007
1969,3,2,3,45,3.3010
1969,3,2,4,47,4.9842
1969,3,2,5,56,1.5803
1969,3,3,1,65,1.3260
1969,3,3,2,95,0.5935
1969,3,3,3,93,5.8004
1969,3,3,4,100,3.9148
1969,3,3,5,110,3.1196
1969,4,1,1,110,-1.4094
1969,4,1,2,64,-1.3295
1969,4,1,3,75,1.7730
1969,4,1,4,88,0.9055
1969,4,1,5,73,-1.4662
1969,4,2,1,49,2.6393
1969,4,2,2,37,0.0121
1969,4,2,3,45,0.6028
1969,4,2,4,47,4.0237
1969,4,2,5,55,1.3214
1969,4,3,1,65,0.6554
1969,4,3,2,95,3.6608
1969,4,3,3,93,1.5165
1969,4,3,4,100,1.3135
1969,4,3,5,110,3.1315
1969,5,1,1,109,2.4983
1969,5,1,2,63,-0.2296
1969,5,1,3,75,1.9843
1969,5,1,4,88,-0.2700
1969,5,1,5,73,1.3280
1969,5,2,1,49,-0.3652
1969,5,2,2,36,-0.5333
1969,5,2,3,45,0.1698
1969,5,2,4,47,1.1732
1969,5,2,5,56,0.0869
1969,5,3,1,65,-1.2388
1969,5,3,2,94,-0.0285
1969,5,3,3,93,1.7021
1969,5,3,4,100,0.8855
1969,5,3,5,109,-1.1016
1969,6,1,1,110,-13.5509
1969,6,1,2,63,-14.6575
1969,6,1,3,75,-12.2226
1969,6,1,4,88,-14.2557
1969,6,1,5,73,-13.1157
1969,6,2,1,49,-10.1515
1969,6,2,2,37,-8.8032
1969,6,2,3,45,-10.4493
1969,6,2,4,47,-9.8175
1969,6,2,5,56,-11.8629
1969,6,3,1,65,-8.4020
1969,6,3,2,93,-5.6227
1969,6,3,3,93,-6.2039
1969,6,3,4,100,-7.4522
1969,6,3,5,110,-2.2874
1969,7,1,1,108,-10.3747
1969,7,1,2,87,-8.6280
1969,7,1,3,69,-11.7354
1969,7,1,4,108,-11.8352
1969,7,1,5,148,-11.8939
1969,7,2,1,51,-8.0800
1969,7,2,2,38,-6.5768
1969,7,2,3,54,-8.7705
1969,7,2,4,61,-9.2980
1969,7,2,5,82,-10.5912
1969,7,3,1,83,-4.2922
1969,7,3,2,112,-6.0230
1969,7,3,3,105,-6.8340
1969,7,3,4,103,-5.1921
1969,7,3,5,111,-6.0282
1969,8,1,1,107,3.0475
1969,8,1,2,87,2.6682
1969,8,1,3,69,2.7415
1969,8,1,4,108,4.0658
1969,8,1,5,148,5.1221
1969,8,2,1,51,3.3274
1969,8,2,2,38,4.5762
1969,8,2,3,54,3.5312
1969,8,2,4,61,6.7826
1969,8,2,5,82,9.0245
1969,8,3,1,83,0.2623
1969,8,3,2,112,2.5239
1969,8,3,3,105,4.9542
1969,8,3,4,103,6.1020
1969,8,3,5,111,7.3087
1969,9,1,1,108,-2.5431
1969,9,1,2,87,-4.3011
1969,9,1,3,69,-2.8968
1969,9,1,4,108,-4.8794
1969,9,1,5,148,-2.8774
1969,9,2,1,51,-0.6395
1969,9,2,2,38,-2.2447
1969,9,2,3,54,-1.3096
1969,9,2,4,61,1.1799
1969,9,2,5,82,-0.0175
1969,9,3,1,83,-4.4272
1969,9,3,2,112,-3.8083
1969,9,3,3,105,-2.9798
1969,9,3,4,103,-2.1336
1969,9,3,5,111,-0.7670
1969,10,1,1,108,10.2822
1969,10,1,2,87,7.7029
1969,10,1,3,69,8.4932
1969,10,1,4,108,13.9285
1969,10,1,5,148,11.5239
1969,10,2,1,51,6.3765
1969,10,2,2,38,6.1243
1969,10,2,3,54,6.5432
1969,10,2,4,61,5.8047
1969,10,2,5,82,11.2514
1969,10,3,1,83,7.5292
1969,10,3,2,112,3.4233
1969,10,3,3,104,3.7401
1969,10,3,4,103,7.6853
1969,10,3,5,111,4.5796
1969,11,1,1,108,-8.8409
1969,11,1,2,86,-5.2545
