year,month,rank_ME,rank_CEI,nstocks,ret_vw
1970,9,1,5,81,19.0164
1970,9,2,1,53,5.2817
1970,9,2,2,56,6.7032
1970,9,2,3,46,8.3000
1970,9,2,4,75,13.2610
1970,9,2,5,71,16.7336
1970,9,3,1,114,0.9744
1970,9,3,2,115,0.7786
1970,9,3,3,123,3.7668
1970,9,3,4,94,7.3137
1970,9,3,5,88,8.6420
1970,10,1,1,85,-1.6378
1970,10,1,2,92,-6.8319
1970,10,1,3,119,-3.8677
1970,10,1,4,231,-10.8098
1970,10,1,5,81,-12.1448
1970,10,2,1,53,-1.1354
1970,10,2,2,56,-2.7812
1970,10,2,3,45,-3.2763
1970,10,2,4,75,-6.6531
1970,10,2,5,71,-7.9551
1970,10,3,1,114,-1.1524
1970,10,3,2,115,-0.1667
1970,10,3,3,123,-0.5060
1970,10,3,4,94,-1.6694
1970,10,3,5,88,-2.2199
1970,11,1,1,84,1.1478
1970,11,1,2,92,0.6509
1970,11,1,3,119,-1.0416
1970,11,1,4,229,-3.6629
1970,11,1,5,81,-0.9048
1970,11,2,1,52,3.2893
1970,11,2,2,56,5.6400
1970,11,2,3,45,4.6966
1970,11,2,4,75,3.8674
1970,11,2,5,71,2.0338
1970,11,3,1,114,6.8764
1970,11,3,2,115,5.5274
1970,11,3,3,123,5.9419
1970,11,3,4,94,4.0291
1970,11,3,5,88,4.4117
1970,12,1,1,84,10.1467
1970,12,1,2,92,14.0759
1970,12,1,3,118,10.3757
1970,12,1,4,228,6.7750
1970,12,1,5,80,8.3941
1970,12,2,1,52,6.9133
1970,12,2,2,56,9.1042
1970,12,2,3,45,8.6220
1970,12,2,4,75,7.8437
1970,12,2,5,71,7.4288
1970,12,3,1,114,5.0128
1970,12,3,2,114,6.6000
1970,12,3,3,123,6.3484
1970,12,3,4,94,5.4699
1970,12,3,5,88,4.6326
1971,1,1,1,83,10.9643
1971,1,1,2,91,11.6021
1971,1,1,3,117,14.6432
1971,1,1,4,228,16.2803
1971,1,1,5,80,16.9217
1971,1,2,1,51,8.5920
1971,1,2,2,55,9.9668
1971,1,2,3,44,9.8515
