year,month,rank_ME,rank_POA,nstocks,ret_vw
1969,1,1,1,147,-1.4550
1969,1,1,2,69,-2.1827
1969,1,1,3,74,-2.3570
1969,1,1,4,65,-1.9459
1969,1,1,5,113,-0.3321
1969,1,2,1,47,-2.2343
1969,1,2,2,37,0.2344
1969,1,2,3,49,-2.0663
1969,1,2,4,46,-1.2940
1969,1,2,5,58,-1.6932
1969,1,3,1,66,-0.7550
1969,1,3,2,102,-0.8868
1969,1,3,3,89,-1.7392
1969,1,3,4,85,-0.5308
1969,1,3,5,78,-3.7395
1969,2,1,1,146,-11.9422
1969,2,1,2,69,-8.9826
1969,2,1,3,74,-8.7321
1969,2,1,4,65,-7.4719
1969,2,1,5,113,-11.0679
1969,2,2,1,47,-7.7363
1969,2,2,2,37,-8.9100
1969,2,2,3,49,-7.3102
1969,2,2,4,46,-8.0660
1969,2,2,5,58,-10.4973
1969,2,3,1,66,-3.7718
1969,2,3,2,102,-4.5830
1969,2,3,3,89,-4.0051
1969,2,3,4,85,-4.4320
1969,2,3,5,78,-8.0417
1969,3,1,1,146,4.1299
1969,3,1,2,69,2.1663
1969,3,1,3,74,2.7310
1969,3,1,4,65,0.8852
1969,3,1,5,113,3.0083
1969,3,2,1,47,3.6079
1969,3,2,2,37,4.7433
1969,3,2,3,49,5.7666
1969,3,2,4,46,0.5493
1969,3,2,5,58,2.3447
1969,3,3,1,66,3.0867
1969,3,3,2,102,5.7615
1969,3,3,3,89,3.5004
1969,3,3,4,85,2.1256
1969,3,3,5,78,2.3066
1969,4,1,1,146,0.0908
1969,4,1,2,69,-2.0214
1969,4,1,3,74,-0.3376
1969,4,1,4,65,0.3656
1969,4,1,5,113,-0.2602
1969,4,2,1,47,1.7161
1969,4,2,2,36,1.9906
1969,4,2,3,49,3.5586
1969,4,2,4,46,0.2863
1969,4,2,5,58,1.2224
1969,4,3,1,66,4.3207
1969,4,3,2,102,0.9472
1969,4,3,3,89,1.0649
1969,4,3,4,85,4.1266
1969,4,3,5,78,2.3179
1969,5,1,1,145,1.3265
1969,5,1,2,69,4.4447
1969,5,1,3,74,-1.4636
1969,5,1,4,64,1.1785
