year,month,rank_ME,rank_NOA,nstocks,ret_vw
1968,4,1,4,42,17.5238
1968,4,1,5,50,21.9669
1968,4,2,1,29,13.0935
1968,4,2,2,45,16.2133
1968,4,2,3,36,11.9309
1968,4,2,4,38,11.7624
1968,4,2,5,39,16.4674
1968,4,3,1,86,10.0089
1968,4,3,2,72,9.0654
1968,4,3,3,70,9.1198
1968,4,3,4,76,10.3235
1968,4,3,5,80,7.5100
1968,5,1,1,82,11.8497
1968,5,1,2,49,11.2938
1968,5,1,3,58,10.4610
1968,5,1,4,42,8.3029
1968,5,1,5,50,11.7329
1968,5,2,1,29,10.2684
1968,5,2,2,45,6.3606
1968,5,2,3,36,5.1079
1968,5,2,4,38,6.8507
1968,5,2,5,39,9.1261
1968,5,3,1,86,0.6587
1968,5,3,2,72,1.8312
1968,5,3,3,70,0.7765
1968,5,3,4,76,3.6645
1968,5,3,5,80,1.9422
1968,6,1,1,82,1.0866
1968,6,1,2,49,-0.0376
1968,6,1,3,58,1.7606
1968,6,1,4,42,3.7033
1968,6,1,5,50,-0.7381
1968,6,2,1,29,0.4685
1968,6,2,2,44,0.6666
1968,6,2,3,36,1.2988
1968,6,2,4,38,0.5389
1968,6,2,5,39,-0.7150
1968,6,3,1,86,-0.7642
1968,6,3,2,72,1.1250
1968,6,3,3,70,1.1624
1968,6,3,4,76,-0.0710
1968,6,3,5,80,1.3543
1968,7,1,1,158,-3.5715
1968,7,1,2,101,-1.5417
1968,7,1,3,73,-4.2496
1968,7,1,4,59,-3.8645
1968,7,1,5,76,-4.0582
1968,7,2,1,50,-1.9035
1968,7,2,2,39,-3.3611
1968,7,2,3,47,-2.6006
1968,7,2,4,52,-3.3159
1968,7,2,5,50,-7.4063
1968,7,3,1,75,-3.5180
1968,7,3,2,83,-0.6895
1968,7,3,3,84,-2.3099
1968,7,3,4,85,-2.0795
1968,7,3,5,96,-2.6038
1968,8,1,1,158,4.2849
1968,8,1,2,101,4.8060
1968,8,1,3,73,5.0632
1968,8,1,4,59,4.8142
1968,8,1,5,76,3.8277
1968,8,2,1,50,5.2209
1968,8,2,2,39,5.5145
1968,8,2,3,47,5.2919
1968,8,2,4,52,3.5513
1968,8,2,5,50,4.0647
1968,8,3,1,74,0.9905
1968,8,3,2,83,2.3220
1968,8,3,3,84,0.6415
1968,8,3,4,85,2.1584
1968,8,3,5,96,2.1560
1968,9,1,1,158,7.4965
1968,9,1,2,101,4.5809
1968,9,1,3,73,6.8911
1968,9,1,4,59,8.0082
1968,9,1,5,76,9.9856
1968,9,2,1,50,7.8128
1968,9,2,2,39,6.2060
1968,9,2,3,47,7.3967
1968,9,2,4,52,7.6178
1968,9,2,5,50,7.0636
1968,9,3,1,74,5.1886
1968,9,3,2,83,3.8641
1968,9,3,3,84,3.8805
1968,9,3,4,85,4.0528
1968,9,3,5,96,4.3543
1968,10,1,1,158,1.4139
1968,10,1,2,101,-1.9230
1968,10,1,3,73,1.2267
1968,10,1,4,59,0.9323
1968,10,1,5,76,0.2763
1968,10,2,1,50,0.9631
1968,10,2,2,39,-0.5117
1968,10,2,3,46,3.0280
1968,10,2,4,52,0.2114
1968,10,2,5,50,0.7345
1968,10,3,1,74,2.9433
1968,10,3,2,83,0.5385
1968,10,3,3,84,-1.8716
1968,10,3,4,85,2.2711
1968,10,3,5,96,1.3937
1968,11,1,1,158,8.1799
1968,11,1,2,101,6.6661
1968,11,1,3,73,6.9243
1968,11,1,4,59,7.1258
1968,11,1,5,76,6.2959
1968,11,2,1,50,9.1826
1968,11,2,2,39,8.6431
1968,11,2,3,47,6.4593
1968,11,2,4,52,7.8653
1968,11,2,5,50,9.2130
1968,11,3,1,74,2.5841
1968,11,3,2,83,5.9176
1968,11,3,3,84,5.8213
1968,11,3,4,85,4.7959
1968,11,3,5,96,7.0787
1968,12,1,1,158,3.3822
1968,12,1,2,101,1.0112
1968,12,1,3,73,0.3764
1968,12,1,4,59,2.0074
1968,12,1,5,76,2.2387
1968,12,2,1,50,0.7154
1968,12,2,2,39,-0.1441
1968,12,2,3,47,-1.4395
1968,12,2,4,52,-1.1952
1968,12,2,5,50,-2.2213
1968,12,3,1,74,-4.3904
1968,12,3,2,83,-4.6203
1968,12,3,3,84,-3.0617
1968,12,3,4,85,-3.5094
1968,12,3,5,96,-4.9379
1969,1,1,1,158,-3.0201
1969,1,1,2,101,-0.4343
1969,1,1,3,73,1.0532
1969,1,1,4,59,-1.8906
1969,1,1,5,76,-1.8605
1969,1,2,1,50,-0.7541
1969,1,2,2,39,-2.3207
1969,1,2,3,47,-2.4976
1969,1,2,4,52,-2.0077
1969,1,2,5,50,-0.7740
1969,1,3,1,74,-0.6224
1969,1,3,2,83,-0.3167
1969,1,3,3,84,-2.6771
1969,1,3,4,85,-1.2911
1969,1,3,5,96,-0.6311
1969,2,1,1,157,-10.8943
1969,2,1,2,101,-8.5604
1969,2,1,3,73,-11.6446
1969,2,1,4,59,-8.7083
1969,2,1,5,76,-10.7287
1969,2,2,1,50,-7.2921
