year,month,rank_ME,rank_DAC,nstocks,ret_vw
1969,10,2,1,46,8.7759
1969,10,2,2,46,6.2596
1969,10,2,3,36,9.1305
1969,10,2,4,61,7.4778
1969,10,2,5,67,9.3312
1969,10,3,1,86,4.7948
1969,10,3,2,97,6.5138
1969,10,3,3,101,4.1115
1969,10,3,4,79,3.0625
1969,10,3,5,64,5.9171
1969,11,1,1,145,-6.5959
1969,11,1,2,59,-7.0353
1969,11,1,3,65,-7.7828
1969,11,1,4,83,-8.1297
1969,11,1,5,140,-6.2303
1969,11,2,1,46,-4.4707
1969,11,2,2,45,-4.6545
1969,11,2,3,36,-5.6156
1969,11,2,4,61,-4.5035
1969,11,2,5,67,-4.6304
1969,11,3,1,86,-2.3873
1969,11,3,2,97,-2.8836
1969,11,3,3,101,-3.6468
1969,11,3,4,79,-1.9729
1969,11,3,5,65,-1.9616
1969,12,1,1,146,-9.2897
1969,12,1,2,59,-5.8451
1969,12,1,3,65,-6.0217
1969,12,1,4,83,-9.2823
1969,12,1,5,140,-6.7781
1969,12,2,1,46,-3.0722
1969,12,2,2,45,-2.5285
1969,12,2,3,36,-4.4742
1969,12,2,4,61,-4.8459
1969,12,2,5,67,-5.5739
1969,12,3,1,86,-0.2876
1969,12,3,2,97,-0.4534
1969,12,3,3,101,-2.7054
1969,12,3,4,79,-3.4049
1969,12,3,5,65,-0.3548
1970,1,1,1,146,-2.7920
1970,1,1,2,59,-4.0183
1970,1,1,3,65,-3.1590
1970,1,1,4,83,-0.9751
1970,1,1,5,140,-5.1061
1970,1,2,1,46,-7.8652
1970,1,2,2,45,-3.6965
1970,1,2,3,36,-3.9525
1970,1,2,4,61,-6.1598
1970,1,2,5,67,-7.6321
1970,1,3,1,86,-7.9186
1970,1,3,2,97,-8.2425
1970,1,3,3,101,-9.9343
1970,1,3,4,79,-7.3879
1970,1,3,5,65,-7.3699
1970,2,1,1,146,1.2162
1970,2,1,2,59,5.1242
1970,2,1,3,65,2.5945
1970,2,1,4,83,2.5675
1970,2,1,5,140,4.1870
1970,2,2,1,46,4.6707
1970,2,2,2,45,3.7168
1970,2,2,3,36,5.9280
1970,2,2,4,61,4.3989
1970,2,2,5,67,4.9734
1970,2,3,1,86,3.8390
1970,2,3,2,97,6.2230
1970,2,3,3,101,7.9071
1970,2,3,4,79,5.8279
1970,2,3,5,64,5.5253
1970,3,1,1,146,-2.9932
1970,3,1,2,59,-1.0544
1970,3,1,3,65,-3.8650
1970,3,1,4,83,-1.4960
1970,3,1,5,140,-5.1233
1970,3,2,1,46,-2.5768
1970,3,2,2,46,-1.7566
1970,3,2,3,36,-2.3331
1970,3,2,4,61,-0.5893
1970,3,2,5,67,-3.7901
1970,3,3,1,86,0.4018
1970,3,3,2,97,-1.7235
1970,3,3,3,101,-0.2435
1970,3,3,4,79,1.1418
1970,3,3,5,65,-1.3296
1970,4,1,1,146,-17.4606
1970,4,1,2,59,-15.2108
1970,4,1,3,65,-16.0498
1970,4,1,4,83,-17.7629
1970,4,1,5,140,-18.1890
1970,4,2,1,46,-17.0253
1970,4,2,2,46,-16.0436
1970,4,2,3,36,-12.8696
1970,4,2,4,61,-12.9056
1970,4,2,5,67,-18.8751
1970,4,3,1,86,-9.7297
1970,4,3,2,97,-7.7228
1970,4,3,3,101,-9.5519
1970,4,3,4,79,-9.2348
1970,4,3,5,65,-12.8194
1970,5,1,1,146,-8.4209
1970,5,1,2,59,-10.7871
1970,5,1,3,65,-10.8493
1970,5,1,4,83,-8.6809
1970,5,1,5,139,-9.4801
1970,5,2,1,46,-9.5641
1970,5,2,2,46,-9.1387
1970,5,2,3,36,-10.3946
1970,5,2,4,61,-12.0971
1970,5,2,5,67,-11.2648
1970,5,3,1,86,-6.7717
1970,5,3,2,97,-7.3591
1970,5,3,3,101,-3.5086
1970,5,3,4,79,-3.1951
1970,5,3,5,65,-9.0613
1970,6,1,1,146,-7.9412
1970,6,1,2,59,-5.2321
1970,6,1,3,65,-6.7109
1970,6,1,4,83,-10.0558
1970,6,1,5,139,-11.3366
1970,6,2,1,46,-6.7914
1970,6,2,2,45,-6.4618
1970,6,2,3,36,-8.2603
1970,6,2,4,61,-5.9733
1970,6,2,5,67,-8.2375
1970,6,3,1,86,-5.7639
1970,6,3,2,97,-2.4436
