year,month,rank_ME,rank_IG2,nstocks,ret_vw
1968,10,1,2,53,2.6346
1968,10,1,3,33,0.4895
1968,10,1,4,44,1.1141
1968,10,1,5,61,1.4357
1968,10,2,1,45,0.7860
1968,10,2,2,45,2.9507
1968,10,2,3,38,-0.7257
1968,10,2,4,38,1.4759
1968,10,2,5,37,1.3203
1968,10,3,1,57,2.8269
1968,10,3,2,77,3.0281
1968,10,3,3,98,-0.7933
1968,10,3,4,93,1.3493
1968,10,3,5,88,-1.4249
1968,11,1,1,77,8.6851
1968,11,1,2,52,5.6604
1968,11,1,3,33,6.2718
1968,11,1,4,44,6.9939
1968,11,1,5,61,4.9303
1968,11,2,1,45,7.3570
1968,11,2,2,46,7.2744
1968,11,2,3,38,8.3441
1968,11,2,4,38,8.2477
1968,11,2,5,37,7.3113
1968,11,3,1,57,1.3749
1968,11,3,2,77,4.6782
1968,11,3,3,98,5.4573
1968,11,3,4,93,6.3852
1968,11,3,5,88,7.3574
1968,12,1,1,76,1.4730
1968,12,1,2,53,0.0670
1968,12,1,3,33,4.6243
1968,12,1,4,44,0.6834
1968,12,1,5,61,0.1492
1968,12,2,1,45,-1.1166
1968,12,2,2,46,-1.6714
1968,12,2,3,38,-0.0246
1968,12,2,4,38,-1.2157
1968,12,2,5,37,-1.8905
1968,12,3,1,57,-3.7741
1968,12,3,2,77,-4.0593
1968,12,3,3,98,-3.9212
1968,12,3,4,93,-5.1253
1968,12,3,5,88,-2.5766
1969,1,1,1,76,-2.0176
1969,1,1,2,53,-2.0967
1969,1,1,3,33,0.5737
1969,1,1,4,44,-0.9905
1969,1,1,5,61,-1.6516
1969,1,2,1,45,-1.5673
1969,1,2,2,46,-0.3048
1969,1,2,3,38,-2.7134
1969,1,2,4,38,-1.4116
1969,1,2,5,37,-0.8754
1969,1,3,1,57,-0.7740
1969,1,3,2,77,0.2568
1969,1,3,3,98,-2.3824
1969,1,3,4,93,-0.4322
1969,1,3,5,87,-2.1031
1969,2,1,1,76,-9.7938
1969,2,1,2,52,-9.1028
1969,2,1,3,33,-9.1351
1969,2,1,4,44,-9.9938
1969,2,1,5,61,-7.7829
1969,2,2,1,45,-8.7040
1969,2,2,2,46,-6.5918
1969,2,2,3,38,-9.2568
1969,2,2,4,38,-5.7485
1969,2,2,5,37,-9.9838
1969,2,3,1,57,-3.9263
1969,2,3,2,77,-4.2528
1969,2,3,3,98,-3.5994
1969,2,3,4,93,-4.2653
1969,2,3,5,87,-7.7213
1969,3,1,1,76,4.1403
1969,3,1,2,52,1.3009
1969,3,1,3,32,4.1630
1969,3,1,4,44,2.5930
1969,3,1,5,61,1.6082
1969,3,2,1,45,1.5369
1969,3,2,2,46,3.4760
1969,3,2,3,38,1.6967
1969,3,2,4,38,0.8411
1969,3,2,5,37,5.0140
1969,3,3,1,57,3.0153
1969,3,3,2,77,2.2928
1969,3,3,3,98,5.4242
1969,3,3,4,93,3.8395
1969,3,3,5,87,1.1985
1969,4,1,1,76,-0.9381
1969,4,1,2,52,-0.8803
1969,4,1,3,32,-2.4369
1969,4,1,4,44,1.6902
1969,4,1,5,61,0.0115
1969,4,2,1,45,-0.2934
1969,4,2,2,46,2.0496
1969,4,2,3,38,0.2299
1969,4,2,4,38,0.1950
1969,4,2,5,37,0.7829
1969,4,3,1,57,0.6867
1969,4,3,2,77,4.2700
1969,4,3,3,98,1.9126
1969,4,3,4,93,2.6803
1969,4,3,5,87,1.5135
1969,5,1,1,75,-0.4248
1969,5,1,2,52,-0.9543
1969,5,1,3,33,-1.5989
1969,5,1,4,44,1.3247
1969,5,1,5,61,0.5076
1969,5,2,1,45,0.2867
1969,5,2,2,46,-0.9273
1969,5,2,3,37,-1.3415
1969,5,2,4,38,1.2684
1969,5,2,5,37,-0.1111
1969,5,3,1,57,1.1188
1969,5,3,2,77,0.2325
1969,5,3,3,97,0.3989
1969,5,3,4,93,1.1667
1969,5,3,5,86,-2.1782
1969,6,1,1,75,-12.7493
1969,6,1,2,52,-11.8615
1969,6,1,3,33,-13.7494
1969,6,1,4,44,-12.6676
1969,6,1,5,61,-12.6198
1969,6,2,1,45,-11.0488
1969,6,2,2,46,-8.7487
1969,6,2,3,38,-9.8829
1969,6,2,4,38,-10.3333
1969,6,2,5,37,-12.1404
1969,6,3,1,56,-6.5562
1969,6,3,2,77,-6.4451
1969,6,3,3,97,-4.2909
1969,6,3,4,92,-5.3706
1969,6,3,5,87,-7.8233
1969,7,1,1,112,-9.6723
1969,7,1,2,53,-10.6554
1969,7,1,3,58,-11.4487
1969,7,1,4,54,-8.7906
1969,7,1,5,108,-12.9343
1969,7,2,1,47,-8.0318
1969,7,2,2,38,-7.6878
1969,7,2,3,45,-9.0396
1969,7,2,4,46,-8.8902
1969,7,2,5,57,-12.0700
1969,7,3,1,65,-6.5814
1969,7,3,2,99,-5.1972
1969,7,3,3,99,-5.8546
1969,7,3,4,96,-7.1031
1969,7,3,5,71,-6.8598
1969,8,1,1,112,3.5713
1969,8,1,2,53,3.5820
1969,8,1,3,58,4.4356
1969,8,1,4,54,4.4616
1969,8,1,5,108,4.9893
1969,8,2,1,47,6.8312
1969,8,2,2,38,7.0017
1969,8,2,3,45,5.5838
1969,8,2,4,46,5.6573
1969,8,2,5,57,7.8097
1969,8,3,1,65,6.5321
1969,8,3,2,99,5.6537
1969,8,3,3,99,3.9051
1969,8,3,4,96,4.9821
1969,8,3,5,71,6.7838
1969,9,1,1,112,-5.0848
1969,9,1,2,53,-2.3473
1969,9,1,3,58,-1.2772
1969,9,1,4,54,-1.8458
1969,9,1,5,108,-3.4639
1969,9,2,1,46,0.0628
1969,9,2,2,38,-2.7106
1969,9,2,3,45,-0.2042
1969,9,2,4,46,-2.8042
1969,9,2,5,57,2.2680
1969,9,3,1,65,-2.8753
1969,9,3,2,99,-0.8298
1969,9,3,3,99,-3.2366
1969,9,3,4,96,-3.6360
1969,9,3,5,71,-2.3069
1969,10,1,1,112,9.4344
1969,10,1,2,53,3.2266
1969,10,1,3,58,8.9695
1969,10,1,4,54,9.8921
1969,10,1,5,108,11.8480
1969,10,2,1,46,8.1255
1969,10,2,2,37,8.8539
1969,10,2,3,45,6.5003
1969,10,2,4,46,5.9807
1969,10,2,5,57,9.6617
1969,10,3,1,65,4.9999
1969,10,3,2,99,4.9519
1969,10,3,3,99,3.7299
1969,10,3,4,96,5.0502
1969,10,3,5,70,4.7791
1969,11,1,1,112,-7.4614
1969,11,1,2,53,-5.8591
1969,11,1,3,58,-7.1639
1969,11,1,4,54,-5.6534
1969,11,1,5,108,-7.1062
1969,11,2,1,46,-5.1459
1969,11,2,2,38,-4.4490
1969,11,2,3,45,-5.4824
1969,11,2,4,46,-5.2309
1969,11,2,5,57,-6.1448
1969,11,3,1,65,-4.2603
1969,11,3,2,99,-1.9078
1969,11,3,3,99,-1.6398
1969,11,3,4,96,-4.3207
1969,11,3,5,71,-3.4275
1969,12,1,1,112,-7.7750
1969,12,1,2,53,-8.8195
1969,12,1,3,58,-5.2066
1969,12,1,4,54,-3.8840
1969,12,1,5,108,-7.7979
1969,12,2,1,46,-5.4592
1969,12,2,2,38,-4.9568
1969,12,2,3,45,-4.4612
1969,12,2,4,46,-4.0745
1969,12,2,5,57,-5.2701
1969,12,3,1,65,-2.6569
1969,12,3,2,99,-1.2011
1969,12,3,3,99,-1.9326
1969,12,3,4,96,-0.3280
1969,12,3,5,71,-3.4902
1970,1,1,1,112,-0.7104
1970,1,1,2,53,-2.3554
1970,1,1,3,58,-4.1797
1970,1,1,4,54,-4.9702
1970,1,1,5,108,-5.5810
1970,1,2,1,46,-5.7878
1970,1,2,2,38,-6.4646
1970,1,2,3,45,-5.7522
1970,1,2,4,46,-3.4619
1970,1,2,5,57,-7.2440
1970,1,3,1,65,-7.4436
1970,1,3,2,99,-7.9188
1970,1,3,3,99,-8.0779
1970,1,3,4,96,-8.1025
1970,1,3,5,71,-8.8920
1970,2,1,1,112,2.5832
1970,2,1,2,52,3.2976
1970,2,1,3,58,3.4111
1970,2,1,4,54,4.0730
1970,2,1,5,108,2.7692
1970,2,2,1,46,3.0215
1970,2,2,2,38,5.3126
1970,2,2,3,45,5.8859
1970,2,2,4,45,2.1005
1970,2,2,5,57,5.4837
1970,2,3,1,65,5.8622
1970,2,3,2,99,4.4183
1970,2,3,3,98,7.5180
1970,2,3,4,96,5.0432
1970,2,3,5,71,6.1025
1970,3,1,1,112,-1.6781
1970,3,1,2,52,-0.3840
1970,3,1,3,58,-1.9866
1970,3,1,4,54,-3.6758
1970,3,1,5,108,-3.5943
1970,3,2,1,46,-0.3420
1970,3,2,2,37,1.1291
1970,3,2,3,45,-2.5839
1970,3,2,4,46,-0.5091
