year,month,rank_ME,rank_dFNL,nstocks,ret_vw
1969,1,1,4,65,-3.7063
1969,1,1,5,100,-0.3057
1969,1,2,1,64,-3.2983
1969,1,2,2,61,-1.0209
1969,1,2,3,43,0.0158
1969,1,2,4,59,-0.9009
1969,1,2,5,64,-0.6200
1969,1,3,1,68,0.4730
1969,1,3,2,108,-1.0822
1969,1,3,3,112,0.1610
1969,1,3,4,102,-2.4478
1969,1,3,5,104,-1.7090
1969,2,1,1,227,-10.3573
1969,2,1,2,84,-9.8222
1969,2,1,3,73,-8.9147
1969,2,1,4,64,-8.6868
1969,2,1,5,100,-11.6069
1969,2,2,1,64,-8.0620
1969,2,2,2,61,-6.2291
1969,2,2,3,43,-6.9011
1969,2,2,4,59,-8.2745
1969,2,2,5,64,-9.9104
1969,2,3,1,68,-5.7283
1969,2,3,2,108,-3.5029
1969,2,3,3,112,-4.0890
1969,2,3,4,102,-4.5983
1969,2,3,5,104,-6.4249
1969,3,1,1,227,3.2645
1969,3,1,2,84,2.0439
1969,3,1,3,72,2.1746
1969,3,1,4,64,0.7212
1969,3,1,5,100,2.9644
1969,3,2,1,64,2.5588
1969,3,2,2,61,3.2139
1969,3,2,3,43,0.7738
1969,3,2,4,59,2.4458
1969,3,2,5,64,4.0618
1969,3,3,1,68,2.4203
1969,3,3,2,108,3.0756
1969,3,3,3,112,3.6436
1969,3,3,4,102,4.1237
1969,3,3,5,104,2.3984
1969,4,1,1,227,0.3757
1969,4,1,2,84,-0.3328
1969,4,1,3,72,-1.4189
1969,4,1,4,64,-2.7462
1969,4,1,5,100,-1.0034
1969,4,2,1,64,3.0096
1969,4,2,2,61,1.3188
1969,4,2,3,43,0.5246
1969,4,2,4,59,2.0416
1969,4,2,5,63,0.5636
1969,4,3,1,68,2.1868
1969,4,3,2,108,1.9376
1969,4,3,3,112,2.4271
1969,4,3,4,102,2.5110
1969,4,3,5,104,2.2563
1969,5,1,1,225,1.0957
1969,5,1,2,84,1.7543
1969,5,1,3,73,0.4556
1969,5,1,4,64,-0.0662
1969,5,1,5,100,-0.0671
1969,5,2,1,64,-0.3984
1969,5,2,2,60,2.7586
1969,5,2,3,43,-0.7036
1969,5,2,4,59,0.7746
1969,5,2,5,64,-1.7953
1969,5,3,1,67,-1.0636
1969,5,3,2,108,1.6043
1969,5,3,3,112,0.6280
1969,5,3,4,102,-0.2545
1969,5,3,5,103,-0.7401
1969,6,1,1,226,-13.6561
1969,6,1,2,84,-14.0364
1969,6,1,3,73,-11.6290
1969,6,1,4,64,-13.1899
1969,6,1,5,100,-15.4291
1969,6,2,1,64,-10.6980
1969,6,2,2,61,-8.8946
1969,6,2,3,43,-9.0930
1969,6,2,4,59,-11.0073
1969,6,2,5,64,-12.6664
1969,6,3,1,66,-6.7374
1969,6,3,2,107,-5.4959
1969,6,3,3,112,-6.5820
1969,6,3,4,102,-2.9517
1969,6,3,5,104,-7.6468
1969,7,1,1,211,-11.0451
1969,7,1,2,103,-10.3038
1969,7,1,3,69,-11.5943
1969,7,1,4,83,-10.6451
1969,7,1,5,144,-13.3736
1969,7,2,1,54,-9.0736
1969,7,2,2,59,-8.0928
1969,7,2,3,63,-7.2786
1969,7,2,4,47,-8.0169
1969,7,2,5,92,-11.3476
1969,7,3,1,97,-6.0627
1969,7,3,2,109,-5.7913
1969,7,3,3,109,-5.8143
1969,7,3,4,113,-5.3103
1969,7,3,5,87,-7.7720
1969,8,1,1,210,4.0768
1969,8,1,2,103,4.3661
1969,8,1,3,69,2.7910
1969,8,1,4,82,3.6735
1969,8,1,5,144,3.9925
1969,8,2,1,54,7.0447
1969,8,2,2,59,4.3274
1969,8,2,3,63,4.5976
1969,8,2,4,47,4.7947
1969,8,2,5,92,7.9714
1969,8,3,1,97,6.9768
1969,8,3,2,109,4.0933
1969,8,3,3,109,3.9271
1969,8,3,4,113,3.0798
1969,8,3,5,87,6.8913
1969,9,1,1,210,-3.3217
1969,9,1,2,103,0.8436
1969,9,1,3,69,-2.7942
1969,9,1,4,83,-4.5603
1969,9,1,5,144,-4.4066
1969,9,2,1,54,-0.6962
1969,9,2,2,58,0.7916
1969,9,2,3,63,-0.4084
1969,9,2,4,47,-2.5079
1969,9,2,5,91,-1.3522
1969,9,3,1,97,-1.5448
1969,9,3,2,109,-1.4677
1969,9,3,3,109,-3.3033
1969,9,3,4,113,-4.2792
1969,9,3,5,87,-2.7258
1969,10,1,1,210,10.9812
1969,10,1,2,103,9.8910
1969,10,1,3,69,10.4661
1969,10,1,4,83,9.1041
1969,10,1,5,144,11.3465
1969,10,2,1,54,7.7162
1969,10,2,2,57,9.6307
1969,10,2,3,63,6.3396
1969,10,2,4,47,6.5891
1969,10,2,5,91,8.8427
1969,10,3,1,97,4.7588
1969,10,3,2,109,4.5071
1969,10,3,3,109,4.4187
1969,10,3,4,113,6.0853
1969,10,3,5,86,6.3197
1969,11,1,1,210,-7.8374
1969,11,1,2,103,-6.1629
1969,11,1,3,69,-7.2877
1969,11,1,4,83,-3.2713
1969,11,1,5,144,-8.3872
1969,11,2,1,54,-5.5124
1969,11,2,2,58,-3.2976
1969,11,2,3,63,-3.8627
1969,11,2,4,47,-6.9756
1969,11,2,5,90,-5.2945
1969,11,3,1,97,-1.0596
1969,11,3,2,109,-3.1894
1969,11,3,3,109,-3.1277
1969,11,3,4,113,-4.5034
1969,11,3,5,87,-2.7929
1969,12,1,1,210,-9.3322
1969,12,1,2,103,-6.4581
1969,12,1,3,69,-7.1813
1969,12,1,4,83,-6.9855
1969,12,1,5,144,-7.5084
1969,12,2,1,54,-5.6697
1969,12,2,2,58,-2.2545
1969,12,2,3,63,-3.7467
1969,12,2,4,47,-5.4746
1969,12,2,5,89,-5.2043
1969,12,3,1,97,-0.6868
1969,12,3,2,109,-1.2928
1969,12,3,3,109,-1.0008
1969,12,3,4,113,-1.8152
1969,12,3,5,87,-2.7637
1970,1,1,1,210,-2.7183
1970,1,1,2,103,-2.7362
1970,1,1,3,69,-2.5918
1970,1,1,4,83,-2.0043
1970,1,1,5,144,-5.3826
1970,1,2,1,54,-7.0611
1970,1,2,2,58,-4.1986
1970,1,2,3,63,-3.5559
