year,month,rank_ME,rank_dNOA,nstocks,ret_vw
1968,7,3,3,93,-0.1393
1968,7,3,4,87,-2.7697
1968,7,3,5,88,-5.5831
1968,8,1,1,161,5.8735
1968,8,1,2,68,3.7761
1968,8,1,3,50,6.1216
1968,8,1,4,47,3.6846
1968,8,1,5,77,2.0582
1968,8,2,1,49,6.1178
1968,8,2,2,40,2.7898
1968,8,2,3,35,4.6128
1968,8,2,4,37,5.7461
1968,8,2,5,47,3.0190
1968,8,3,1,50,3.3423
1968,8,3,2,75,1.2668
1968,8,3,3,93,1.1028
1968,8,3,4,87,1.2113
1968,8,3,5,88,3.0064
1968,9,1,1,161,7.4473
1968,9,1,2,68,4.7745
1968,9,1,3,50,5.7164
1968,9,1,4,47,6.9981
1968,9,1,5,77,10.0773
1968,9,2,1,49,6.7356
1968,9,2,2,40,6.2914
1968,9,2,3,35,7.0256
1968,9,2,4,37,7.1285
1968,9,2,5,47,7.4264
1968,9,3,1,50,6.7806
1968,9,3,2,75,5.6025
1968,9,3,3,93,2.7007
1968,9,3,4,87,5.0535
1968,9,3,5,88,3.4123
1968,10,1,1,161,0.1181
1968,10,1,2,68,1.0321
1968,10,1,3,50,0.9479
1968,10,1,4,47,0.4753
1968,10,1,5,77,-0.8776
1968,10,2,1,49,-0.5155
1968,10,2,2,39,2.2117
1968,10,2,3,35,1.5907
1968,10,2,4,37,-0.1298
1968,10,2,5,47,1.4038
1968,10,3,1,50,2.1997
1968,10,3,2,75,2.0021
1968,10,3,3,93,0.0754
1968,10,3,4,87,1.8069
1968,10,3,5,88,-0.5748
1968,11,1,1,161,7.5968
1968,11,1,2,68,7.7035
1968,11,1,3,50,8.3225
1968,11,1,4,47,6.6440
1968,11,1,5,77,6.8007
1968,11,2,1,49,7.5641
1968,11,2,2,40,5.1286
1968,11,2,3,35,10.7973
1968,11,2,4,37,9.5378
1968,11,2,5,47,8.6329
1968,11,3,1,50,4.0588
1968,11,3,2,75,3.1142
1968,11,3,3,93,5.7918
1968,11,3,4,87,5.7532
1968,11,3,5,88,6.7995
1968,12,1,1,161,4.2335
1968,12,1,2,68,-0.5072
1968,12,1,3,50,-0.9176
1968,12,1,4,47,-0.1140
1968,12,1,5,77,3.0485
1968,12,2,1,49,-0.1951
1968,12,2,2,40,0.8342
1968,12,2,3,35,-1.2904
1968,12,2,4,37,-3.0614
1968,12,2,5,47,-1.2693
1968,12,3,1,50,-2.1746
1968,12,3,2,75,-3.8458
1968,12,3,3,93,-4.5644
1968,12,3,4,87,-4.0801
1968,12,3,5,88,-4.2796
1969,1,1,1,161,-0.7402
1969,1,1,2,68,-2.0575
1969,1,1,3,50,-3.6241
1969,1,1,4,47,-1.7265
1969,1,1,5,77,-0.0181
1969,1,2,1,49,-0.8203
1969,1,2,2,40,-1.8152
1969,1,2,3,35,-0.2606
1969,1,2,4,37,-2.3763
1969,1,2,5,47,-1.2504
1969,1,3,1,50,-0.5917
1969,1,3,2,75,-0.2278
1969,1,3,3,93,-1.4256
1969,1,3,4,87,-1.6987
1969,1,3,5,88,-1.2955
1969,2,1,1,160,-11.0052
1969,2,1,2,68,-7.3563
1969,2,1,3,50,-9.2487
1969,2,1,4,47,-11.2157
1969,2,1,5,77,-11.5322
1969,2,2,1,49,-8.4564
1969,2,2,2,40,-7.0874
1969,2,2,3,35,-9.1251
1969,2,2,4,37,-7.2756
1969,2,2,5,47,-11.2387
1969,2,3,1,50,-5.4009
1969,2,3,2,75,-3.7523
1969,2,3,3,93,-3.6951
1969,2,3,4,87,-4.3392
1969,2,3,5,88,-6.6656
1969,3,1,1,160,2.9269
1969,3,1,2,68,2.0553
1969,3,1,3,50,2.6882
1969,3,1,4,47,2.3990
1969,3,1,5,77,2.9341
1969,3,2,1,49,3.1659
1969,3,2,2,40,3.5257
1969,3,2,3,35,2.1860
1969,3,2,4,37,4.4035
1969,3,2,5,47,2.9955
1969,3,3,1,50,2.1330
1969,3,3,2,75,5.7353
1969,3,3,3,93,3.8081
1969,3,3,4,87,3.1913
1969,3,3,5,88,2.0597
1969,4,1,1,160,-0.3509
1969,4,1,2,68,1.5748
1969,4,1,3,50,-3.5718
1969,4,1,4,47,1.1187
1969,4,1,5,77,-0.6987
1969,4,2,1,49,3.6080
1969,4,2,2,40,2.6702
1969,4,2,3,35,1.4603
1969,4,2,4,37,0.9259
1969,4,2,5,46,0.3594
1969,4,3,1,50,1.5654
1969,4,3,2,75,1.8737
1969,4,3,3,93,2.7293
1969,4,3,4,87,1.4190
1969,4,3,5,88,3.1811
1969,5,1,1,158,1.3924
1969,5,1,2,68,1.0794
1969,5,1,3,50,-0.2025
1969,5,1,4,47,2.8364
1969,5,1,5,77,0.5930
1969,5,2,1,49,-0.2571
1969,5,2,2,39,1.7389
1969,5,2,3,35,-0.6727
1969,5,2,4,37,0.0674
1969,5,2,5,47,-0.0041
1969,5,3,1,50,0.7348
1969,5,3,2,74,0.5771
1969,5,3,3,93,0.7397
1969,5,3,4,87,-0.1814
1969,5,3,5,87,-0.9123
1969,6,1,1,159,-13.5895
1969,6,1,2,68,-12.8712
1969,6,1,3,50,-11.3193
1969,6,1,4,47,-15.0776
1969,6,1,5,77,-15.0630
1969,6,2,1,49,-11.8583
1969,6,2,2,40,-9.9424
1969,6,2,3,35,-10.4886
1969,6,2,4,37,-9.8880
1969,6,2,5,47,-12.3967
1969,6,3,1,50,-7.6059
1969,6,3,2,74,-6.1053
1969,6,3,3,92,-4.4123
1969,6,3,4,87,-6.5958
1969,6,3,5,88,-5.6028
1969,7,1,1,150,-10.7911
1969,7,1,2,71,-8.5924
1969,7,1,3,80,-10.9696
1969,7,1,4,99,-11.9630
