year,month,rank_ME,rank_dCOA,nstocks,ret_vw
1968,4,1,4,65,18.6001
1968,4,1,5,105,18.1559
1968,4,2,1,54,13.6390
1968,4,2,2,45,10.6858
1968,4,2,3,38,14.2700
1968,4,2,4,47,15.2446
1968,4,2,5,60,15.5845
1968,4,3,1,65,5.1284
1968,4,3,2,98,6.5542
1968,4,3,3,95,10.0357
1968,4,3,4,91,13.0633
1968,4,3,5,90,13.2175
1968,5,1,1,131,15.3665
1968,5,1,2,50,9.9640
1968,5,1,3,55,11.2221
1968,5,1,4,65,6.6046
1968,5,1,5,105,10.9785
1968,5,2,1,54,6.4196
1968,5,2,2,45,6.4116
1968,5,2,3,38,6.4890
1968,5,2,4,47,9.4616
1968,5,2,5,60,8.5747
1968,5,3,1,64,0.8821
1968,5,3,2,98,-0.0251
1968,5,3,3,95,3.2057
1968,5,3,4,91,1.7901
1968,5,3,5,90,3.6035
1968,6,1,1,131,-1.6443
1968,6,1,2,50,2.7771
1968,6,1,3,55,2.1224
1968,6,1,4,65,1.8060
1968,6,1,5,105,-0.7966
1968,6,2,1,54,1.1392
1968,6,2,2,45,2.2017
1968,6,2,3,37,0.5580
1968,6,2,4,47,-0.9193
1968,6,2,5,60,-2.3847
1968,6,3,1,64,3.2523
1968,6,3,2,98,1.1596
1968,6,3,3,95,-0.6249
1968,6,3,4,91,-0.0268
1968,6,3,5,90,-1.3375
1968,7,1,1,218,-2.0829
1968,7,1,2,75,-2.8628
1968,7,1,3,80,-4.3342
1968,7,1,4,91,-2.6151
1968,7,1,5,128,-5.4936
1968,7,2,1,58,-3.3112
1968,7,2,2,49,-3.0636
1968,7,2,3,52,-3.1859
1968,7,2,4,55,-2.8853
1968,7,2,5,64,-8.1001
1968,7,3,1,60,-0.8346
1968,7,3,2,100,-2.1984
1968,7,3,3,93,-0.0003
1968,7,3,4,96,-4.7939
1968,7,3,5,97,-6.1589
1968,8,1,1,218,5.4272
1968,8,1,2,75,5.8611
1968,8,1,3,80,3.9948
1968,8,1,4,91,2.7751
1968,8,1,5,128,4.2998
1968,8,2,1,58,5.5493
1968,8,2,2,48,3.8909
1968,8,2,3,52,4.0205
1968,8,2,4,55,5.3029
1968,8,2,5,64,3.5588
1968,8,3,1,59,1.9220
1968,8,3,2,100,2.1166
1968,8,3,3,93,0.7794
1968,8,3,4,96,2.1893
1968,8,3,5,97,2.0151
1968,9,1,1,217,7.9796
1968,9,1,2,75,7.2114
1968,9,1,3,80,9.1433
1968,9,1,4,91,5.3399
1968,9,1,5,128,7.5413
1968,9,2,1,58,5.5173
1968,9,2,2,48,8.4500
1968,9,2,3,52,7.9991
1968,9,2,4,55,7.4908
1968,9,2,5,64,6.7299
1968,9,3,1,59,7.5715
1968,9,3,2,100,5.2020
1968,9,3,3,93,2.9791
1968,9,3,4,96,4.0292
1968,9,3,5,97,3.7200
1968,10,1,1,217,1.6163
1968,10,1,2,75,-0.6733
1968,10,1,3,80,0.1021
1968,10,1,4,91,0.9387
1968,10,1,5,128,-0.5066
1968,10,2,1,58,1.3783
1968,10,2,2,47,1.8740
1968,10,2,3,52,0.7015
1968,10,2,4,55,-0.2708
1968,10,2,5,64,0.9640
1968,10,3,1,58,2.2513
1968,10,3,2,100,2.3563
1968,10,3,3,93,0.3108
1968,10,3,4,96,0.4345
1968,10,3,5,97,-1.6072
1968,11,1,1,215,6.8221
1968,11,1,2,75,5.8009
1968,11,1,3,80,7.3502
1968,11,1,4,91,7.7287
1968,11,1,5,128,7.2688
1968,11,2,1,58,7.1593
1968,11,2,2,48,7.1602
1968,11,2,3,52,9.6832
1968,11,2,4,55,9.2213
1968,11,2,5,64,7.7198
1968,11,3,1,58,4.3815
1968,11,3,2,100,3.6738
1968,11,3,3,93,5.7440
1968,11,3,4,96,6.7606
1968,11,3,5,97,6.4791
1968,12,1,1,216,4.3148
1968,12,1,2,75,0.7215
1968,12,1,3,80,-0.9823
1968,12,1,4,91,0.1571
1968,12,1,5,128,2.3767
1968,12,2,1,58,-0.8606
1968,12,2,2,48,0.5610
1968,12,2,3,52,-2.2332
1968,12,2,4,55,-2.2020
1968,12,2,5,64,-1.4849
1968,12,3,1,58,-0.4776
1968,12,3,2,100,-4.2467
1968,12,3,3,93,-4.3925
1968,12,3,4,96,-4.6088
1968,12,3,5,97,-4.1989
1969,1,1,1,216,-1.7147
1969,1,1,2,75,-1.4664
1969,1,1,3,80,0.2705
1969,1,1,4,91,-0.9120
1969,1,1,5,128,-1.1915
1969,1,2,1,58,-2.1707
1969,1,2,2,48,0.3269
1969,1,2,3,52,-0.0843
1969,1,2,4,55,-2.8935
1969,1,2,5,64,-2.4203
1969,1,3,1,58,-0.3136
1969,1,3,2,100,-0.2262
1969,1,3,3,93,-1.6082
1969,1,3,4,95,-0.6834
1969,1,3,5,97,-3.0171
1969,2,1,1,215,-10.7924
1969,2,1,2,75,-7.9320
1969,2,1,3,79,-10.4163
1969,2,1,4,91,-8.6039
1969,2,1,5,128,-11.2273
1969,2,2,1,58,-8.1440
1969,2,2,2,48,-7.9338
1969,2,2,3,52,-8.1846
1969,2,2,4,55,-7.8713
1969,2,2,5,64,-9.7609
1969,2,3,1,58,-6.0948
1969,2,3,2,100,-4.3119
1969,2,3,3,93,-3.4731
1969,2,3,4,95,-4.9878
1969,2,3,5,97,-6.0063
1969,3,1,1,214,3.4641
1969,3,1,2,75,1.4798
1969,3,1,3,79,1.9444
1969,3,1,4,91,1.2186
1969,3,1,5,128,3.4792
1969,3,2,1,58,5.1358
1969,3,2,2,48,2.7844
1969,3,2,3,52,2.0774
1969,3,2,4,55,4.4523
1969,3,2,5,64,0.5112
1969,3,3,1,58,2.5249
1969,3,3,2,100,2.5454
1969,3,3,3,93,5.8813
1969,3,3,4,95,3.1287
1969,3,3,5,97,1.4894
1969,4,1,1,214,-0.4460
1969,4,1,2,75,-1.1622
1969,4,1,3,79,1.1580
1969,4,1,4,91,-0.7377
1969,4,1,5,128,-1.3661
1969,4,2,1,58,3.7755
1969,4,2,2,48,2.0222
1969,4,2,3,52,2.2529
1969,4,2,4,54,0.3539
1969,4,2,5,64,0.2632
1969,4,3,1,58,1.6398
1969,4,3,2,100,2.4778
1969,4,3,3,93,1.8641
1969,4,3,4,95,2.0917
1969,4,3,5,97,3.8660
1969,5,1,1,214,2.9601
1969,5,1,2,75,2.6513
1969,5,1,3,78,-1.1488
1969,5,1,4,91,0.3996
1969,5,1,5,128,-0.6229
1969,5,2,1,58,0.1565
1969,5,2,2,47,0.8397
1969,5,2,3,52,0.7459
1969,5,2,4,55,-0.1014
1969,5,2,5,64,-0.0465
1969,5,3,1,58,-1.9837
1969,5,3,2,100,1.3046
1969,5,3,3,92,1.0581
1969,5,3,4,95,-0.1116
1969,5,3,5,96,-1.8630
1969,6,1,1,215,-14.7118
1969,6,1,2,75,-12.9047
1969,6,1,3,78,-13.2259
1969,6,1,4,91,-11.5611
1969,6,1,5,128,-14.5707
1969,6,2,1,58,-12.5496
1969,6,2,2,48,-12.3151
1969,6,2,3,52,-10.2974
1969,6,2,4,55,-8.4307
1969,6,2,5,64,-11.6212
1969,6,3,1,57,-8.8380
1969,6,3,2,99,-5.9987
1969,6,3,3,92,-4.8903
1969,6,3,4,95,-5.4917
1969,6,3,5,97,-5.3020
1969,7,1,1,191,-11.5597
1969,7,1,2,69,-8.7598
1969,7,1,3,89,-10.0062
1969,7,1,4,118,-10.8283
1969,7,1,5,176,-13.6310
1969,7,2,1,45,-7.3675
1969,7,2,2,53,-8.6488
1969,7,2,3,52,-10.0058
1969,7,2,4,61,-8.3435
1969,7,2,5,90,-11.8782
1969,7,3,1,83,-6.3542
