year,month,rank_ME,rank_OA,nstocks,ret_vw
1971,3,2,2,52,6.4106
1971,3,2,3,51,8.4220
1971,3,2,4,73,6.1544
1971,3,2,5,65,7.3163
1971,3,3,1,95,3.6824
1971,3,3,2,99,3.9279
1971,3,3,3,100,4.7765
1971,3,3,4,73,4.8826
1971,3,3,5,78,5.5302
1971,4,1,1,135,1.6352
1971,4,1,2,89,0.9053
1971,4,1,3,88,3.9837
1971,4,1,4,103,2.3181
1971,4,1,5,198,2.9796
1971,4,2,1,54,4.7846
1971,4,2,2,52,5.7947
1971,4,2,3,51,3.0993
1971,4,2,4,73,6.1377
1971,4,2,5,64,1.5768
1971,4,3,1,95,3.5141
1971,4,3,2,99,4.1593
1971,4,3,3,100,5.1126
1971,4,3,4,73,5.4580
1971,4,3,5,78,5.3938
1971,5,1,1,135,-6.1204
1971,5,1,2,89,-5.7783
1971,5,1,3,88,-5.8618
1971,5,1,4,103,-6.0274
1971,5,1,5,198,-6.7756
1971,5,2,1,54,-5.1374
1971,5,2,2,52,-1.5011
1971,5,2,3,51,-5.0255
1971,5,2,4,73,-4.4342
1971,5,2,5,65,-5.6848
1971,5,3,1,95,-4.9138
1971,5,3,2,99,-3.1837
1971,5,3,3,100,-2.7059
1971,5,3,4,73,-1.8757
1971,5,3,5,78,-2.4303
1971,6,1,1,135,-3.7391
1971,6,1,2,89,-1.5550
1971,6,1,3,88,-0.9126
1971,6,1,4,103,-2.2454
1971,6,1,5,198,-2.6568
1971,6,2,1,54,0.9308
1971,6,2,2,52,-3.0549
1971,6,2,3,51,-0.5934
1971,6,2,4,72,-2.1488
1971,6,2,5,65,-0.3183
1971,6,3,1,95,-0.3669
1971,6,3,2,99,-0.3873
1971,6,3,3,100,1.1409
1971,6,3,4,73,1.1380
1971,6,3,5,78,1.4075
1971,7,1,1,208,-7.2017
1971,7,1,2,105,-6.1803
1971,7,1,3,101,-6.5982
1971,7,1,4,115,-5.3063
1971,7,1,5,183,-7.6742
1971,7,2,1,71,-3.6936
1971,7,2,2,57,-3.9576
1971,7,2,3,54,-4.5150
1971,7,2,4,58,-6.8446
1971,7,2,5,76,-5.0256
1971,7,3,1,78,-4.5208
1971,7,3,2,103,-3.6214
1971,7,3,3,100,-5.0267
1971,7,3,4,107,-3.3125
1971,7,3,5,101,-4.9901
1971,8,1,1,208,2.9975
1971,8,1,2,105,4.4774
1971,8,1,3,101,5.8283
1971,8,1,4,115,6.3417
1971,8,1,5,183,3.5824
1971,8,2,1,71,4.7563
1971,8,2,2,57,4.6113
1971,8,2,3,54,4.1270
1971,8,2,4,58,7.2431
1971,8,2,5,76,4.2896
1971,8,3,1,78,5.1782
1971,8,3,2,103,2.1307
1971,8,3,3,100,6.1691
1971,8,3,4,107,5.2871
1971,8,3,5,100,4.3964
1971,9,1,1,208,0.2721
1971,9,1,2,105,-1.6166
1971,9,1,3,101,-0.4091
1971,9,1,4,115,-0.0331
1971,9,1,5,183,-0.5167
