year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1968,9,3,4,93,3.3470
1968,9,3,5,104,3.6021
1968,10,1,1,227,0.9553
1968,10,1,2,101,0.6850
1968,10,1,3,80,1.5759
1968,10,1,4,88,0.0420
1968,10,1,5,90,-0.8510
1968,10,2,1,58,0.3800
1968,10,2,2,54,1.6073
1968,10,2,3,44,0.0449
1968,10,2,4,61,0.7197
1968,10,2,5,58,1.5927
1968,10,3,1,46,1.9166
1968,10,3,2,95,1.2650
1968,10,3,3,106,3.0215
1968,10,3,4,93,-1.9315
1968,10,3,5,104,-0.4887
1968,11,1,1,225,7.1684
1968,11,1,2,101,8.1662
1968,11,1,3,80,6.8703
1968,11,1,4,88,5.5329
1968,11,1,5,90,6.8713
1968,11,2,1,58,8.5512
1968,11,2,2,54,8.3490
1968,11,2,3,45,7.0136
1968,11,2,4,61,7.4570
1968,11,2,5,58,9.5059
1968,11,3,1,46,4.8297
1968,11,3,2,95,2.9737
1968,11,3,3,106,5.3856
1968,11,3,4,93,6.0416
1968,11,3,5,104,6.9049
1968,12,1,1,226,3.1498
1968,12,1,2,101,0.0254
1968,12,1,3,80,0.1187
1968,12,1,4,88,4.1606
1968,12,1,5,90,0.4548
1968,12,2,1,58,0.0867
1968,12,2,2,54,0.0091
1968,12,2,3,45,-1.3675
1968,12,2,4,61,-2.6080
1968,12,2,5,58,-2.3927
1968,12,3,1,46,-0.5094
1968,12,3,2,95,-3.1468
1968,12,3,3,106,-4.6536
1968,12,3,4,93,-4.2084
1968,12,3,5,104,-4.8682
1969,1,1,1,226,-0.5337
1969,1,1,2,101,-1.6771
1969,1,1,3,80,-2.2981
1969,1,1,4,88,-1.5621
1969,1,1,5,90,-0.8693
1969,1,2,1,58,-1.4700
1969,1,2,2,54,-2.2262
1969,1,2,3,45,-0.5446
1969,1,2,4,61,-2.2091
1969,1,2,5,58,-0.9707
1969,1,3,1,46,-0.1418
1969,1,3,2,95,-0.7044
1969,1,3,3,105,-0.4432
1969,1,3,4,93,-2.5343
1969,1,3,5,104,-1.6990
1969,2,1,1,225,-10.7940
1969,2,1,2,101,-9.0358
1969,2,1,3,79,-9.1216
1969,2,1,4,88,-10.4510
1969,2,1,5,90,-10.2325
1969,2,2,1,58,-8.9726
1969,2,2,2,54,-7.7293
1969,2,2,3,45,-7.0172
1969,2,2,4,61,-7.9672
1969,2,2,5,58,-10.1157
1969,2,3,1,46,-6.8912
1969,2,3,2,95,-3.8168
1969,2,3,3,105,-4.2166
1969,2,3,4,93,-4.0017
1969,2,3,5,104,-5.5112
1969,3,1,1,225,2.8111
1969,3,1,2,100,4.0705
1969,3,1,3,79,0.0127
1969,3,1,4,88,3.9998
1969,3,1,5,90,1.8582
1969,3,2,1,58,3.9599
1969,3,2,2,54,3.1403
1969,3,2,3,45,2.0692
1969,3,2,4,61,2.8533
1969,3,2,5,58,2.6495
1969,3,3,1,46,2.0022
1969,3,3,2,95,4.8853
1969,3,3,3,105,3.4990
1969,3,3,4,93,5.0895
1969,3,3,5,104,1.4706
1969,4,1,1,225,0.3315
1969,4,1,2,100,-2.5424
1969,4,1,3,79,-1.0299
1969,4,1,4,88,1.1549
1969,4,1,5,90,-2.1012
1969,4,2,1,58,4.9096
1969,4,2,2,54,0.2763
1969,4,2,3,45,2.1849
1969,4,2,4,61,0.5798
1969,4,2,5,57,0.5260
1969,4,3,1,46,2.5661
1969,4,3,2,95,1.7020
1969,4,3,3,105,2.6303
1969,4,3,4,93,1.6723
1969,4,3,5,104,3.2166
1969,5,1,1,224,1.0332
1969,5,1,2,101,3.5939
1969,5,1,3,79,-2.1405
1969,5,1,4,87,2.6292
1969,5,1,5,90,0.0259
1969,5,2,1,58,1.4383
1969,5,2,2,53,0.0817
1969,5,2,3,45,0.8909
1969,5,2,4,61,0.3021
1969,5,2,5,58,-1.1922
1969,5,3,1,46,-1.1252
1969,5,3,2,95,0.8759
1969,5,3,3,104,1.4973
1969,5,3,4,93,-0.3941
1969,5,3,5,103,-0.9993
1969,6,1,1,224,-14.3982
1969,6,1,2,101,-12.6534
1969,6,1,3,79,-12.1096
1969,6,1,4,88,-14.3659
1969,6,1,5,90,-13.9576
1969,6,2,1,58,-11.5170
1969,6,2,2,54,-10.4548
1969,6,2,3,45,-10.6878
1969,6,2,4,61,-10.5220
1969,6,2,5,58,-11.8355
1969,6,3,1,45,-9.8708
1969,6,3,2,95,-6.0769
1969,6,3,3,103,-6.7182
1969,6,3,4,93,-3.1177
1969,6,3,5,104,-5.0488
1969,7,1,1,196,-10.2475
1969,7,1,2,111,-10.7810
1969,7,1,3,91,-11.5845
1969,7,1,4,99,-11.7478
1969,7,1,5,145,-13.2709
1969,7,2,1,57,-8.2337
1969,7,2,2,58,-7.5802
1969,7,2,3,38,-8.5580
1969,7,2,4,61,-9.7754
1969,7,2,5,87,-12.1404
1969,7,3,1,73,-7.0742
1969,7,3,2,97,-5.7029
1969,7,3,3,115,-6.2612
1969,7,3,4,92,-5.3507
1969,7,3,5,86,-7.8108
1969,8,1,1,195,3.1394
1969,8,1,2,110,4.6341
1969,8,1,3,91,3.7731
1969,8,1,4,99,3.6661
1969,8,1,5,145,4.5205
1969,8,2,1,57,6.9037
1969,8,2,2,58,5.8088
1969,8,2,3,38,5.6783
1969,8,2,4,61,4.0987
1969,8,2,5,87,9.1324
1969,8,3,1,73,5.5687
1969,8,3,2,97,6.2426
1969,8,3,3,115,3.8735
1969,8,3,4,92,4.9787
1969,8,3,5,86,7.9565
1969,9,1,1,195,-1.9008
1969,9,1,2,111,-3.1790
1969,9,1,3,91,-3.6914
1969,9,1,4,99,-2.7759
1969,9,1,5,145,-4.1642
1969,9,2,1,56,2.9291
1969,9,2,2,57,-0.0124
1969,9,2,3,38,-0.4200
1969,9,2,4,61,-1.6818
1969,9,2,5,87,-0.9599
1969,9,3,1,73,-0.3987
1969,9,3,2,97,-1.7083
1969,9,3,3,115,-3.8641
1969,9,3,4,92,-1.9775
1969,9,3,5,86,-2.7293
1969,10,1,1,195,8.6596
1969,10,1,2,111,9.6825
1969,10,1,3,91,11.8354
1969,10,1,4,99,9.2970
1969,10,1,5,145,13.1712
1969,10,2,1,56,8.2601
1969,10,2,2,57,7.9011
1969,10,2,3,37,8.8213
1969,10,2,4,61,6.6285
1969,10,2,5,87,9.2875
1969,10,3,1,73,5.3938
1969,10,3,2,97,4.2299
1969,10,3,3,114,4.2560
1969,10,3,4,92,5.0409
1969,10,3,5,86,6.2275
1969,11,1,1,195,-6.9689
1969,11,1,2,111,-6.9357
1969,11,1,3,91,-5.3866
1969,11,1,4,99,-3.9331
1969,11,1,5,144,-9.9655
1969,11,2,1,56,-3.1723
1969,11,2,2,56,-2.9924
1969,11,2,3,38,-5.6119
