year,month,rank_ME,rank_IG,nstocks,ret_vw
1969,2,1,2,45,-8.0534
1969,2,1,3,55,-8.3791
1969,2,1,4,49,-8.9102
1969,2,1,5,113,-9.3570
1969,2,2,1,50,-9.9494
1969,2,2,2,50,-7.4584
1969,2,2,3,45,-6.9602
1969,2,2,4,43,-7.4767
1969,2,2,5,54,-8.1537
1969,2,3,1,59,-6.2529
1969,2,3,2,93,-3.5723
1969,2,3,3,102,-4.7136
1969,2,3,4,103,-3.9525
1969,2,3,5,76,-6.1805
1969,3,1,1,126,3.5346
1969,3,1,2,44,1.7561
1969,3,1,3,55,3.0576
1969,3,1,4,49,0.5325
1969,3,1,5,113,2.1577
1969,3,2,1,50,3.2390
1969,3,2,2,50,1.8894
1969,3,2,3,45,3.8757
1969,3,2,4,43,2.5460
1969,3,2,5,54,2.1252
1969,3,3,1,59,3.1267
1969,3,3,2,93,4.2224
1969,3,3,3,102,4.1606
1969,3,3,4,103,3.7866
1969,3,3,5,76,-0.5193
1969,4,1,1,126,-0.9886
1969,4,1,2,44,-1.1030
1969,4,1,3,55,-2.0359
1969,4,1,4,49,1.1886
1969,4,1,5,113,-1.2287
1969,4,2,1,50,2.4870
1969,4,2,2,50,1.7566
1969,4,2,3,45,0.7526
1969,4,2,4,43,0.0910
1969,4,2,5,53,-0.9457
1969,4,3,1,59,1.1991
1969,4,3,2,93,1.5434
1969,4,3,3,102,3.8774
1969,4,3,4,103,1.5138
1969,4,3,5,76,2.2990
1969,5,1,1,125,0.6737
1969,5,1,2,45,3.5870
1969,5,1,3,55,0.0910
1969,5,1,4,49,-1.6015
1969,5,1,5,113,0.3373
1969,5,2,1,50,-0.1703
1969,5,2,2,50,-0.5641
1969,5,2,3,45,0.1798
1969,5,2,4,42,-0.2603
1969,5,2,5,54,-0.6187
1969,5,3,1,59,1.4733
1969,5,3,2,93,-0.2873
1969,5,3,3,101,0.7243
1969,5,3,4,103,1.1936
1969,5,3,5,75,-2.9824
1969,6,1,1,125,-14.3558
1969,6,1,2,45,-13.6786
1969,6,1,3,55,-12.2852
1969,6,1,4,49,-14.0879
1969,6,1,5,113,-12.0109
1969,6,2,1,50,-12.2667
1969,6,2,2,50,-10.3027
1969,6,2,3,45,-11.4211
1969,6,2,4,43,-9.5835
1969,6,2,5,54,-10.2756
1969,6,3,1,58,-9.8365
1969,6,3,2,92,-3.6076
1969,6,3,3,101,-5.6025
1969,6,3,4,103,-5.8664
1969,6,3,5,76,-8.2096
1969,7,1,1,148,-10.9499
1969,7,1,2,69,-11.1176
1969,7,1,3,68,-11.9676
1969,7,1,4,74,-9.2421
1969,7,1,5,142,-11.4419
1969,7,2,1,54,-7.9506
1969,7,2,2,49,-9.6441
1969,7,2,3,40,-8.1540
1969,7,2,4,59,-11.0850
1969,7,2,5,73,-9.8257
1969,7,3,1,68,-7.7523
1969,7,3,2,103,-5.5373
1969,7,3,3,122,-5.7381
1969,7,3,4,97,-7.1507
1969,7,3,5,64,-7.0907
1969,8,1,1,148,3.9538
1969,8,1,2,69,3.8160
1969,8,1,3,68,4.4545
1969,8,1,4,74,5.0453
1969,8,1,5,142,3.3324
1969,8,2,1,54,5.3420
1969,8,2,2,49,5.0013
1969,8,2,3,40,6.1292
1969,8,2,4,59,6.0010
1969,8,2,5,73,8.4391
1969,8,3,1,68,6.8106
1969,8,3,2,103,4.5174
1969,8,3,3,122,5.2106
1969,8,3,4,97,5.7922
1969,8,3,5,64,6.4232
1969,9,1,1,148,-3.7894
1969,9,1,2,69,-3.8434
1969,9,1,3,68,0.3150
1969,9,1,4,74,-3.3410
1969,9,1,5,142,-3.9932
1969,9,2,1,53,-0.8510
1969,9,2,2,49,-0.4691
1969,9,2,3,40,-1.0309
1969,9,2,4,59,-0.3427
1969,9,2,5,73,0.4060
1969,9,3,1,68,0.2638
1969,9,3,2,103,-0.7019
1969,9,3,3,122,-4.0969
1969,9,3,4,97,-3.4036
1969,9,3,5,64,-1.9946
1969,10,1,1,148,10.1887
1969,10,1,2,69,10.3112
1969,10,1,3,68,8.4319
1969,10,1,4,74,8.9835
1969,10,1,5,142,11.1204
1969,10,2,1,52,8.1563
1969,10,2,2,49,8.1535
1969,10,2,3,40,4.4935
1969,10,2,4,59,7.3893
1969,10,2,5,73,9.8951
1969,10,3,1,67,7.4868
1969,10,3,2,103,4.2511
1969,10,3,3,122,3.8601
1969,10,3,4,97,6.4576
1969,10,3,5,64,4.4204
1969,11,1,1,147,-5.8807
1969,11,1,2,69,-6.8012
1969,11,1,3,68,-6.6565
1969,11,1,4,74,-5.2234
1969,11,1,5,142,-8.4746
1969,11,2,1,52,-4.5927
1969,11,2,2,49,-5.4811
1969,11,2,3,40,-5.1448
1969,11,2,4,59,-5.8282
1969,11,2,5,73,-5.5707
1969,11,3,1,68,-3.2177
1969,11,3,2,103,-2.3611
1969,11,3,3,122,-2.7560
1969,11,3,4,97,-3.4896
1969,11,3,5,64,-2.1952
1969,12,1,1,148,-7.7944
1969,12,1,2,69,-7.6533
1969,12,1,3,68,-10.5742
1969,12,1,4,74,-4.5102
1969,12,1,5,142,-8.0050
1969,12,2,1,52,-6.1524
1969,12,2,2,49,-3.7791
1969,12,2,3,40,-5.8831
1969,12,2,4,59,-4.3823
1969,12,2,5,73,-3.9913
1969,12,3,1,68,-1.0870
1969,12,3,2,103,-0.2571
1969,12,3,3,122,-2.2188
1969,12,3,4,97,-2.3083
1969,12,3,5,64,-2.9863
1970,1,1,1,148,-2.0086
1970,1,1,2,69,-2.3057
1970,1,1,3,68,-1.4504
1970,1,1,4,74,-4.2030
1970,1,1,5,142,-6.5665
1970,1,2,1,52,-7.0682
1970,1,2,2,49,-3.9842
1970,1,2,3,40,-3.9203
1970,1,2,4,59,-6.1555
1970,1,2,5,73,-7.2084
1970,1,3,1,68,-6.9274
1970,1,3,2,103,-7.9369
1970,1,3,3,122,-7.8951
1970,1,3,4,97,-9.2897
1970,1,3,5,64,-8.8963
1970,2,1,1,148,3.3325
1970,2,1,2,68,1.9219
1970,2,1,3,68,1.4694
1970,2,1,4,74,5.1097
1970,2,1,5,142,3.0200
1970,2,2,1,52,2.8578
1970,2,2,2,49,3.9249
1970,2,2,3,40,4.5496
1970,2,2,4,59,4.6680
1970,2,2,5,72,6.1411
1970,2,3,1,68,6.3006
1970,2,3,2,103,4.3164
1970,2,3,3,122,6.3070
1970,2,3,4,96,6.5388
1970,2,3,5,64,5.7481
1970,3,1,1,148,-2.2526
1970,3,1,2,68,-2.4992
1970,3,1,3,68,-2.1430
1970,3,1,4,74,-3.9891
1970,3,1,5,142,-3.9704
