year,month,rank_ME,rank_PDA,nstocks,ret_vw
1968,7,2,2,43,-2.5164
1968,7,2,3,35,-1.7494
1968,7,2,4,52,-4.0700
1968,7,2,5,51,-6.0621
1968,7,3,1,59,-3.9720
1968,7,3,2,90,-2.8686
1968,7,3,3,106,0.1487
1968,7,3,4,84,-1.5144
1968,7,3,5,68,-7.1093
1968,8,1,1,146,4.1608
1968,8,1,2,71,6.1394
1968,8,1,3,54,6.8708
1968,8,1,4,60,4.2171
1968,8,1,5,112,2.7823
1968,8,2,1,45,4.7874
1968,8,2,2,43,7.1310
1968,8,2,3,35,4.7766
1968,8,2,4,52,4.2682
1968,8,2,5,51,2.6209
1968,8,3,1,59,0.9158
1968,8,3,2,89,2.1264
1968,8,3,3,106,2.0033
1968,8,3,4,84,1.6902
1968,8,3,5,68,0.8435
1968,9,1,1,146,8.0640
1968,9,1,2,71,6.9316
1968,9,1,3,54,7.2762
1968,9,1,4,60,5.7421
1968,9,1,5,112,7.4145
1968,9,2,1,45,7.4141
1968,9,2,2,43,6.4381
1968,9,2,3,35,9.2920
1968,9,2,4,52,5.3383
1968,9,2,5,51,8.7405
1968,9,3,1,59,3.2043
1968,9,3,2,89,5.0721
1968,9,3,3,106,3.0539
1968,9,3,4,84,5.7706
1968,9,3,5,68,5.5768
1968,10,1,1,146,-0.2971
1968,10,1,2,71,1.2159
1968,10,1,3,54,-2.9730
1968,10,1,4,60,0.4450
1968,10,1,5,112,0.3052
1968,10,2,1,44,0.7752
1968,10,2,2,43,1.6690
1968,10,2,3,35,1.8247
1968,10,2,4,52,1.2883
1968,10,2,5,51,0.1187
1968,10,3,1,59,-2.2482
1968,10,3,2,89,3.6379
1968,10,3,3,106,1.3608
1968,10,3,4,84,0.3851
1968,10,3,5,68,1.1277
1968,11,1,1,146,7.9634
1968,11,1,2,71,7.1320
1968,11,1,3,54,8.6997
1968,11,1,4,60,5.3015
1968,11,1,5,112,7.0819
1968,11,2,1,45,6.2080
1968,11,2,2,43,7.6043
1968,11,2,3,35,8.6884
1968,11,2,4,52,9.3930
1968,11,2,5,51,9.3035
1968,11,3,1,59,6.0608
1968,11,3,2,89,3.7081
