year,month,rank_ME,rank_IA,nstocks,ret_vw
1968,5,1,1,138,12.3974
1968,5,1,2,58,14.1958
1968,5,1,3,52,9.0603
1968,5,1,4,72,9.0709
1968,5,1,5,94,10.8388
1968,5,2,1,56,6.3398
1968,5,2,2,53,4.5071
1968,5,2,3,48,5.5247
1968,5,2,4,38,12.3513
1968,5,2,5,67,8.7699
1968,5,3,1,75,0.9429
1968,5,3,2,108,-0.2321
1968,5,3,3,110,-0.1123
1968,5,3,4,118,2.9813
1968,5,3,5,105,4.0996
1968,6,1,1,138,-0.3886
1968,6,1,2,58,2.7441
1968,6,1,3,52,0.6835
1968,6,1,4,72,-0.3326
1968,6,1,5,94,0.3967
1968,6,2,1,56,0.9618
1968,6,2,2,52,3.1819
1968,6,2,3,48,1.5119
1968,6,2,4,38,-2.1006
1968,6,2,5,67,-1.5470
1968,6,3,1,75,1.6129
1968,6,3,2,108,2.9729
1968,6,3,3,110,1.6622
1968,6,3,4,118,-0.2540
1968,6,3,5,105,-0.2891
1968,7,1,1,233,-1.4712
1968,7,1,2,97,-3.3667
1968,7,1,3,79,-4.8270
1968,7,1,4,66,-4.1595
1968,7,1,5,125,-4.6483
1968,7,2,1,64,-2.2532
1968,7,2,2,53,-0.6019
1968,7,2,3,54,-3.9907
1968,7,2,4,61,-3.9383
1968,7,2,5,73,-6.8625
1968,7,3,1,65,-1.3091
1968,7,3,2,108,-1.7907
1968,7,3,3,113,-0.4520
1968,7,3,4,117,-2.6002
1968,7,3,5,113,-3.9604
1968,8,1,1,233,5.8623
1968,8,1,2,97,3.6968
1968,8,1,3,79,2.9455
1968,8,1,4,66,2.2990
1968,8,1,5,125,4.8753
1968,8,2,1,64,3.7904
1968,8,2,2,52,3.5045
1968,8,2,3,54,3.2700
1968,8,2,4,61,4.4145
1968,8,2,5,73,3.8865
1968,8,3,1,64,2.1213
1968,8,3,2,108,0.9869
1968,8,3,3,113,1.0908
1968,8,3,4,117,1.2142
1968,8,3,5,113,1.9717
1968,9,1,1,232,7.0898
1968,9,1,2,97,5.1790
1968,9,1,3,79,7.9545
1968,9,1,4,66,9.4486
1968,9,1,5,125,8.1399
1968,9,2,1,64,5.7800
1968,9,2,2,52,6.1116
1968,9,2,3,54,5.4292
1968,9,2,4,61,8.5032
1968,9,2,5,73,6.9058
1968,9,3,1,64,6.6930
1968,9,3,2,108,4.1205
1968,9,3,3,113,2.1947
1968,9,3,4,117,3.5038
1968,9,3,5,113,4.1023
1968,10,1,1,232,0.3654
1968,10,1,2,97,1.3821
1968,10,1,3,79,0.4317
1968,10,1,4,66,2.7009
1968,10,1,5,125,-0.7053
1968,10,2,1,64,1.3008
1968,10,2,2,52,0.9325
1968,10,2,3,53,0.5528
1968,10,2,4,61,1.9178
1968,10,2,5,73,0.4591
1968,10,3,1,64,3.5660
1968,10,3,2,107,1.3178
1968,10,3,3,113,1.9055
1968,10,3,4,117,-1.6154
1968,10,3,5,113,0.0371
1968,11,1,1,230,6.5606
1968,11,1,2,97,7.3801
1968,11,1,3,79,7.0073
1968,11,1,4,66,5.7201
1968,11,1,5,125,7.9045
1968,11,2,1,64,8.5566
1968,11,2,2,52,7.4291
1968,11,2,3,54,7.9477
1968,11,2,4,61,7.7768
1968,11,2,5,73,8.9082
1968,11,3,1,64,0.8697
1968,11,3,2,107,6.0337
1968,11,3,3,113,5.8798
1968,11,3,4,117,7.4552
1968,11,3,5,113,5.4901
1968,12,1,1,231,4.2446
1968,12,1,2,97,-1.7094
1968,12,1,3,79,-0.3972
1968,12,1,4,66,1.2190
1968,12,1,5,125,2.5932
1968,12,2,1,64,0.0957
1968,12,2,2,52,-0.4389
1968,12,2,3,54,-2.3189
1968,12,2,4,61,-1.9157
1968,12,2,5,73,-2.3842
1968,12,3,1,64,-2.2166
1968,12,3,2,107,-4.1527
1968,12,3,3,113,-4.1114
1968,12,3,4,117,-4.4118
1968,12,3,5,113,-4.4982
1969,1,1,1,231,-0.9549
1969,1,1,2,97,-0.9083
1969,1,1,3,79,-0.7248
1969,1,1,4,66,-1.6016
1969,1,1,5,125,-1.5744
1969,1,2,1,64,-1.4776
1969,1,2,2,52,-0.7071
1969,1,2,3,54,0.9776
1969,1,2,4,61,-1.8227
1969,1,2,5,73,-2.4584
1969,1,3,1,64,-1.0178
1969,1,3,2,107,0.3617
1969,1,3,3,112,0.6577
1969,1,3,4,117,-1.8975
1969,1,3,5,113,-2.5502
1969,2,1,1,230,-10.8973
1969,2,1,2,97,-7.4199
1969,2,1,3,78,-8.1558
1969,2,1,4,66,-9.7635
1969,2,1,5,125,-11.4924
1969,2,2,1,64,-8.7517
1969,2,2,2,52,-6.7106
1969,2,2,3,54,-7.4960
1969,2,2,4,61,-7.1090
1969,2,2,5,73,-9.4412
1969,2,3,1,64,-3.3656
1969,2,3,2,107,-4.9463
1969,2,3,3,112,-4.4186
1969,2,3,4,117,-4.1936
1969,2,3,5,113,-5.7093
1969,3,1,1,230,3.2654
1969,3,1,2,96,1.4732
1969,3,1,3,78,1.3749
1969,3,1,4,66,1.9548
1969,3,1,5,125,3.2069
1969,3,2,1,64,1.3022
1969,3,2,2,52,2.8901
1969,3,2,3,54,2.3252
1969,3,2,4,61,4.3876
1969,3,2,5,73,2.0245
1969,3,3,1,64,2.7619
1969,3,3,2,107,1.9502
1969,3,3,3,112,3.9742
1969,3,3,4,117,5.0676
1969,3,3,5,113,2.1323
1969,4,1,1,230,-0.1199
1969,4,1,2,96,-0.7704
1969,4,1,3,78,0.0794
1969,4,1,4,66,-2.6372
1969,4,1,5,125,-0.4851
1969,4,2,1,64,1.7233
1969,4,2,2,52,3.9451
1969,4,2,3,54,0.7677
1969,4,2,4,61,1.5551
1969,4,2,5,72,0.5402
1969,4,3,1,64,0.2131
1969,4,3,2,107,3.9016
1969,4,3,3,112,1.6045
1969,4,3,4,117,2.3157
1969,4,3,5,113,2.3142
1969,5,1,1,228,1.5480
1969,5,1,2,97,2.1906
1969,5,1,3,78,0.5888
1969,5,1,4,66,2.8481
1969,5,1,5,125,-0.7969
1969,5,2,1,64,0.5920
1969,5,2,2,51,2.1767
1969,5,2,3,54,-0.3913
1969,5,2,4,61,0.4263
1969,5,2,5,73,-0.9299
1969,5,3,1,63,-0.2435
1969,5,3,2,107,0.6560
1969,5,3,3,112,1.3337
1969,5,3,4,117,0.2644
1969,5,3,5,112,-0.8447
1969,6,1,1,229,-14.1185
1969,6,1,2,97,-11.9524
1969,6,1,3,78,-12.0679
1969,6,1,4,66,-14.7623
1969,6,1,5,125,-14.3688
1969,6,2,1,64,-11.7316
1969,6,2,2,52,-8.7914
1969,6,2,3,54,-9.5725
1969,6,2,4,61,-10.0308
1969,6,2,5,73,-11.9949
1969,6,3,1,62,-6.9747
1969,6,3,2,106,-5.7167
1969,6,3,3,112,-6.4392
1969,6,3,4,117,-3.2573
1969,6,3,5,113,-7.0423
1969,7,1,1,198,-10.4130
1969,7,1,2,86,-10.6298
1969,7,1,3,82,-10.1018
1969,7,1,4,108,-13.5581
1969,7,1,5,177,-12.0712
1969,7,2,1,59,-7.7905
1969,7,2,2,54,-6.9675
1969,7,2,3,50,-8.0707
1969,7,2,4,62,-7.6839
1969,7,2,5,103,-12.1879
1969,7,3,1,77,-5.6618
1969,7,3,2,125,-5.5107
1969,7,3,3,123,-6.7802
1969,7,3,4,115,-4.8428
1969,7,3,5,94,-7.5855
1969,8,1,1,197,2.6039
1969,8,1,2,85,4.1651
1969,8,1,3,82,2.6765
1969,8,1,4,108,5.0582
1969,8,1,5,177,4.7313
1969,8,2,1,59,4.6097
1969,8,2,2,54,4.1996
1969,8,2,3,50,4.8511
1969,8,2,4,62,4.3494
1969,8,2,5,103,9.2385
1969,8,3,1,77,3.9730
1969,8,3,2,125,2.3480
1969,8,3,3,123,5.2575
1969,8,3,4,115,5.6204
1969,8,3,5,94,8.1834
1969,9,1,1,197,-2.2224
1969,9,1,2,86,-4.6945
1969,9,1,3,82,-2.2093
1969,9,1,4,108,-3.0042
1969,9,1,5,177,-3.3741
1969,9,2,1,58,-0.2885
1969,9,2,2,54,-1.1170
1969,9,2,3,50,2.4179
1969,9,2,4,61,0.3552
1969,9,2,5,103,-2.2290
1969,9,3,1,77,-3.5686
1969,9,3,2,125,-2.6826
1969,9,3,3,123,-2.9135
1969,9,3,4,115,-1.8344
1969,9,3,5,94,-2.4986
1969,10,1,1,197,9.3302
1969,10,1,2,86,9.2142
1969,10,1,3,82,8.2224
1969,10,1,4,108,12.3843
1969,10,1,5,177,11.8342
1969,10,2,1,58,8.2913
1969,10,2,2,54,4.8039
1969,10,2,3,49,7.8657
1969,10,2,4,61,4.9441
1969,10,2,5,103,11.3233
1969,10,3,1,77,4.8888
1969,10,3,2,124,4.6361
1969,10,3,3,123,4.4989
1969,10,3,4,115,5.5819
1969,10,3,5,94,5.2359
1969,11,1,1,197,-6.9514
1969,11,1,2,86,-6.5423
1969,11,1,3,81,-4.2488
1969,11,1,4,108,-7.3018
1969,11,1,5,177,-7.5666
1969,11,2,1,58,-4.6216
1969,11,2,2,54,-3.4046
1969,11,2,3,50,-5.2553
1969,11,2,4,60,-3.3835
1969,11,2,5,103,-5.9923
1969,11,3,1,77,-4.6906
1969,11,3,2,125,-2.3485
1969,11,3,3,123,-4.4927
1969,11,3,4,115,-1.8844
1969,11,3,5,94,-2.1991
1969,12,1,1,197,-10.0271
1969,12,1,2,86,-7.1575
1969,12,1,3,82,-5.5530
1969,12,1,4,108,-5.6812
1969,12,1,5,177,-7.6946
1969,12,2,1,58,-6.2481
1969,12,2,2,54,-2.7260
1969,12,2,3,50,-2.7861
1969,12,2,4,60,-4.6875
1969,12,2,5,102,-5.1935
1969,12,3,1,77,-3.1654
1969,12,3,2,125,-3.0257
1969,12,3,3,123,-0.8584
1969,12,3,4,115,0.5629
1969,12,3,5,94,-2.7251
1970,1,1,1,197,0.3347
1970,1,1,2,86,-1.3427
1970,1,1,3,82,-1.5075
1970,1,1,4,108,-4.2536
1970,1,1,5,177,-6.8336
1970,1,2,1,58,-5.0003
1970,1,2,2,54,-3.7402
1970,1,2,3,50,-3.3553
1970,1,2,4,60,-4.1508
1970,1,2,5,103,-9.5150
1970,1,3,1,77,-7.1397
1970,1,3,2,125,-5.4560
1970,1,3,3,123,-8.2283
1970,1,3,4,115,-8.8017
1970,1,3,5,94,-11.0146
1970,2,1,1,196,3.3514
1970,2,1,2,86,3.0021
1970,2,1,3,82,3.6181
1970,2,1,4,108,1.8344
1970,2,1,5,177,3.1477
1970,2,2,1,58,6.3095
1970,2,2,2,54,5.1030
1970,2,2,3,50,3.6285
1970,2,2,4,60,3.6002
1970,2,2,5,102,4.7083
1970,2,3,1,77,7.0465
1970,2,3,2,125,7.0255
1970,2,3,3,123,7.1297
1970,2,3,4,114,3.6599
1970,2,3,5,94,4.8951
1970,3,1,1,196,-1.0775
1970,3,1,2,86,-1.6476
1970,3,1,3,82,-3.5694
1970,3,1,4,108,-5.1609
1970,3,1,5,177,-4.4891
1970,3,2,1,58,0.0286
1970,3,2,2,54,1.3363
1970,3,2,3,50,-0.2352
1970,3,2,4,61,-1.8933
1970,3,2,5,102,-4.9969
1970,3,3,1,77,0.9833
1970,3,3,2,125,1.9837
1970,3,3,3,123,0.2370
1970,3,3,4,115,-1.1898
1970,3,3,5,94,-2.6380
1970,4,1,1,196,-16.2635
1970,4,1,2,85,-16.4412
1970,4,1,3,81,-14.4787
1970,4,1,4,108,-18.1663
1970,4,1,5,177,-20.6388
1970,4,2,1,58,-12.5653
1970,4,2,2,54,-8.7258
1970,4,2,3,50,-11.8857
1970,4,2,4,61,-16.1562
1970,4,2,5,102,-20.8882
1970,4,3,1,77,-8.7607
1970,4,3,2,125,-7.3250
1970,4,3,3,123,-8.9537
1970,4,3,4,115,-10.2505
1970,4,3,5,94,-13.8855
1970,5,1,1,196,-8.7157
1970,5,1,2,85,-10.0785
1970,5,1,3,80,-7.4663
1970,5,1,4,108,-9.4179
1970,5,1,5,176,-9.4866
1970,5,2,1,58,-6.2782
1970,5,2,2,54,-8.8285
1970,5,2,3,50,-9.5452
1970,5,2,4,61,-9.1108
1970,5,2,5,102,-12.9922
1970,5,3,1,77,-4.5685
1970,5,3,2,125,-4.1559
1970,5,3,3,123,-4.6158
1970,5,3,4,115,-6.9538
1970,5,3,5,94,-9.6712
1970,6,1,1,194,-7.5731
1970,6,1,2,85,-7.3701
1970,6,1,3,80,-7.6979
1970,6,1,4,108,-8.4388
1970,6,1,5,175,-10.9056
1970,6,2,1,58,-6.5000
1970,6,2,2,53,-5.0374
1970,6,2,3,50,-4.2871
1970,6,2,4,60,-7.5852
1970,6,2,5,101,-9.3791
1970,6,3,1,77,-4.9751
1970,6,3,2,125,-4.3206
1970,6,3,3,123,-4.3442
1970,6,3,4,115,-5.3951
1970,6,3,5,94,-7.8187
1970,7,1,1,222,4.8525
1970,7,1,2,93,5.2642
1970,7,1,3,89,6.5084
1970,7,1,4,100,5.9655
1970,7,1,5,234,3.1784
1970,7,2,1,69,6.2622
1970,7,2,2,55,8.0078
1970,7,2,3,62,7.7001
1970,7,2,4,64,7.6335
1970,7,2,5,101,7.6803
1970,7,3,1,71,9.5264
1970,7,3,2,128,9.1827
1970,7,3,3,123,6.2860
1970,7,3,4,120,7.0026
1970,7,3,5,104,6.2244
1970,8,1,1,222,5.4453
1970,8,1,2,93,7.0255
1970,8,1,3,89,6.5487
1970,8,1,4,99,6.6740
1970,8,1,5,233,6.7435
1970,8,2,1,69,8.2121
1970,8,2,2,55,6.5259
1970,8,2,3,62,6.0606
1970,8,2,4,64,6.0922
1970,8,2,5,100,6.9736
1970,8,3,1,71,4.0293
1970,8,3,2,128,6.3674
1970,8,3,3,123,3.5333
1970,8,3,4,120,4.6240
1970,8,3,5,104,6.3515
1970,9,1,1,220,14.8055
1970,9,1,2,93,9.9155
1970,9,1,3,89,11.7374
1970,9,1,4,99,14.1269
1970,9,1,5,232,19.5647
1970,9,2,1,69,8.7547
1970,9,2,2,55,7.7398
1970,9,2,3,62,8.4107
1970,9,2,4,63,12.3872
1970,9,2,5,100,15.0811
1970,9,3,1,71,3.8976
1970,9,3,2,128,1.7288
1970,9,3,3,123,3.6267
1970,9,3,4,120,3.5171
1970,9,3,5,103,7.8360
1970,10,1,1,220,-6.5898
1970,10,1,2,93,-4.3014
1970,10,1,3,89,-5.3346
1970,10,1,4,99,-9.3174
1970,10,1,5,232,-10.6754
1970,10,2,1,69,-4.3855
1970,10,2,2,55,-5.3679
1970,10,2,3,61,-3.8722
1970,10,2,4,63,-5.0682
1970,10,2,5,100,-6.7483
1970,10,3,1,71,-1.5001
1970,10,3,2,128,-0.2657
1970,10,3,3,123,-0.9215
1970,10,3,4,120,-0.9548
1970,10,3,5,103,-2.4596
1970,11,1,1,219,-1.4095
1970,11,1,2,93,-0.1827
1970,11,1,3,88,-0.4633
1970,11,1,4,99,-0.0454
1970,11,1,5,231,-2.8859
1970,11,2,1,68,2.6902
1970,11,2,2,55,4.8779
1970,11,2,3,61,4.2968
1970,11,2,4,63,4.3054
1970,11,2,5,100,0.2948
1970,11,3,1,71,4.2675
1970,11,3,2,128,6.1311
1970,11,3,3,123,5.8901
1970,11,3,4,120,4.6474
1970,11,3,5,103,4.6496
1970,12,1,1,218,7.6770
1970,12,1,2,93,12.7340
1970,12,1,3,88,11.4233
1970,12,1,4,98,11.4220
1970,12,1,5,230,8.3423
1970,12,2,1,68,8.0627
1970,12,2,2,55,9.5766
1970,12,2,3,61,7.9360
1970,12,2,4,63,10.1777
1970,12,2,5,100,7.7803
1970,12,3,1,71,8.0043
1970,12,3,2,128,4.8723
1970,12,3,3,123,6.0341
1970,12,3,4,119,7.6648
1970,12,3,5,103,4.6469
1971,1,1,1,217,16.0737
1971,1,1,2,93,10.1357
1971,1,1,3,86,15.4915
1971,1,1,4,98,14.4846
1971,1,1,5,230,15.6094
1971,1,2,1,67,14.4204
1971,1,2,2,55,12.4850
1971,1,2,3,61,8.1330
1971,1,2,4,63,9.3979
1971,1,2,5,99,10.1444
1971,1,3,1,71,5.2572
1971,1,3,2,128,1.9464
1971,1,3,3,123,4.7976
1971,1,3,4,119,4.8250
1971,1,3,5,103,7.1274
1971,2,1,1,216,3.9084
1971,2,1,2,93,5.5503
1971,2,1,3,85,3.7373
1971,2,1,4,98,3.7843
1971,2,1,5,228,6.2530
1971,2,2,1,67,2.3930
1971,2,2,2,54,1.7103
1971,2,2,3,61,3.2861
1971,2,2,4,63,2.5390
1971,2,2,5,99,2.2691
1971,2,3,1,71,2.7625
1971,2,3,2,128,2.1891
1971,2,3,3,123,-0.3563
1971,2,3,4,118,3.6938
1971,2,3,5,103,1.7573
1971,3,1,1,216,7.6289
1971,3,1,2,93,5.4219
1971,3,1,3,85,6.5301
1971,3,1,4,98,6.5629
1971,3,1,5,227,5.7820
1971,3,2,1,67,5.3718
1971,3,2,2,54,3.7960
1971,3,2,3,61,7.3680
1971,3,2,4,63,5.7254
1971,3,2,5,99,8.1601
1971,3,3,1,70,3.4189
1971,3,3,2,128,2.6045
1971,3,3,3,123,3.8051
1971,3,3,4,118,4.8734
1971,3,3,5,102,6.6582
1971,4,1,1,214,1.3514
1971,4,1,2,93,2.1189
1971,4,1,3,85,3.5685
1971,4,1,4,98,2.8325
1971,4,1,5,227,2.3709
1971,4,2,1,66,6.4719
1971,4,2,2,54,4.2855
1971,4,2,3,61,5.5902
1971,4,2,4,62,2.3708
1971,4,2,5,98,3.0529
1971,4,3,1,70,4.5608
1971,4,3,2,128,4.6964
1971,4,3,3,123,1.9325
1971,4,3,4,118,3.5257
1971,4,3,5,102,5.1561
1971,5,1,1,210,-5.5031
1971,5,1,2,93,-5.5936
1971,5,1,3,85,-4.5399
1971,5,1,4,97,-6.8420
1971,5,1,5,227,-8.3862
1971,5,2,1,66,-2.7105
1971,5,2,2,54,-4.2487
1971,5,2,3,61,-4.3746
1971,5,2,4,62,-5.9615
1971,5,2,5,98,-5.0016
1971,5,3,1,70,-3.0217
1971,5,3,2,128,-4.0941
1971,5,3,3,123,-4.0246
1971,5,3,4,118,-2.5231
1971,5,3,5,102,-2.5847
1971,6,1,1,208,-3.2127
1971,6,1,2,92,-2.2152
1971,6,1,3,85,0.0208
1971,6,1,4,97,-2.4766
1971,6,1,5,224,-2.6865
1971,6,2,1,66,-3.0453
1971,6,2,2,54,0.3216
1971,6,2,3,61,0.2880
1971,6,2,4,62,0.0795
1971,6,2,5,97,-1.3469
1971,6,3,1,69,0.7576
1971,6,3,2,128,-0.4605
1971,6,3,3,123,-0.1787
1971,6,3,4,118,2.7297
1971,6,3,5,102,1.3271
1971,7,1,1,311,-6.5847
1971,7,1,2,126,-4.2688
1971,7,1,3,84,-5.9107
1971,7,1,4,91,-6.6536
1971,7,1,5,179,-8.6968
1971,7,2,1,87,-5.1493
1971,7,2,2,75,-4.1052
1971,7,2,3,46,-3.3940
1971,7,2,4,70,-4.5082
1971,7,2,5,95,-5.2522
1971,7,3,1,46,-4.6887
1971,7,3,2,112,-4.5791
1971,7,3,3,147,-2.0430
1971,7,3,4,135,-5.2788
1971,7,3,5,131,-5.1843
1971,8,1,1,310,5.0065
1971,8,1,2,126,3.8933
