year,month,rank_ME,rank_EP,nstocks,ret_vw
1969,3,1,3,97,1.5883
1969,3,1,4,73,-0.0974
1969,3,1,5,144,2.1311
1969,3,2,1,89,3.8791
1969,3,2,2,58,1.8757
1969,3,2,3,50,2.3160
1969,3,2,4,61,2.7652
1969,3,2,5,69,3.0273
1969,3,3,1,127,4.6312
1969,3,3,2,113,1.9342
1969,3,3,3,113,3.2821
1969,3,3,4,102,2.5466
1969,3,3,5,72,3.4773
1969,4,1,1,182,0.0170
1969,4,1,2,90,-1.2695
1969,4,1,3,97,-1.6819
1969,4,1,4,73,2.0307
1969,4,1,5,144,-0.8314
1969,4,2,1,88,2.0277
1969,4,2,2,58,1.4592
1969,4,2,3,50,0.7281
1969,4,2,4,61,1.7426
1969,4,2,5,69,1.3412
1969,4,3,1,127,4.0107
1969,4,3,2,113,1.6452
1969,4,3,3,113,0.9526
1969,4,3,4,102,2.0909
1969,4,3,5,72,0.0969
1969,5,1,1,181,2.6029
1969,5,1,2,90,-1.6318
1969,5,1,3,97,-0.3155
1969,5,1,4,73,-0.7714
1969,5,1,5,144,0.6451
1969,5,2,1,89,0.9338
1969,5,2,2,57,-2.0263
1969,5,2,3,50,0.2304
1969,5,2,4,61,0.6136
1969,5,2,5,69,1.6160
1969,5,3,1,127,-0.6598
1969,5,3,2,112,-0.9281
1969,5,3,3,113,0.9740
1969,5,3,4,102,1.3072
1969,5,3,5,71,2.3141
1969,6,1,1,182,-14.6673
1969,6,1,2,90,-14.6669
1969,6,1,3,97,-12.7160
1969,6,1,4,73,-10.7818
1969,6,1,5,144,-11.3757
1969,6,2,1,89,-12.1458
1969,6,2,2,58,-10.6948
1969,6,2,3,50,-12.0624
1969,6,2,4,61,-8.4735
1969,6,2,5,69,-9.4168
1969,6,3,1,127,-1.6531
1969,6,3,2,111,-7.6443
1969,6,3,3,113,-7.9219
1969,6,3,4,102,-6.3570
1969,6,3,5,71,-9.1287
1969,7,1,1,274,-12.6842
1969,7,1,2,113,-11.6394
1969,7,1,3,109,-10.6113
1969,7,1,4,89,-10.1820
1969,7,1,5,90,-8.5536
1969,7,2,1,103,-10.5932
1969,7,2,2,72,-9.2097
