year,month,rank_ME,rank_DP,nstocks,ret_vw
1968,11,1,5,61,4.0867
1968,11,2,1,81,7.4825
1968,11,2,2,66,8.8946
1968,11,2,3,64,7.0576
1968,11,2,4,56,7.6711
1968,11,2,5,60,7.0165
1968,11,3,1,121,7.4134
1968,11,3,2,107,5.3150
1968,11,3,3,91,4.7835
1968,11,3,4,106,6.8228
1968,11,3,5,113,3.5328
1968,12,1,1,133,1.8826
1968,12,1,2,109,-0.1391
1968,12,1,3,89,-0.2533
1968,12,1,4,79,0.9588
1968,12,1,5,61,1.2588
1968,12,2,1,81,-3.0485
1968,12,2,2,65,-0.9629
1968,12,2,3,62,-1.8752
1968,12,2,4,56,-1.1654
1968,12,2,5,60,1.0743
1968,12,3,1,121,-5.2489
1968,12,3,2,107,-3.9695
1968,12,3,3,91,-3.6550
1968,12,3,4,105,-2.4718
1968,12,3,5,113,-3.7017
1969,1,1,1,133,-2.1312
1969,1,1,2,109,-0.5936
1969,1,1,3,88,-0.9318
1969,1,1,4,78,-1.4544
1969,1,1,5,61,-0.3562
1969,1,2,1,80,-1.1491
1969,1,2,2,64,-1.5594
1969,1,2,3,62,-1.4152
1969,1,2,4,55,-0.7860
1969,1,2,5,59,1.1005
1969,1,3,1,121,-2.5782
1969,1,3,2,107,-0.8765
1969,1,3,3,91,-0.4257
1969,1,3,4,105,-0.7471
1969,1,3,5,112,1.0220
1969,2,1,1,131,-11.5300
1969,2,1,2,109,-8.8777
1969,2,1,3,87,-7.0507
1969,2,1,4,76,-5.7153
1969,2,1,5,61,-6.9530
1969,2,2,1,79,-8.6321
1969,2,2,2,63,-7.7965
1969,2,2,3,62,-7.3680
1969,2,2,4,53,-6.6540
1969,2,2,5,59,-5.4776
1969,2,3,1,121,-4.2661
1969,2,3,2,107,-4.6477
1969,2,3,3,91,-5.6189
1969,2,3,4,105,-5.3657
1969,2,3,5,112,-3.3814
1969,3,1,1,129,3.6289
1969,3,1,2,107,3.0857
1969,3,1,3,87,2.5990
1969,3,1,4,76,0.2433
1969,3,1,5,61,0.4907
1969,3,2,1,79,3.9249
1969,3,2,2,63,4.1342
1969,3,2,3,61,2.3283
1969,3,2,4,52,4.1396
1969,3,2,5,58,-1.3424
1969,3,3,1,121,4.2954
1969,3,3,2,107,2.7687
1969,3,3,3,91,2.5588
1969,3,3,4,105,5.1007
1969,3,3,5,112,1.7644
1969,4,1,1,127,-0.3034
1969,4,1,2,107,-0.0066
1969,4,1,3,87,-1.0483
1969,4,1,4,76,-0.3348
1969,4,1,5,61,-1.9516
1969,4,2,1,79,3.5108
1969,4,2,2,63,1.2351
1969,4,2,3,61,-0.6282
1969,4,2,4,51,0.8919
1969,4,2,5,58,-0.1379
1969,4,3,1,121,3.3590
1969,4,3,2,107,2.4797
1969,4,3,3,91,2.0034
1969,4,3,4,104,0.6395
1969,4,3,5,112,1.8850
1969,5,1,1,125,-0.6612
1969,5,1,2,106,2.0977
1969,5,1,3,87,0.5753
1969,5,1,4,76,-0.3962
1969,5,1,5,61,-1.0182
1969,5,2,1,79,0.6988
1969,5,2,2,63,1.6664
1969,5,2,3,61,-0.2304
1969,5,2,4,50,0.3151
1969,5,2,5,58,-0.0574
1969,5,3,1,121,-0.0011
1969,5,3,2,106,0.1500
1969,5,3,3,88,-0.1734
1969,5,3,4,104,1.2468
1969,5,3,5,112,0.8840
1969,6,1,1,125,-15.3469
1969,6,1,2,106,-12.6623
1969,6,1,3,87,-11.6391
1969,6,1,4,76,-9.7800
1969,6,1,5,61,-8.7060
1969,6,2,1,79,-11.0856
1969,6,2,2,63,-11.4706
1969,6,2,3,61,-8.9551
1969,6,2,4,51,-10.9013
1969,6,2,5,58,-7.8506
1969,6,3,1,121,-2.6363
1969,6,3,2,106,-6.1389
1969,6,3,3,88,-6.9918
1969,6,3,4,103,-8.2400
1969,6,3,5,109,-5.8312
1969,7,1,1,111,-11.3136
1969,7,1,2,110,-12.1780
1969,7,1,3,93,-10.9073
1969,7,1,4,85,-8.3935
1969,7,1,5,75,-7.0242
1969,7,2,1,80,-9.4064
1969,7,2,2,66,-10.5737
1969,7,2,3,71,-7.9894
1969,7,2,4,59,-7.0072
1969,7,2,5,50,-5.3691
1969,7,3,1,122,-4.8174
1969,7,3,2,114,-6.7294
1969,7,3,3,95,-6.2631
1969,7,3,4,101,-6.5929
1969,7,3,5,114,-5.4701
1969,8,1,1,110,5.0739
1969,8,1,2,109,5.5643
1969,8,1,3,93,5.0078
1969,8,1,4,85,1.4425
1969,8,1,5,75,1.6386
1969,8,2,1,79,9.8277
1969,8,2,2,66,6.5858
1969,8,2,3,70,6.3478
1969,8,2,4,59,3.0444
1969,8,2,5,50,0.7000
1969,8,3,1,121,7.7301
1969,8,3,2,114,6.3722
1969,8,3,3,95,3.4757
1969,8,3,4,101,3.5412
1969,8,3,5,114,1.3318
1969,9,1,1,110,-1.9495
1969,9,1,2,109,-1.8183
1969,9,1,3,93,-3.6329
1969,9,1,4,85,-3.1890
1969,9,1,5,75,-4.0319
1969,9,2,1,78,1.4018
1969,9,2,2,65,0.2466
1969,9,2,3,69,0.2150
1969,9,2,4,59,-1.2973
1969,9,2,5,50,-3.2518
1969,9,3,1,121,-1.0170
1969,9,3,2,114,-0.7706
1969,9,3,3,94,-2.6054
1969,9,3,4,101,-5.7244
1969,9,3,5,114,-2.8272
1969,10,1,1,110,10.9074
1969,10,1,2,107,10.9385
