year,month,rank_ME,rank_CPq_6,nstocks,ret_vw
1968,9,1,5,195,6.7902
1968,9,2,1,94,6.1528
1968,9,2,2,77,6.1290
1968,9,2,3,83,3.9437
1968,9,2,4,95,4.7361
1968,9,2,5,114,6.2859
1968,9,3,1,154,3.0444
1968,9,3,2,167,3.7850
1968,9,3,3,167,3.5239
1968,9,3,4,160,5.0429
1968,9,3,5,118,7.5860
1968,10,1,1,133,-2.0955
1968,10,1,2,95,-0.9002
1968,10,1,3,105,1.1531
1968,10,1,4,119,-0.6009
1968,10,1,5,173,1.4252
1968,10,2,1,94,-0.5414
1968,10,2,2,72,0.6100
1968,10,2,3,79,3.0152
1968,10,2,4,80,1.5318
1968,10,2,5,94,2.0087
1968,10,3,1,142,-0.8413
1968,10,3,2,154,0.8486
1968,10,3,3,159,2.0789
1968,10,3,4,148,2.4356
1968,10,3,5,108,1.8980
1968,11,1,1,144,7.8896
1968,11,1,2,106,7.8457
1968,11,1,3,92,5.2138
1968,11,1,4,111,7.2111
1968,11,1,5,182,7.7249
1968,11,2,1,107,8.7529
1968,11,2,2,73,7.9638
1968,11,2,3,76,9.0006
1968,11,2,4,89,7.3569
1968,11,2,5,105,5.9626
1968,11,3,1,148,7.6427
1968,11,3,2,147,3.5357
1968,11,3,3,160,5.2266
1968,11,3,4,154,6.8629
1968,11,3,5,118,4.7890
1968,12,1,1,140,7.7342
1968,12,1,2,98,2.8841
1968,12,1,3,86,-0.2614
1968,12,1,4,107,2.8424
1968,12,1,5,179,-0.3911
1968,12,2,1,97,1.1066
1968,12,2,2,68,-2.9444
1968,12,2,3,67,-2.6084
1968,12,2,4,86,-1.9774
1968,12,2,5,108,-1.4844
1968,12,3,1,147,-4.1513
1968,12,3,2,131,-4.4296
1968,12,3,3,150,-4.1773
1968,12,3,4,155,-2.1502
1968,12,3,5,117,-2.5483
1969,1,1,1,98,-1.1026
1969,1,1,2,57,-1.4756
1969,1,1,3,50,-1.5545
1969,1,1,4,53,-0.8894
1969,1,1,5,102,-0.5119
1969,1,2,1,67,-2.1026
1969,1,2,2,47,0.0371
1969,1,2,3,45,-0.0718
1969,1,2,4,46,1.0281
1969,1,2,5,65,0.7372
1969,1,3,1,94,0.4849
1969,1,3,2,97,-0.2691
1969,1,3,3,111,-0.7137
1969,1,3,4,103,-0.3031
1969,1,3,5,85,0.6193
1969,2,1,1,105,-11.0665
1969,2,1,2,70,-8.2636
1969,2,1,3,54,-7.9707
1969,2,1,4,52,-9.7753
1969,2,1,5,113,-8.7289
1969,2,2,1,71,-8.9228
1969,2,2,2,55,-8.7534
1969,2,2,3,46,-5.5774
1969,2,2,4,49,-5.5040
1969,2,2,5,68,-6.9144
1969,2,3,1,99,-6.0931
1969,2,3,2,110,-4.0782
1969,2,3,3,125,-4.2704
1969,2,3,4,120,-6.0583
1969,2,3,5,94,-6.1293
1969,3,1,1,103,2.6750
1969,3,1,2,71,2.7334
1969,3,1,3,62,1.8978
1969,3,1,4,55,1.6431
1969,3,1,5,121,1.9742
1969,3,2,1,74,2.5460
1969,3,2,2,55,1.2313
1969,3,2,3,46,1.6446
1969,3,2,4,50,-0.1810
1969,3,2,5,73,1.4287
1969,3,3,1,100,3.5579
1969,3,3,2,117,2.8850
1969,3,3,3,128,4.8108
1969,3,3,4,128,4.3073
1969,3,3,5,97,1.2320
1969,4,1,1,88,1.5700
1969,4,1,2,70,3.5829
1969,4,1,3,67,0.7725
1969,4,1,4,55,0.8993
1969,4,1,5,119,-0.6591
1969,4,2,1,73,1.9039
1969,4,2,2,44,-0.5330
1969,4,2,3,41,0.7491
1969,4,2,4,51,0.0307
1969,4,2,5,63,-1.0279
1969,4,3,1,96,3.2912
1969,4,3,2,112,0.5432
1969,4,3,3,123,-0.2474
1969,4,3,4,112,0.1699
1969,4,3,5,87,0.4600
1969,5,1,1,153,0.2607
1969,5,1,2,107,-1.9240
1969,5,1,3,107,-2.4831
1969,5,1,4,139,2.4379
1969,5,1,5,207,0.7904
1969,5,2,1,98,-0.4189
1969,5,2,2,78,-1.1109
1969,5,2,3,69,-1.0418
1969,5,2,4,102,0.6331
1969,5,2,5,106,-1.8556
1969,5,3,1,161,1.0618
1969,5,3,2,163,-0.4772
1969,5,3,3,174,2.2957
1969,5,3,4,174,1.3311
1969,5,3,5,127,-0.6485
1969,6,1,1,156,-12.7642
1969,6,1,2,120,-14.7194
1969,6,1,3,127,-11.8983
1969,6,1,4,153,-11.8226
1969,6,1,5,214,-11.4548
1969,6,2,1,99,-11.3042
1969,6,2,2,80,-10.9373
1969,6,2,3,79,-9.1432
1969,6,2,4,104,-10.2628
1969,6,2,5,108,-11.1618
1969,6,3,1,165,-5.0023
1969,6,3,2,172,-7.6838
1969,6,3,3,181,-7.1570
1969,6,3,4,179,-8.3254
1969,6,3,5,130,-7.0941
1969,7,1,1,142,-13.0608
1969,7,1,2,120,-11.4462
1969,7,1,3,125,-9.8565
1969,7,1,4,159,-8.9263
1969,7,1,5,202,-9.8873
1969,7,2,1,87,-10.4444
1969,7,2,2,82,-8.4580
1969,7,2,3,81,-6.3945
1969,7,2,4,99,-6.8197
1969,7,2,5,98,-8.2152
1969,7,3,1,160,-4.8006
1969,7,3,2,171,-6.9676
1969,7,3,3,182,-6.6358
1969,7,3,4,164,-6.9342
1969,7,3,5,114,-7.8459
1969,8,1,1,151,3.1472
1969,8,1,2,126,5.8958
1969,8,1,3,131,2.7015
1969,8,1,4,175,4.5688
1969,8,1,5,213,4.2134
1969,8,2,1,95,7.9428
1969,8,2,2,86,5.8330
1969,8,2,3,84,3.7803
1969,8,2,4,110,4.9626
1969,8,2,5,105,4.5482
1969,8,3,1,165,5.7029
1969,8,3,2,178,3.9758
1969,8,3,3,186,4.4404
1969,8,3,4,178,2.3598
1969,8,3,5,127,3.8425
1969,9,1,1,153,-1.6780
1969,9,1,2,129,-2.7666
1969,9,1,3,133,-3.6837
1969,9,1,4,174,-5.0561
1969,9,1,5,220,-3.6341
1969,9,2,1,100,2.1399
1969,9,2,2,87,-2.1896
1969,9,2,3,87,-2.1979
1969,9,2,4,112,-1.6596
1969,9,2,5,108,-1.6164
1969,9,3,1,165,-1.4877
1969,9,3,2,173,-5.1743
1969,9,3,3,182,-3.7086
1969,9,3,4,176,-3.6875
1969,9,3,5,130,-4.2891
1969,10,1,1,145,10.3887
1969,10,1,2,121,12.2786
1969,10,1,3,122,8.7798
1969,10,1,4,168,10.0954
1969,10,1,5,195,9.1081
1969,10,2,1,96,7.3447
1969,10,2,2,76,5.4503
1969,10,2,3,86,7.7861
1969,10,2,4,102,6.4277
1969,10,2,5,96,7.1508
1969,10,3,1,156,5.7349
1969,10,3,2,164,3.9394
1969,10,3,3,165,3.2663
1969,10,3,4,148,5.3614
1969,10,3,5,114,4.9216
1969,11,1,1,154,-6.2119
1969,11,1,2,108,-3.7490
1969,11,1,3,129,-6.3013
1969,11,1,4,165,-6.3220
1969,11,1,5,218,-6.4846
1969,11,2,1,111,-3.7047
1969,11,2,2,76,-7.2101
1969,11,2,3,85,-5.7457
1969,11,2,4,104,-5.6188
1969,11,2,5,111,-5.1982
1969,11,3,1,162,-2.7708
1969,11,3,2,169,-3.9273
1969,11,3,3,173,-4.4547
1969,11,3,4,162,-5.4377
1969,11,3,5,125,-4.7278
1969,12,1,1,158,-6.0382
1969,12,1,2,93,-6.4776
1969,12,1,3,127,-5.8138
1969,12,1,4,151,-6.9885
1969,12,1,5,220,-7.9284
1969,12,2,1,103,-4.5479
1969,12,2,2,73,-3.9144
1969,12,2,3,80,-4.0432
1969,12,2,4,95,-4.4549
1969,12,2,5,111,-5.7801
1969,12,3,1,162,-0.4844
1969,12,3,2,160,-1.9462
1969,12,3,3,163,-2.4237
1969,12,3,4,163,-4.2181
1969,12,3,5,123,-3.6795
1970,1,1,1,92,-3.1120
1970,1,1,2,63,-3.9629
1970,1,1,3,64,-3.4537
1970,1,1,4,79,-3.7053
1970,1,1,5,128,-2.6859
1970,1,2,1,83,-4.8558
1970,1,2,2,49,-4.9506
1970,1,2,3,52,-5.3068
1970,1,2,4,51,-6.6277
1970,1,2,5,71,-5.2593
1970,1,3,1,108,-8.5528
1970,1,3,2,110,-9.2191
1970,1,3,3,106,-8.8518
1970,1,3,4,102,-8.3796
1970,1,3,5,82,-7.5511
1970,2,1,1,95,-0.1869
1970,2,1,2,67,2.9359
1970,2,1,3,73,2.2920
1970,2,1,4,74,4.6429
1970,2,1,5,138,2.2486
1970,2,2,1,91,4.0324
1970,2,2,2,58,5.7272
1970,2,2,3,58,4.3570
1970,2,2,4,55,4.2299
1970,2,2,5,80,6.4147
1970,2,3,1,124,6.8341
1970,2,3,2,115,6.8514
1970,2,3,3,115,5.9307
1970,2,3,4,116,7.9135
1970,2,3,5,86,8.2928
1970,3,1,1,91,-4.2204
1970,3,1,2,77,-5.1899
1970,3,1,3,72,-1.9294
1970,3,1,4,75,0.4108
1970,3,1,5,145,-1.5436
1970,3,2,1,88,-0.8424
1970,3,2,2,58,1.0285
1970,3,2,3,57,1.6761
1970,3,2,4,60,-0.0121
1970,3,2,5,85,-1.4611
1970,3,3,1,131,-0.7969
1970,3,3,2,120,2.2111
1970,3,3,3,113,1.7543
1970,3,3,4,119,-0.0498
1970,3,3,5,93,-0.0261
1970,4,1,1,84,-23.2542
1970,4,1,2,67,-15.4280
1970,4,1,3,71,-14.3827
1970,4,1,4,74,-15.4702
1970,4,1,5,144,-14.6618
1970,4,2,1,84,-17.0570
1970,4,2,2,54,-13.4234
1970,4,2,3,56,-10.2885
1970,4,2,4,58,-12.6924
1970,4,2,5,74,-14.4723
1970,4,3,1,121,-10.5255
1970,4,3,2,111,-9.1418
1970,4,3,3,103,-6.9153
1970,4,3,4,101,-8.4287
1970,4,3,5,83,-10.4603
1970,5,1,1,121,-10.4316
1970,5,1,2,102,-7.9952
1970,5,1,3,121,-8.6154
1970,5,1,4,171,-7.9998
1970,5,1,5,272,-9.7701
1970,5,2,1,105,-10.6722
1970,5,2,2,80,-7.3500
1970,5,2,3,93,-7.4962
1970,5,2,4,116,-8.9933
1970,5,2,5,118,-9.6232
1970,5,3,1,185,-8.6026
1970,5,3,2,167,-5.4579
1970,5,3,3,165,-1.4663
1970,5,3,4,158,-1.8600
1970,5,3,5,120,-4.3559
1970,6,1,1,127,-9.0724
1970,6,1,2,107,-9.0505
1970,6,1,3,127,-6.6931
1970,6,1,4,188,-7.9590
1970,6,1,5,284,-8.0820
1970,6,2,1,105,-4.8532
1970,6,2,2,82,-4.6605
1970,6,2,3,107,-6.8802
1970,6,2,4,119,-7.7278
1970,6,2,5,129,-8.1622
1970,6,3,1,197,-4.1250
1970,6,3,2,181,-4.7859
1970,6,3,3,175,-3.5217
1970,6,3,4,165,-3.7751
1970,6,3,5,120,-7.4208
1970,7,1,1,121,5.7646
1970,7,1,2,110,6.8833
1970,7,1,3,129,5.2893
1970,7,1,4,190,5.6669
1970,7,1,5,259,5.7097
1970,7,2,1,94,9.0202
1970,7,2,2,81,7.2182
1970,7,2,3,107,8.0347
1970,7,2,4,116,6.5059
1970,7,2,5,118,8.5896
1970,7,3,1,189,7.1265
1970,7,3,2,187,8.4783
1970,7,3,3,176,10.0444
1970,7,3,4,153,7.7229
1970,7,3,5,104,9.1428
1970,8,1,1,121,5.2595
1970,8,1,2,113,6.0219
1970,8,1,3,133,5.8442
1970,8,1,4,199,5.0832
1970,8,1,5,283,7.1571
1970,8,2,1,103,5.6049
1970,8,2,2,90,4.9894
1970,8,2,3,114,4.7247
1970,8,2,4,127,7.2058
1970,8,2,5,130,8.9046
1970,8,3,1,195,4.9172
1970,8,3,2,200,5.5848
1970,8,3,3,192,5.5861
1970,8,3,4,173,6.6930
1970,8,3,5,113,7.5297
1970,9,1,1,123,14.9710
1970,9,1,2,110,14.6654
1970,9,1,3,132,13.2707
1970,9,1,4,202,13.0350
1970,9,1,5,288,12.9109
1970,9,2,1,100,10.8828
1970,9,2,2,97,9.1462
1970,9,2,3,114,6.9663
1970,9,2,4,130,7.9045
1970,9,2,5,133,10.7726
1970,9,3,1,189,3.4513
1970,9,3,2,199,2.5570
1970,9,3,3,197,1.6360
1970,9,3,4,171,3.1755
1970,9,3,5,119,4.9122
1970,10,1,1,124,-9.0084
1970,10,1,2,104,-8.5232
1970,10,1,3,130,-4.6199
1970,10,1,4,191,-4.2018
1970,10,1,5,263,-5.6325
1970,10,2,1,95,-3.2324
1970,10,2,2,95,-5.4770
1970,10,2,3,108,-4.2133
1970,10,2,4,123,-4.3949
1970,10,2,5,117,-4.0621
1970,10,3,1,180,-1.2162
1970,10,3,2,195,0.2162
1970,10,3,3,181,-0.9429
1970,10,3,4,157,-2.7584
1970,10,3,5,104,-4.1448
1970,11,1,1,131,-4.4796
1970,11,1,2,102,-2.3543
1970,11,1,3,132,0.1600
1970,11,1,4,205,-2.0581
1970,11,1,5,286,0.0906
1970,11,2,1,101,0.8742
1970,11,2,2,97,4.8947
1970,11,2,3,114,3.8435
1970,11,2,4,118,3.7061
1970,11,2,5,133,3.3874
1970,11,3,1,196,6.5455
1970,11,3,2,198,5.9030
1970,11,3,3,190,6.2961
1970,11,3,4,166,4.3557
1970,11,3,5,119,4.8900
1970,12,1,1,117,3.6874
1970,12,1,2,94,7.5553
1970,12,1,3,128,8.1322
1970,12,1,4,196,8.1232
1970,12,1,5,285,10.4395
1970,12,2,1,92,5.3280
1970,12,2,2,90,8.1743
1970,12,2,3,112,7.8801
1970,12,2,4,113,7.7018
1970,12,2,5,130,8.1051
1970,12,3,1,191,4.7746
1970,12,3,2,188,4.5945
1970,12,3,3,179,6.9401
1970,12,3,4,165,8.4910
