year,month,rank_ME,rank_OP,nstocks,ret_vw
1973,11,3,4,79,-10.9045
1973,11,3,5,73,-10.3753
1973,12,1,1,98,-4.1256
1973,12,1,2,82,-3.4302
1973,12,1,3,84,-5.5686
1973,12,1,4,67,-2.8871
1973,12,1,5,86,-2.2762
1973,12,2,1,50,-4.1382
1973,12,2,2,52,-2.4378
1973,12,2,3,48,-0.3618
1973,12,2,4,57,1.8341
1973,12,2,5,56,-2.7260
1973,12,3,1,116,-1.4064
1973,12,3,2,96,-2.8987
1973,12,3,3,81,5.7533
1973,12,3,4,79,8.9430
1973,12,3,5,73,3.0322
1974,1,1,1,98,16.5224
1974,1,1,2,82,11.5652
1974,1,1,3,84,15.3831
1974,1,1,4,67,17.7706
1974,1,1,5,86,15.4169
1974,1,2,1,50,4.7202
1974,1,2,2,52,10.5467
1974,1,2,3,48,8.7558
1974,1,2,4,57,9.9724
1974,1,2,5,56,11.5889
1974,1,3,1,116,-2.8534
1974,1,3,2,96,-0.9167
1974,1,3,3,81,-2.2632
1974,1,3,4,79,-3.3487
1974,1,3,5,73,5.3909
1974,2,1,1,98,-2.2596
1974,2,1,2,82,1.7523
1974,2,1,3,84,-0.6968
1974,2,1,4,67,-0.6429
1974,2,1,5,86,2.8156
1974,2,2,1,50,-0.3870
1974,2,2,2,52,1.2925
1974,2,2,3,48,1.4609
1974,2,2,4,57,-0.0240
1974,2,2,5,56,5.3228
1974,2,3,1,116,-2.0130
1974,2,3,2,96,-0.0960
1974,2,3,3,81,2.1465
1974,2,3,4,79,-0.5598
1974,2,3,5,73,2.4651
1974,3,1,1,96,-0.3151
1974,3,1,2,82,0.3618
1974,3,1,3,84,1.8200
1974,3,1,4,66,1.8662
1974,3,1,5,86,0.7092
1974,3,2,1,50,0.5964
1974,3,2,2,52,1.5934
1974,3,2,3,48,-1.6083
1974,3,2,4,57,-0.7165
1974,3,2,5,56,-1.3087
1974,3,3,1,116,-0.8979
1974,3,3,2,96,-1.4027
1974,3,3,3,81,-3.3369
1974,3,3,4,79,-2.2044
1974,3,3,5,73,-2.1874
1974,4,1,1,97,-7.3316
1974,4,1,2,82,-3.2499
1974,4,1,3,84,-6.5811
1974,4,1,4,66,-3.3647
1974,4,1,5,86,-2.4453
1974,4,2,1,50,-6.0106
1974,4,2,2,52,-5.0236
1974,4,2,3,48,-1.0216
1974,4,2,4,57,-3.2278
1974,4,2,5,56,-2.8918
1974,4,3,1,116,-3.8331
1974,4,3,2,96,-2.1379
1974,4,3,3,81,-2.7834
1974,4,3,4,79,-3.6867
1974,4,3,5,73,-3.7521
1974,5,1,1,97,-9.8335
1974,5,1,2,82,-6.9413
1974,5,1,3,84,-6.1827
1974,5,1,4,66,-8.2488
1974,5,1,5,85,-5.0174
1974,5,2,1,50,-5.5623
1974,5,2,2,52,-8.0225
1974,5,2,3,48,-6.0346
1974,5,2,4,57,-7.2740
1974,5,2,5,56,-5.4839
1974,5,3,1,116,0.7340
1974,5,3,2,96,-2.4158
1974,5,3,3,81,-5.9365
1974,5,3,4,79,-5.5787
1974,5,3,5,73,-1.2899
1974,6,1,1,97,-3.3776
1974,6,1,2,80,-2.2216
1974,6,1,3,84,-2.5930
1974,6,1,4,66,-2.1866
1974,6,1,5,86,-0.9361
1974,6,2,1,50,-2.6883
1974,6,2,2,52,-0.2179
1974,6,2,3,48,-0.4872
1974,6,2,4,57,-1.3710
1974,6,2,5,56,-1.6782
1974,6,3,1,116,-1.7833
1974,6,3,2,96,-0.2462
1974,6,3,3,81,-0.6788
1974,6,3,4,79,-1.0756
1974,6,3,5,73,-0.6968
1974,7,1,1,147,-4.9489
1974,7,1,2,140,-6.9912
1974,7,1,3,151,-4.1009
1974,7,1,4,141,-3.4151
1974,7,1,5,160,-1.7880
1974,7,2,1,63,-7.3648
1974,7,2,2,84,-4.5683
1974,7,2,3,94,-2.9272
1974,7,2,4,72,-2.6918
1974,7,2,5,84,-1.8945
1974,7,3,1,172,-10.8867
1974,7,3,2,136,-8.4793
1974,7,3,3,105,-2.5626
1974,7,3,4,109,-2.7828
1974,7,3,5,85,-6.5269
1974,8,1,1,146,-9.1764
1974,8,1,2,140,-6.7596
1974,8,1,3,151,-6.2469
1974,8,1,4,141,-6.2024
1974,8,1,5,160,-7.1088
1974,8,2,1,62,-11.0755
1974,8,2,2,84,-8.8939
1974,8,2,3,94,-8.7889
1974,8,2,4,72,-6.0376
1974,8,2,5,84,-6.5244
1974,8,3,1,172,-9.1661
1974,8,3,2,136,-12.2098
1974,8,3,3,105,-5.3392
1974,8,3,4,109,-7.6019
1974,8,3,5,85,-4.4715
1974,9,1,1,146,-11.3441
1974,9,1,2,140,-8.3436
1974,9,1,3,151,-7.2452
1974,9,1,4,141,-6.4609
1974,9,1,5,160,-6.9191
1974,9,2,1,63,-12.6383
1974,9,2,2,84,-7.7111
1974,9,2,3,94,-7.5844
1974,9,2,4,72,-4.7598
1974,9,2,5,84,-6.4375
1974,9,3,1,172,-16.3654
1974,9,3,2,136,-11.1010
1974,9,3,3,105,-7.5824
1974,9,3,4,109,-4.1855
1974,9,3,5,85,-7.4440
1974,10,1,1,146,12.3783
1974,10,1,2,140,5.2048
1974,10,1,3,148,7.2699
1974,10,1,4,139,8.0012
1974,10,1,5,159,8.2557
1974,10,2,1,63,15.9886
1974,10,2,2,82,12.0270
1974,10,2,3,94,7.9277
1974,10,2,4,72,7.6255
1974,10,2,5,83,5.8005
1974,10,3,1,172,22.3191
1974,10,3,2,136,18.7114
1974,10,3,3,105,14.2505
1974,10,3,4,109,9.7798
