year,month,rank_ME,rank_OCP,nstocks,ret_vw
1974,1,2,3,64,9.3303
1974,1,2,4,62,10.0437
1974,1,2,5,63,13.9054
1974,1,3,1,139,-1.7655
1974,1,3,2,102,-0.2456
1974,1,3,3,88,0.8674
1974,1,3,4,85,-2.9812
1974,1,3,5,70,1.8217
1974,2,1,1,85,-5.1983
1974,2,1,2,127,-0.2789
1974,2,1,3,115,-0.0929
1974,2,1,4,141,-0.1120
1974,2,1,5,174,-0.2121
1974,2,2,1,50,0.3597
1974,2,2,2,67,0.0430
1974,2,2,3,64,1.0958
1974,2,2,4,62,2.1794
1974,2,2,5,63,3.1917
1974,2,3,1,139,-1.5740
1974,2,3,2,102,-0.1416
1974,2,3,3,88,1.6213
1974,2,3,4,85,0.2780
1974,2,3,5,70,3.3131
1974,3,1,1,84,-0.7516
1974,3,1,2,126,0.2146
1974,3,1,3,114,1.5818
1974,3,1,4,141,-0.2750
1974,3,1,5,173,2.4261
1974,3,2,1,50,2.6986
1974,3,2,2,67,-2.5956
1974,3,2,3,64,-0.6977
1974,3,2,4,62,-1.4984
1974,3,2,5,63,-2.5868
1974,3,3,1,139,-1.3858
1974,3,3,2,102,-1.3848
1974,3,3,3,88,-2.4101
1974,3,3,4,85,-2.5307
1974,3,3,5,70,-3.6946
1974,4,1,1,84,-6.0779
1974,4,1,2,126,-4.8772
1974,4,1,3,115,-7.1249
1974,4,1,4,141,-3.5541
1974,4,1,5,173,-4.6329
1974,4,2,1,50,-7.8584
1974,4,2,2,67,-4.1844
1974,4,2,3,64,-5.1353
1974,4,2,4,62,-1.9160
1974,4,2,5,63,-4.0148
1974,4,3,1,139,-2.5954
1974,4,3,2,102,-3.3488
1974,4,3,3,88,-1.5431
1974,4,3,4,85,-5.2114
1974,4,3,5,70,-3.9696
1974,5,1,1,84,-6.3421
1974,5,1,2,126,-7.1988
1974,5,1,3,114,-7.8837
1974,5,1,4,141,-6.1818
1974,5,1,5,173,-7.6281
1974,5,2,1,50,-6.0065
1974,5,2,2,67,-6.4204
1974,5,2,3,64,-6.3599
1974,5,2,4,62,-7.6481
1974,5,2,5,63,-7.7054
1974,5,3,1,139,0.5038
1974,5,3,2,102,-4.0193
1974,5,3,3,88,-2.5406
1974,5,3,4,85,-6.0909
1974,5,3,5,70,-3.5531
1974,6,1,1,84,-3.2609
1974,6,1,2,126,-2.8303
1974,6,1,3,115,-1.8393
1974,6,1,4,140,-2.0109
1974,6,1,5,173,-1.8474
1974,6,2,1,50,-1.7474
1974,6,2,2,67,-1.6338
1974,6,2,3,64,-0.7798
1974,6,2,4,62,0.2561
1974,6,2,5,63,-1.0839
1974,6,3,1,139,-1.5192
1974,6,3,2,102,-0.3872
1974,6,3,3,88,-1.4794
1974,6,3,4,85,-1.0822
1974,6,3,5,70,0.2237
1974,7,1,1,127,-8.0622
1974,7,1,2,175,-5.5269
1974,7,1,3,191,-5.0861
1974,7,1,4,196,-3.1506
1974,7,1,5,309,-4.2291
1974,7,2,1,77,-6.4039
1974,7,2,2,98,-6.1245
1974,7,2,3,99,-3.1445
1974,7,2,4,84,-3.9395
1974,7,2,5,87,-0.7284
1974,7,3,1,200,-11.9960
1974,7,3,2,146,-3.1413
1974,7,3,3,125,-4.8803
1974,7,3,4,103,-5.6473
1974,7,3,5,66,-3.7497
1974,8,1,1,127,-7.9496
1974,8,1,2,175,-6.6941
1974,8,1,3,191,-7.4596
1974,8,1,4,196,-6.0520
1974,8,1,5,308,-7.1108
1974,8,2,1,76,-10.0205
1974,8,2,2,98,-8.2580
1974,8,2,3,99,-6.6227
1974,8,2,4,84,-6.8768
1974,8,2,5,87,-6.9125
1974,8,3,1,200,-9.4956
1974,8,3,2,146,-10.6682
1974,8,3,3,125,-3.5831
1974,8,3,4,103,-6.1239
1974,8,3,5,66,-6.6123
1974,9,1,1,127,-11.6428
1974,9,1,2,175,-8.0145
1974,9,1,3,191,-8.0731
1974,9,1,4,196,-7.8298
1974,9,1,5,306,-7.9688
1974,9,2,1,77,-12.2308
1974,9,2,2,98,-8.1932
1974,9,2,3,99,-6.6023
1974,9,2,4,84,-8.4800
1974,9,2,5,87,-6.9465
1974,9,3,1,200,-15.8654
1974,9,3,2,146,-10.5639
1974,9,3,3,125,-6.0470
1974,9,3,4,103,-7.7406
1974,9,3,5,66,-5.8361
1974,10,1,1,125,8.3696
1974,10,1,2,175,12.7024
1974,10,1,3,190,8.0347
1974,10,1,4,195,9.4982
1974,10,1,5,302,7.0710
1974,10,2,1,77,15.0926
1974,10,2,2,98,12.6756
1974,10,2,3,98,7.8522
1974,10,2,4,84,8.4393
1974,10,2,5,86,8.6160
1974,10,3,1,200,22.3227
1974,10,3,2,146,16.4777
1974,10,3,3,125,14.8090
1974,10,3,4,103,6.9047
1974,10,3,5,66,5.6925
1974,11,1,1,126,-6.7070
1974,11,1,2,175,-5.8533
1974,11,1,3,191,-4.3763
1974,11,1,4,195,-5.1048
1974,11,1,5,306,-7.7603
1974,11,2,1,77,-6.2462
1974,11,2,2,98,-5.8808
1974,11,2,3,98,-1.5219
1974,11,2,4,84,-4.9546
1974,11,2,5,87,-5.0731
1974,11,3,1,200,-4.6999
1974,11,3,2,146,-4.5900
1974,11,3,3,125,-2.5169
1974,11,3,4,103,-3.6847
1974,11,3,5,66,-3.0402
1974,12,1,1,127,-8.9833
1974,12,1,2,175,-7.1710
1974,12,1,3,189,-7.2581
1974,12,1,4,195,-8.2114
1974,12,1,5,305,-8.5867
1974,12,2,1,77,-6.2716
1974,12,2,2,98,-6.7766
1974,12,2,3,99,-5.5374
1974,12,2,4,84,-3.3900
1974,12,2,5,87,-6.4256
1974,12,3,1,200,-3.9069
