year,month,rank_ME,rank_CP,nstocks,ret_vw
1970,3,1,1,273,-6.3210
1970,3,1,2,147,-5.5639
1970,3,1,3,109,-1.6042
1970,3,1,4,87,0.1145
1970,3,1,5,92,0.3632
1970,3,2,1,112,-4.7516
1970,3,2,2,62,-2.2856
1970,3,2,3,64,-0.5973
1970,3,2,4,58,0.2086
1970,3,2,5,64,-0.1047
1970,3,3,1,122,-2.8718
1970,3,3,2,110,0.2806
1970,3,3,3,102,0.6444
1970,3,3,4,114,2.2657
1970,3,3,5,107,1.2666
1970,4,1,1,271,-23.0455
1970,4,1,2,147,-16.8766
1970,4,1,3,109,-15.4898
1970,4,1,4,87,-12.9577
1970,4,1,5,92,-11.8225
1970,4,2,1,113,-21.3979
1970,4,2,2,62,-15.8355
1970,4,2,3,64,-11.6697
1970,4,2,4,58,-10.2052
1970,4,2,5,64,-10.8069
1970,4,3,1,122,-10.6238
1970,4,3,2,110,-10.8568
1970,4,3,3,102,-9.4054
1970,4,3,4,114,-8.5742
1970,4,3,5,107,-7.5390
1970,5,1,1,271,-9.7057
1970,5,1,2,145,-8.3589
1970,5,1,3,109,-9.7450
1970,5,1,4,87,-8.6596
1970,5,1,5,92,-8.7601
1970,5,2,1,113,-12.6462
1970,5,2,2,62,-9.9965
1970,5,2,3,64,-8.6894
1970,5,2,4,58,-9.1885
1970,5,2,5,64,-8.1498
1970,5,3,1,122,-8.2932
1970,5,3,2,110,-8.7431
1970,5,3,3,102,-6.2969
1970,5,3,4,114,-2.0408
1970,5,3,5,107,-3.2834
1970,6,1,1,271,-12.1046
1970,6,1,2,144,-8.3849
1970,6,1,3,108,-6.8015
1970,6,1,4,87,-5.4450
1970,6,1,5,92,-7.0776
1970,6,2,1,112,-9.7107
1970,6,2,2,61,-7.3931
1970,6,2,3,63,-5.3397
1970,6,2,4,58,-6.3752
1970,6,2,5,64,-4.2693
1970,6,3,1,122,-6.1632
1970,6,3,2,110,-3.5866
1970,6,3,3,102,-3.5667
1970,6,3,4,114,-4.2683
1970,6,3,5,107,-5.8501
1970,7,1,1,219,4.3616
1970,7,1,2,167,4.9802
1970,7,1,3,133,5.1359
1970,7,1,4,124,6.2277
1970,7,1,5,152,5.7107
1970,7,2,1,107,6.1193
1970,7,2,2,74,8.7467
1970,7,2,3,70,7.5258
1970,7,2,4,68,6.6953
1970,7,2,5,70,7.6968
1970,7,3,1,146,3.7512
1970,7,3,2,115,8.0242
1970,7,3,3,112,9.2854
1970,7,3,4,112,10.2014
1970,7,3,5,87,8.7961
1970,8,1,1,219,5.0692
1970,8,1,2,167,5.1267
1970,8,1,3,133,6.2528
1970,8,1,4,124,5.9953
1970,8,1,5,152,8.3961
1970,8,2,1,107,7.3011
1970,8,2,2,73,5.5898
1970,8,2,3,70,7.1841
1970,8,2,4,68,6.0359
1970,8,2,5,70,8.0921
1970,8,3,1,146,4.0874
1970,8,3,2,115,3.8271
1970,8,3,3,112,5.1255
1970,8,3,4,112,5.7849
1970,8,3,5,86,6.3226
1970,9,1,1,219,20.4536
1970,9,1,2,166,16.8728
1970,9,1,3,133,12.4215
1970,9,1,4,123,11.0411
1970,9,1,5,152,11.9679
1970,9,2,1,107,15.8739
1970,9,2,2,73,11.5345
1970,9,2,3,70,9.4008
1970,9,2,4,67,9.7118
1970,9,2,5,70,8.2887
1970,9,3,1,146,7.7380
1970,9,3,2,114,4.9633
1970,9,3,3,112,1.1514
1970,9,3,4,112,0.1978
1970,9,3,5,86,3.1452
1970,10,1,1,219,-11.3688
1970,10,1,2,166,-7.5810
1970,10,1,3,133,-7.4796
1970,10,1,4,124,-6.3742
1970,10,1,5,152,-4.2398
