year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1969,2,1,4,344,-10.2538
1969,2,1,5,276,-11.9307
1969,2,2,1,97,-7.8136
1969,2,2,2,126,-6.8604
1969,2,2,3,151,-7.4322
1969,2,2,4,170,-8.1285
1969,2,2,5,154,-9.5435
1969,2,3,1,173,-3.9196
1969,2,3,2,242,-3.8160
1969,2,3,3,238,-5.0630
1969,2,3,4,221,-4.4706
1969,2,3,5,178,-6.4888
1969,3,1,1,242,3.2624
1969,3,1,2,293,1.6461
1969,3,1,3,356,1.8352
1969,3,1,4,345,1.5665
1969,3,1,5,286,2.3188
1969,3,2,1,95,0.4028
1969,3,2,2,123,0.8352
1969,3,2,3,153,3.0949
1969,3,2,4,173,5.3738
1969,3,2,5,154,1.1082
1969,3,3,1,179,0.9383
1969,3,3,2,243,4.2891
1969,3,3,3,237,5.2333
1969,3,3,4,219,4.4170
1969,3,3,5,174,0.9289
1969,4,1,1,229,-1.3572
1969,4,1,2,291,0.0296
1969,4,1,3,354,-0.1830
1969,4,1,4,343,-2.1175
1969,4,1,5,286,-1.5170
1969,4,2,1,94,1.4334
1969,4,2,2,113,0.6276
1969,4,2,3,152,0.0509
1969,4,2,4,168,1.3697
1969,4,2,5,150,1.0441
1969,4,3,1,179,2.9326
1969,4,3,2,238,0.9949
1969,4,3,3,234,1.9913
1969,4,3,4,218,3.2653
1969,4,3,5,172,1.3606
1969,5,1,1,208,2.9310
1969,5,1,2,283,1.7211
1969,5,1,3,353,0.9918
1969,5,1,4,343,1.2318
1969,5,1,5,293,1.2794
1969,5,2,1,92,0.8615
1969,5,2,2,118,0.6551
1969,5,2,3,153,-0.3167
1969,5,2,4,169,2.2710
1969,5,2,5,159,0.3960
1969,5,3,1,183,0.6393
1969,5,3,2,229,1.0578
1969,5,3,3,231,0.0154
1969,5,3,4,213,0.1606
1969,5,3,5,172,-0.4851
1969,6,1,1,199,-13.1823
1969,6,1,2,270,-12.7423
1969,6,1,3,345,-12.1244
1969,6,1,4,349,-13.3976
1969,6,1,5,302,-15.2770
1969,6,2,1,92,-8.6284
1969,6,2,2,114,-10.9825
1969,6,2,3,147,-10.2301
1969,6,2,4,175,-11.0664
1969,6,2,5,165,-13.3528
1969,6,3,1,188,-5.8152
1969,6,3,2,230,-6.8535
1969,6,3,3,216,-7.0993
1969,6,3,4,213,-3.1089
1969,6,3,5,173,-5.4389
1969,7,1,1,187,-10.5222
1969,7,1,2,264,-9.2269
1969,7,1,3,328,-10.4928
1969,7,1,4,351,-10.9371
1969,7,1,5,314,-13.1004
1969,7,2,1,88,-6.6552
1969,7,2,2,117,-8.1592
1969,7,2,3,149,-8.7469
1969,7,2,4,170,-10.1242
1969,7,2,5,164,-11.3732
1969,7,3,1,189,-4.6643
1969,7,3,2,228,-6.6153
1969,7,3,3,216,-7.1708
1969,7,3,4,214,-4.7769
1969,7,3,5,171,-8.1306
1969,8,1,1,172,4.9189
1969,8,1,2,258,3.2093
1969,8,1,3,323,3.5698
1969,8,1,4,345,3.9544
1969,8,1,5,323,5.3765
1969,8,2,1,88,2.7559
1969,8,2,2,120,3.8803
1969,8,2,3,154,4.8376
1969,8,2,4,177,7.3553
1969,8,2,5,161,8.0558
1969,8,3,1,192,1.8451
1969,8,3,2,227,4.0268
1969,8,3,3,218,5.1668
1969,8,3,4,214,6.7120
1969,8,3,5,171,7.4468
1969,9,1,1,161,-1.2080
1969,9,1,2,251,-2.9345
1969,9,1,3,321,-1.7780
1969,9,1,4,350,-2.4610
1969,9,1,5,327,-3.9745
1969,9,2,1,89,-2.7952
1969,9,2,2,115,-1.3030
1969,9,2,3,154,-0.6689
1969,9,2,4,178,-0.8800
1969,9,2,5,163,-0.8170
1969,9,3,1,191,-3.7399
1969,9,3,2,232,-3.1953
1969,9,3,3,221,-2.8000
1969,9,3,4,211,-1.5621
1969,9,3,5,168,-0.9388
1969,10,1,1,154,9.8276
1969,10,1,2,236,7.1515
1969,10,1,3,310,7.3992
1969,10,1,4,355,9.8503
1969,10,1,5,333,11.3538
1969,10,2,1,93,6.6136
1969,10,2,2,112,6.1208
1969,10,2,3,149,6.7846
1969,10,2,4,174,5.1141
1969,10,2,5,163,7.8384
1969,10,3,1,193,4.1983
1969,10,3,2,234,4.1252
1969,10,3,3,219,4.5781
1969,10,3,4,208,5.7452
1969,10,3,5,165,6.5365
1969,11,1,1,153,-7.6597
1969,11,1,2,235,-5.6547
1969,11,1,3,311,-5.8312
1969,11,1,4,359,-5.8981
1969,11,1,5,338,-6.9622
1969,11,2,1,93,-5.2801
1969,11,2,2,112,-4.8339
1969,11,2,3,151,-4.5671
1969,11,2,4,178,-3.9405
1969,11,2,5,167,-5.4329
1969,11,3,1,193,-3.0504
1969,11,3,2,244,-3.9269
1969,11,3,3,220,-3.0307
1969,11,3,4,211,-2.2481
1969,11,3,5,167,-2.1415
1969,12,1,1,141,-7.6274
1969,12,1,2,242,-7.9247
1969,12,1,3,303,-7.4197
1969,12,1,4,355,-7.0674
1969,12,1,5,344,-9.3051
1969,12,2,1,87,-4.7790
1969,12,2,2,113,-7.9015
1969,12,2,3,150,-5.0855
1969,12,2,4,171,-5.0345
1969,12,2,5,165,-5.6962
1969,12,3,1,193,-2.7388
1969,12,3,2,245,-2.0489
1969,12,3,3,218,-2.2087
1969,12,3,4,207,1.6060
1969,12,3,5,161,-3.5971
1970,1,1,1,131,-2.7852
1970,1,1,2,237,-1.1217
1970,1,1,3,293,-0.7506
1970,1,1,4,359,-1.4177
1970,1,1,5,355,-3.8059
1970,1,2,1,83,-1.8187
1970,1,2,2,115,-3.5491
1970,1,2,3,151,-4.5361
1970,1,2,4,177,-4.3374
1970,1,2,5,173,-8.1531
1970,1,3,1,195,-4.9685
1970,1,3,2,245,-8.7964
1970,1,3,3,220,-8.8904
1970,1,3,4,203,-8.2804
1970,1,3,5,157,-9.8326
1970,2,1,1,131,1.5695
1970,2,1,2,227,3.0178
1970,2,1,3,298,3.2207
1970,2,1,4,361,3.1081
1970,2,1,5,360,2.6687
1970,2,2,1,85,5.1004
1970,2,2,2,117,4.6077
1970,2,2,3,158,4.2887
1970,2,2,4,182,4.2283
1970,2,2,5,182,3.5823
1970,2,3,1,196,6.3756
1970,2,3,2,245,7.6636
1970,2,3,3,218,7.1502
1970,2,3,4,207,3.4832
1970,2,3,5,160,4.2724
1970,3,1,1,120,1.4066
1970,3,1,2,227,-0.2652
1970,3,1,3,303,-1.3359
1970,3,1,4,359,-2.4874
1970,3,1,5,363,-4.9726
1970,3,2,1,82,2.1512
1970,3,2,2,118,1.1368
1970,3,2,3,159,1.0092
1970,3,2,4,181,-1.3245
1970,3,2,5,187,-4.3249
1970,3,3,1,198,2.8132
1970,3,3,2,243,0.6072
1970,3,3,3,218,-1.4379
1970,3,3,4,203,-1.7784
1970,3,3,5,161,-3.6308
1970,4,1,1,112,-12.7949
1970,4,1,2,217,-13.5620
1970,4,1,3,295,-14.5287
1970,4,1,4,352,-16.8248
1970,4,1,5,364,-21.3146
1970,4,2,1,78,-9.5567
1970,4,2,2,117,-10.9189
1970,4,2,3,154,-12.1825
1970,4,2,4,174,-14.4819
1970,4,2,5,188,-20.5715
1970,4,3,1,195,-6.9903
1970,4,3,2,241,-8.8197
1970,4,3,3,228,-10.3153
1970,4,3,4,195,-10.4217
1970,4,3,5,159,-14.7133
1970,5,1,1,108,-9.2441
1970,5,1,2,222,-9.8598
1970,5,1,3,296,-8.5068
1970,5,1,4,343,-10.1537
1970,5,1,5,368,-8.8063
1970,5,2,1,81,-5.2905
1970,5,2,2,119,-8.9269
1970,5,2,3,153,-7.7133
1970,5,2,4,179,-9.8422
1970,5,2,5,192,-13.1326
1970,5,3,1,197,-3.7592
1970,5,3,2,244,-3.9471
1970,5,3,3,231,-7.3419
1970,5,3,4,193,-7.5292
1970,5,3,5,158,-9.8588
1970,6,1,1,109,-5.9417
1970,6,1,2,232,-6.4874
1970,6,1,3,301,-7.7997
1970,6,1,4,345,-8.8412
1970,6,1,5,379,-10.7516
1970,6,2,1,81,-4.2187
1970,6,2,2,119,-7.8494
1970,6,2,3,156,-5.7920
1970,6,2,4,184,-6.8969
1970,6,2,5,190,-8.4167
1970,6,3,1,202,-4.6935
1970,6,3,2,249,-3.5870
1970,6,3,3,237,-4.0153
1970,6,3,4,197,-6.0807
1970,6,3,5,155,-8.2384
1970,7,1,1,115,2.0919
1970,7,1,2,227,2.5247
1970,7,1,3,300,5.5086
1970,7,1,4,343,5.2961
1970,7,1,5,374,3.5161
1970,7,2,1,83,4.2731
1970,7,2,2,115,6.6161
1970,7,2,3,162,8.1772
1970,7,2,4,188,9.7672
1970,7,2,5,183,6.9946
1970,7,3,1,203,9.7501
1970,7,3,2,248,8.6760
1970,7,3,3,235,7.1067
1970,7,3,4,194,3.4207
1970,7,3,5,154,7.6949
1970,8,1,1,122,4.3426
1970,8,1,2,231,6.3822
1970,8,1,3,297,5.1456
1970,8,1,4,345,5.8324
1970,8,1,5,369,6.1298
1970,8,2,1,86,5.0518
1970,8,2,2,118,5.9829
1970,8,2,3,163,5.9192
1970,8,2,4,192,8.3272
1970,8,2,5,186,8.2632
1970,8,3,1,206,4.9092
1970,8,3,2,253,5.1535
1970,8,3,3,245,4.8073
1970,8,3,4,205,4.6166
1970,8,3,5,159,6.4305
1970,9,1,1,123,10.3222
1970,9,1,2,228,11.0177
1970,9,1,3,299,10.7091
1970,9,1,4,336,12.9867
1970,9,1,5,365,17.0628
1970,9,2,1,88,3.2957
1970,9,2,2,121,6.5268
1970,9,2,3,167,7.8369
1970,9,2,4,184,10.2383
1970,9,2,5,187,15.3912
1970,9,3,1,209,-0.2648
1970,9,3,2,253,3.1447
1970,9,3,3,245,4.8302
1970,9,3,4,205,6.8910
1970,9,3,5,155,8.6612
1970,10,1,1,137,-6.7207
1970,10,1,2,233,-5.1974
1970,10,1,3,311,-3.6129
1970,10,1,4,334,-5.9743
1970,10,1,5,366,-10.4107
1970,10,2,1,91,-0.9670
1970,10,2,2,122,-3.6304
1970,10,2,3,171,-3.2751
1970,10,2,4,192,-3.2092
1970,10,2,5,187,-7.5262
1970,10,3,1,210,-1.8362
1970,10,3,2,262,-0.1168
1970,10,3,3,244,-1.5758
1970,10,3,4,217,-0.1725
1970,10,3,5,161,-1.6987
1970,11,1,1,146,-0.5368
1970,11,1,2,236,-0.1464
1970,11,1,3,311,-1.0927
1970,11,1,4,335,-0.6358
1970,11,1,5,365,-2.1046
1970,11,2,1,94,5.7666
1970,11,2,2,130,4.1376
1970,11,2,3,182,4.0707
1970,11,2,4,197,3.6213
1970,11,2,5,190,2.2983
1970,11,3,1,213,6.9282
1970,11,3,2,272,5.5808
1970,11,3,3,254,4.0110
1970,11,3,4,214,4.5990
1970,11,3,5,166,5.1309
1970,12,1,1,156,10.3431
1970,12,1,2,251,9.8825
1970,12,1,3,315,10.3516
