year,month,rank_ME,rank_VHP,nstocks,ret_vw
1969,2,3,2,101,-5.0080
1969,2,3,3,98,-4.2501
1969,2,3,4,85,-4.3029
1969,2,3,5,62,-6.9183
1969,3,1,1,110,1.8760
1969,3,1,2,54,3.1312
1969,3,1,3,51,2.4237
1969,3,1,4,34,0.5353
1969,3,1,5,103,2.5803
1969,3,2,1,43,2.6530
1969,3,2,2,40,3.7241
1969,3,2,3,37,0.9423
1969,3,2,4,45,1.9735
1969,3,2,5,55,3.2838
1969,3,3,1,111,4.4298
1969,3,3,2,101,2.0538
1969,3,3,3,98,3.2775
1969,3,3,4,85,2.9648
1969,3,3,5,62,3.6591
1969,4,1,1,110,-0.5460
1969,4,1,2,54,-2.7522
1969,4,1,3,51,0.2892
1969,4,1,4,34,1.2488
1969,4,1,5,103,0.6819
1969,4,2,1,42,0.3899
1969,4,2,2,40,3.4662
1969,4,2,3,37,2.7154
1969,4,2,4,45,1.1808
1969,4,2,5,55,1.6311
1969,4,3,1,111,3.8579
1969,4,3,2,101,2.1025
1969,4,3,3,98,0.3369
1969,4,3,4,85,2.4345
1969,4,3,5,62,-0.2673
1969,5,1,1,108,1.7717
1969,5,1,2,54,1.7773
1969,5,1,3,51,-2.3026
1969,5,1,4,34,0.3935
1969,5,1,5,103,0.1331
1969,5,2,1,43,0.8965
1969,5,2,2,39,-1.0952
1969,5,2,3,37,-0.5748
1969,5,2,4,45,1.0390
1969,5,2,5,55,1.1352
1969,5,3,1,111,-0.6713
1969,5,3,2,100,-0.9099
1969,5,3,3,98,0.4680
1969,5,3,4,85,2.1079
1969,5,3,5,61,1.8845
1969,6,1,1,109,-14.7672
1969,6,1,2,54,-14.3705
1969,6,1,3,51,-13.7071
1969,6,1,4,34,-11.4266
1969,6,1,5,103,-12.0674
1969,6,2,1,43,-11.6464
1969,6,2,2,40,-10.7808
1969,6,2,3,37,-11.4336
1969,6,2,4,45,-8.3910
1969,6,2,5,55,-9.5475
1969,6,3,1,111,-1.9490
1969,6,3,2,100,-7.6406
1969,6,3,3,98,-7.4289
1969,6,3,4,85,-6.9955
1969,6,3,5,61,-8.1573
1969,7,1,1,166,-11.7864
1969,7,1,2,67,-10.9906
1969,7,1,3,54,-10.5219
1969,7,1,4,66,-9.4709
1969,7,1,5,100,-10.2673
1969,7,2,1,68,-11.7382
1969,7,2,2,57,-10.1888
1969,7,2,3,48,-7.9198
1969,7,2,4,48,-8.3484
1969,7,2,5,54,-5.4977
1969,7,3,1,111,-3.9395
1969,7,3,2,94,-6.7870
1969,7,3,3,107,-4.9135
1969,7,3,4,98,-5.2072
1969,7,3,5,95,-8.4674
1969,8,1,1,166,3.0231
1969,8,1,2,67,5.2525
1969,8,1,3,54,3.6988
1969,8,1,4,66,3.6091
1969,8,1,5,100,4.0603
1969,8,2,1,68,8.0673
1969,8,2,2,57,9.3808
1969,8,2,3,48,4.1014
1969,8,2,4,48,3.2187
1969,8,2,5,54,3.9445
1969,8,3,1,111,7.5933
1969,8,3,2,94,5.2236
1969,8,3,3,107,3.9454
1969,8,3,4,98,1.8456
1969,8,3,5,95,3.7056
1969,9,1,1,166,-3.1021
1969,9,1,2,67,-4.1493
1969,9,1,3,54,-2.8976
1969,9,1,4,66,-5.7050
1969,9,1,5,100,-2.8686
1969,9,2,1,68,1.7589
1969,9,2,2,57,-1.9455
1969,9,2,3,48,-1.4682
1969,9,2,4,48,-1.0323
1969,9,2,5,54,-0.4747
1969,9,3,1,111,-0.2495
1969,9,3,2,94,-1.8770
1969,9,3,3,107,-2.8364
1969,9,3,4,98,-4.6609
1969,9,3,5,95,-4.4030
1969,10,1,1,166,13.7902
1969,10,1,2,67,10.8749
1969,10,1,3,54,7.3631
1969,10,1,4,66,8.9384
1969,10,1,5,100,6.9133
1969,10,2,1,68,7.6729
1969,10,2,2,57,6.2262
1969,10,2,3,48,8.5581
1969,10,2,4,48,8.0321
1969,10,2,5,54,7.4624
1969,10,3,1,110,6.0418
1969,10,3,2,94,4.7492
1969,10,3,3,107,7.6666
1969,10,3,4,98,4.3581
1969,10,3,5,95,2.4449
1969,11,1,1,166,-7.9280
1969,11,1,2,67,-6.9958
1969,11,1,3,54,-5.7369
1969,11,1,4,65,-4.2067
1969,11,1,5,100,-6.1631
1969,11,2,1,68,-4.4177
1969,11,2,2,57,-6.8307
1969,11,2,3,48,-4.9114
1969,11,2,4,48,-3.6602
1969,11,2,5,54,-3.0104
1969,11,3,1,111,-1.4352
1969,11,3,2,94,-3.2660
1969,11,3,3,107,-4.1656
1969,11,3,4,98,-2.1810
1969,11,3,5,95,-4.2165
1969,12,1,1,166,-7.3553
1969,12,1,2,67,-7.2904
1969,12,1,3,54,-10.1799
1969,12,1,4,66,-5.7444
1969,12,1,5,100,-6.0561
1969,12,2,1,68,-4.5405
1969,12,2,2,57,-3.4706
1969,12,2,3,48,-3.5965
1969,12,2,4,48,-3.2056
1969,12,2,5,54,-4.7538
1969,12,3,1,111,1.1847
1969,12,3,2,94,-1.8253
1969,12,3,3,107,-2.0378
1969,12,3,4,98,-4.0693
1969,12,3,5,95,-2.1446
1970,1,1,1,166,-3.8712
1970,1,1,2,67,-4.3655
1970,1,1,3,54,-3.6357
1970,1,1,4,66,-2.1171
1970,1,1,5,100,-4.3751
1970,1,2,1,68,-6.9441
1970,1,2,2,57,-7.9005
1970,1,2,3,48,-5.0549
1970,1,2,4,48,-3.8372
1970,1,2,5,54,-2.5326
1970,1,3,1,111,-8.6099
1970,1,3,2,94,-7.7653
1970,1,3,3,107,-6.2154
1970,1,3,4,98,-5.5293
1970,1,3,5,95,-9.7659
1970,2,1,1,166,2.7119
1970,2,1,2,67,5.5813
1970,2,1,3,54,4.9369
1970,2,1,4,66,4.0318
1970,2,1,5,100,1.8302
1970,2,2,1,68,3.5207
1970,2,2,2,57,4.1501
1970,2,2,3,48,5.4759
1970,2,2,4,48,5.6101
1970,2,2,5,54,5.5491
1970,2,3,1,110,3.2826
1970,2,3,2,94,6.6739
1970,2,3,3,107,6.8618
1970,2,3,4,98,7.8299
1970,2,3,5,95,6.9546
1970,3,1,1,166,-6.2864
1970,3,1,2,67,-4.3859
1970,3,1,3,54,-1.3049
1970,3,1,4,66,-0.7549
1970,3,1,5,100,-0.1021
1970,3,2,1,68,-5.8477
1970,3,2,2,57,-2.7414
1970,3,2,3,48,0.0641
1970,3,2,4,48,0.8340
1970,3,2,5,54,0.9161
1970,3,3,1,111,-2.8694
1970,3,3,2,94,0.8225
1970,3,3,3,107,0.1919
1970,3,3,4,98,2.1174
1970,3,3,5,95,2.1516
1970,4,1,1,166,-22.7120
1970,4,1,2,67,-17.9341
1970,4,1,3,54,-13.2022
1970,4,1,4,66,-13.2478
1970,4,1,5,100,-11.9746
1970,4,2,1,68,-21.0624
1970,4,2,2,57,-16.1125
1970,4,2,3,48,-11.6365
1970,4,2,4,48,-11.3706
1970,4,2,5,54,-10.0283
1970,4,3,1,111,-10.8143
1970,4,3,2,94,-8.9111
1970,4,3,3,107,-10.4824
1970,4,3,4,98,-8.0266
1970,4,3,5,95,-7.7990
1970,5,1,1,166,-9.3771
1970,5,1,2,67,-8.4039
1970,5,1,3,54,-10.7101
1970,5,1,4,66,-8.3598
1970,5,1,5,100,-8.7297
1970,5,2,1,68,-11.3928
1970,5,2,2,57,-12.0324
1970,5,2,3,48,-10.1225
1970,5,2,4,48,-6.0600
1970,5,2,5,54,-9.2053
1970,5,3,1,111,-8.4446
1970,5,3,2,94,-5.7158
1970,5,3,3,107,-6.6597
1970,5,3,4,98,-5.0503
1970,5,3,5,95,-1.4901
1970,6,1,1,166,-10.6385
1970,6,1,2,67,-9.4877
1970,6,1,3,54,-9.4599
1970,6,1,4,66,-6.3872
1970,6,1,5,100,-6.1636
1970,6,2,1,67,-9.4610
1970,6,2,2,57,-8.4461
1970,6,2,3,48,-5.7603
1970,6,2,4,48,-5.4778
1970,6,2,5,54,-3.4842
1970,6,3,1,111,-7.1443
1970,6,3,2,94,-2.4473
1970,6,3,3,107,-4.0608
1970,6,3,4,98,-6.9279
1970,6,3,5,95,-3.2845
1970,7,1,1,141,3.6375
1970,7,1,2,95,8.8215
1970,7,1,3,67,5.4585
1970,7,1,4,77,3.5277
1970,7,1,5,150,5.5165
1970,7,2,1,59,6.8173
1970,7,2,2,58,11.3267
1970,7,2,3,55,8.0409
1970,7,2,4,57,7.9326
1970,7,2,5,63,7.1559
1970,7,3,1,125,4.1662
1970,7,3,2,105,9.2567
1970,7,3,3,107,9.7889
1970,7,3,4,98,9.3364
1970,7,3,5,79,8.1064
1970,8,1,1,141,7.0168
1970,8,1,2,95,4.4263
1970,8,1,3,67,6.4089
1970,8,1,4,77,8.9574
1970,8,1,5,150,5.5151
1970,8,2,1,59,7.2363
1970,8,2,2,58,6.6159
1970,8,2,3,55,5.7165
1970,8,2,4,57,6.5150
1970,8,2,5,63,7.5941
1970,8,3,1,125,3.9993
1970,8,3,2,105,4.5133
1970,8,3,3,107,4.2402
1970,8,3,4,98,6.8477
1970,8,3,5,79,5.5328
1970,9,1,1,140,20.3012
1970,9,1,2,95,15.7116
1970,9,1,3,67,12.8953
1970,9,1,4,77,11.4194
1970,9,1,5,150,13.4572
1970,9,2,1,59,16.4195
1970,9,2,2,58,12.9314
1970,9,2,3,55,8.5236
1970,9,2,4,57,8.7705
1970,9,2,5,63,9.5076
1970,9,3,1,125,7.3038
1970,9,3,2,104,3.1914
1970,9,3,3,107,-0.1723
1970,9,3,4,98,1.0239
1970,9,3,5,79,4.1405
1970,10,1,1,141,-11.4761
1970,10,1,2,95,-6.9233
1970,10,1,3,67,-8.7459
1970,10,1,4,77,-8.1365
1970,10,1,5,150,-5.2695
1970,10,2,1,59,-7.0545
1970,10,2,2,58,-4.2313
1970,10,2,3,55,-3.4069
1970,10,2,4,57,-4.1089
1970,10,2,5,63,-4.3493
1970,10,3,1,125,-0.0641
1970,10,3,2,104,-1.4124
1970,10,3,3,107,-3.1285
1970,10,3,4,98,0.5718
1970,10,3,5,79,-2.3771
1970,11,1,1,141,-5.7688
1970,11,1,2,95,-0.4338
1970,11,1,3,67,0.7657
1970,11,1,4,77,-0.1200
1970,11,1,5,150,0.8276
1970,11,2,1,59,1.2589
1970,11,2,2,58,1.5315
1970,11,2,3,55,5.2690
1970,11,2,4,57,3.5947
1970,11,2,5,63,4.2780
1970,11,3,1,125,4.9856
1970,11,3,2,104,4.8317
1970,11,3,3,107,6.4955
1970,11,3,4,98,6.4405
1970,11,3,5,79,4.5475
1970,12,1,1,141,5.3196
1970,12,1,2,95,12.0815
1970,12,1,3,67,12.2408
1970,12,1,4,77,10.9063
1970,12,1,5,150,12.1606
1970,12,2,1,59,5.9496
1970,12,2,2,58,7.5477
1970,12,2,3,55,10.0022
1970,12,2,4,57,10.3290
1970,12,2,5,63,8.8684
1970,12,3,1,125,4.4890
1970,12,3,2,104,7.1697
1970,12,3,3,107,8.1828
1970,12,3,4,98,5.2196
1970,12,3,5,79,7.3523
1971,1,1,1,140,18.9193
1971,1,1,2,95,13.8437
1971,1,1,3,67,12.0079
1971,1,1,4,77,13.3497
1971,1,1,5,150,13.3927
1971,1,2,1,59,10.5473
1971,1,2,2,58,10.8182
1971,1,2,3,55,8.7402
1971,1,2,4,57,8.8329
1971,1,2,5,63,11.6122
1971,1,3,1,125,4.2336
1971,1,3,2,104,5.1908
1971,1,3,3,107,6.9269
