year,month,rank_ME,rank_EMq_12,nstocks,ret_vw
1976,5,2,2,135,-0.8816
1976,5,2,3,117,1.1676
1976,5,2,4,92,-2.5941
1976,5,2,5,90,-0.5598
1976,5,3,1,162,3.3214
1976,5,3,2,186,0.9201
1976,5,3,3,169,-0.4624
1976,5,3,4,168,0.3966
1976,5,3,5,151,-2.1775
1976,6,1,1,486,2.4346
1976,6,1,2,278,4.7855
1976,6,1,3,222,3.1902
1976,6,1,4,151,5.3134
1976,6,1,5,168,3.1486
1976,6,2,1,213,4.6224
1976,6,2,2,149,4.2421
1976,6,2,3,130,4.0073
1976,6,2,4,102,5.0112
1976,6,2,5,97,5.0396
1976,6,3,1,173,5.1199
1976,6,3,2,203,6.6901
1976,6,3,3,181,5.0084
1976,6,3,4,183,4.9854
1976,6,3,5,161,1.2670
1976,7,1,1,500,-0.1268
1976,7,1,2,290,0.8780
1976,7,1,3,234,0.3621
1976,7,1,4,164,-0.4092
1976,7,1,5,175,-0.1530
1976,7,2,1,227,-0.2499
1976,7,2,2,155,-0.1106
1976,7,2,3,140,0.2828
1976,7,2,4,104,-0.0940
1976,7,2,5,103,-1.8003
1976,7,3,1,174,-0.2682
1976,7,3,2,211,-0.8920
1976,7,3,3,185,-0.7283
1976,7,3,4,193,-1.9110
1976,7,3,5,170,-2.4043
1976,8,1,1,573,-2.6235
1976,8,1,2,353,-3.0500
1976,8,1,3,275,-3.0023
1976,8,1,4,208,-2.6156
1976,8,1,5,228,-3.8232
1976,8,2,1,259,-1.4406
1976,8,2,2,196,-3.2681
1976,8,2,3,165,-2.6857
1976,8,2,4,125,-3.2927
1976,8,2,5,116,-4.0078
1976,8,3,1,191,-0.5848
1976,8,3,2,243,-0.3867
1976,8,3,3,217,-1.1709
1976,8,3,4,222,-1.3683
1976,8,3,5,187,-0.5685
1976,9,1,1,502,2.6505
1976,9,1,2,306,1.7269
1976,9,1,3,246,2.3320
1976,9,1,4,193,3.1434
1976,9,1,5,201,-0.5599
1976,9,2,1,264,3.3245
1976,9,2,2,196,2.7042
1976,9,2,3,166,3.2091
1976,9,2,4,127,3.4563
1976,9,2,5,122,1.6449
1976,9,3,1,204,4.1921
1976,9,3,2,250,3.3946
1976,9,3,3,229,3.9330
1976,9,3,4,222,2.0585
1976,9,3,5,190,0.6423
1976,10,1,1,633,-2.3956
1976,10,1,2,379,-1.9516
1976,10,1,3,291,-2.1053
1976,10,1,4,232,-4.3644
1976,10,1,5,243,-3.8957
1976,10,2,1,280,-2.6562
1976,10,2,2,209,-2.3073
1976,10,2,3,175,-2.3532
1976,10,2,4,134,-3.0831
1976,10,2,5,124,-2.8381
1976,10,3,1,208,-2.2816
1976,10,3,2,257,-3.1284
1976,10,3,3,239,-2.5799
1976,10,3,4,230,-2.8747
1976,10,3,5,193,-2.0290
1976,11,1,1,658,2.4175
1976,11,1,2,407,2.5395
1976,11,1,3,326,2.8081
1976,11,1,4,266,3.9062
1976,11,1,5,262,3.8380
1976,11,2,1,287,3.8907
1976,11,2,2,218,4.8095
1976,11,2,3,192,5.2965
1976,11,2,4,150,5.7890
1976,11,2,5,130,5.6250
1976,11,3,1,224,0.8446
1976,11,3,2,272,1.0208
1976,11,3,3,251,0.0564
1976,11,3,4,242,0.5513
1976,11,3,5,205,-0.0625
1976,12,1,1,676,11.9450
1976,12,1,2,430,10.1108
1976,12,1,3,338,10.5610
1976,12,1,4,283,10.3014
1976,12,1,5,278,8.2854
1976,12,2,1,297,10.3041
1976,12,2,2,233,8.6581
1976,12,2,3,201,8.7606
1976,12,2,4,156,9.1193
1976,12,2,5,137,7.7262
1976,12,3,1,228,7.0386
1976,12,3,2,278,5.8201
1976,12,3,3,261,7.1133
1976,12,3,4,251,6.5533
1976,12,3,5,205,4.5064
1977,1,1,1,628,4.3339
1977,1,1,2,432,4.5846
1977,1,1,3,342,4.9009
1977,1,1,4,283,6.4818
1977,1,1,5,276,2.6492
1977,1,2,1,279,1.2237
1977,1,2,2,228,0.9916
1977,1,2,3,193,1.8653
1977,1,2,4,150,1.6661
1977,1,2,5,132,3.4426
1977,1,3,1,205,-1.6048
1977,1,3,2,270,-2.3297
1977,1,3,3,254,-2.9375
1977,1,3,4,246,-4.9046
1977,1,3,5,207,-8.5697
1977,2,1,1,619,-0.4107
1977,2,1,2,439,-0.5933
1977,2,1,3,348,-0.7994
1977,2,1,4,277,-2.0923
1977,2,1,5,289,-1.3217
1977,2,2,1,282,-0.3972
1977,2,2,2,241,-1.0778
1977,2,2,3,200,-1.0551
1977,2,2,4,149,-1.2911
1977,2,2,5,137,-1.7757
1977,2,3,1,214,-2.0892
1977,2,3,2,275,-2.2909
1977,2,3,3,265,-1.9906
1977,2,3,4,262,-1.8440
1977,2,3,5,217,-1.3689
1977,3,1,1,624,0.5467
1977,3,1,2,449,0.9710
1977,3,1,3,366,0.2709
1977,3,1,4,292,1.3047
1977,3,1,5,307,0.6005
1977,3,2,1,276,0.3419
1977,3,2,2,243,0.2762
1977,3,2,3,206,0.2414
1977,3,2,4,154,0.0466
1977,3,2,5,141,0.7570
1977,3,3,1,204,-1.0423
1977,3,3,2,273,-1.0552
1977,3,3,3,267,-2.2684
1977,3,3,4,272,-0.9272
1977,3,3,5,221,-1.2859
1977,4,1,1,580,1.7938
1977,4,1,2,446,1.9180
1977,4,1,3,357,1.8571
1977,4,1,4,286,1.0985
1977,4,1,5,298,0.3325
1977,4,2,1,252,2.1355
1977,4,2,2,231,2.6106
1977,4,2,3,204,1.5409
1977,4,2,4,152,2.0026
1977,4,2,5,134,1.6222
1977,4,3,1,193,2.2661
1977,4,3,2,260,1.6781
1977,4,3,3,257,0.7625
1977,4,3,4,268,1.0399
1977,4,3,5,213,-1.6209
1977,5,1,1,594,0.5635
1977,5,1,2,452,0.1797
1977,5,1,3,372,0.1805
1977,5,1,4,305,-0.2667
1977,5,1,5,316,0.7916
1977,5,2,1,265,1.0470
1977,5,2,2,240,-0.1647
1977,5,2,3,212,0.6348
1977,5,2,4,165,0.3888
1977,5,2,5,149,-1.5179
1977,5,3,1,204,-1.3809
1977,5,3,2,282,-1.0843
1977,5,3,3,289,-1.1200
1977,5,3,4,283,-1.9563
1977,5,3,5,213,-4.1601
1977,6,1,1,585,8.4168
1977,6,1,2,450,8.1236
1977,6,1,3,364,8.2856
1977,6,1,4,307,7.6325
1977,6,1,5,326,8.0875
1977,6,2,1,265,7.3842
1977,6,2,2,232,7.5839
1977,6,2,3,212,8.2726
1977,6,2,4,168,7.5376
1977,6,2,5,148,8.6841
1977,6,3,1,196,4.5707
1977,6,3,2,278,5.0787
1977,6,3,3,292,4.2813
1977,6,3,4,283,3.3990
1977,6,3,5,208,5.1734
1977,7,1,1,492,0.6849
1977,7,1,2,376,-0.7069
1977,7,1,3,315,-0.8152
1977,7,1,4,273,-0.9384
1977,7,1,5,309,-1.4456
1977,7,2,1,200,-1.2758
1977,7,2,2,195,-0.6212
1977,7,2,3,188,-1.2429
1977,7,2,4,162,-0.8326
1977,7,2,5,129,-3.3242
1977,7,3,1,156,-1.3907
1977,7,3,2,196,-1.8924
1977,7,3,3,244,-1.7419
1977,7,3,4,246,-3.0478
1977,7,3,5,176,-3.2761
1977,8,1,1,495,-1.2885
1977,8,1,2,383,-1.6346
1977,8,1,3,335,-1.7804
1977,8,1,4,295,-2.7616
1977,8,1,5,330,-3.8058
1977,8,2,1,202,-0.2041
1977,8,2,2,211,-1.4179
1977,8,2,3,203,-1.1708
1977,8,2,4,182,-1.1889
1977,8,2,5,140,-1.6968
1977,8,3,1,172,-5.2642
1977,8,3,2,215,-2.9910
1977,8,3,3,270,-2.5678
1977,8,3,4,281,-2.3494
1977,8,3,5,216,0.3599
1977,9,1,1,486,2.0007
1977,9,1,2,386,1.8865
1977,9,1,3,336,1.3893
1977,9,1,4,297,0.7081
1977,9,1,5,327,1.6645
1977,9,2,1,203,1.7019
1977,9,2,2,212,2.0750
1977,9,2,3,203,1.4819
1977,9,2,4,180,1.6552
1977,9,2,5,146,-0.1102
1977,9,3,1,173,1.1699
1977,9,3,2,217,-0.3095
1977,9,3,3,276,0.1091
1977,9,3,4,281,0.0398
1977,9,3,5,215,-1.5332
1977,10,1,1,464,-1.3714
1977,10,1,2,375,-2.8919
1977,10,1,3,325,-3.6623
1977,10,1,4,267,-2.2900
1977,10,1,5,318,-3.3149
1977,10,2,1,196,-3.7174
1977,10,2,2,209,-3.1570
1977,10,2,3,194,-3.8337
1977,10,2,4,172,-3.9519
1977,10,2,5,139,-2.4380
1977,10,3,1,172,-2.6650
1977,10,3,2,209,-3.5166
1977,10,3,3,266,-4.4092
1977,10,3,4,275,-4.4411
1977,10,3,5,207,-4.7817
1977,11,1,1,477,10.6448
1977,11,1,2,381,10.2479
1977,11,1,3,339,9.6576
1977,11,1,4,286,10.4400
1977,11,1,5,334,8.2892
1977,11,2,1,202,9.1848
1977,11,2,2,214,10.3272
1977,11,2,3,200,10.1790
1977,11,2,4,183,8.8210
1977,11,2,5,152,7.6338
1977,11,3,1,172,2.1869
1977,11,3,2,227,4.7730
1977,11,3,3,278,5.0701
1977,11,3,4,297,4.9197
1977,11,3,5,231,4.7524
1977,12,1,1,466,2.9709
1977,12,1,2,394,1.6453
1977,12,1,3,343,1.6180
1977,12,1,4,295,1.6316
1977,12,1,5,334,2.4630
1977,12,2,1,203,-0.0066
1977,12,2,2,210,0.8782
1977,12,2,3,202,2.1576
1977,12,2,4,189,2.9784
1977,12,2,5,154,0.4198
1977,12,3,1,176,2.0468
1977,12,3,2,231,0.2412
1977,12,3,3,281,0.1595
1977,12,3,4,294,0.4251
1977,12,3,5,228,-1.2989
1978,1,1,1,449,-1.2214
1978,1,1,2,378,-2.4032
1978,1,1,3,330,-0.6040
1978,1,1,4,282,-0.2987
1978,1,1,5,322,-0.5560
1978,1,2,1,198,-4.1957
1978,1,2,2,200,-4.2615
1978,1,2,3,200,-4.5417
1978,1,2,4,188,-3.6857
1978,1,2,5,155,-2.6351
1978,1,3,1,175,-6.6039
1978,1,3,2,227,-6.3101
1978,1,3,3,276,-6.5015
1978,1,3,4,285,-7.5814
1978,1,3,5,216,-6.5322
1978,2,1,1,448,3.2800
1978,2,1,2,384,3.6167
1978,2,1,3,339,3.5711
1978,2,1,4,301,2.4479
1978,2,1,5,332,1.9001
1978,2,2,1,197,2.3669
1978,2,2,2,211,2.9103
1978,2,2,3,210,2.5920
1978,2,2,4,192,0.9880
1978,2,2,5,165,1.0766
1978,2,3,1,182,-1.0586
1978,2,3,2,240,-0.4925
1978,2,3,3,285,-1.5982
1978,2,3,4,300,-2.5587
1978,2,3,5,229,-2.8072
1978,3,1,1,445,8.5307
1978,3,1,2,384,8.3950
1978,3,1,3,336,9.4692
1978,3,1,4,305,7.6608
1978,3,1,5,335,6.8013
1978,3,2,1,198,5.4522
1978,3,2,2,213,7.6445
1978,3,2,3,211,7.0744
1978,3,2,4,194,6.2392
1978,3,2,5,163,5.1777
1978,3,3,1,182,3.7668
1978,3,3,2,240,3.9241
1978,3,3,3,287,3.7595
1978,3,3,4,299,2.9544
1978,3,3,5,225,0.9556
1978,4,1,1,422,7.3597
1978,4,1,2,370,8.0388
1978,4,1,3,321,9.4852
1978,4,1,4,296,7.8114
1978,4,1,5,324,6.8412
1978,4,2,1,188,7.1468
1978,4,2,2,208,9.0833
1978,4,2,3,208,8.4925
1978,4,2,4,187,7.1596
1978,4,2,5,159,5.2477
1978,4,3,1,181,7.6808
1978,4,3,2,241,8.3915
1978,4,3,3,275,8.6118
1978,4,3,4,282,8.6808
1978,4,3,5,208,5.8734
1978,5,1,1,438,7.4709
1978,5,1,2,390,7.5324
1978,5,1,3,340,8.8878
1978,5,1,4,317,8.8733
1978,5,1,5,329,6.3992
1978,5,2,1,198,4.6825
1978,5,2,2,210,5.5553
1978,5,2,3,217,6.1929
1978,5,2,4,197,4.7174
1978,5,2,5,160,5.1035
1978,5,3,1,187,1.5053
1978,5,3,2,257,1.4633
1978,5,3,3,290,1.8083
1978,5,3,4,296,1.7471
1978,5,3,5,208,0.5469
1978,6,1,1,437,-0.3564
1978,6,1,2,386,-0.3808
1978,6,1,3,345,0.4730
1978,6,1,4,327,0.1942
1978,6,1,5,333,-0.0510
1978,6,2,1,198,-1.1875
1978,6,2,2,211,-0.1679
1978,6,2,3,212,0.3308
1978,6,2,4,198,0.6361
1978,6,2,5,162,2.3570
1978,6,3,1,188,-4.0309
1978,6,3,2,249,-1.8575
1978,6,3,3,288,-1.3315
1978,6,3,4,289,-0.9085
1978,6,3,5,199,-0.6952
1978,7,1,1,418,5.3687
1978,7,1,2,359,6.7914
1978,7,1,3,330,5.9934
1978,7,1,4,311,8.2905
1978,7,1,5,306,6.3093
1978,7,2,1,190,5.3339
1978,7,2,2,194,7.3563
1978,7,2,3,193,7.2519
1978,7,2,4,182,5.6850
1978,7,2,5,144,5.3191
1978,7,3,1,175,4.5248
1978,7,3,2,233,6.0696
1978,7,3,3,264,5.3595
1978,7,3,4,267,6.5913
1978,7,3,5,181,4.3143
1978,8,1,1,430,9.7528
1978,8,1,2,376,9.3981
1978,8,1,3,341,11.4049
1978,8,1,4,337,9.0650
1978,8,1,5,311,8.5601
1978,8,2,1,196,9.5287
1978,8,2,2,217,10.0881
1978,8,2,3,204,9.5988
1978,8,2,4,192,8.8003
1978,8,2,5,161,7.1004
1978,8,3,1,180,4.6451
1978,8,3,2,244,4.2355
1978,8,3,3,271,4.3518
1978,8,3,4,289,3.2069
1978,8,3,5,192,0.7557
1978,9,1,1,431,-1.4105
1978,9,1,2,380,-1.6614
1978,9,1,3,343,-1.5929
1978,9,1,4,338,-1.2579
1978,9,1,5,320,-0.2521
1978,9,2,1,195,-1.3698
1978,9,2,2,218,-2.3697
1978,9,2,3,201,-2.9427
1978,9,2,4,200,-1.8065
1978,9,2,5,165,0.8639
1978,9,3,1,185,3.2766
1978,9,3,2,257,0.3091
1978,9,3,3,278,-0.9403
1978,9,3,4,288,-1.3364
1978,9,3,5,189,-0.6332
1978,10,1,1,423,-21.7010
1978,10,1,2,376,-22.3830
1978,10,1,3,332,-25.3932
1978,10,1,4,332,-24.3841
1978,10,1,5,311,-23.9207
1978,10,2,1,189,-18.1910
1978,10,2,2,211,-21.0104
1978,10,2,3,191,-20.1216
1978,10,2,4,202,-20.2471
1978,10,2,5,159,-21.4463
1978,10,3,1,182,-10.0498
1978,10,3,2,247,-10.4663
1978,10,3,3,267,-10.6219
1978,10,3,4,272,-10.5736
1978,10,3,5,184,-9.1357
1978,11,1,1,434,7.0059
1978,11,1,2,387,7.8792
1978,11,1,3,339,9.4151
1978,11,1,4,350,8.9673
1978,11,1,5,321,6.2637
1978,11,2,1,204,4.9356
1978,11,2,2,217,6.7706
1978,11,2,3,204,8.0262
1978,11,2,4,207,7.7287
1978,11,2,5,165,6.1741
1978,11,3,1,190,4.4781
1978,11,3,2,253,3.2372
1978,11,3,3,285,2.4723
1978,11,3,4,279,3.2641
1978,11,3,5,183,3.2684
1978,12,1,1,433,1.1699
1978,12,1,2,386,1.1401
1978,12,1,3,341,2.2157
1978,12,1,4,347,1.2913
1978,12,1,5,318,-0.3375
1978,12,2,1,204,2.5794
1978,12,2,2,218,1.9636
1978,12,2,3,213,2.2807
1978,12,2,4,207,2.6423
1978,12,2,5,170,0.6354
1978,12,3,1,192,1.4964
1978,12,3,2,257,1.4641
1978,12,3,3,286,0.3499
1978,12,3,4,279,0.6459
1978,12,3,5,183,-1.3145
1979,1,1,1,418,9.0853
1979,1,1,2,376,8.8108
1979,1,1,3,336,9.9137
1979,1,1,4,325,11.0669
1979,1,1,5,308,11.4745
1979,1,2,1,195,7.7472
1979,1,2,2,208,9.2713
1979,1,2,3,203,8.0728
1979,1,2,4,204,7.5001
1979,1,2,5,167,9.3692
1979,1,3,1,191,4.1099
1979,1,3,2,255,4.7729
1979,1,3,3,281,5.1837
1979,1,3,4,275,5.2853
1979,1,3,5,180,6.8974
1979,2,1,1,421,-1.8551
1979,2,1,2,383,-1.9180
1979,2,1,3,343,-2.4995
1979,2,1,4,336,-1.7068
1979,2,1,5,306,-2.8296
1979,2,2,1,200,-3.5280
1979,2,2,2,209,-3.8049
1979,2,2,3,201,-3.3906
1979,2,2,4,211,-3.3229
1979,2,2,5,174,0.2783
1979,2,3,1,189,-1.7798
1979,2,3,2,257,-2.2354
1979,2,3,3,299,-2.4827
1979,2,3,4,283,-3.0542
1979,2,3,5,179,-2.8441
1979,3,1,1,416,8.6318
1979,3,1,2,382,9.3173
1979,3,1,3,342,10.4341
1979,3,1,4,339,10.7838
1979,3,1,5,307,8.9218
1979,3,2,1,194,9.9477
1979,3,2,2,207,9.0403
1979,3,2,3,197,9.2806
1979,3,2,4,211,10.6668
1979,3,2,5,172,11.0420
1979,3,3,1,186,7.9905
1979,3,3,2,255,7.9399
1979,3,3,3,301,6.7067
1979,3,3,4,284,6.0810
1979,3,3,5,179,3.3491
1979,4,1,1,408,2.4647
1979,4,1,2,370,2.2655
1979,4,1,3,327,2.4791
1979,4,1,4,329,1.4991
1979,4,1,5,293,0.9938
1979,4,2,1,185,2.3455
1979,4,2,2,203,3.4779
1979,4,2,3,189,3.3514
1979,4,2,4,208,2.1889
1979,4,2,5,159,1.7785
1979,4,3,1,183,3.2962
1979,4,3,2,247,1.3571
1979,4,3,3,295,0.0526
1979,4,3,4,272,-1.0808
1979,4,3,5,176,-2.4705
1979,5,1,1,421,-0.2928
1979,5,1,2,380,-1.5666
1979,5,1,3,338,-1.0444
1979,5,1,4,336,-1.1303
1979,5,1,5,308,-0.6916
1979,5,2,1,190,-1.4307
1979,5,2,2,207,-0.9165
1979,5,2,3,193,-1.2088
1979,5,2,4,220,-1.6994
1979,5,2,5,169,-0.6684
1979,5,3,1,199,-2.8544
1979,5,3,2,256,-2.3009
1979,5,3,3,300,-1.2815
1979,5,3,4,285,-0.4661
1979,5,3,5,180,0.2344
1979,6,1,1,418,4.3693
1979,6,1,2,377,4.5101
1979,6,1,3,339,5.3628
1979,6,1,4,333,5.6561
1979,6,1,5,303,8.1557
1979,6,2,1,192,5.0118
1979,6,2,2,208,3.4889
1979,6,2,3,197,3.0414
1979,6,2,4,228,4.4219
1979,6,2,5,171,8.0516
1979,6,3,1,196,6.3387
1979,6,3,2,258,4.4668
1979,6,3,3,300,4.2126
1979,6,3,4,281,4.4054
1979,6,3,5,182,3.8363
1979,7,1,1,396,3.5431
1979,7,1,2,362,2.7202
1979,7,1,3,316,2.0099
1979,7,1,4,315,2.2266
1979,7,1,5,289,0.9059
1979,7,2,1,182,4.4473
1979,7,2,2,192,3.3403
1979,7,2,3,185,4.4278
1979,7,2,4,211,3.6599
1979,7,2,5,171,1.6894
1979,7,3,1,188,2.4551
1979,7,3,2,245,3.1404
1979,7,3,3,287,1.7987
1979,7,3,4,274,1.0642
1979,7,3,5,174,0.8948
1979,8,1,1,388,8.2237
1979,8,1,2,359,8.0566
1979,8,1,3,341,8.5037
1979,8,1,4,324,7.7645
1979,8,1,5,305,6.8030
1979,8,2,1,181,7.7303
1979,8,2,2,200,9.4088
1979,8,2,3,199,8.0011
1979,8,2,4,222,9.3512
1979,8,2,5,183,7.4229
1979,8,3,1,190,7.0234
1979,8,3,2,247,7.0312
1979,8,3,3,298,7.4401
1979,8,3,4,285,6.6278
1979,8,3,5,183,3.4865
1979,9,1,1,384,-0.1996
1979,9,1,2,366,-0.6812
1979,9,1,3,342,-0.7811
1979,9,1,4,331,0.2542
1979,9,1,5,309,0.9835
1979,9,2,1,185,-2.2538
1979,9,2,2,200,-1.2078
1979,9,2,3,204,0.4294
1979,9,2,4,217,0.9761
1979,9,2,5,186,3.3040
1979,9,3,1,187,4.2868
1979,9,3,2,250,1.3826
1979,9,3,3,295,0.8297
1979,9,3,4,286,0.7237
1979,9,3,5,182,-1.2926
1979,10,1,1,378,-9.5205
1979,10,1,2,354,-11.6151
1979,10,1,3,328,-11.1122
1979,10,1,4,315,-11.0865
1979,10,1,5,292,-10.4071
1979,10,2,1,180,-10.5459
1979,10,2,2,191,-11.3527
1979,10,2,3,197,-10.5397
1979,10,2,4,210,-9.3174
1979,10,2,5,173,-7.6950
1979,10,3,1,179,-4.1479
1979,10,3,2,247,-6.4352
1979,10,3,3,283,-6.6737
1979,10,3,4,272,-7.3318
1979,10,3,5,173,-7.2826
1979,11,1,1,385,6.7161
1979,11,1,2,369,7.6927
1979,11,1,3,345,10.3875
1979,11,1,4,326,10.7252
1979,11,1,5,296,9.9494
1979,11,2,1,183,6.5171
1979,11,2,2,199,8.6439
1979,11,2,3,201,8.5395
1979,11,2,4,224,10.7174
1979,11,2,5,174,11.0650
1979,11,3,1,191,4.5640
1979,11,3,2,250,6.9531
1979,11,3,3,285,6.6281
1979,11,3,4,282,7.5879
1979,11,3,5,182,7.0084
1979,12,1,1,383,6.3149
1979,12,1,2,366,7.4764
1979,12,1,3,347,8.2089
1979,12,1,4,329,9.6437
1979,12,1,5,300,10.4860
1979,12,2,1,188,5.4313
1979,12,2,2,199,5.2995
1979,12,2,3,207,6.0171
1979,12,2,4,223,6.3444
1979,12,2,5,182,6.8554
1979,12,3,1,193,1.9034
1979,12,3,2,253,2.3107
1979,12,3,3,284,3.4135
1979,12,3,4,283,3.9525
1979,12,3,5,184,0.8749
1980,1,1,1,376,8.6464
1980,1,1,2,359,8.2025
1980,1,1,3,341,9.5042
1980,1,1,4,320,10.9029
1980,1,1,5,291,12.5957
1980,1,2,1,182,7.7591
1980,1,2,2,200,5.6157
1980,1,2,3,200,6.3202
1980,1,2,4,211,6.5149
1980,1,2,5,182,7.8336
1980,1,3,1,181,10.9357
1980,1,3,2,240,9.4125
1980,1,3,3,269,8.2667
1980,1,3,4,275,5.7129
1980,1,3,5,183,3.0667
1980,2,1,1,385,-3.1050
1980,2,1,2,355,-3.2157
1980,2,1,3,352,-1.2689
1980,2,1,4,324,-1.3676
1980,2,1,5,314,0.9744
1980,2,2,1,191,-4.8525
1980,2,2,2,211,-3.4367
1980,2,2,3,213,-1.7631
1980,2,2,4,217,-0.4489
1980,2,2,5,186,1.6942
1980,2,3,1,187,7.5766
1980,2,3,2,254,3.4887
1980,2,3,3,268,2.5492
1980,2,3,4,288,-0.6020
1980,2,3,5,193,0.1060
1980,3,1,1,387,-16.5901
1980,3,1,2,358,-16.9509
1980,3,1,3,356,-18.1959
1980,3,1,4,323,-20.0275
1980,3,1,5,312,-21.8772
1980,3,2,1,190,-15.4510
1980,3,2,2,212,-15.4559
1980,3,2,3,218,-16.3470
1980,3,2,4,215,-15.6705
1980,3,2,5,193,-20.5429
1980,3,3,1,186,-14.6091
1980,3,3,2,253,-12.6784
1980,3,3,3,269,-13.4754
1980,3,3,4,287,-11.4427
1980,3,3,5,207,-11.5275
1980,4,1,1,371,5.7090
1980,4,1,2,352,5.5163
1980,4,1,3,348,6.8880
1980,4,1,4,301,8.3342
1980,4,1,5,296,6.9625
1980,4,2,1,186,5.5051
1980,4,2,2,205,5.1072
1980,4,2,3,217,5.5799
1980,4,2,4,205,6.5240
1980,4,2,5,191,8.9196
1980,4,3,1,179,4.2708
1980,4,3,2,251,4.4979
1980,4,3,3,259,4.9996
1980,4,3,4,273,7.1848
1980,4,3,5,201,12.0806
1980,5,1,1,375,7.7215
1980,5,1,2,361,5.2722
1980,5,1,3,349,5.9816
1980,5,1,4,324,5.8627
1980,5,1,5,317,6.7241
1980,5,2,1,194,8.1797
1980,5,2,2,217,8.6756
1980,5,2,3,228,7.5159
1980,5,2,4,218,7.0424
1980,5,2,5,192,7.9841
1980,5,3,1,184,5.5184
1980,5,3,2,264,5.8055
1980,5,3,3,274,5.9316
1980,5,3,4,287,6.6733
1980,5,3,5,211,4.8380
1980,6,1,1,372,4.6653
1980,6,1,2,373,3.4802
1980,6,1,3,339,2.9301
1980,6,1,4,323,3.9345
1980,6,1,5,322,4.8049
1980,6,2,1,193,3.9118
1980,6,2,2,219,2.4055
1980,6,2,3,231,3.3067
1980,6,2,4,209,4.4389
1980,6,2,5,193,6.3957
1980,6,3,1,180,2.0369
1980,6,3,2,262,4.8131
1980,6,3,3,275,3.8228
1980,6,3,4,292,3.7978
1980,6,3,5,213,7.1032
1980,7,1,1,350,9.5895
1980,7,1,2,355,11.4408
1980,7,1,3,319,12.9257
1980,7,1,4,307,12.1883
1980,7,1,5,308,10.8976
1980,7,2,1,189,10.1223
1980,7,2,2,218,11.2901
1980,7,2,3,222,11.3054
1980,7,2,4,201,11.5506
1980,7,2,5,187,8.4954
1980,7,3,1,168,4.7737
1980,7,3,2,240,6.3678
1980,7,3,3,263,6.6471
1980,7,3,4,274,7.8466
1980,7,3,5,203,3.5703
1980,8,1,1,353,7.7590
1980,8,1,2,362,8.9066
1980,8,1,3,317,7.9350
1980,8,1,4,317,7.6140
1980,8,1,5,319,7.3537
1980,8,2,1,195,3.6851
1980,8,2,2,222,5.4614
1980,8,2,3,223,5.0393
1980,8,2,4,210,4.2885
1980,8,2,5,196,3.9814
1980,8,3,1,170,1.4690
1980,8,3,2,240,2.1273
1980,8,3,3,270,1.5604
1980,8,3,4,287,1.7989
1980,8,3,5,214,1.0910
1980,9,1,1,356,3.6310
1980,9,1,2,350,1.3901
1980,9,1,3,319,2.3817
1980,9,1,4,320,3.0106
1980,9,1,5,326,3.0078
1980,9,2,1,193,3.0365
1980,9,2,2,222,2.4371
1980,9,2,3,225,3.9247
1980,9,2,4,208,3.4165
1980,9,2,5,196,2.5793
1980,9,3,1,170,2.7723
1980,9,3,2,243,4.5956
1980,9,3,3,272,4.1150
