year,month,rank_ME,rank_Dur,nstocks,ret_vw
1968,12,3,1,51,-0.8842
1968,12,3,2,83,-4.6863
1968,12,3,3,103,-1.0860
1968,12,3,4,102,-5.2012
1968,12,3,5,120,-5.0680
1969,1,1,1,109,-2.3579
1969,1,1,2,59,-2.7007
1969,1,1,3,73,0.2864
1969,1,1,4,66,-2.3612
1969,1,1,5,88,0.4053
1969,1,2,1,62,-1.3172
1969,1,2,2,45,0.4571
1969,1,2,3,31,-1.1639
1969,1,2,4,50,-2.2896
1969,1,2,5,43,0.0932
1969,1,3,1,51,0.0752
1969,1,3,2,83,0.1310
1969,1,3,3,103,-0.1797
1969,1,3,4,102,0.1698
1969,1,3,5,120,-2.2655
1969,2,1,1,109,-8.9858
1969,2,1,2,59,-9.2195
1969,2,1,3,73,-9.0595
1969,2,1,4,66,-9.8201
1969,2,1,5,87,-13.5002
1969,2,2,1,62,-7.1314
1969,2,2,2,45,-7.0335
1969,2,2,3,31,-5.2848
1969,2,2,4,50,-9.1004
1969,2,2,5,43,-11.8668
1969,2,3,1,51,-7.4882
1969,2,3,2,83,-4.2261
1969,2,3,3,103,-6.1569
1969,2,3,4,102,-3.5744
1969,2,3,5,120,-3.7565
1969,3,1,1,109,2.1791
1969,3,1,2,59,3.2849
1969,3,1,3,73,2.3559
1969,3,1,4,66,2.5121
1969,3,1,5,87,1.8840
1969,3,2,1,62,5.1676
1969,3,2,2,45,1.4341
1969,3,2,3,31,1.8651
1969,3,2,4,50,1.6096
1969,3,2,5,43,2.0307
1969,3,3,1,51,5.1247
1969,3,3,2,83,2.7659
1969,3,3,3,103,2.6259
1969,3,3,4,102,3.3312
1969,3,3,5,120,3.8070
1969,4,1,1,109,-1.9612
1969,4,1,2,59,2.1002
1969,4,1,3,73,-0.6978
1969,4,1,4,66,2.3558
1969,4,1,5,87,-1.8820
1969,4,2,1,62,2.3296
1969,4,2,2,45,0.6938
1969,4,2,3,31,-0.2134
1969,4,2,4,50,2.7906
1969,4,2,5,42,2.4770
1969,4,3,1,51,1.3386
1969,4,3,2,83,2.6102
1969,4,3,3,103,0.4364
1969,4,3,4,102,1.1026
1969,4,3,5,120,3.6532
1969,5,1,1,108,0.5961
1969,5,1,2,59,1.2870
1969,5,1,3,73,0.0893
1969,5,1,4,66,0.4349
1969,5,1,5,87,2.0834
1969,5,2,1,62,1.7604
1969,5,2,2,45,0.1242
1969,5,2,3,30,1.1536
1969,5,2,4,50,-2.0875
1969,5,2,5,43,-0.3558
1969,5,3,1,51,2.0703
1969,5,3,2,83,1.6082
1969,5,3,3,102,0.9210
1969,5,3,4,102,-0.4484
1969,5,3,5,120,-0.6944
1969,6,1,1,108,-12.6036
1969,6,1,2,59,-13.3853
1969,6,1,3,73,-13.8465
1969,6,1,4,66,-13.0428
1969,6,1,5,87,-14.8906
1969,6,2,1,62,-9.8138
1969,6,2,2,45,-9.0036
1969,6,2,3,31,-10.5538
1969,6,2,4,50,-10.6327
1969,6,2,5,43,-12.2420
1969,6,3,1,50,-9.5556
1969,6,3,2,83,-6.7525
1969,6,3,3,103,-8.1567
1969,6,3,4,102,-6.6156
1969,6,3,5,120,-2.1843
1969,7,1,1,101,-8.3375
1969,7,1,2,64,-9.8236
1969,7,1,3,85,-10.9981
1969,7,1,4,104,-10.9418
1969,7,1,5,161,-13.2214
1969,7,2,1,54,-7.0738
1969,7,2,2,52,-6.5048
1969,7,2,3,42,-7.8935
1969,7,2,4,60,-9.5085
1969,7,2,5,77,-12.1073
1969,7,3,1,79,-5.5238
1969,7,3,2,98,-7.3913
1969,7,3,3,111,-7.9145
1969,7,3,4,109,-6.2731
1969,7,3,5,114,-3.5422
1969,8,1,1,101,2.6117
1969,8,1,2,63,2.5073
1969,8,1,3,85,4.0980
1969,8,1,4,104,4.0809
1969,8,1,5,161,4.8812
1969,8,2,1,54,3.9944
1969,8,2,2,52,3.1592
1969,8,2,3,42,4.6814
1969,8,2,4,60,9.0537
1969,8,2,5,77,7.2962
1969,8,3,1,79,2.5506
1969,8,3,2,98,3.6949
1969,8,3,3,111,3.8176
1969,8,3,4,109,4.4756
1969,8,3,5,114,7.3662
1969,9,1,1,101,-2.9407
1969,9,1,2,64,-4.1114
1969,9,1,3,85,-3.0668
1969,9,1,4,104,-4.0042
1969,9,1,5,161,-3.4210
1969,9,2,1,54,-0.5674
1969,9,2,2,52,-2.0519
1969,9,2,3,42,-0.5223
1969,9,2,4,60,0.1691
1969,9,2,5,77,0.5195
1969,9,3,1,79,-4.5142
1969,9,3,2,98,-5.4554
1969,9,3,3,111,-2.6991
1969,9,3,4,109,-2.1979
1969,9,3,5,114,0.0222
1969,10,1,1,101,7.2337
1969,10,1,2,64,8.5209
1969,10,1,3,85,7.1691
1969,10,1,4,104,13.0928
1969,10,1,5,161,14.6953
1969,10,2,1,54,8.0299
1969,10,2,2,52,6.4750
1969,10,2,3,42,6.3748
1969,10,2,4,60,7.9522
1969,10,2,5,77,8.3671
1969,10,3,1,79,3.8839
1969,10,3,2,98,2.4803
1969,10,3,3,110,5.2588
1969,10,3,4,109,5.4358
1969,10,3,5,114,6.4304
1969,11,1,1,101,-6.2659
1969,11,1,2,64,-5.8706
1969,11,1,3,85,-5.7676
1969,11,1,4,103,-7.2334
1969,11,1,5,161,-8.2294
1969,11,2,1,54,-5.0171
1969,11,2,2,52,-4.1257
1969,11,2,3,42,-4.0634
1969,11,2,4,60,-4.6416
1969,11,2,5,76,-4.9547
1969,11,3,1,79,-2.6502
