year,month,rank_ME,rank_SP,nstocks,ret_vw
1969,12,2,3,74,-5.3405
1969,12,2,4,60,-2.5404
1969,12,2,5,72,-7.7067
1969,12,3,1,170,0.2441
1969,12,3,2,111,-1.3572
1969,12,3,3,113,-3.2848
1969,12,3,4,98,-2.8122
1969,12,3,5,64,-4.8892
1970,1,1,1,113,-5.0725
1970,1,1,2,115,-3.7478
1970,1,1,3,161,-4.0074
1970,1,1,4,155,-2.9820
1970,1,1,5,206,-1.7468
1970,1,2,1,83,-7.5581
1970,1,2,2,75,-2.5929
1970,1,2,3,74,-6.9402
1970,1,2,4,60,-5.6087
1970,1,2,5,72,-4.9917
1970,1,3,1,170,-7.3356
1970,1,3,2,111,-8.2505
1970,1,3,3,113,-8.4038
1970,1,3,4,98,-7.7733
1970,1,3,5,64,-8.1649
1970,2,1,1,113,2.3849
1970,2,1,2,114,3.3266
1970,2,1,3,161,4.3169
1970,2,1,4,155,3.0149
1970,2,1,5,206,1.4752
1970,2,2,1,81,3.7283
1970,2,2,2,75,4.3773
1970,2,2,3,74,4.0390
1970,2,2,4,60,5.7240
1970,2,2,5,72,3.7755
1970,2,3,1,169,4.8835
1970,2,3,2,111,6.8734
1970,2,3,3,113,5.9381
1970,2,3,4,98,6.8945
1970,2,3,5,64,7.3998
1970,3,1,1,113,-5.7486
1970,3,1,2,114,-4.6043
1970,3,1,3,161,-4.9055
1970,3,1,4,155,-2.7074
1970,3,1,5,206,-1.1861
1970,3,2,1,83,-5.0649
1970,3,2,2,75,-1.1217
1970,3,2,3,74,-0.0948
1970,3,2,4,60,-0.9763
1970,3,2,5,72,-1.4638
1970,3,3,1,170,-1.0698
1970,3,3,2,111,0.0549
1970,3,3,3,113,1.7212
1970,3,3,4,98,-0.0953
1970,3,3,5,64,0.9289
1970,4,1,1,112,-24.3631
1970,4,1,2,114,-21.0587
1970,4,1,3,161,-18.1454
1970,4,1,4,155,-14.5329
1970,4,1,5,205,-14.4291
1970,4,2,1,83,-18.4136
1970,4,2,2,75,-14.2627
1970,4,2,3,74,-13.7429
1970,4,2,4,60,-14.0097
1970,4,2,5,72,-13.7819
1970,4,3,1,170,-9.4110
1970,4,3,2,111,-9.8802
1970,4,3,3,113,-8.5456
1970,4,3,4,98,-10.3756
1970,4,3,5,64,-9.9753
1970,5,1,1,112,-8.6732
1970,5,1,2,114,-9.2546
1970,5,1,3,160,-7.4388
1970,5,1,4,154,-10.3265
1970,5,1,5,205,-10.3260
1970,5,2,1,83,-11.2567
1970,5,2,2,75,-10.2960
1970,5,2,3,74,-8.9039
1970,5,2,4,60,-9.3721
1970,5,2,5,72,-9.5118
1970,5,3,1,170,-5.9354
1970,5,3,2,111,-5.0921
1970,5,3,3,113,-4.6813
1970,5,3,4,98,-7.6993
1970,5,3,5,64,-6.2346
1970,6,1,1,112,-10.7894
1970,6,1,2,113,-11.1708
1970,6,1,3,158,-9.5061
1970,6,1,4,154,-7.7785
1970,6,1,5,205,-6.5826
1970,6,2,1,82,-6.8477
1970,6,2,2,75,-7.4072
1970,6,2,3,74,-8.1425
1970,6,2,4,58,-6.5725
1970,6,2,5,72,-5.3247
1970,6,3,1,170,-6.2414
1970,6,3,2,111,-3.4474
1970,6,3,3,113,-3.7177
1970,6,3,4,98,-4.8471
1970,6,3,5,64,-5.7600
1970,7,1,1,88,6.1701
1970,7,1,2,106,5.2664
1970,7,1,3,157,5.1976
1970,7,1,4,223,2.9041
1970,7,1,5,270,5.6263
1970,7,2,1,74,8.4686
1970,7,2,2,84,7.2106
1970,7,2,3,81,5.4835
1970,7,2,4,65,8.0258
1970,7,2,5,87,7.4791
1970,7,3,1,188,5.1938
1970,7,3,2,133,8.8982
1970,7,3,3,115,9.8257
1970,7,3,4,89,7.4391
1970,7,3,5,47,7.9396
1970,8,1,1,88,4.6404
1970,8,1,2,105,5.4775
1970,8,1,3,156,5.8236
1970,8,1,4,223,7.7707
1970,8,1,5,270,5.9308
1970,8,2,1,74,6.9922
1970,8,2,2,84,6.4773
1970,8,2,3,80,8.0088
1970,8,2,4,65,7.6134
1970,8,2,5,87,5.3956
1970,8,3,1,188,4.0350
1970,8,3,2,133,4.1826
1970,8,3,3,115,6.2364
1970,8,3,4,89,5.9568
1970,8,3,5,46,8.5887
1970,9,1,1,88,20.0929
1970,9,1,2,105,17.6445
1970,9,1,3,156,16.1769
1970,9,1,4,221,13.4435
1970,9,1,5,269,12.8085
1970,9,2,1,74,15.0113
1970,9,2,2,84,10.4952
1970,9,2,3,80,11.2345
1970,9,2,4,65,9.5215
1970,9,2,5,86,10.8218
1970,9,3,1,188,4.9463
1970,9,3,2,133,2.3610
1970,9,3,3,115,2.9025
1970,9,3,4,88,4.2756
1970,9,3,5,46,4.5513
1970,10,1,1,88,-8.0414
1970,10,1,2,105,-9.9478
1970,10,1,3,156,-8.4416
1970,10,1,4,220,-8.4221
1970,10,1,5,270,-5.6347
1970,10,2,1,73,-4.8886
1970,10,2,2,84,-4.7550
1970,10,2,3,80,-6.2978
1970,10,2,4,65,-3.3947
1970,10,2,5,86,-5.9028
1970,10,3,1,188,-0.7632
1970,10,3,2,133,-0.3129
1970,10,3,3,115,-0.8628
1970,10,3,4,88,-3.6280
1970,10,3,5,46,-5.5058
1970,11,1,1,88,-5.2467
1970,11,1,2,105,-2.2596
1970,11,1,3,155,-0.6883
1970,11,1,4,220,-0.9604
1970,11,1,5,268,-0.6590
1970,11,2,1,73,0.0034
1970,11,2,2,83,3.2537
1970,11,2,3,80,4.2043
1970,11,2,4,65,3.6572
1970,11,2,5,86,3.0450
1970,11,3,1,188,5.2835
1970,11,3,2,133,6.2492
1970,11,3,3,115,5.5746
1970,11,3,4,88,3.7451
1970,11,3,5,46,5.4481
1970,12,1,1,88,4.2030
1970,12,1,2,105,9.4330
1970,12,1,3,154,8.9233
1970,12,1,4,219,10.6472
1970,12,1,5,267,11.8268
1970,12,2,1,73,5.4096
1970,12,2,2,83,7.9455
1970,12,2,3,80,9.4151
1970,12,2,4,65,8.7922
1970,12,2,5,86,9.8095
1970,12,3,1,187,5.2263
1970,12,3,2,133,6.3400
1970,12,3,3,115,5.4518
1970,12,3,4,88,9.7573
1970,12,3,5,46,7.4602
1971,1,1,1,87,13.3866
1971,1,1,2,104,13.1353
1971,1,1,3,154,13.1600
1971,1,1,4,219,14.0693
1971,1,1,5,266,18.0158
1971,1,2,1,73,8.8899
1971,1,2,2,82,9.8165
1971,1,2,3,80,10.0745
1971,1,2,4,64,13.0807
1971,1,2,5,86,11.4013
1971,1,3,1,187,4.4163
1971,1,3,2,133,3.8408
1971,1,3,3,115,3.5418
1971,1,3,4,88,6.6135
1971,1,3,5,46,9.0936
1971,2,1,1,87,8.1803
1971,2,1,2,104,3.7936
1971,2,1,3,153,7.1270
1971,2,1,4,217,5.1183
1971,2,1,5,265,5.4429
1971,2,2,1,73,3.5508
1971,2,2,2,81,1.9169
1971,2,2,3,80,2.4785
1971,2,2,4,64,3.0531
1971,2,2,5,86,2.2123
1971,2,3,1,186,0.2561
1971,2,3,2,133,1.2724
1971,2,3,3,115,3.1142
1971,2,3,4,88,2.8056
1971,2,3,5,46,2.8493
1971,3,1,1,87,6.4483
1971,3,1,2,103,6.0610
1971,3,1,3,153,5.4816
1971,3,1,4,217,6.6157
1971,3,1,5,265,6.6405
1971,3,2,1,73,9.7561
1971,3,2,2,81,6.7461
1971,3,2,3,80,7.3222
1971,3,2,4,64,4.6238
1971,3,2,5,86,4.4445
1971,3,3,1,186,4.7331
1971,3,3,2,132,3.4887
1971,3,3,3,115,3.5870
1971,3,3,4,88,3.9206
1971,3,3,5,45,3.4342
1971,4,1,1,87,0.9424
1971,4,1,2,102,3.9293
1971,4,1,3,152,2.3177
1971,4,1,4,217,2.5283
1971,4,1,5,265,1.9651
1971,4,2,1,72,1.7539
1971,4,2,2,80,5.0044
1971,4,2,3,80,4.8020
1971,4,2,4,64,3.8494
1971,4,2,5,85,3.7449
1971,4,3,1,186,1.4436
1971,4,3,2,132,4.6055
1971,4,3,3,115,5.7117
1971,4,3,4,88,4.8958
1971,4,3,5,45,5.2893
1971,5,1,1,87,-6.1812
1971,5,1,2,102,-5.9545
1971,5,1,3,152,-6.6232
1971,5,1,4,215,-5.5049
1971,5,1,5,262,-6.6415
1971,5,2,1,72,-2.9214
1971,5,2,2,80,-3.1367
1971,5,2,3,80,-5.1545
1971,5,2,4,64,-4.0032
1971,5,2,5,85,-5.8285
1971,5,3,1,186,-3.4884
1971,5,3,2,132,-3.0525
1971,5,3,3,115,-3.6694
1971,5,3,4,88,-4.5172
1971,5,3,5,45,-3.4549
1971,6,1,1,85,-3.2720
1971,6,1,2,102,-2.9120
1971,6,1,3,149,-2.0501
1971,6,1,4,215,-1.2043
1971,6,1,5,261,-2.3021
1971,6,2,1,71,-1.0058
1971,6,2,2,80,0.7929
1971,6,2,3,80,0.6859
1971,6,2,4,64,-1.8913
1971,6,2,5,85,-0.7623
1971,6,3,1,185,1.7756
1971,6,3,2,132,0.1499
1971,6,3,3,115,-0.6522
1971,6,3,4,88,-2.0252
1971,6,3,5,45,-0.1170
1971,7,1,1,59,-7.9048
1971,7,1,2,93,-7.0882
1971,7,1,3,135,-7.7927
1971,7,1,4,241,-7.7070
1971,7,1,5,334,-5.4139
1971,7,2,1,66,-5.3883
1971,7,2,2,77,-3.5071
1971,7,2,3,91,-5.0696
1971,7,2,4,90,-5.6222
1971,7,2,5,79,-4.9909
1971,7,3,1,189,-3.9998
1971,7,3,2,151,-3.3994
1971,7,3,3,120,-4.6731
1971,7,3,4,77,-5.9869
1971,7,3,5,47,-6.4710
1971,8,1,1,59,0.8273
1971,8,1,2,93,3.1982
1971,8,1,3,135,3.7681
1971,8,1,4,241,4.2089
1971,8,1,5,333,5.9243
1971,8,2,1,66,1.2695
1971,8,2,2,77,3.0696
1971,8,2,3,91,5.2738
1971,8,2,4,90,7.4427
1971,8,2,5,79,4.6371
1971,8,3,1,189,2.7624
1971,8,3,2,150,4.6106
1971,8,3,3,119,4.8701
1971,8,3,4,77,7.5752
1971,8,3,5,47,7.6469
1971,9,1,1,59,-3.4438
1971,9,1,2,93,2.3140
1971,9,1,3,135,-0.1400
1971,9,1,4,241,-0.5343
1971,9,1,5,333,-0.8818
1971,9,2,1,66,-1.4757
1971,9,2,2,77,0.3319
