year,month,rank_ME,rank_BMJ,nstocks,ret_vw
1968,6,1,2,93,-2.3438
1968,6,1,3,98,1.9171
1968,6,1,4,87,1.6678
1968,6,1,5,173,2.4020
1968,6,2,1,61,-2.4740
1968,6,2,2,61,-0.8764
1968,6,2,3,42,0.8145
1968,6,2,4,50,3.6293
1968,6,2,5,59,0.4727
1968,6,3,1,145,-1.0446
1968,6,3,2,113,1.2022
1968,6,3,3,112,4.0953
1968,6,3,4,94,3.4122
1968,6,3,5,52,-0.4472
1968,7,1,1,184,-5.0616
1968,7,1,2,131,-5.3500
1968,7,1,3,112,-3.1095
1968,7,1,4,72,-1.3649
1968,7,1,5,115,-0.5665
1968,7,2,1,89,-6.2777
1968,7,2,2,62,-4.7678
1968,7,2,3,43,-3.4023
1968,7,2,4,58,-0.7146
1968,7,2,5,59,-0.1243
1968,7,3,1,136,-5.7259
1968,7,3,2,111,-2.2577
1968,7,3,3,104,-0.5701
1968,7,3,4,97,1.9401
1968,7,3,5,70,0.9998
1968,8,1,1,184,5.3092
1968,8,1,2,131,4.7260
1968,8,1,3,112,5.2239
1968,8,1,4,72,2.6245
1968,8,1,5,115,4.3784
1968,8,2,1,89,4.0209
1968,8,2,2,61,2.7652
1968,8,2,3,43,3.6593
1968,8,2,4,58,2.5249
1968,8,2,5,59,4.7813
1968,8,3,1,136,1.1314
1968,8,3,2,111,0.8973
1968,8,3,3,103,1.5193
1968,8,3,4,97,1.9803
1968,8,3,5,70,1.7109
1968,9,1,1,183,7.7286
1968,9,1,2,131,7.3708
1968,9,1,3,112,6.7484
1968,9,1,4,72,5.5820
1968,9,1,5,115,7.8489
1968,9,2,1,89,8.5351
1968,9,2,2,61,6.2744
1968,9,2,3,43,4.6768
1968,9,2,4,58,5.8579
1968,9,2,5,59,6.7435
1968,9,3,1,136,2.1625
1968,9,3,2,111,5.3794
1968,9,3,3,103,3.8740
1968,9,3,4,97,3.5699
1968,9,3,5,70,5.7787
1968,10,1,1,183,-1.3318
1968,10,1,2,131,-0.0102
1968,10,1,3,112,3.6372
1968,10,1,4,72,-0.4107
1968,10,1,5,115,2.3711
1968,10,2,1,89,-0.1102
1968,10,2,2,61,0.5117
1968,10,2,3,42,0.8184
1968,10,2,4,58,3.5069
1968,10,2,5,59,0.1057
1968,10,3,1,136,-2.4298
1968,10,3,2,111,2.1398
1968,10,3,3,103,1.8215
1968,10,3,4,97,2.2650
1968,10,3,5,70,2.8749
1968,11,1,1,182,8.6009
1968,11,1,2,131,7.7872
1968,11,1,3,112,7.3243
1968,11,1,4,72,7.5691
1968,11,1,5,115,4.3834
1968,11,2,1,89,8.4839
1968,11,2,2,61,8.8626
1968,11,2,3,43,6.1608
1968,11,2,4,58,10.1206
1968,11,2,5,59,5.8869
1968,11,3,1,136,6.9877
1968,11,3,2,111,3.1287
1968,11,3,3,103,4.8945
1968,11,3,4,97,7.0057
1968,11,3,5,70,5.3475
1968,12,1,1,183,4.2420
1968,12,1,2,131,1.6120
1968,12,1,3,112,1.0027
1968,12,1,4,72,0.7718
1968,12,1,5,115,0.7704
1968,12,2,1,89,-1.6282
1968,12,2,2,61,-0.1619
1968,12,2,3,43,-2.3681
1968,12,2,4,58,-1.6094
1968,12,2,5,59,-0.5619
1968,12,3,1,136,-5.1627
1968,12,3,2,111,-4.3581
1968,12,3,3,103,-2.6371
1968,12,3,4,97,-2.9900
1968,12,3,5,70,-3.6106
1969,1,1,1,183,-1.2691
1969,1,1,2,131,-0.7758
1969,1,1,3,112,-1.5317
1969,1,1,4,72,-2.9215
1969,1,1,5,115,-1.1113
1969,1,2,1,89,-3.1723
1969,1,2,2,61,-1.5049
1969,1,2,3,43,-1.0913
1969,1,2,4,58,0.8458
1969,1,2,5,59,-0.9383
1969,1,3,1,136,-2.3014
1969,1,3,2,111,-0.9551
1969,1,3,3,103,-0.1613
1969,1,3,4,96,-0.2171
1969,1,3,5,70,0.7382
1969,2,1,1,183,-12.1220
1969,2,1,2,131,-9.9395
1969,2,1,3,111,-10.0057
1969,2,1,4,72,-7.1850
1969,2,1,5,115,-8.7573
1969,2,2,1,89,-10.0732
1969,2,2,2,61,-7.5960
1969,2,2,3,43,-7.7063
1969,2,2,4,58,-7.0454
1969,2,2,5,59,-7.2173
1969,2,3,1,136,-3.8943
1969,2,3,2,111,-4.5930
1969,2,3,3,103,-4.8310
1969,2,3,4,96,-5.1358
1969,2,3,5,70,-5.2282
1969,3,1,1,183,3.1845
1969,3,1,2,131,1.9391
1969,3,1,3,111,3.9130
1969,3,1,4,72,0.8661
1969,3,1,5,115,1.5381
1969,3,2,1,89,3.1707
1969,3,2,2,61,2.9489
1969,3,2,3,43,2.0079
1969,3,2,4,58,1.6722
1969,3,2,5,59,4.4694
1969,3,3,1,136,4.2384
1969,3,3,2,111,3.2757
1969,3,3,3,103,2.3247
1969,3,3,4,96,2.8214
1969,3,3,5,70,3.1340
1969,4,1,1,183,0.7042
1969,4,1,2,131,-1.7195
1969,4,1,3,111,2.0414
1969,4,1,4,72,1.0723
1969,4,1,5,115,-2.6652
1969,4,2,1,88,1.7575
1969,4,2,2,61,1.8482
1969,4,2,3,43,-0.1352
1969,4,2,4,58,2.2346
1969,4,2,5,59,1.1578
1969,4,3,1,136,3.9077
1969,4,3,2,111,1.5958
1969,4,3,3,103,0.7712
1969,4,3,4,96,-0.3437
1969,4,3,5,70,3.3493
1969,5,1,1,183,1.3126
1969,5,1,2,131,2.1862
1969,5,1,3,110,0.5942
1969,5,1,4,72,-0.1306
1969,5,1,5,114,0.6580
1969,5,2,1,89,-0.3843
1969,5,2,2,61,1.0803
1969,5,2,3,43,-0.1661
1969,5,2,4,57,0.7842
1969,5,2,5,59,0.6631
1969,5,3,1,136,-0.5601
1969,5,3,2,109,0.6697
1969,5,3,3,103,-0.0331
1969,5,3,4,96,0.8003
1969,5,3,5,70,1.5595
1969,6,1,1,183,-15.7302
1969,6,1,2,131,-13.4518
1969,6,1,3,111,-13.0276
1969,6,1,4,72,-12.6949
1969,6,1,5,114,-11.0040
1969,6,2,1,89,-11.2443
1969,6,2,2,61,-10.6261
1969,6,2,3,43,-10.5345
1969,6,2,4,58,-9.4894
1969,6,2,5,59,-9.6074
1969,6,3,1,136,-2.4224
1969,6,3,2,110,-5.9571
1969,6,3,3,103,-8.0767
1969,6,3,4,96,-8.0831
1969,6,3,5,69,-6.8828
1969,7,1,1,167,-13.5250
1969,7,1,2,142,-12.3666
1969,7,1,3,135,-10.3379
1969,7,1,4,113,-11.3092
1969,7,1,5,139,-7.9838
1969,7,2,1,97,-9.5852
1969,7,2,2,73,-8.5898
1969,7,2,3,58,-10.9651
1969,7,2,4,51,-6.2948
1969,7,2,5,61,-7.5503
1969,7,3,1,145,-4.5057
1969,7,3,2,114,-6.0082
1969,7,3,3,111,-8.2466
1969,7,3,4,107,-5.2692
1969,7,3,5,68,-7.8165
1969,8,1,1,167,6.4416
1969,8,1,2,142,5.7013
1969,8,1,3,135,3.2730
1969,8,1,4,113,1.9164
1969,8,1,5,138,2.3542
1969,8,2,1,97,8.5283
1969,8,2,2,73,5.5530
1969,8,2,3,58,6.0107
1969,8,2,4,51,1.8158
1969,8,2,5,61,4.3545
1969,8,3,1,145,6.8135
1969,8,3,2,114,4.3101
1969,8,3,3,111,3.8788
1969,8,3,4,107,3.3610
1969,8,3,5,68,1.6755
1969,9,1,1,167,-1.2911
1969,9,1,2,142,-5.5099
1969,9,1,3,135,-4.2419
1969,9,1,4,113,-4.4287
1969,9,1,5,139,-2.8267
1969,9,2,1,97,1.9467
1969,9,2,2,72,-0.9480
1969,9,2,3,58,-1.0904
1969,9,2,4,51,-2.4063
1969,9,2,5,61,-1.7943
1969,9,3,1,145,-0.2780
1969,9,3,2,114,-1.6643
1969,9,3,3,111,-4.5868
1969,9,3,4,107,-5.0396
1969,9,3,5,68,-4.2829
1969,10,1,1,167,12.4245
1969,10,1,2,142,14.1704
1969,10,1,3,135,9.8859
1969,10,1,4,113,8.8280
1969,10,1,5,139,7.7533
1969,10,2,1,97,9.0294
1969,10,2,2,72,7.0703
1969,10,2,3,58,7.8239
1969,10,2,4,51,8.0321
1969,10,2,5,61,7.6706
1969,10,3,1,145,5.9116
1969,10,3,2,114,5.5100
1969,10,3,3,111,3.7917
1969,10,3,4,106,3.4312
1969,10,3,5,68,6.5340
1969,11,1,1,167,-8.2806
1969,11,1,2,142,-7.5087
1969,11,1,3,134,-6.9753
1969,11,1,4,113,-5.9432
1969,11,1,5,139,-6.8732
1969,11,2,1,96,-3.9806
1969,11,2,2,72,-4.5653
1969,11,2,3,58,-4.6050
1969,11,2,4,51,-4.0603
1969,11,2,5,61,-6.2537
1969,11,3,1,145,-1.7090
1969,11,3,2,114,-3.3792
1969,11,3,3,111,-3.9340
1969,11,3,4,107,-2.7937
1969,11,3,5,68,-5.8453
1969,12,1,1,167,-7.1620
1969,12,1,2,142,-8.8081
1969,12,1,3,135,-6.6796
1969,12,1,4,113,-8.4117
1969,12,1,5,139,-8.5407
1969,12,2,1,95,-3.1397
1969,12,2,2,72,-4.1424
1969,12,2,3,58,-4.2944
1969,12,2,4,51,-4.9976
1969,12,2,5,61,-6.2525
1969,12,3,1,145,0.6820
1969,12,3,2,114,-2.5827
1969,12,3,3,111,-1.3716
1969,12,3,4,107,-3.8806
1969,12,3,5,68,-4.1935
1970,1,1,1,167,-6.5220
1970,1,1,2,142,-3.4564
1970,1,1,3,135,-3.4044
1970,1,1,4,113,-1.9601
1970,1,1,5,139,-0.4870
1970,1,2,1,96,-5.7309
1970,1,2,2,72,-8.3169
1970,1,2,3,58,-6.1561
1970,1,2,4,51,-2.1432
1970,1,2,5,61,-3.1518
1970,1,3,1,145,-8.0048
1970,1,3,2,114,-7.6970
1970,1,3,3,111,-9.8992
1970,1,3,4,107,-6.2639
1970,1,3,5,68,-5.4758
1970,2,1,1,167,2.3588
1970,2,1,2,142,3.8946
1970,2,1,3,135,2.7880
1970,2,1,4,113,3.0307
1970,2,1,5,139,3.6609
1970,2,2,1,94,4.5210
1970,2,2,2,72,2.2375
1970,2,2,3,58,2.6809
1970,2,2,4,51,5.9330
1970,2,2,5,61,6.9996
1970,2,3,1,144,3.3460
1970,2,3,2,114,7.4214
1970,2,3,3,111,6.2083
1970,2,3,4,107,8.8234
1970,2,3,5,68,7.8622
1970,3,1,1,167,-6.8807
1970,3,1,2,142,-5.4379
1970,3,1,3,135,-3.5125
1970,3,1,4,113,-0.6918
1970,3,1,5,139,-0.2565
1970,3,2,1,96,-5.7035
1970,3,2,2,72,-1.1743
1970,3,2,3,58,-0.6836
1970,3,2,4,51,1.4903
1970,3,2,5,61,0.4857
1970,3,3,1,145,-2.0763
1970,3,3,2,114,0.9734
1970,3,3,3,111,1.9714
1970,3,3,4,107,1.2562
1970,3,3,5,68,0.9172
1970,4,1,1,166,-23.3804
1970,4,1,2,142,-20.8524
1970,4,1,3,135,-15.9252
1970,4,1,4,113,-13.3678
1970,4,1,5,139,-12.0951
1970,4,2,1,97,-21.2414
1970,4,2,2,72,-12.9368
1970,4,2,3,58,-15.5286
1970,4,2,4,51,-8.6439
1970,4,2,5,61,-11.9836
1970,4,3,1,145,-10.6713
1970,4,3,2,114,-9.3176
1970,4,3,3,111,-8.9540
1970,4,3,4,107,-7.6151
1970,4,3,5,68,-8.6196
1970,5,1,1,165,-10.6405
1970,5,1,2,142,-9.3238
1970,5,1,3,133,-10.0847
1970,5,1,4,113,-7.8274
1970,5,1,5,139,-8.8869
1970,5,2,1,97,-10.8827
1970,5,2,2,72,-11.6644
1970,5,2,3,58,-10.7837
1970,5,2,4,51,-6.7647
1970,5,2,5,61,-9.3738
1970,5,3,1,145,-8.4358
1970,5,3,2,114,-5.8385
1970,5,3,3,111,-2.1405
1970,5,3,4,107,-3.2193
1970,5,3,5,68,-5.4946
1970,6,1,1,165,-12.2776
1970,6,1,2,141,-9.4389
1970,6,1,3,133,-5.9806
1970,6,1,4,113,-8.3827
1970,6,1,5,139,-6.9725
1970,6,2,1,96,-8.1777
1970,6,2,2,72,-5.1432
1970,6,2,3,58,-9.0726
1970,6,2,4,51,-4.7277
1970,6,2,5,61,-7.0975
1970,6,3,1,145,-5.4837
1970,6,3,2,114,-4.9866
1970,6,3,3,111,-2.4917
1970,6,3,4,107,-5.4984
1970,6,3,5,68,-7.5489
1970,7,1,1,91,3.3296
1970,7,1,2,145,5.0395
1970,7,1,3,137,5.1926
1970,7,1,4,211,3.7427
1970,7,1,5,218,6.0919
1970,7,2,1,87,6.6453
1970,7,2,2,75,8.5930
1970,7,2,3,71,6.9508
1970,7,2,4,70,7.6270
1970,7,2,5,66,8.0563
1970,7,3,1,178,4.8573
1970,7,3,2,132,8.3367
1970,7,3,3,116,10.4813
1970,7,3,4,80,9.7176
1970,7,3,5,59,7.5393
1970,8,1,1,91,4.5612
1970,8,1,2,144,5.3633
1970,8,1,3,137,5.6093
1970,8,1,4,210,7.9439
1970,8,1,5,218,6.6859
1970,8,2,1,87,4.7962
1970,8,2,2,75,6.0233
1970,8,2,3,71,7.4405
1970,8,2,4,70,7.0400
1970,8,2,5,66,10.9206
1970,8,3,1,178,3.9778
1970,8,3,2,132,5.9554
1970,8,3,3,116,4.9260
1970,8,3,4,80,5.9376
1970,8,3,5,58,7.5706
1970,9,1,1,90,19.2117
1970,9,1,2,143,17.0902
1970,9,1,3,137,14.1027
1970,9,1,4,210,14.2674
1970,9,1,5,217,13.7719
1970,9,2,1,87,13.7919
1970,9,2,2,75,10.1652
1970,9,2,3,71,10.2729
1970,9,2,4,70,10.6250
1970,9,2,5,66,12.0464
1970,9,3,1,178,6.6403
1970,9,3,2,131,0.7600
1970,9,3,3,116,1.1301
1970,9,3,4,80,2.7219
1970,9,3,5,58,4.3839
1970,10,1,1,90,-8.3294
1970,10,1,2,143,-8.0421
1970,10,1,3,137,-6.4268
1970,10,1,4,210,-9.3645
1970,10,1,5,218,-7.1136
1970,10,2,1,87,-3.4478
1970,10,2,2,75,-3.9346
1970,10,2,3,71,-6.5262
1970,10,2,4,70,-5.2908
1970,10,2,5,66,-6.0355
1970,10,3,1,178,-0.2200
1970,10,3,2,131,-1.7712
1970,10,3,3,116,-1.2345
1970,10,3,4,80,-0.8878
1970,10,3,5,58,-6.2218
1970,11,1,1,90,-4.4163
1970,11,1,2,142,-3.1682
1970,11,1,3,137,-0.9719
1970,11,1,4,210,-1.8665
1970,11,1,5,218,0.0301
1970,11,2,1,87,1.7335
1970,11,2,2,75,2.7795
1970,11,2,3,71,3.1952
1970,11,2,4,70,3.2363
1970,11,2,5,66,3.5637
1970,11,3,1,178,5.0656
1970,11,3,2,131,5.9596
1970,11,3,3,116,5.9958
1970,11,3,4,80,5.5040
1970,11,3,5,58,5.1428
1970,12,1,1,90,6.1514
1970,12,1,2,142,8.8618
1970,12,1,3,137,8.8284
1970,12,1,4,209,11.2788
1970,12,1,5,217,10.7684
1970,12,2,1,87,7.8869
1970,12,2,2,75,8.7089
1970,12,2,3,71,6.9891
1970,12,2,4,70,8.5317
1970,12,2,5,66,9.8288
1970,12,3,1,178,4.9213
1970,12,3,2,131,6.5909
1970,12,3,3,116,6.0042
1970,12,3,4,80,7.2086
1970,12,3,5,58,9.0128
1971,1,1,1,89,13.0686
1971,1,1,2,142,13.4839
1971,1,1,3,137,14.6299
1971,1,1,4,209,15.7484
1971,1,1,5,216,16.3047
1971,1,2,1,86,7.1461
1971,1,2,2,75,10.5240
1971,1,2,3,71,11.2441
1971,1,2,4,70,11.2648
1971,1,2,5,66,13.6570
1971,1,3,1,178,4.1591
1971,1,3,2,131,4.6139
1971,1,3,3,116,3.9362
1971,1,3,4,80,3.7097
1971,1,3,5,58,9.5797
1971,2,1,1,89,9.2824
1971,2,1,2,141,6.1339
1971,2,1,3,137,4.9006
1971,2,1,4,208,5.7809
1971,2,1,5,216,4.8775
1971,2,2,1,86,3.5192
1971,2,2,2,75,3.1076
1971,2,2,3,71,1.2716
1971,2,2,4,70,4.2374
1971,2,2,5,66,0.7315
1971,2,3,1,178,2.4656
1971,2,3,2,131,0.6028
1971,2,3,3,116,0.0590
1971,2,3,4,80,1.6602
1971,2,3,5,58,1.7851
1971,3,1,1,88,9.1370
1971,3,1,2,141,5.6695
1971,3,1,3,137,4.7258
1971,3,1,4,208,6.9716
1971,3,1,5,216,5.8751
1971,3,2,1,86,10.4386
1971,3,2,2,75,5.6661
1971,3,2,3,71,5.8124
1971,3,2,4,70,5.6612
1971,3,2,5,66,4.5200
1971,3,3,1,178,5.6040
1971,3,3,2,131,3.7029
1971,3,3,3,116,2.4256
1971,3,3,4,80,2.5000
1971,3,3,5,57,2.1248
1971,4,1,1,88,1.6835
1971,4,1,2,140,2.4215
1971,4,1,3,137,3.5406
1971,4,1,4,208,2.3388
1971,4,1,5,216,2.1484
1971,4,2,1,86,3.3209
1971,4,2,2,74,3.5410
1971,4,2,3,71,4.1261
1971,4,2,4,70,1.2095
1971,4,2,5,66,6.8615
1971,4,3,1,178,3.5743
1971,4,3,2,131,4.4204
1971,4,3,3,116,1.6875
1971,4,3,4,80,4.7570
1971,4,3,5,57,7.2587
1971,5,1,1,88,-5.9180
1971,5,1,2,139,-5.2397
1971,5,1,3,137,-6.5321
1971,5,1,4,208,-6.5182
1971,5,1,5,216,-6.5945
1971,5,2,1,86,-2.9187
1971,5,2,2,75,-3.3311
1971,5,2,3,70,-5.0437
1971,5,2,4,70,-4.5581
1971,5,2,5,66,-5.5228
1971,5,3,1,178,-2.4865
1971,5,3,2,131,-4.0772
1971,5,3,3,116,-4.7075
1971,5,3,4,80,-4.6486
1971,5,3,5,57,-3.1338
1971,6,1,1,87,-0.5509
1971,6,1,2,139,-2.4876
1971,6,1,3,137,-1.4091
1971,6,1,4,206,-2.5835
1971,6,1,5,215,-2.8366
1971,6,2,1,85,2.8767
1971,6,2,2,75,-1.3827
1971,6,2,3,70,-0.9368
1971,6,2,4,70,-0.8755
1971,6,2,5,66,-2.4797
1971,6,3,1,178,0.8430
1971,6,3,2,131,-0.4093
1971,6,3,3,116,1.0574
1971,6,3,4,80,0.4929
1971,6,3,5,57,-2.8133
1971,7,1,1,96,-8.7939
1971,7,1,2,153,-10.0976
1971,7,1,3,164,-4.7983
1971,7,1,4,184,-5.7196
1971,7,1,5,264,-6.0015
1971,7,2,1,84,-6.6115
1971,7,2,2,89,-5.2754
1971,7,2,3,81,-4.3685
1971,7,2,4,79,-2.6948
1971,7,2,5,69,-5.3382
1971,7,3,1,188,-4.4772
1971,7,3,2,133,-3.7706
1971,7,3,3,119,-3.5460
1971,7,3,4,89,-3.8535
1971,7,3,5,54,-5.2637
1971,8,1,1,96,4.0034
1971,8,1,2,153,2.8745
1971,8,1,3,164,3.0034
1971,8,1,4,184,5.8561
1971,8,1,5,263,5.2591
1971,8,2,1,84,3.9834
1971,8,2,2,89,4.5673
1971,8,2,3,81,3.8714
1971,8,2,4,79,3.3864
