year,month,rank_ME,rank_NOP,nstocks,ret_vw
1973,11,2,4,65,-17.8893
1973,11,2,5,67,-13.6727
1973,11,3,1,91,-16.7960
1973,11,3,2,120,-11.0498
1973,11,3,3,102,-9.9015
1973,11,3,4,88,-14.4236
1973,11,3,5,82,-10.1347
1973,12,1,1,205,-6.1269
1973,12,1,2,122,-2.3775
1973,12,1,3,91,-4.3191
1973,12,1,4,90,-3.1393
1973,12,1,5,107,-2.9824
1973,12,2,1,75,-1.1470
1973,12,2,2,59,-4.9684
1973,12,2,3,52,-1.9925
1973,12,2,4,65,0.0611
1973,12,2,5,67,-1.4225
1973,12,3,1,92,1.6961
1973,12,3,2,120,-2.8162
1973,12,3,3,102,0.3850
1973,12,3,4,88,8.2992
1973,12,3,5,82,5.0101
1974,1,1,1,205,15.6020
1974,1,1,2,123,17.7701
1974,1,1,3,91,14.3113
1974,1,1,4,90,17.0015
1974,1,1,5,107,15.4771
1974,1,2,1,75,10.4813
1974,1,2,2,59,7.6355
1974,1,2,3,52,10.4573
1974,1,2,4,65,9.8673
1974,1,2,5,67,11.4624
1974,1,3,1,92,0.0278
1974,1,3,2,120,-1.1092
1974,1,3,3,102,-3.5066
1974,1,3,4,88,-1.1461
1974,1,3,5,82,3.6425
1974,2,1,1,205,-3.3618
1974,2,1,2,123,-2.9139
1974,2,1,3,91,1.7269
1974,2,1,4,90,-0.3746
1974,2,1,5,107,2.1874
1974,2,2,1,75,-0.7213
1974,2,2,2,59,0.0360
1974,2,2,3,52,0.2203
1974,2,2,4,65,1.8029
1974,2,2,5,67,4.4490
1974,2,3,1,92,1.2585
1974,2,3,2,120,-1.9095
1974,2,3,3,102,1.2027
1974,2,3,4,88,0.6098
1974,2,3,5,82,1.7699
1974,3,1,1,204,0.5876
1974,3,1,2,123,1.2236
1974,3,1,3,89,-0.6756
1974,3,1,4,89,2.8385
1974,3,1,5,107,0.3543
1974,3,2,1,75,-3.4866
1974,3,2,2,59,-1.0141
1974,3,2,3,52,0.9313
1974,3,2,4,65,-1.2303
1974,3,2,5,67,-1.0207
1974,3,3,1,92,-2.2111
1974,3,3,2,120,-1.1868
1974,3,3,3,102,-2.1711
1974,3,3,4,88,-2.0048
1974,3,3,5,82,-2.1505
1974,4,1,1,204,-6.7035
1974,4,1,2,123,-5.1254
1974,4,1,3,90,-4.2323
1974,4,1,4,89,-4.0789
1974,4,1,5,107,-3.3979
1974,4,2,1,75,-7.3639
1974,4,2,2,59,-3.6439
1974,4,2,3,52,-4.0449
1974,4,2,4,65,-1.9826
1974,4,2,5,67,-3.1203
1974,4,3,1,92,-4.2969
1974,4,3,2,120,-3.5217
1974,4,3,3,102,-2.1766
1974,4,3,4,88,-1.8533
